,Scrambling_RANK THIS WEEK,Scrambling_RANK LAST WEEK,Scrambling_PLAYER NAME,Scrambling_ROUNDS,Scrambling_%,Scrambling_PAR OR BETTER,Scrambling_MISSED GIR
0,1,1,Tiger Woods,69,69.67,209,300
1,2,2,Chris Riley,104,66.17,399,603
2,3,3,Tom Byrum,77,65.96,310,470
3,4,4,Nick Price,69,65.49,260,397
4,5,5,Joel Edwards,101,65.46,379,579
5,6,6,Jerry Kelly,99,65.11,362,556
6,7,7,Jim Furyk,88,64.78,274,423
7,8,8,Glen Hnatiuk,95,64.77,331,511
8,9,9,Len Mattiace,106,64.71,407,629
9,10,10,Peter Lonard,93,64.58,330,511
10,11,11,Rod Pampling,98,64.26,383,596
11,12,12,Loren Roberts,93,64.24,327,509
12,13,13,Mike Sposa,111,64.22,447,696
13,14,14,Esteban Toledo,106,64.04,399,623
14,15,15,Jim Carter,98,63.53,392,617
15,16,16,Skip Kendall,103,63.46,422,665
16,17,17,Jay Haas,83,63.44,328,517
17,18,18,Grant Waite,98,63.41,376,593
18,19,19,Bob Burns,99,63.33,373,589
19,20,20,Chris DiMarco,111,63.31,371,586
20,T21,T21,Stephen Ames,89,63.22,318,503
21,T21,T21,Fred Funk,106,63.22,349,552
22,23,23,José María Olazábal,71,63.07,275,436
23,24,24,Dan Forsman,83,63.03,283,449
24,25,25,Vijay Singh,102,62.98,313,497
25,26,26,Peter Jacobsen,67,62.87,254,404
26,27,27,Jonathan Kaye,83,62.75,310,494
27,28,28,Scott Hoch,71,62.65,260,415
28,29,29,Ernie Els,68,62.63,233,372
29,30,30,Jeff Sluman,118,62.62,407,650
30,T31,T31,Davis Love III,92,62.57,316,505
31,T31,T31,Bob Tway,103,62.57,341,545
32,33,33,Brian Gay,117,62.48,458,733
33,34,34,Glen Day,107,62.44,379,607
34,35,35,John Huston,99,62.38,335,537
35,36,36,Cameron Beckman,87,62.37,310,497
36,37,37,Justin Leonard,97,62.29,327,525
37,T38,T38,Neal Lancaster,101,62.28,388,623
38,T38,T38,Tim Petrovic,92,62.28,322,517
39,40,40,Bernhard Langer,55,62.04,201,324
40,41,41,Olin Browne,107,62.02,405,653
41,42,42,David Peoples,105,61.82,361,584
42,43,43,Per-Ulrik Johansson,87,61.8,330,534
43,44,44,John Rollins,124,61.79,427,691
44,45,45,Tim Herron,102,61.75,381,617
45,46,46,Pat Perez,89,61.71,369,598
46,47,47,Phil Mickelson,97,61.64,323,524
47,48,48,Kirk Triplett,84,61.62,297,482
48,49,49,John Riegger,88,61.56,285,463
49,50,50,Brad Faxon,93,61.44,333,542
50,51,51,David Toms,106,61.41,323,526
51,52,52,Steve Elkington,82,61.31,309,504
52,53,53,José Coceres,51,61.3,217,354
53,54,54,Matt Kuchar,82,61.28,315,514
54,55,55,Brandel Chamblee,85,61.23,319,521
55,56,56,Bob May,91,61.11,308,504
56,57,57,Billy Mayfair,99,61.08,339,555
57,T58,T58,Retief Goosen,56,61.07,171,280
58,T58,T58,Rocco Mediate,79,61.07,240,393
59,60,60,Fred Couples,64,60.99,233,382
60,61,61,Scott Verplank,93,60.98,300,492
61,62,62,Andrew Magee,91,60.97,353,579
62,63,63,Greg Kraft,86,60.78,341,561
63,64,64,J.P. Hayes,78,60.77,299,492
64,65,65,Carlos Franco,107,60.76,367,604
65,66,66,Tim Clark,76,60.61,260,429
66,67,67,David Gossett,95,60.6,323,533
67,68,68,Pat Bates,94,60.57,321,530
68,69,69,Matt Gogel,79,60.56,304,502
69,70,70,Craig Perks,91,60.53,345,570
70,71,71,J.L. Lewis,98,60.45,347,574
71,72,72,Shaun Micheel,100,60.36,303,502
72,73,73,Lee Porter,91,60.3,357,592
73,74,74,Jeff Maggert,83,60.24,306,508
74,75,75,Billy Andrade,100,60.23,368,611
75,76,76,Matt Peterson,80,60.21,283,470
76,77,77,Duffy Waldorf,90,60.19,310,515
77,78,78,Stewart Cink,92,60.16,302,502
78,79,79,Jay Don Blake,107,60.15,406,675
79,80,80,Luke Donald,106,60.11,342,569
80,81,81,Charles Howell III,118,60.1,375,624
81,82,82,Mark O'Meara,68,60.0,240,400
82,T83,T83,Rory Sabbatini,69,59.95,232,387
83,T83,T83,Brian Watts,58,59.95,226,377
84,85,85,Shigeki Maruyama,87,59.93,323,539
85,86,86,Joe Durant,87,59.91,263,439
86,87,87,Dudley Hart,88,59.88,294,491
87,T88,T88,Chad Campbell,111,59.83,362,605
88,T88,T88,David Frost,90,59.83,362,605
89,T90,T90,Briny Baird,110,59.81,378,632
90,T90,T90,K.J. Choi,93,59.81,323,540
91,92,92,Steve Stricker,68,59.8,241,403
92,93,93,Jonathan Byrd,96,59.77,361,604
93,T94,T94,Bart Bryant,69,59.72,215,360
94,T94,T94,Jess Daley,76,59.72,295,494
95,96,96,Mark Brooks,97,59.71,372,623
96,T97,T97,Bob Estes,93,59.64,266,446
97,T97,T97,John Senden,96,59.64,297,498
98,99,99,Kenny Perry,98,59.6,298,500
99,T100,T100,Stephen Gangluff,75,59.59,292,490
100,T100,T100,David Morland IV,58,59.59,230,386
101,102,102,John Cook,85,59.52,275,462
102,103,103,Jay Williamson,91,59.5,335,563
103,104,104,Robert Allenby,96,59.49,304,511
104,105,105,Tom Pernice Jr.,101,59.3,373,629
105,106,106,Miguel Angel Jiménez,60,59.26,224,378
106,107,107,Harrison Frazar,88,59.25,333,562
107,108,108,Russ Cochran,68,59.23,247,417
108,109,109,Mathew Goggin,64,59.19,235,397
109,110,110,Kevin Sutherland,96,59.17,300,507
110,111,111,Ben Crane,91,59.13,353,597
111,112,112,Dennis Paulson,89,59.12,324,548
112,113,113,Michael Clark II,97,59.11,347,587
113,114,114,Craig Barlow,62,58.97,207,351
114,115,115,Corey Pavin,78,58.91,304,516
115,116,116,Heath Slocum,96,58.89,341,579
116,117,117,Scott Simpson,61,58.86,259,440
117,118,118,Woody Austin,102,58.78,395,672
118,T119,T119,Steve Flesch,110,58.72,367,625
119,T119,T119,Craig Parry,69,58.72,229,390
120,121,121,Robert Gamez,69,58.7,243,414
121,122,122,Hal Sutton,74,58.68,257,438
122,123,123,Kent Jones,105,58.65,383,653
123,124,124,Hidemichi Tanaka,104,58.59,358,611
124,T125,T125,Paul Azinger,69,58.56,253,432
125,T125,T125,Brett Quigley,93,58.56,359,613
126,127,127,Frank Nobilo,94,58.54,346,591
127,128,128,Brent Geiberger,95,58.47,321,549
128,129,129,Stuart Appleby,97,58.45,325,556
129,130,130,Tom Scherrer,98,58.4,351,601
130,T131,T131,Jesper Parnevik,85,58.35,297,509
131,T131,T131,Phil Tataurangi,88,58.35,297,509
132,133,133,Jeff Gove,89,58.32,312,535
133,T134,T134,Sergio Garcia,79,58.29,253,434
134,T134,T134,Tripp Isenhour,68,58.29,246,422
135,136,136,Rich Beem,99,58.2,330,567
136,137,137,Craig Stadler,72,58.17,242,416
137,138,138,Paul Goydos,66,58.14,250,430
138,139,139,Richard Zokol,53,58.13,211,363
139,140,140,Jeff Brehaut,87,58.12,297,511
140,141,141,Robert Damron,85,58.02,322,555
141,142,142,Donnie Hammond,60,57.83,203,351
142,143,143,"David Berganio, Jr.",80,57.72,258,447
143,144,144,Steve Lowery,98,57.69,319,553
144,145,145,Michael Allen,76,57.66,301,522
145,146,146,Paul Claxton,83,57.65,309,536
146,T147,T147,David Duval,78,57.63,253,439
147,T147,T147,Franklin Langham,72,57.63,268,465
148,149,149,Brian Bateman,94,57.58,323,561
149,150,150,Notah Begay III,76,57.53,256,445
150,151,151,Bryce Molder,65,57.38,237,413
151,152,152,Mike Weir,94,57.35,277,483
152,153,153,Ian Leggatt,97,57.32,321,560
153,154,154,Brian Henninger,66,57.21,234,409
154,155,155,Geoff Ogilvy,90,57.17,319,558
155,156,156,J.J. Henry,112,56.98,347,609
156,T157,T157,Steve Jones,71,56.97,237,416
157,T157,T157,Kenneth Staton,104,56.97,339,595
158,159,159,Scott McCarron,106,56.94,320,562
159,160,160,Spike McRoy,69,56.9,231,406
160,161,161,Brandt Jobe,94,56.68,297,524
161,162,162,Kaname Yokoo,74,56.62,295,521
162,163,163,Michael Muehr,73,56.58,275,486
163,164,164,Mike Hulbert,55,56.53,212,375
164,165,165,Jerry Smith,91,56.49,344,609
165,166,166,Fulton Allem,64,56.45,245,434
166,167,167,Paul Gow,99,56.41,339,601
167,168,168,Brad Elder,76,56.31,272,483
168,169,169,Tom Lehman,78,56.2,204,363
169,170,170,Greg Chalmers,94,56.15,338,602
170,171,171,Frank Lickliter II,94,56.12,289,515
171,172,172,Joe Ogilvie,50,56.04,204,364
172,173,173,Pete Jordan,78,56.02,298,532
173,174,174,Paul Stankowski,100,55.98,365,652
174,175,175,Michael Long,71,55.92,236,422
175,176,176,Mark Calcavecchia,84,55.9,256,458
176,177,177,Steve Allan,93,55.7,308,553
177,178,178,Tommy Tolles,64,55.66,236,424
178,179,179,Edward Fryatt,94,55.56,340,612
179,180,180,Lee Janzen,101,55.51,292,526
180,181,181,Blaine McCallister,75,55.41,251,453
181,182,182,Chris Smith,103,55.4,272,491
182,183,183,Steve Pate,64,55.26,184,333
183,184,184,Tommy Armour III,82,55.21,286,518
184,185,185,Gary Nicklaus,66,55.18,245,444
185,186,186,Carl Paulson,84,55.09,287,521
186,187,187,Eduardo Herrera,59,54.99,237,431
187,188,188,Joey Sindelar,104,54.58,310,568
188,189,189,John Daly,62,54.39,229,421
189,190,190,Bradley Hughes,60,53.89,187,347
190,T191,T191,Deane Pappas,90,53.58,329,614
191,T191,T191,Boo Weekley,57,53.58,187,349
192,193,193,Garrett Willis,80,53.24,279,524
193,194,194,Bob Heintz,68,52.85,278,526
194,195,195,Robin Freeman,79,52.7,244,463
195,196,196,Dicky Pride,51,52.53,156,297
196,197,197,Brett Wetterich,89,50.45,282,559
197,198,198,Scott Dunlap,74,50.0,225,450
198,199,199,Brenden Pappas,62,49.63,202,407
199,200,200,Jason Hill,59,48.53,181,373
200,201,201,Brad Lardon,59,48.17,184,382
201,202,202,Bo Van Pelt,78,47.08,234,497
