,Scrambling_Average_Distance_to_Hole_RANK THIS WEEK,Scrambling_Average_Distance_to_Hole_RANK LAST WEEK,Scrambling_Average_Distance_to_Hole_PLAYER NAME,Scrambling_Average_Distance_to_Hole_ROUNDS,Scrambling_Average_Distance_to_Hole_AVG DTP,Scrambling_Average_Distance_to_Hole_TOTAL DISTANCE (FEET),Scrambling_Average_Distance_to_Hole_ATTEMPTS
0,T1,T1,Dennis Paulson,89,"6' 7""",993.0830000000001,150
1,T1,T1,Nick Price,69,"6' 7""",701.0,106
2,3,3,Jeff Sluman,118,"6' 8""",1159.833,174
3,4,4,Tim Petrovic,92,"7' 1""",910.1669999999999,128
4,5,5,Chris DiMarco,111,"7' 2""",1063.417,149
5,6,6,Bob Tway,103,"7' 3""",1136.5,157
6,T7,T7,Jim Carter,98,"7' 4""",1161.083,159
7,T7,T7,Peter Jacobsen,67,"7' 4""",765.75,104
8,T7,T7,Vijay Singh,102,"7' 4""",1025.583,140
9,T7,T7,Tiger Woods,69,"7' 4""",549.3330000000001,75
10,T11,T11,Glen Hnatiuk,95,"7' 5""",1234.083,166
11,T11,T11,Scott Hoch,71,"7' 5""",716.75,97
12,T13,T13,Tom Byrum,77,"7' 6""",863.75,115
13,T13,T13,José Coceres,51,"7' 6""",736.3330000000001,98
14,T13,T13,David Toms,106,"7' 6""",1071.583,143
15,T16,T16,Michael Clark II,97,"7' 7""",1177.417,156
16,T16,T16,John Huston,99,"7' 7""",878.0830000000001,116
17,T16,T16,Rod Pampling,98,"7' 7""",1065.167,141
18,T19,T19,Craig Barlow,62,"7' 8""",825.5,108
19,T19,T19,Dan Forsman,83,"7' 8""",878.0,114
20,T19,T19,Sergio Garcia,79,"7' 8""",788.75,103
21,T19,T19,J.P. Hayes,78,"7' 8""",935.6669999999999,122
22,T19,T19,Jerry Kelly,99,"7' 8""",1160.25,151
23,T19,T19,Peter Lonard,93,"7' 8""",913.75,119
24,T25,T25,John Cook,85,"7' 9""",761.1669999999999,98
25,T25,T25,Michael Muehr,73,"7' 9""",809.8330000000001,104
26,T27,T27,Ernie Els,68,"7' 10""",714.6669999999999,91
27,T27,T27,John Riegger,88,"7' 10""",1060.25,136
28,T29,T29,Mike Sposa,111,"7' 11""",1551.6670000000001,196
29,T29,T29,Brian Watts,58,"7' 11""",811.6669999999999,102
30,T31,T31,Luke Donald,106,"8' 0""",1265.583,158
31,T31,T31,Brad Faxon,93,"8' 0""",926.5830000000001,116
32,T31,T31,Matt Gogel,79,"8' 0""",934.6669999999999,117
33,T34,T34,Justin Leonard,97,"8' 1""",1188.333,147
34,T34,T34,Phil Mickelson,97,"8' 1""",1383.4170000000001,171
35,T36,T36,Robert Allenby,96,"8' 2""",1269.833,156
36,T36,T36,Stephen Ames,89,"8' 2""",1016.5,124
37,T36,T36,"David Berganio, Jr.",80,"8' 2""",1067.417,131
38,T36,T36,Mark Brooks,97,"8' 2""",1431.1670000000001,176
39,T36,T36,Donnie Hammond,60,"8' 2""",728.5,89
40,T36,T36,Len Mattiace,106,"8' 2""",1526.9170000000001,187
41,T36,T36,Grant Waite,98,"8' 2""",1251.417,154
42,T43,T43,Joel Edwards,101,"8' 3""",1326.4170000000001,161
43,T43,T43,Jim Furyk,88,"8' 3""",743.3330000000001,90
44,T43,T43,Tim Herron,102,"8' 3""",1196.5,145
45,T43,T43,Mike Hulbert,55,"8' 3""",727.1669999999999,88
46,T43,T43,Joey Sindelar,104,"8' 3""",1318.3329999999999,159
47,T43,T43,Steve Stricker,68,"8' 3""",774.5,94
