,Scrambling_from_the_Rough_RANK THIS WEEK,Scrambling_from_the_Rough_RANK LAST WEEK,Scrambling_from_the_Rough_PLAYER NAME,Scrambling_from_the_Rough_ROUNDS,Scrambling_from_the_Rough_%,Scrambling_from_the_Rough_SUCCESSES,Scrambling_from_the_Rough_ATTEMPTS
0,1,1,Chris Riley,104,65.38,136,208
1,2,2,Tom Byrum,77,64.94,100,154
2,3,3,Nick Price,69,64.21,61,95
3,4,4,David Morland IV,58,64.14,93,145
4,5,5,Peter Lonard,93,63.64,98,154
5,6,6,Len Mattiace,106,63.35,121,191
6,7,7,John Huston,99,62.07,90,145
7,8,8,Matt Kuchar,82,62.03,98,158
8,9,9,Tiger Woods,69,61.9,65,105
9,10,10,Scott Hoch,71,61.4,70,114
10,11,11,J.L. Lewis,98,60.75,113,186
11,12,12,Jonathan Kaye,83,60.67,108,178
12,13,13,Brian Gay,117,60.39,125,207
13,14,14,Stephen Ames,89,60.26,94,156
14,15,15,Fred Funk,106,60.23,103,171
15,16,16,Carlos Franco,107,60.1,122,203
16,17,17,Rod Pampling,98,60.0,114,190
17,18,18,Steve Stricker,68,59.84,73,122
18,19,19,Loren Roberts,93,59.63,96,161
19,20,20,Chris DiMarco,111,59.52,100,168
20,21,21,Mike Sposa,111,59.29,134,226
21,22,22,Brad Faxon,93,59.15,84,142
22,23,23,Duffy Waldorf,90,59.07,114,193
23,24,24,Corey Pavin,78,59.01,95,161
24,25,25,Tim Herron,102,58.82,120,204
25,26,26,Craig Barlow,62,58.77,67,114
26,27,27,Jerry Kelly,99,58.71,91,155
27,28,28,José Coceres,51,58.67,44,75
28,29,29,Kenny Perry,98,58.54,96,164
29,30,30,Michael Clark II,97,58.48,100,171
30,31,31,Olin Browne,107,58.47,107,183
31,32,32,Bob Burns,99,58.46,114,195
32,T33,T33,Harrison Frazar,88,58.42,118,202
33,T33,T33,Mark O'Meara,68,58.42,59,101
34,35,35,Jim Carter,98,58.38,101,173
35,36,36,John Cook,85,58.16,82,141
36,37,37,Jonathan Byrd,96,58.11,129,222
37,38,38,Jay Don Blake,107,58.08,115,198
38,39,39,Justin Leonard,97,58.06,72,124
39,T40,T40,Joel Edwards,101,57.89,99,171
40,T40,T40,Frank Nobilo,94,57.89,99,171
41,42,42,Greg Kraft,86,57.69,105,182
42,43,43,José María Olazábal,71,57.66,64,111
43,T44,T44,Bernhard Langer,55,57.5,46,80
44,T44,T44,Andrew Magee,91,57.5,115,200
45,46,46,Tom Pernice Jr.,101,57.49,119,207
46,47,47,John Riegger,88,57.41,93,162
47,48,48,K.J. Choi,93,57.32,94,164
48,49,49,Matt Peterson,80,57.25,79,138
49,50,50,John Rollins,124,57.08,137,240
50,51,51,Phil Mickelson,97,57.05,85,149
51,T52,T52,Bob Estes,93,56.99,53,93
52,T52,T52,Esteban Toledo,106,56.99,110,193
53,54,54,Steve Lowery,98,56.9,99,174
54,T55,T55,J.P. Hayes,78,56.85,83,146
55,T55,T55,Lee Porter,91,56.85,112,197
56,57,57,Joe Durant,87,56.73,59,104
57,58,58,Brad Elder,76,56.71,93,164
58,59,59,Donnie Hammond,60,56.7,55,97
59,60,60,Paul Goydos,66,56.69,72,127
60,61,61,Kaname Yokoo,74,56.65,98,173
61,62,62,Jeff Maggert,83,56.64,81,143
62,63,63,Carl Paulson,84,56.6,90,159
63,64,64,Charles Howell III,118,56.57,99,175
64,65,65,Jess Daley,76,56.5,100,177
65,66,66,Skip Kendall,103,56.48,109,193
66,67,67,Bob Tway,103,56.46,83,147
67,T68,T68,Notah Begay III,76,56.44,92,163
68,T68,T68,Kent Jones,105,56.44,127,225
69,70,70,Craig Perks,91,56.4,97,172
70,71,71,Glen Day,107,56.28,112,199
71,72,72,Brent Geiberger,95,56.17,91,162
72,73,73,Luke Donald,106,56.15,105,187
73,74,74,Frank Lickliter II,94,56.12,78,139
74,75,75,Rich Beem,99,56.11,101,180
75,76,76,Neal Lancaster,101,56.07,120,214
76,77,77,Brian Henninger,66,56.03,79,141
77,78,78,Kirk Triplett,84,56.0,70,125
78,79,79,Joe Ogilvie,50,55.9,90,161
79,80,80,Stuart Appleby,97,55.83,91,163
80,81,81,Brian Watts,58,55.8,77,138
81,82,82,Mike Hulbert,55,55.74,68,122
82,83,83,Stewart Cink,92,55.71,78,140
83,T84,T84,Tom Scherrer,98,55.67,108,194
84,T84,T84,Hal Sutton,74,55.67,54,97
85,86,86,Brian Bateman,94,55.62,99,178
86,T87,T87,Paul Azinger,69,55.56,70,126
87,T87,T87,Jesper Parnevik,85,55.56,80,144
88,89,89,Per-Ulrik Johansson,87,55.49,96,173
89,90,90,Peter Jacobsen,67,55.34,57,103
90,91,91,David Peoples,105,55.29,115,208
91,T92,T92,Mathew Goggin,64,55.17,80,145
92,T92,T92,Vijay Singh,102,55.17,80,145
93,94,94,Steve Elkington,82,55.15,91,165
94,95,95,Bob May,91,55.05,109,198
95,96,96,Jay Haas,83,54.93,78,142
96,97,97,Cameron Beckman,87,54.9,84,153
97,T98,T98,Jeff Gove,89,54.87,107,195
98,T98,T98,Grant Waite,98,54.87,107,195
99,100,100,Tim Clark,76,54.84,68,124
100,101,101,Dan Forsman,83,54.81,74,135
101,102,102,David Gossett,95,54.8,97,177
102,103,103,Brandel Chamblee,85,54.78,86,157
103,104,104,Chad Campbell,111,54.77,109,199
104,105,105,Matt Gogel,79,54.74,75,137
105,106,106,Retief Goosen,56,54.72,29,53
106,107,107,Hidemichi Tanaka,104,54.63,112,205
107,108,108,Dudley Hart,88,54.62,65,119
108,109,109,Craig Stadler,72,54.47,67,123
109,110,110,Paul Claxton,83,54.46,110,202
110,T111,T111,Jim Furyk,88,54.39,62,114
111,T111,T111,Tim Petrovic,92,54.39,93,171
112,113,113,Tom Lehman,78,54.37,56,103
113,114,114,Rory Sabbatini,69,54.31,63,116
114,115,115,Glen Hnatiuk,95,54.25,83,153
115,116,116,Michael Allen,76,54.11,112,207
116,117,117,Blaine McCallister,75,54.1,66,122
117,118,118,Kevin Sutherland,96,54.0,81,150
118,119,119,David Toms,106,53.95,82,152
119,T120,T120,Craig Parry,69,53.85,63,117
120,T120,T120,John Senden,96,53.85,91,169
121,122,122,Ernie Els,68,53.77,57,106
122,123,123,Lee Janzen,101,53.75,86,160
123,124,124,Steve Flesch,110,53.5,107,200
124,125,125,Pat Perez,89,53.44,101,189
125,126,126,Jay Williamson,91,53.29,89,167
126,127,127,Spike McRoy,69,53.28,73,137
127,128,128,Mark Brooks,97,53.25,90,169
128,129,129,Billy Mayfair,99,53.21,83,156
129,130,130,Heath Slocum,96,53.13,102,192
130,131,131,Briny Baird,110,53.09,103,194
131,132,132,Scott Simpson,61,53.02,79,149
132,133,133,Tommy Armour III,82,52.98,89,168
133,134,134,Billy Andrade,100,52.97,107,202
134,135,135,Eduardo Herrera,59,52.9,82,155
135,136,136,Scott Verplank,93,52.85,65,123
136,137,137,J.J. Henry,112,52.84,93,176
137,T138,T138,Davis Love III,92,52.73,87,165
138,T138,T138,Rocco Mediate,79,52.73,58,110
139,140,140,Stephen Gangluff,75,52.63,90,171
140,141,141,Robert Gamez,69,52.42,65,124
141,142,142,Ian Leggatt,97,52.35,89,170
142,143,143,Bart Bryant,69,52.21,59,113
143,T144,T144,Shigeki Maruyama,87,52.17,72,138
144,T144,T144,Jeff Sluman,118,52.17,84,161
145,146,146,Edward Fryatt,94,52.05,114,219
146,T147,T147,Mark Calcavecchia,84,51.97,79,152
147,T147,T147,Russ Cochran,68,51.97,66,127
148,149,149,Woody Austin,102,51.95,120,231
149,150,150,David Frost,90,51.92,81,156
150,151,151,Steve Pate,64,51.79,58,112
151,152,152,Robert Allenby,96,51.7,76,147
152,153,153,Bryce Molder,65,51.41,73,142
153,154,154,Geoff Ogilvy,90,51.35,95,185
154,155,155,Michael Long,71,51.3,79,154
155,156,156,Sergio Garcia,79,51.22,63,123
156,157,157,Shaun Micheel,100,51.2,85,166
157,158,158,Fulton Allem,64,51.15,67,131
158,159,159,Paul Stankowski,100,50.88,115,226
159,160,160,Ben Crane,91,50.8,95,187
160,161,161,Chris Smith,103,50.76,67,132
161,162,162,Tommy Tolles,64,50.63,81,160
162,163,163,Robert Damron,85,50.57,88,174
163,T164,T164,Jerry Smith,91,50.56,91,180
164,T164,T164,Phil Tataurangi,88,50.56,90,178
165,166,166,David Duval,78,50.41,61,121
166,167,167,"David Berganio, Jr.",80,50.34,74,147
167,T168,T168,Tripp Isenhour,68,50.3,83,165
168,T168,T168,Brandt Jobe,94,50.3,83,165
169,170,170,Robin Freeman,79,50.29,87,173
170,171,171,Deane Pappas,90,50.19,130,259
171,172,172,Miguel Angel Jiménez,60,50.0,45,90
172,173,173,Brett Quigley,93,49.77,110,221
173,174,174,Scott McCarron,106,49.69,79,159
174,175,175,Jeff Brehaut,87,49.38,79,160
175,176,176,Pete Jordan,78,49.06,78,159
176,177,177,Richard Zokol,53,49.04,51,104
177,178,178,Fred Couples,64,48.67,55,113
178,179,179,Dennis Paulson,89,48.65,90,185
179,180,180,Pat Bates,94,48.63,71,146
180,181,181,Steve Jones,71,48.41,61,126
181,182,182,Steve Allan,93,48.28,84,174
182,183,183,Kenneth Staton,104,48.13,116,241
183,184,184,Gary Nicklaus,66,47.4,73,154
184,185,185,Greg Chalmers,94,47.06,104,221
185,186,186,Joey Sindelar,104,47.03,87,185
186,187,187,Michael Muehr,73,46.94,69,147
187,188,188,Bradley Hughes,60,46.79,51,109
188,189,189,John Daly,62,46.53,47,101
189,190,190,Mike Weir,94,46.49,53,114
190,191,191,Jason Hill,59,45.67,58,127
191,192,192,Franklin Langham,72,45.65,63,138
192,193,193,Garrett Willis,80,45.56,77,169
193,194,194,Bo Van Pelt,78,45.51,76,167
194,195,195,Bob Heintz,68,44.67,88,197
195,196,196,Paul Gow,99,44.5,85,191
196,197,197,Scott Dunlap,74,44.22,65,147
197,198,198,Dicky Pride,51,43.97,51,116
198,199,199,Boo Weekley,57,43.2,54,125
199,200,200,Brenden Pappas,62,40.91,63,154
200,201,201,Brett Wetterich,89,40.24,68,169
201,202,202,Brad Lardon,59,38.58,49,127
