,Scrambling_from_Other_Locations_RANK THIS WEEK,Scrambling_from_Other_Locations_RANK LAST WEEK,Scrambling_from_Other_Locations_PLAYER NAME,Scrambling_from_Other_Locations_ROUNDS,Scrambling_from_Other_Locations_%,Scrambling_from_Other_Locations_SUCCESSES,Scrambling_from_Other_Locations_ATTEMPTS
0,1,1,Ernie Els,68,65.12,28,43
1,2,2,Nick Price,69,62.26,33,53
2,3,3,Scott Verplank,93,62.16,46,74
3,4,4,Franklin Langham,72,61.33,46,75
4,5,5,Peter Jacobsen,67,60.61,40,66
5,6,6,Mike Weir,94,58.97,46,78
6,7,7,Rocco Mediate,79,58.82,20,34
7,8,8,Chris DiMarco,111,58.51,55,94
8,9,9,Skip Kendall,103,58.49,62,106
9,10,10,Shigeki Maruyama,87,58.46,38,65
10,11,11,Phil Tataurangi,88,58.33,42,72
11,12,12,Joe Durant,87,58.21,39,67
12,13,13,Billy Andrade,100,58.02,47,81
13,14,14,Steve Jones,71,57.97,40,69
14,15,15,Tim Petrovic,92,57.78,52,90
15,T16,T16,Pat Bates,94,57.73,56,97
16,T16,T16,Neal Lancaster,101,57.73,56,97
17,18,18,Carl Paulson,84,57.69,60,104
18,19,19,Tim Clark,76,57.5,46,80
19,20,20,Jim Furyk,88,57.14,32,56
20,21,21,Loren Roberts,93,56.84,54,95
21,22,22,Retief Goosen,56,56.82,25,44
22,23,23,Esteban Toledo,106,56.7,55,97
23,24,24,Jess Daley,76,56.63,47,83
24,25,25,Mike Sposa,111,56.35,71,126
25,26,26,Robert Damron,85,56.31,58,103
26,T27,T27,Charles Howell III,118,56.25,45,80
27,T27,T27,John Rollins,124,56.25,54,96
28,T29,T29,Briny Baird,110,56.0,56,100
29,T29,T29,Vijay Singh,102,56.0,28,50
30,31,31,David Toms,106,55.88,38,68
31,32,32,Bob May,91,55.84,43,77
32,33,33,David Duval,78,55.71,39,70
33,34,34,John Cook,85,55.7,44,79
34,35,35,Tom Lehman,78,55.26,21,38
35,36,36,Jeff Maggert,83,55.17,32,58
36,37,37,Len Mattiace,106,55.1,54,98
37,38,38,Heath Slocum,96,55.07,38,69
38,39,39,Tiger Woods,69,54.84,17,31
39,40,40,Steve Elkington,82,54.69,35,64
40,41,41,John Senden,96,54.65,47,86
41,42,42,José Coceres,51,54.35,25,46
42,43,43,Glen Hnatiuk,95,54.32,44,81
43,44,44,Joel Edwards,101,54.17,52,96
44,45,45,Jeff Gove,89,54.02,47,87
45,46,46,Steve Stricker,68,53.85,28,52
46,47,47,Chris Riley,104,53.76,50,93
47,48,48,Frank Lickliter II,94,53.52,38,71
48,49,49,Billy Mayfair,99,53.01,44,83
49,50,50,Matt Gogel,79,52.94,36,68
50,51,51,Mathew Goggin,64,52.86,37,70
51,52,52,Grant Waite,98,52.78,57,108
52,53,53,Per-Ulrik Johansson,87,52.44,43,82
53,54,54,Greg Chalmers,94,51.96,53,102
54,T55,T55,David Gossett,95,51.85,42,81
55,T55,T55,Pat Perez,89,51.85,42,81
56,57,57,Peter Lonard,93,51.79,29,56
57,58,58,Bob Estes,93,51.76,44,85
58,59,59,Rod Pampling,98,51.72,45,87
59,60,60,Jonathan Byrd,96,51.58,49,95
60,61,61,Robert Allenby,96,51.56,33,64
61,62,62,Justin Leonard,97,51.55,50,97
62,63,63,Paul Gow,99,51.52,51,99
63,64,64,Lee Porter,91,51.43,54,105
64,T65,T65,Stuart Appleby,97,51.39,37,72
65,T65,T65,Tripp Isenhour,68,51.39,37,72
66,67,67,Paul Azinger,69,51.28,40,78
67,68,68,Tim Herron,102,51.22,42,82
68,69,69,Jim Carter,98,51.06,48,94
69,70,70,Bob Burns,99,51.04,49,96
70,71,71,Bart Bryant,69,50.82,31,61
71,72,72,Jerry Kelly,99,50.75,34,67
