,Proximity_to_Hole_from__10_yards_RANK THIS WEEK,Proximity_to_Hole_from__10_yards_RANK LAST WEEK,Proximity_to_Hole_from__10_yards_PLAYER NAME,Proximity_to_Hole_from__10_yards_ROUNDS,Proximity_to_Hole_from__10_yards_AVG DTP,Proximity_to_Hole_from__10_yards_TOTAL DISTANCE (FEET),Proximity_to_Hole_from__10_yards_# OF SHOTS,Proximity_to_Hole_from__10_yards_SCRAMBLING RANK
0,T1,T1,Shaun Micheel,100,"2' 7""",133.417,51,72
1,T1,T1,Steve Stricker,68,"2' 7""",72.0,28,92
2,3,3,Richard Zokol,53,"2' 9""",73.75,27,139
3,T4,T4,Tommy Armour III,82,"2' 10""",152.083,53,184
4,T4,T4,Rocco Mediate,79,"2' 10""",98.5,35,58
5,T6,T6,Pat Bates,94,"3' 1""",164.167,53,68
6,T6,T6,Brent Geiberger,95,"3' 1""",136.417,44,128
7,T6,T6,Miguel Angel Jiménez,60,"3' 1""",93.667,30,106
8,T9,T9,Jim Furyk,88,"3' 2""",112.75,36,7
9,T9,T9,Andrew Magee,91,"3' 2""",145.5,46,62
10,T11,T11,Paul Goydos,66,"3' 3""",157.75,49,138
11,T11,T11,Donnie Hammond,60,"3' 3""",93.417,29,142
12,T11,T11,Scott Hoch,71,"3' 3""",141.25,44,28
13,T11,T11,Per-Ulrik Johansson,87,"3' 3""",127.25,39,43
14,T11,T11,Joe Ogilvie,50,"3' 3""",160.417,49,172
15,T11,T11,Steve Pate,64,"3' 3""",89.833,28,183
16,T11,T11,Carl Paulson,84,"3' 3""",190.833,58,186
17,T11,T11,Mike Sposa,111,"3' 3""",219.25,68,13
18,T11,T11,Craig Stadler,72,"3' 3""",71.167,22,137
19,T20,T20,Bart Bryant,69,"3' 4""",116.833,35,94
20,T20,T20,Stewart Cink,92,"3' 4""",151.583,45,78
21,T20,T20,Joel Edwards,101,"3' 4""",195.167,59,5
22,T20,T20,Michael Long,71,"3' 4""",146.667,44,175
23,T20,T20,Blaine McCallister,75,"3' 4""",129.667,39,181
24,T20,T20,Tim Petrovic,92,"3' 4""",139.75,42,38
25,T26,T26,J.P. Hayes,78,"3' 5""",142.333,42,64
26,T26,T26,Davis Love III,92,"3' 5""",192.667,57,31
27,T26,T26,Jesper Parnevik,85,"3' 5""",68.75,20,131
28,T26,T26,Dennis Paulson,89,"3' 5""",192.917,57,112
29,T26,T26,John Riegger,88,"3' 5""",163.917,48,49
30,T26,T26,Chris Smith,103,"3' 5""",165.5,49,182
31,T32,T32,Brian Gay,117,"3' 6""",200.917,58,33
32,T32,T32,Lee Janzen,101,"3' 6""",178.583,51,180
33,T32,T32,Nick Price,69,"3' 6""",113.167,32,4
34,T32,T32,Duffy Waldorf,90,"3' 6""",191.083,55,77
35,T32,T32,Brian Watts,58,"3' 6""",125.25,36,83
36,T32,T32,Brett Wetterich,89,"3' 6""",213.417,61,197
37,T38,T38,Bob Burns,99,"3' 7""",200.667,56,19
38,T38,T38,Steve Elkington,82,"3' 7""",192.417,54,52
39,T38,T38,Peter Jacobsen,67,"3' 7""",149.167,42,26
40,T38,T38,Spike McRoy,69,"3' 7""",126.583,35,160
41,T38,T38,Phil Mickelson,97,"3' 7""",246.25,68,47
42,T38,T38,Loren Roberts,93,"3' 7""",185.333,52,12
43,T38,T38,Phil Tataurangi,88,"3' 7""",174.083,49,131
44,T38,T38,Garrett Willis,80,"3' 7""",147.417,41,193
45,T46,T46,Brandel Chamblee,85,"3' 8""",199.583,54,55
46,T46,T46,David Frost,90,"3' 8""",168.167,46,88
47,T46,T46,Jonathan Kaye,83,"3' 8""",236.75,65,27
48,T46,T46,Matt Kuchar,82,"3' 8""",181.5,50,54
49,T46,T46,Franklin Langham,72,"3' 8""",203.583,56,147
50,T46,T46,Deane Pappas,90,"3' 8""",198.5,54,191
51,T46,T46,Hidemichi Tanaka,104,"3' 8""",218.417,59,124
52,T53,T53,Mark Brooks,97,"3' 9""",299.16700000000003,79,96
53,T53,T53,Brad Faxon,93,"3' 9""",147.667,39,50
54,T53,T53,Brian Henninger,66,"3' 9""",227.0,61,154
55,T53,T53,J.J. Henry,112,"3' 9""",196.667,52,156
56,T53,T53,John Huston,99,"3' 9""",209.25,56,35
57,T53,T53,Kent Jones,105,"3' 9""",215.583,58,123
58,T53,T53,Rod Pampling,98,"3' 9""",190.0,51,11
59,T53,T53,Jeff Sluman,118,"3' 9""",227.667,61,30
60,T53,T53,Bob Tway,103,"3' 9""",237.917,64,31
61,T53,T53,Mike Weir,94,"3' 9""",134.833,36,152
62,T53,T53,Jay Williamson,91,"3' 9""",209.5,56,103
63,T64,T64,Craig Barlow,62,"3' 10""",141.917,37,114
64,T64,T64,Sergio Garcia,79,"3' 10""",99.333,26,134
65,T64,T64,Jay Haas,83,"3' 10""",165.333,43,17
66,T64,T64,Steve Lowery,98,"3' 10""",264.25,69,144
67,T64,T64,John Senden,96,"3' 10""",223.75,58,97
68,T64,T64,Hal Sutton,74,"3' 10""",157.0,41,122
69,T70,T70,Olin Browne,107,"3' 11""",286.0,73,41
70,T70,T70,Paul Claxton,83,"3' 11""",187.833,48,146
71,T70,T70,Scott Dunlap,74,"3' 11""",152.583,39,198
72,T70,T70,Brett Quigley,93,"3' 11""",244.167,63,125
73,T70,T70,Kenneth Staton,104,"3' 11""",284.83299999999997,72,157
74,T75,T75,Greg Chalmers,94,"4' 0""",202.0,50,170
75,T75,T75,Edward Fryatt,94,"4' 0""",170.667,43,179
76,T75,T75,Jeff Gove,89,"4' 0""",204.833,51,133
77,T75,T75,Charles Howell III,118,"4' 0""",248.0,62,81
78,T75,T75,Neal Lancaster,101,"4' 0""",205.083,51,38
79,T75,T75,José María Olazábal,71,"4' 0""",104.333,26,23
80,T75,T75,Heath Slocum,96,"4' 0""",231.833,58,116
81,T75,T75,Paul Stankowski,100,"4' 0""",223.25,56,174
82,T83,T83,Robert Allenby,96,"4' 1""",226.667,55,104
83,T83,T83,Jay Don Blake,107,"4' 1""",249.083,61,79
84,T83,T83,Mathew Goggin,64,"4' 1""",187.833,46,109
85,T83,T83,Tripp Isenhour,68,"4' 1""",175.25,43,134
86,T83,T83,Steve Jones,71,"4' 1""",143.333,35,157
87,T83,T83,Skip Kendall,103,"4' 1""",329.75,80,16
88,T83,T83,Bryce Molder,65,"4' 1""",177.833,44,151
89,T83,T83,Tom Pernice Jr.,101,"4' 1""",242.667,60,105
90,T83,T83,Chris Riley,104,"4' 1""",271.83299999999997,66,2
91,T83,T83,Vijay Singh,102,"4' 1""",209.333,51,25
92,T93,T93,Briny Baird,110,"4' 2""",238.667,57,90
93,T93,T93,Brian Bateman,94,"4' 2""",260.75,62,149
94,T93,T93,Fred Couples,64,"4' 2""",104.75,25,60
95,T93,T93,Jess Daley,76,"4' 2""",229.5,55,94
96,T93,T93,Glen Day,107,"4' 2""",370.5,89,34
97,T93,T93,Greg Kraft,86,"4' 2""",255.667,61,63
98,T93,T93,J.L. Lewis,98,"4' 2""",260.83299999999997,63,71
99,T93,T93,Frank Nobilo,94,"4' 2""",262.33299999999997,63,127
100,T93,T93,Lee Porter,91,"4' 2""",211.583,51,73
101,T93,T93,Joey Sindelar,104,"4' 2""",310.08299999999997,75,188
102,T93,T93,David Toms,106,"4' 2""",297.66700000000003,71,51
103,T104,T104,Notah Begay III,76,"4' 3""",212.167,50,150
104,T104,T104,Chad Campbell,111,"4' 3""",286.08299999999997,67,88
105,T104,T104,Robert Damron,85,"4' 3""",304.16700000000003,72,141
106,T104,T104,Justin Leonard,97,"4' 3""",237.25,56,37
107,T104,T104,Len Mattiace,106,"4' 3""",249.25,59,9
108,T104,T104,Tom Scherrer,98,"4' 3""",263.5,62,130
109,T104,T104,Kevin Sutherland,96,"4' 3""",178.083,42,110
110,T104,T104,Grant Waite,98,"4' 3""",235.833,55,18
111,T112,T112,Michael Allen,76,"4' 4""",206.167,48,145
112,T112,T112,Jim Carter,98,"4' 4""",255.583,59,15
113,T112,T112,Eduardo Herrera,59,"4' 4""",217.917,50,187
114,T112,T112,Tim Herron,102,"4' 4""",250.667,58,45
115,T112,T112,Bernhard Langer,55,"4' 4""",126.417,29,40
116,T112,T112,David Peoples,105,"4' 4""",292.25,68,42
117,T112,T112,Jerry Smith,91,"4' 4""",281.75,65,165
118,T119,T119,Stuart Appleby,97,"4' 5""",249.167,56,129
119,T119,T119,Rich Beem,99,"4' 5""",276.66700000000003,63,136
120,T119,T119,John Cook,85,"4' 5""",136.667,31,102
121,T119,T119,Bob Estes,93,"4' 5""",199.417,45,97
122,T119,T119,Mike Hulbert,55,"4' 5""",148.833,34,164
123,T119,T119,Jerry Kelly,99,"4' 5""",237.417,54,6
124,T119,T119,Shigeki Maruyama,87,"4' 5""",162.333,37,85
125,T119,T119,Bob May,91,"4' 5""",235.083,53,56
126,T119,T119,Tommy Tolles,64,"4' 5""",229.917,52,178
127,T128,T128,David Duval,78,"4' 6""",226.833,50,147
128,T128,T128,Harrison Frazar,88,"4' 6""",253.75,56,107
129,T128,T128,David Gossett,95,"4' 6""",245.583,55,67
130,T128,T128,Glen Hnatiuk,95,"4' 6""",300.58299999999997,67,8
131,T128,T128,Ian Leggatt,97,"4' 6""",284.08299999999997,63,153
132,T128,T128,Billy Mayfair,99,"4' 6""",166.25,37,57
133,T128,T128,Michael Muehr,73,"4' 6""",175.833,39,163
134,T135,T135,Woody Austin,102,"4' 7""",370.917,81,118
135,T135,T135,Tom Byrum,77,"4' 7""",214.083,47,3
136,T135,T135,Bradley Hughes,60,"4' 7""",191.833,42,190
137,T135,T135,David Morland IV,58,"4' 7""",226.167,49,100
138,T135,T135,Kenny Perry,98,"4' 7""",271.08299999999997,59,99
139,T135,T135,Boo Weekley,57,"4' 7""",203.333,44,191
140,T141,T141,"David Berganio, Jr.",80,"4' 8""",273.08299999999997,59,143
141,T141,T141,Michael Clark II,97,"4' 8""",280.41700000000003,60,113
142,T141,T141,Ben Crane,91,"4' 8""",347.417,74,111
143,T141,T141,Ernie Els,68,"4' 8""",153.917,33,29
144,T141,T141,Brandt Jobe,94,"4' 8""",305.91700000000003,65,161
145,T141,T141,Kirk Triplett,84,"4' 8""",209.25,45,48
146,T141,T141,Kaname Yokoo,74,"4' 8""",192.417,41,162
147,T148,T148,Luke Donald,106,"4' 9""",315.66700000000003,67,80
148,T148,T148,Steve Flesch,110,"4' 9""",267.0,56,119
149,T148,T148,Carlos Franco,107,"4' 9""",322.58299999999997,68,65
150,T148,T148,Fred Funk,106,"4' 9""",266.16700000000003,56,21
151,T148,T148,Robert Gamez,69,"4' 9""",298.58299999999997,63,121
152,T148,T148,Dudley Hart,88,"4' 9""",226.917,48,87
153,T148,T148,Scott McCarron,106,"4' 9""",252.833,53,159
154,T148,T148,Bo Van Pelt,78,"4' 9""",281.25,59,202
