,Scrambling_from_20-30_yards_RANK THIS WEEK,Scrambling_from_20-30_yards_RANK LAST WEEK,Scrambling_from_20-30_yards_PLAYER NAME,Scrambling_from_20-30_yards_ROUNDS,Scrambling_from_20-30_yards_%,Scrambling_from_20-30_yards_SUCCESSES,Scrambling_from_20-30_yards_ATTEMPTS
0,1,1,Rory Sabbatini,69,78.57,11,14
1,T2,T2,Paul Azinger,69,75.0,9,12
2,T2,T2,Bob Estes,93,75.0,18,24
3,4,4,Matt Gogel,79,73.68,14,19
4,T5,T5,Harrison Frazar,88,71.43,15,21
5,T5,T5,Kevin Sutherland,96,71.43,10,14
6,7,7,Ernie Els,68,70.0,14,20
7,8,8,Rich Beem,99,69.57,16,23
8,9,9,Robert Gamez,69,69.23,9,13
9,10,10,Len Mattiace,106,68.75,22,32
10,T11,T11,Brandel Chamblee,85,66.67,16,24
11,T11,T11,Stewart Cink,92,66.67,16,24
12,T11,T11,Bernhard Langer,55,66.67,6,9
13,T14,T14,J.P. Hayes,78,65.22,15,23
14,T14,T14,Craig Perks,91,65.22,15,23
15,T14,T14,Tim Petrovic,92,65.22,15,23
16,17,17,Billy Andrade,100,64.86,24,37
17,T18,T18,Tom Byrum,77,64.29,9,14
18,T18,T18,Brian Watts,58,64.29,9,14
19,T20,T20,Jeff Maggert,83,64.0,16,25
20,T20,T20,José María Olazábal,71,64.0,16,25
21,T22,T22,Fred Couples,64,63.64,7,11
22,T22,T22,Per-Ulrik Johansson,87,63.64,14,22
23,24,24,Pat Perez,89,63.33,19,30
24,T25,T25,Shigeki Maruyama,87,63.16,12,19
25,T25,T25,Paul Stankowski,100,63.16,24,38
26,27,27,Ian Leggatt,97,62.96,17,27
27,T28,T28,Chris DiMarco,111,62.5,15,24
28,T28,T28,Steve Elkington,82,62.5,20,32
29,T28,T28,Tim Herron,102,62.5,15,24
30,T31,T31,Brad Faxon,93,61.9,13,21
31,T31,T31,Rod Pampling,98,61.9,13,21
32,T31,T31,Tommy Tolles,64,61.9,13,21
33,T34,T34,Dan Forsman,83,61.54,8,13
34,T34,T34,Charles Howell III,118,61.54,16,26
35,T34,T34,Peter Jacobsen,67,61.54,8,13
36,T34,T34,Brad Lardon,59,61.54,8,13
