,Proximity_to_Hole_from_Rough_RANK THIS WEEK,Proximity_to_Hole_from_Rough_RANK LAST WEEK,Proximity_to_Hole_from_Rough_PLAYER NAME,Proximity_to_Hole_from_Rough_ROUNDS,Proximity_to_Hole_from_Rough_AVG DTP,Proximity_to_Hole_from_Rough_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Rough_# OF SHOTS,Proximity_to_Hole_from_Rough_SCRAMBLING RANK
0,1,1,Tom Scherrer,98,"6' 2""",440.25,71,130
1,T2,T2,Pat Bates,94,"6' 9""",397.833,59,68
2,T2,T2,Tom Byrum,77,"6' 9""",402.667,60,3
3,T4,T4,John Huston,99,"6' 11""",317.58299999999997,46,35
4,T4,T4,Jonathan Kaye,83,"6' 11""",603.9169999999999,87,27
5,T4,T4,Steve Stricker,68,"6' 11""",283.25,41,92
6,7,7,Briny Baird,110,"7' 0""",468.083,67,90
7,T8,T8,Jim Furyk,88,"7' 1""",219.5,31,7
8,T8,T8,Tim Petrovic,92,"7' 1""",416.583,59,38
9,T8,T8,David Toms,106,"7' 1""",441.25,62,51
10,T11,T11,Matt Gogel,79,"7' 2""",367.583,51,69
11,T11,T11,Mark O'Meara,68,"7' 2""",207.083,29,82
12,T13,T13,David Frost,90,"7' 3""",396.667,55,88
13,T13,T13,Shaun Micheel,100,"7' 3""",485.333,67,72
14,T13,T13,Carl Paulson,84,"7' 3""",433.833,60,186
15,T16,T16,Scott Hoch,71,"7' 4""",324.16700000000003,44,28
16,T16,T16,Andrew Magee,91,"7' 4""",440.917,60,62
17,T16,T16,Jeff Sluman,118,"7' 4""",477.167,65,30
18,19,19,Jerry Kelly,99,"7' 5""",572.3330000000001,77,6
19,20,20,Craig Barlow,62,"7' 6""",299.33299999999997,40,114
20,T21,T21,Glen Day,107,"7' 7""",609.3330000000001,80,34
21,T21,T21,Phil Tataurangi,88,"7' 7""",356.833,47,131
22,T23,T23,Olin Browne,107,"7' 8""",573.8330000000001,75,41
23,T23,T23,Rod Pampling,98,"7' 8""",452.75,59,11
24,T23,T23,Craig Parry,69,"7' 8""",384.333,50,119
25,T23,T23,Nick Price,69,"7' 8""",343.5,45,4
