,Sand_Saves_from__10_yards_RANK THIS WEEK,Sand_Saves_from__10_yards_RANK LAST WEEK,Sand_Saves_from__10_yards_PLAYER NAME,Sand_Saves_from__10_yards_ROUNDS,Sand_Saves_from__10_yards_%,Sand_Saves_from__10_yards_# OF SAVES,Sand_Saves_from__10_yards_# OF BUNKERS
0,T1,T1,Bob Burns,99,100.0,2.0,2
1,T1,T1,Mark Calcavecchia,84,100.0,2.0,2
2,T1,T1,Paul Claxton,83,100.0,1.0,1
3,T1,T1,José Coceres,51,100.0,4.0,4
4,T1,T1,John Daly,62,100.0,1.0,1
5,T1,T1,Chris DiMarco,111,100.0,2.0,2
6,T1,T1,Luke Donald,106,100.0,3.0,3
7,T1,T1,Joel Edwards,101,100.0,4.0,4
8,T1,T1,Fred Funk,106,100.0,6.0,6
9,T1,T1,Jim Furyk,88,100.0,6.0,6
10,T1,T1,Mathew Goggin,64,100.0,1.0,1
11,T1,T1,Paul Goydos,66,100.0,3.0,3
12,T1,T1,Donnie Hammond,60,100.0,1.0,1
13,T1,T1,J.J. Henry,112,100.0,4.0,4
14,T1,T1,Tim Herron,102,100.0,1.0,1
15,T1,T1,Scott Hoch,71,100.0,4.0,4
16,T1,T1,Mike Hulbert,55,100.0,1.0,1
17,T1,T1,John Huston,99,100.0,2.0,2
18,T1,T1,Lee Janzen,101,100.0,1.0,1
19,T1,T1,Franklin Langham,72,100.0,4.0,4
20,T1,T1,Scott McCarron,106,100.0,6.0,6
21,T1,T1,Shaun Micheel,100,100.0,2.0,2
22,T1,T1,Bryce Molder,65,100.0,4.0,4
23,T1,T1,Tom Pernice Jr.,101,100.0,2.0,2
24,T1,T1,Tim Petrovic,92,100.0,1.0,1
25,T1,T1,John Riegger,88,100.0,2.0,2
26,T1,T1,Scott Simpson,61,100.0,1.0,1
27,T1,T1,Chris Smith,103,100.0,1.0,1
28,T1,T1,Craig Stadler,72,100.0,4.0,4
29,T1,T1,Paul Stankowski,100,100.0,2.0,2
30,T1,T1,Phil Tataurangi,88,100.0,2.0,2
31,32,32,Stuart Appleby,97,90.91,10.0,11
32,33,33,Craig Parry,69,88.89,8.0,9
33,34,34,John Cook,85,85.71,6.0,7
34,T35,T35,Steve Allan,93,83.33,5.0,6
35,T35,T35,Jess Daley,76,83.33,5.0,6
36,T35,T35,Dudley Hart,88,83.33,5.0,6
37,T35,T35,Brandt Jobe,94,83.33,5.0,6
38,T35,T35,Dennis Paulson,89,83.33,5.0,6
39,T35,T35,Mike Sposa,111,83.33,5.0,6
40,T35,T35,Brett Wetterich,89,83.33,5.0,6
41,T42,T42,Steve Elkington,82,80.0,4.0,5
42,T42,T42,Bob Estes,93,80.0,4.0,5
43,T42,T42,Kent Jones,105,80.0,4.0,5
44,T42,T42,Phil Mickelson,97,80.0,8.0,10
45,T42,T42,David Morland IV,58,80.0,4.0,5
46,T42,T42,Kenneth Staton,104,80.0,4.0,5
47,T42,T42,Bo Van Pelt,78,80.0,4.0,5
48,T49,T49,Stephen Ames,89,75.0,3.0,4
49,T49,T49,Pete Jordan,78,75.0,3.0,4
50,T49,T49,Skip Kendall,103,75.0,3.0,4
51,T49,T49,Shigeki Maruyama,87,75.0,3.0,4
52,T49,T49,Bob May,91,75.0,3.0,4
53,T49,T49,Blaine McCallister,75,75.0,3.0,4
54,T49,T49,José María Olazábal,71,75.0,3.0,4
55,T49,T49,Jerry Smith,91,75.0,3.0,4
56,T49,T49,Grant Waite,98,75.0,3.0,4
57,T49,T49,Mike Weir,94,75.0,3.0,4
58,T59,T59,Tommy Armour III,82,71.43,5.0,7
59,T59,T59,Cameron Beckman,87,71.43,5.0,7
60,T59,T59,J.L. Lewis,98,71.43,5.0,7
61,T59,T59,Geoff Ogilvy,90,71.43,5.0,7
62,T59,T59,Esteban Toledo,106,71.43,5.0,7
63,64,64,Ben Crane,91,70.0,7.0,10
64,T65,T65,Notah Begay III,76,66.67,2.0,3
65,T65,T65,"David Berganio, Jr.",80,66.67,2.0,3
66,T65,T65,Mark Brooks,97,66.67,4.0,6
67,T65,T65,K.J. Choi,93,66.67,6.0,9
68,T65,T65,Robin Freeman,79,66.67,2.0,3
69,T65,T65,Matt Gogel,79,66.67,2.0,3
70,T65,T65,Paul Gow,99,66.67,2.0,3
71,T65,T65,Miguel Angel Jiménez,60,66.67,2.0,3
72,T65,T65,Steve Jones,71,66.67,2.0,3
73,T65,T65,Bernhard Langer,55,66.67,2.0,3
74,T65,T65,Michael Long,71,66.67,2.0,3
75,T65,T65,Davis Love III,92,66.67,4.0,6
76,T65,T65,Mark O'Meara,68,66.67,2.0,3
77,T65,T65,Corey Pavin,78,66.67,2.0,3
78,T65,T65,David Peoples,105,66.67,2.0,3
79,T65,T65,Pat Perez,89,66.67,4.0,6
80,T65,T65,Craig Perks,91,66.67,2.0,3
81,T65,T65,Rory Sabbatini,69,66.67,2.0,3
82,T65,T65,John Senden,96,66.67,2.0,3
83,T65,T65,Joey Sindelar,104,66.67,2.0,3
84,T65,T65,Jeff Sluman,118,66.67,4.0,6
85,T65,T65,Kevin Sutherland,96,66.67,2.0,3
86,T65,T65,Brian Watts,58,66.67,4.0,6
87,T88,T88,Billy Andrade,100,62.5,5.0,8
88,T88,T88,Glen Day,107,62.5,5.0,8
89,T90,T90,Pat Bates,94,60.0,3.0,5
90,T90,T90,Jim Carter,98,60.0,3.0,5
91,T90,T90,Tim Clark,76,60.0,3.0,5
92,T90,T90,Joe Durant,87,60.0,3.0,5
93,T90,T90,David Duval,78,60.0,3.0,5
94,T90,T90,Steve Flesch,110,60.0,6.0,10
95,T90,T90,Retief Goosen,56,60.0,3.0,5
96,T90,T90,Jay Haas,83,60.0,3.0,5
97,T90,T90,Jerry Kelly,99,60.0,3.0,5
98,T90,T90,Matt Kuchar,82,60.0,3.0,5
99,T90,T90,Steve Lowery,98,60.0,3.0,5
100,T90,T90,Rocco Mediate,79,60.0,3.0,5
101,T90,T90,Frank Nobilo,94,60.0,3.0,5
102,T90,T90,Lee Porter,91,60.0,3.0,5
103,T104,T104,Woody Austin,102,57.14,4.0,7
104,T104,T104,Frank Lickliter II,94,57.14,4.0,7
105,T106,T106,Michael Allen,76,50.0,1.0,2
106,T106,T106,Robert Allenby,96,50.0,2.0,4
107,T106,T106,Briny Baird,110,50.0,2.0,4
108,T106,T106,Craig Barlow,62,50.0,2.0,4
109,T106,T106,Olin Browne,107,50.0,4.0,8
110,T106,T106,Jonathan Byrd,96,50.0,1.0,2
111,T106,T106,Tom Byrum,77,50.0,1.0,2
112,T106,T106,Chad Campbell,111,50.0,3.0,6
113,T106,T106,Greg Chalmers,94,50.0,1.0,2
114,T106,T106,Michael Clark II,97,50.0,2.0,4
115,T106,T106,Robert Damron,85,50.0,2.0,4
116,T106,T106,Brad Faxon,93,50.0,1.0,2
117,T106,T106,Dan Forsman,83,50.0,3.0,6
118,T106,T106,Stephen Gangluff,75,50.0,1.0,2
119,T106,T106,Brian Gay,117,50.0,3.0,6
120,T106,T106,David Gossett,95,50.0,1.0,2
121,T106,T106,Jeff Gove,89,50.0,1.0,2
122,T106,T106,Brian Henninger,66,50.0,2.0,4
123,T106,T106,Tripp Isenhour,68,50.0,1.0,2
124,T106,T106,Per-Ulrik Johansson,87,50.0,1.0,2
125,T106,T106,Jonathan Kaye,83,50.0,1.0,2
126,T106,T106,Greg Kraft,86,50.0,2.0,4
127,T106,T106,Andrew Magee,91,50.0,2.0,4
128,T106,T106,Billy Mayfair,99,50.0,1.0,2
129,T106,T106,Michael Muehr,73,50.0,1.0,2
130,T106,T106,Deane Pappas,90,50.0,2.0,4
131,T106,T106,Carl Paulson,84,50.0,3.0,6
132,T106,T106,Nick Price,69,50.0,2.0,4
133,T106,T106,Loren Roberts,93,50.0,1.0,2
134,T106,T106,Heath Slocum,96,50.0,3.0,6
135,T106,T106,Hal Sutton,74,50.0,1.0,2
136,T106,T106,Kirk Triplett,84,50.0,3.0,6
137,T106,T106,Boo Weekley,57,50.0,2.0,4
138,T106,T106,Jay Williamson,91,50.0,2.0,4
139,T106,T106,Garrett Willis,80,50.0,2.0,4
140,T106,T106,Richard Zokol,53,50.0,1.0,2
141,142,142,Justin Leonard,97,44.44,4.0,9
142,T143,T143,Carlos Franco,107,42.86,3.0,7
143,T143,T143,Jeff Maggert,83,42.86,3.0,7
144,T145,T145,Tom Lehman,78,40.0,2.0,5
145,T145,T145,Rod Pampling,98,40.0,2.0,5
146,T145,T145,Kenny Perry,98,40.0,2.0,5
147,T145,T145,Hidemichi Tanaka,104,40.0,2.0,5
148,T145,T145,Tommy Tolles,64,40.0,2.0,5
149,T145,T145,Scott Verplank,93,40.0,2.0,5
150,T145,T145,Tiger Woods,69,40.0,2.0,5
151,T152,T152,Fulton Allem,64,33.33,2.0,6
152,T152,T152,Paul Azinger,69,33.33,1.0,3
153,T152,T152,Jay Don Blake,107,33.33,2.0,6
154,T152,T152,Bart Bryant,69,33.33,1.0,3
155,T152,T152,Fred Couples,64,33.33,1.0,3
156,T152,T152,Ernie Els,68,33.33,2.0,6
157,T152,T152,David Frost,90,33.33,1.0,3
158,T152,T152,Brent Geiberger,95,33.33,1.0,3
159,T152,T152,J.P. Hayes,78,33.33,1.0,3
160,T152,T152,Bradley Hughes,60,33.33,1.0,3
161,T152,T152,Neal Lancaster,101,33.33,1.0,3
162,T152,T152,Len Mattiace,106,33.33,1.0,3
163,T152,T152,Brett Quigley,93,33.33,1.0,3
164,T152,T152,Chris Riley,104,33.33,1.0,3
165,T152,T152,Vijay Singh,102,33.33,1.0,3
166,T152,T152,Bob Tway,103,33.33,1.0,3
167,T152,T152,Duffy Waldorf,90,33.33,1.0,3
168,169,169,David Toms,106,28.57,2.0,7
169,T170,T170,Russ Cochran,68,25.0,1.0,4
170,T170,T170,Scott Dunlap,74,25.0,1.0,4
171,T172,T172,Brian Bateman,94,20.0,1.0,5
172,T172,T172,Jeff Brehaut,87,20.0,1.0,5
173,T172,T172,Harrison Frazar,88,20.0,1.0,5
174,T172,T172,Bob Heintz,68,20.0,1.0,5
175,T172,T172,Peter Lonard,93,20.0,1.0,5
176,T172,T172,Matt Peterson,80,20.0,1.0,5
177,178,178,Tom Scherrer,98,16.67,1.0,6
178,T179,T179,Glen Hnatiuk,95,14.29,1.0,7
179,T179,T179,John Rollins,124,14.29,1.0,7
180,T181,T181,Rich Beem,99,0.0,,4
181,T181,T181,Brandel Chamblee,85,0.0,,3
182,T181,T181,Stewart Cink,92,0.0,,1
183,T181,T181,Brad Elder,76,0.0,,2
184,T181,T181,Edward Fryatt,94,0.0,,1
185,T181,T181,Robert Gamez,69,0.0,,2
186,T181,T181,Sergio Garcia,79,0.0,,3
187,T181,T181,Eduardo Herrera,59,0.0,,1
188,T181,T181,Charles Howell III,118,0.0,,3
189,T181,T181,Peter Jacobsen,67,0.0,,1
190,T181,T181,Brad Lardon,59,0.0,,1
191,T181,T181,Ian Leggatt,97,0.0,,2
192,T181,T181,Gary Nicklaus,66,0.0,,3
193,T181,T181,Brenden Pappas,62,0.0,,2
194,T181,T181,Steve Pate,64,0.0,,2
195,T181,T181,Dicky Pride,51,0.0,,1
