,Scrambling_from_the_Fringe_RANK THIS WEEK,Scrambling_from_the_Fringe_RANK LAST WEEK,Scrambling_from_the_Fringe_PLAYER NAME,Scrambling_from_the_Fringe_ROUNDS,Scrambling_from_the_Fringe_%,Scrambling_from_the_Fringe_SUCCESSES,Scrambling_from_the_Fringe_ATTEMPTS
0,1,1,Ernie Els,68,94.2,65,69
1,2,2,Steve Pate,64,93.67,74,79
2,3,3,Steve Stricker,68,92.96,66,71
3,4,4,Davis Love III,92,92.17,106,115
4,5,5,Tiger Woods,69,91.94,57,62
5,6,6,Nick Price,69,91.86,79,86
6,7,7,Brad Elder,76,91.18,93,102
7,8,8,Jay Haas,83,91.08,143,157
8,T9,T9,Retief Goosen,56,90.91,60,66
9,T9,T9,Joe Ogilvie,50,90.91,70,77
10,11,11,José María Olazábal,71,90.8,79,87
11,12,12,Justin Leonard,97,90.6,106,117
12,13,13,Joel Edwards,101,90.06,145,161
13,14,14,Scott Hoch,71,89.6,112,125
14,15,15,Kirk Triplett,84,89.57,103,115
15,16,16,Loren Roberts,93,89.55,120,134
16,17,17,Rod Pampling,98,89.47,136,152
17,18,18,Jay Williamson,91,89.35,151,169
18,19,19,Kevin Sutherland,96,89.19,99,111
19,20,20,Jerry Kelly,99,89.17,140,157
20,21,21,Bryce Molder,65,89.01,81,91
21,T22,T22,Brandel Chamblee,85,88.89,136,153
22,T22,T22,Harrison Frazar,88,88.89,96,108
23,24,24,Ian Leggatt,97,88.72,118,133
24,25,25,Olin Browne,107,88.54,170,192
25,26,26,Bernhard Langer,55,88.41,61,69
26,27,27,Mathew Goggin,64,88.35,91,103
27,28,28,Chris Riley,104,88.31,136,154
28,29,29,Russ Cochran,68,88.29,98,111
29,30,30,Lee Porter,91,88.28,128,145
30,31,31,Jim Carter,98,88.27,158,179
31,32,32,David Frost,90,88.11,126,143
32,33,33,Bob Tway,103,88.1,148,168
33,34,34,Fred Couples,64,88.03,103,117
34,35,35,Jesper Parnevik,85,87.91,80,91
35,36,36,Brad Faxon,93,87.85,94,107
36,37,37,Mike Sposa,111,87.78,158,180
37,38,38,Chris DiMarco,111,87.77,122,139
38,39,39,Cameron Beckman,87,87.68,121,138
39,40,40,Pat Perez,89,87.67,128,146
40,T41,T41,Stephen Gangluff,75,87.5,119,136
41,T41,T41,Scott McCarron,106,87.5,105,120
42,T43,T43,Jonathan Kaye,83,87.3,110,126
43,T43,T43,Michael Muehr,73,87.3,110,126
44,45,45,Phil Mickelson,97,87.29,103,118
45,46,46,Glen Hnatiuk,95,87.22,157,180
46,47,47,Bob Burns,99,87.13,149,171
47,48,48,Robert Damron,85,87.12,115,132
48,49,49,Andrew Magee,91,87.05,121,139
49,T50,T50,Franklin Langham,72,87.04,94,108
50,T50,T50,Tommy Tolles,64,87.04,94,108
51,52,52,David Peoples,105,87.01,134,154
52,53,53,Greg Kraft,86,86.99,127,146
53,54,54,Glen Day,107,86.93,153,176
54,55,55,Brandt Jobe,94,86.86,119,137
55,56,56,Esteban Toledo,106,86.78,151,174
56,T57,T57,Tom Byrum,77,86.67,104,120
57,T57,T57,Ben Crane,91,86.67,143,165
58,T57,T57,Grant Waite,98,86.67,143,165
59,60,60,Brian Gay,117,86.6,168,194
60,61,61,Bart Bryant,69,86.54,90,104
61,T62,T62,Skip Kendall,103,86.47,147,170
62,T62,T62,Billy Mayfair,99,86.47,115,133
63,64,64,Paul Azinger,69,86.42,70,81
64,65,65,Stewart Cink,92,86.36,95,110
65,66,66,Heath Slocum,96,86.33,120,139
66,67,67,Jeff Gove,89,86.23,119,138
67,T68,T68,Matt Kuchar,82,86.21,100,116
68,T68,T68,Scott Verplank,93,86.21,100,116
69,70,70,Garrett Willis,80,86.09,99,115
70,71,71,Dicky Pride,51,86.08,68,79
71,72,72,Stephen Ames,89,85.89,140,163
72,73,73,Matt Gogel,79,85.83,103,120
73,74,74,Dan Forsman,83,85.82,115,134
74,75,75,Matt Peterson,80,85.61,119,139
75,T76,T76,Jim Furyk,88,85.59,101,118
76,T76,T76,John Riegger,88,85.59,101,118
77,78,78,Jay Don Blake,107,85.57,166,194
78,79,79,Jess Daley,76,85.47,100,117
79,80,80,Pat Bates,94,85.44,135,158
80,81,81,Mark Brooks,97,85.38,146,171
81,82,82,Charles Howell III,118,85.37,140,164
82,83,83,Paul Claxton,83,85.29,116,136
83,T84,T84,Shigeki Maruyama,87,85.25,104,122
84,T84,T84,Vijay Singh,102,85.25,104,122
85,86,86,Sergio Garcia,79,85.23,75,88
86,87,87,Chad Campbell,111,85.21,144,169
87,88,88,Frank Nobilo,94,85.19,138,162
88,89,89,Billy Andrade,100,85.14,126,148
89,90,90,Per-Ulrik Johansson,87,85.06,131,154
90,91,91,Bob Heintz,68,85.05,91,107
91,92,92,Rocco Mediate,79,84.95,79,93
92,93,93,J.P. Hayes,78,84.8,106,125
93,94,94,David Toms,106,84.77,128,151
94,T95,T95,David Duval,78,84.62,88,104
95,T95,T95,Rory Sabbatini,69,84.62,77,91
96,97,97,Paul Goydos,66,84.55,93,110
97,98,98,Jerry Smith,91,84.52,142,168
98,99,99,David Gossett,95,84.51,120,142
99,100,100,Tim Herron,102,84.46,125,148
100,101,101,John Cook,85,84.38,81,96
101,102,102,Jeff Sluman,118,84.32,156,185
102,103,103,Peter Lonard,93,84.29,118,140
103,104,104,Neal Lancaster,101,84.18,133,158
104,105,105,Kent Jones,105,84.15,138,164
105,106,106,John Huston,99,84.11,127,151
106,T107,T107,Brent Geiberger,95,84.03,121,144
107,T107,T107,J.L. Lewis,98,84.03,121,144
108,T107,T107,Joey Sindelar,104,84.03,121,144
109,110,110,Duffy Waldorf,90,83.92,120,143
110,111,111,Bob May,91,83.9,99,118
111,T112,T112,Brian Bateman,94,83.87,130,155
112,T112,T112,Corey Pavin,78,83.87,104,124
113,114,114,Mark O'Meara,68,83.84,83,99
114,115,115,Spike McRoy,69,83.81,88,105
115,116,116,Chris Smith,103,83.78,124,148
116,T117,T117,Steve Allan,93,83.67,123,147
117,T117,T117,Tripp Isenhour,68,83.67,82,98
118,119,119,Joe Durant,87,83.61,102,122
119,120,120,Tim Petrovic,92,83.57,117,140
120,121,121,Briny Baird,110,83.53,142,170
121,122,122,Brian Watts,58,83.52,76,91
122,123,123,Bob Estes,93,83.5,86,103
123,124,124,Tom Pernice Jr.,101,83.44,131,157
124,125,125,Tom Scherrer,98,83.23,129,155
125,126,126,Deane Pappas,90,83.2,104,125
126,127,127,Michael Long,71,83.19,94,113
127,128,128,Mike Hulbert,55,83.18,89,107
