,First_Tee_Early_Round_4_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Round_4_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Round_4_Scoring_Average_PLAYER NAME,First_Tee_Early_Round_4_Scoring_Average_AVG,First_Tee_Early_Round_4_Scoring_Average_TOTAL STROKES,First_Tee_Early_Round_4_Scoring_Average_TOTAL ROUNDS
0,1,1,Retief Goosen,67.0,67,1
1,2,2,Stephen Ames,67.33,202,3
2,3,3,Arjun Atwal,68.33,410,6
3,4,4,Darren Clarke,68.5,137,2
4,5,5,Olin Browne,68.67,412,6
5,6,6,David Frost,68.75,275,4
6,7,7,Jesper Parnevik,68.8,344,5
7,T8,T8,Brian Gay,69.0,276,4
8,T8,T8,Phil Mickelson,69.0,207,3
9,T8,T8,John Riegger,69.0,69,1
10,11,11,Craig Bowden,69.33,208,3
11,12,12,Ted Purdy,69.4,347,5
12,T13,T13,Jonathan Byrd,69.5,139,2
13,T13,T13,Craig Perks,69.5,417,6
14,T15,T15,Stewart Cink,69.67,418,6
15,T15,T15,David Toms,69.67,418,6
16,T15,T15,Duffy Waldorf,69.67,209,3
17,18,18,Tommy Armour III,69.71,488,7
18,19,19,John Cook,69.75,279,4
19,20,20,Tom Byrum,69.86,489,7
20,21,21,Brian Bateman,69.88,559,8
21,22,22,John Senden,69.9,699,10
22,T23,T23,Rich Barcelo,70.0,280,4
23,T23,T23,Bart Bryant,70.0,560,8
24,T23,T23,Luke Donald,70.0,280,4
25,T23,T23,Matt Gogel,70.0,350,5
26,T23,T23,Tim Herron,70.0,350,5
27,T23,T23,Corey Pavin,70.0,350,5
28,T23,T23,Kenny Perry,70.0,420,6
29,30,30,J.J. Henry,70.14,491,7
30,31,31,Cameron Beckman,70.17,421,6
31,32,32,Tom Lehman,70.2,351,5
32,33,33,Joe Durant,70.22,632,9
33,34,34,Dudley Hart,70.25,281,4
34,35,35,Shaun Micheel,70.27,773,11
35,36,36,Fred Funk,70.29,492,7
36,37,37,Rod Pampling,70.3,703,10
37,38,38,Justin Rose,70.38,563,8
38,39,39,Robert Allenby,70.44,634,9
39,T40,T40,Steve Elkington,70.5,282,4
40,T40,T40,Sergio Garcia,70.5,282,4
41,T40,T40,Kent Jones,70.5,705,10
42,T40,T40,Tommy Tolles,70.5,282,4
43,44,44,Jeff Sluman,70.56,635,9
44,45,45,Steve Lowery,70.57,494,7
45,46,46,Tag Ridings,70.6,353,5
46,T47,T47,Pat Bates,70.67,636,9
47,T47,T47,Deane Pappas,70.67,212,3
48,49,49,Lee Janzen,70.71,495,7
49,T50,T50,Ben Crane,70.75,566,8
50,T50,T50,Ryan Palmer,70.75,566,8
51,T50,T50,Loren Roberts,70.75,566,8
52,53,53,Richard Johnson,70.78,637,9
53,T54,T54,Dan Forsman,70.8,354,5
54,T54,T54,Vijay Singh,70.8,354,5
55,T56,T56,Geoff Ogilvy,70.83,425,6
56,T56,T56,Steve Stricker,70.83,425,6
57,58,58,Brad Faxon,70.9,709,10
58,59,59,Chris DiMarco,70.91,780,11
59,T60,T60,Notah Begay III,71.0,426,6
60,T60,T60,Brent Geiberger,71.0,497,7
61,T60,T60,Charles Howell III,71.0,426,6
62,T60,T60,Davis Love III,71.0,284,4
63,T60,T60,Kevin Muncrief,71.0,142,2
64,T60,T60,Kevin Na,71.0,71,1
65,T60,T60,Tom Pernice Jr.,71.0,284,4
66,T60,T60,Chris Smith,71.0,639,9
67,T60,T60,Tiger Woods,71.0,213,3
68,69,69,Shigeki Maruyama,71.11,640,9
69,70,70,Lucas Glover,71.13,569,8
70,T71,T71,D.J. Brigman,71.14,498,7
71,T71,T71,Carl Pettersson,71.14,498,7
72,T71,T71,Heath Slocum,71.14,498,7
73,T74,T74,Jason Bohn,71.2,712,10
74,T74,T74,Peter Lonard,71.2,356,5
75,T74,T74,Nick Price,71.2,356,5
76,77,77,Scott Verplank,71.25,285,4
77,T78,T78,Bob Estes,71.29,499,7
78,T78,T78,Bo Van Pelt,71.29,499,7
79,T78,T78,Mark Wilson,71.29,499,7
80,T81,T81,Greg Chalmers,71.33,214,3
81,T81,T81,Russ Cochran,71.33,214,3
82,T81,T81,Esteban Toledo,71.33,428,6
83,84,84,Brenden Pappas,71.36,785,11
84,85,85,Spike McRoy,71.38,571,8
85,86,86,Tim Petrovic,71.4,714,10
86,T87,T87,Tim Clark,71.5,429,6
87,T87,T87,Steve Pate,71.5,429,6
88,T87,T87,Dean Wilson,71.5,286,4
89,T90,T90,Danny Briggs,71.57,501,7
90,T90,T90,David Peoples,71.57,501,7
91,T92,T92,Mike Heinen,71.6,358,5
92,T92,T92,David Morland IV,71.6,358,5
93,T94,T94,Jeff Brehaut,71.67,645,9
94,T94,T94,Mark Brooks,71.67,215,3
95,T94,T94,Tripp Isenhour,71.67,215,3
96,T94,T94,Vaughn Taylor,71.67,430,6
97,T98,T98,Billy Andrade,71.7,717,10
98,T98,T98,Justin Leonard,71.7,717,10
99,100,100,Joey Sindelar,71.71,502,7
100,T101,T101,Hunter Mahan,71.75,574,8
101,T101,T101,Omar Uresti,71.75,574,8
102,103,103,Steve Flesch,71.8,718,10
103,T104,T104,Bob Burns,71.86,503,7
104,T104,T104,Jay Williamson,71.86,503,7
105,T106,T106,J.L. Lewis,71.89,647,9
106,T106,T106,John Rollins,71.89,647,9
107,T108,T108,Michael Allen,72.0,648,9
108,T108,T108,Stuart Appleby,72.0,432,6
109,T108,T108,Woody Austin,72.0,648,9
110,T108,T108,Paul Azinger,72.0,432,6
111,T108,T108,Ben Curtis,72.0,216,3
112,T108,T108,Ernie Els,72.0,144,2
113,T108,T108,Todd Fischer,72.0,648,9
114,T108,T108,Harrison Frazar,72.0,432,6
115,T108,T108,Jay Haas,72.0,360,5
116,T108,T108,Freddie Jacobson,72.0,144,2
117,T108,T108,Andre Stolz,72.0,216,3
118,119,119,Todd Hamilton,72.1,721,10
119,T120,T120,Steve Allan,72.14,505,7
120,T120,T120,Niclas Fasth,72.14,505,7
121,T122,T122,David Branshaw,72.17,433,6
122,T122,T122,Chad Campbell,72.17,433,6
123,T122,T122,Dan Olsen,72.17,433,6
124,T122,T122,Roland Thatcher,72.17,433,6
125,126,126,Carlos Franco,72.18,794,11
126,T127,T127,Brett Quigley,72.2,361,5
127,T127,T127,Scott Simpson,72.2,361,5
128,129,129,Rory Sabbatini,72.22,650,9
129,130,130,Patrick Sheehan,72.25,867,12
130,131,131,Glen Day,72.27,795,11
131,132,132,Cliff Kresge,72.29,506,7
132,133,133,Robert Gamez,72.3,723,10
133,134,134,J.P. Hayes,72.33,434,6
134,135,135,Briny Baird,72.43,507,7
135,136,136,John Daly,72.44,652,9
136,T137,T137,Craig Barlow,72.5,145,2
137,T137,T137,Jason Dufner,72.5,290,4
138,T137,T137,Mark Hensby,72.5,290,4
139,T137,T137,Neal Lancaster,72.5,580,8
140,T137,T137,Blaine McCallister,72.5,290,4
141,T137,T137,Adam Scott,72.5,290,4
142,143,143,Pat Perez,72.57,508,7
143,144,144,Stephen Leaney,72.6,363,5
144,T145,T145,Scott Hoch,72.75,291,4
145,T145,T145,Zach Johnson,72.75,291,4
146,T145,T145,Rocco Mediate,72.75,291,4
147,T145,T145,Kevin Sutherland,72.75,582,8
148,T149,T149,K.J. Choi,72.8,364,5
149,T149,T149,Jay Delsing,72.8,364,5
150,T149,T149,Hank Kuehne,72.8,364,5
151,T152,T152,Dicky Pride,72.83,437,6
152,T152,T152,Mike Weir,72.83,437,6
153,T154,T154,Tom Carter,72.88,583,8
154,T154,T154,Daniel Chopra,72.88,583,8
155,T154,T154,Danny Ellis,72.88,583,8
156,T154,T154,Arron Oberholser,72.88,583,8
157,T154,T154,Joe Ogilvie,72.88,583,8
158,T159,T159,Mathias Grönberg,73.0,511,7
159,T159,T159,Jerry Kelly,73.0,438,6
160,T159,T159,Len Mattiace,73.0,584,8
161,162,162,Roger Tambellini,73.25,293,4
162,163,163,Billy Mayfair,73.29,1246,17
163,164,164,Aaron Baddeley,73.33,660,9
164,165,165,Skip Kendall,73.44,661,9
165,T166,T166,José Coceres,73.6,368,5
166,T166,T166,Bob Tway,73.6,736,10
167,168,168,Frank Lickliter II,73.71,516,7
168,169,169,John Huston,73.75,295,4
169,170,170,Guy Boros,73.8,369,5
170,T171,T171,Rich Beem,73.88,591,8
171,T171,T171,Robert Damron,73.88,591,8
172,T173,T173,Mark Calcavecchia,74.0,518,7
173,T173,T173,Scott McCarron,74.0,444,6
174,T173,T173,Dennis Paulson,74.0,222,3
175,176,176,Grant Waite,74.2,371,5
176,177,177,Mark O'Meara,74.25,297,4
177,178,178,Bernhard Langer,74.29,520,7
178,T179,T179,Kris Cox,74.33,223,3
179,T179,T179,José María Olazábal,74.33,223,3
180,T181,T181,Jeff Maggert,74.5,298,4
181,T181,T181,Gene Sauers,74.5,447,6
182,183,183,Brian Kortan,74.6,373,5
183,184,184,Scott Hend,74.8,374,5
184,T185,T185,Fred Couples,75.0,75,1
185,T185,T185,Kirk Triplett,75.0,75,1
186,187,187,Hidemichi Tanaka,75.25,602,8
187,188,188,Ken Duke,75.29,527,7
188,T189,T189,David Gossett,76.0,76,1
189,T189,T189,Jonathan Kaye,76.0,380,5
190,T189,T189,Hirofumi Miyase,76.0,228,3
191,192,192,Matt Kuchar,76.33,229,3
192,193,193,Craig Parry,76.5,459,6
193,194,194,Alex Cejka,77.5,310,4
194,195,195,Chris Riley,78.0,78,1
195,196,196,Chris Couch,79.5,159,2
