,Tenth_Tee_Early_Round_2_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Round_2_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Round_2_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Round_2_Scoring_Average_AVG,Tenth_Tee_Early_Round_2_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Round_2_Scoring_Average_TOTAL ROUNDS
0,1,1,Retief Goosen,66.75,267,4
1,2,2,Mike Weir,67.0,134,2
2,3,3,Shigeki Maruyama,67.6,338,5
3,4,4,Ben Crane,67.67,203,3
4,5,5,Tim Herron,67.8,339,5
5,6,6,Davis Love III,68.0,204,3
6,7,7,Chris DiMarco,68.2,341,5
7,8,8,Notah Begay III,68.33,410,6
8,T9,T9,Cameron Beckman,68.5,274,4
9,T9,T9,Loren Roberts,68.5,274,4
10,T11,T11,Jason Bohn,68.6,343,5
11,T11,T11,John Rollins,68.6,343,5
12,T13,T13,Tommy Armour III,68.67,206,3
13,T13,T13,Scott Hoch,68.67,206,3
14,T15,T15,Mark Calcavecchia,68.75,275,4
15,T15,T15,Patrick Sheehan,68.75,550,8
16,T17,T17,Olin Browne,68.83,413,6
17,T17,T17,Joe Ogilvie,68.83,413,6
18,T19,T19,Glen Day,69.0,276,4
19,T19,T19,Harrison Frazar,69.0,345,5
20,T19,T19,Sergio Garcia,69.0,138,2
21,T19,T19,John Huston,69.0,138,2
22,T19,T19,Rocco Mediate,69.0,345,5
23,T19,T19,Chris Riley,69.0,138,2
24,25,25,Scott Verplank,69.22,623,9
25,T26,T26,David Peoples,69.25,554,8
26,T26,T26,Steve Stricker,69.25,277,4
27,T28,T28,Shaun Micheel,69.33,416,6
28,T28,T28,Adam Scott,69.33,208,3
29,T28,T28,Kirk Triplett,69.33,208,3
30,31,31,Daniel Chopra,69.38,555,8
31,T32,T32,Tom Carter,69.43,486,7
32,T32,T32,Vaughn Taylor,69.43,486,7
33,T34,T34,Stephen Ames,69.5,556,8
34,T34,T34,Chad Campbell,69.5,278,4
35,T34,T34,Tiger Woods,69.5,139,2
36,37,37,Omar Uresti,69.56,626,9
37,38,38,Robert Allenby,69.57,487,7
38,T39,T39,Michael Allen,69.6,348,5
39,T39,T39,Billy Andrade,69.6,348,5
