,Round_1_Scoring_Average_RANK THIS WEEK,Round_1_Scoring_Average_RANK LAST WEEK,Round_1_Scoring_Average_PLAYER NAME,Round_1_Scoring_Average_AVG,Round_1_Scoring_Average_TOTAL STROKES,Round_1_Scoring_Average_TOTAL ROUNDS
0,1,1,Vijay Singh,68.79,1926,28
1,2,2,Kirk Triplett,69.09,1589,23
2,3,3,Loren Roberts,69.43,1458,21
3,T4,T4,Jay Haas,69.48,1459,21
4,T4,T4,Scott Verplank,69.48,1598,23
5,6,6,Jesper Parnevik,69.5,1668,24
6,7,7,Ernie Els,69.53,1043,15
7,8,8,Tom Lehman,69.61,1253,18
8,9,9,Zach Johnson,69.62,2019,29
9,10,10,Carlos Franco,69.65,1811,26
10,11,11,Phil Mickelson,69.67,1463,21
11,12,12,Corey Pavin,69.91,1538,22
12,13,13,Jeff Sluman,69.93,1888,27
13,14,14,Chris Riley,70.0,1470,21
14,15,15,Jerry Kelly,70.07,1962,28
15,16,16,Carl Pettersson,70.11,1893,27
16,17,17,Robert Allenby,70.13,1683,24
17,18,18,Tiger Woods,70.22,1264,18
18,T19,T19,Chris DiMarco,70.24,1756,25
19,T19,T19,Deane Pappas,70.24,1475,21
20,21,21,Stuart Appleby,70.26,1616,23
21,22,22,Jonathan Byrd,70.27,1827,26
22,23,23,Patrick Sheehan,70.31,2250,32
23,T24,T24,Tim Clark,70.38,1830,26
24,T24,T24,José María Olazábal,70.38,1126,16
25,T24,T24,Dennis Paulson,70.38,1478,21
26,27,27,Charles Howell III,70.39,1971,28
27,28,28,Darren Clarke,70.4,1056,15
28,29,29,Duffy Waldorf,70.43,1620,23
29,30,30,Bo Van Pelt,70.45,2043,29
30,T31,T31,Harrison Frazar,70.46,1691,24
31,T31,T31,Vaughn Taylor,70.46,1832,26
32,33,33,Retief Goosen,70.47,1057,15
33,T34,T34,Luke Donald,70.48,1480,21
34,T34,T34,Robert Gamez,70.48,2185,31
35,T34,T34,Skip Kendall,70.48,2044,29
36,T34,T34,Justin Leonard,70.48,1621,23
37,T34,T34,Shigeki Maruyama,70.48,1762,25
38,T34,T34,Tim Petrovic,70.48,2185,31
39,T40,T40,J.J. Henry,70.5,2115,30
40,T40,T40,Justin Rose,70.5,1410,20
41,42,42,Daniel Chopra,70.56,2258,32
42,T43,T43,K.J. Choi,70.57,1623,23
43,T43,T43,Tom Pernice Jr.,70.57,2117,30
44,T45,T45,Stephen Ames,70.58,1835,26
45,T45,T45,Stewart Cink,70.58,1835,26
46,T47,T47,Kent Jones,70.61,2189,31
47,T47,T47,J.L. Lewis,70.61,2189,31
48,T47,T47,Brenden Pappas,70.61,2330,33
49,50,50,Hidemichi Tanaka,70.63,1907,27
50,51,51,John Daly,70.64,1554,22
51,52,52,Freddie Jacobson,70.65,1625,23
52,53,53,Olin Browne,70.66,2049,29
53,T54,T54,Craig Barlow,70.67,1696,24
54,T54,T54,Scott Simpson,70.67,1272,18
55,T54,T54,Mike Weir,70.67,1484,21
56,T57,T57,Briny Baird,70.68,1979,28
57,T57,T57,Kenny Perry,70.68,1555,22
58,59,59,Scott McCarron,70.69,1838,26
59,60,60,Sergio Garcia,70.71,1202,17
60,T61,T61,Geoff Ogilvy,70.72,1768,25
61,T61,T61,Kevin Sutherland,70.72,1768,25
62,63,63,Adam Scott,70.73,1061,15
63,T64,T64,Todd Fischer,70.75,2264,32
64,T64,T64,Mark Hensby,70.75,1981,28
65,T64,T64,Bob Tway,70.75,1698,24
66,67,67,Cameron Beckman,70.76,2052,29
67,68,68,Bart Bryant,70.77,1557,22
68,69,69,José Coceres,70.79,1345,19
69,70,70,Danny Ellis,70.8,1770,25
70,T71,T71,Aaron Baddeley,70.81,1841,26
71,T71,T71,Ben Crane,70.81,1912,27
72,73,73,John Huston,70.83,1275,18
73,74,74,Rod Pampling,70.84,1771,25
74,T75,T75,Danny Briggs,70.85,1913,27
75,T75,T75,Ted Purdy,70.85,2409,34
76,T77,T77,Greg Chalmers,70.86,1559,22
77,T77,T77,Brent Geiberger,70.86,2055,29
78,79,79,Brett Quigley,70.87,2126,30
79,80,80,David Peoples,70.88,1772,25
80,T81,T81,Jason Bohn,70.89,1985,28
81,T81,T81,John Senden,70.89,1914,27
82,T83,T83,Dudley Hart,70.9,1489,21
83,T83,T83,Jeff Maggert,70.9,1418,20
84,85,85,Roland Thatcher,70.91,1631,23
85,T86,T86,Billy Mayfair,70.94,2199,31
86,T86,T86,Mark O'Meara,70.94,1206,17
87,T88,T88,Mark Calcavecchia,70.96,1632,23
88,T88,T88,Chad Campbell,70.96,1845,26
89,90,90,David Branshaw,70.97,2058,29
90,T91,T91,Steve Allan,71.0,2272,32
91,T91,T91,Russ Cochran,71.0,1562,22
92,T91,T91,Rory Sabbatini,71.0,1775,25
93,T91,T91,Joey Sindelar,71.0,2130,30
94,95,95,Joe Durant,71.04,1847,26
95,T96,T96,Brian Gay,71.06,2203,31
96,T96,T96,Jay Williamson,71.06,2274,32
97,98,98,Shaun Micheel,71.08,1848,26
98,99,99,Chris Smith,71.09,2346,33
99,100,100,Mark Wilson,71.11,1351,19
100,101,101,Jay Delsing,71.12,1778,25
101,T102,T102,Bob Burns,71.14,2063,29
102,T102,T102,Nick Price,71.14,996,14
103,T102,T102,David Toms,71.14,1565,22
104,T105,T105,Brian Bateman,71.17,1637,23
105,T105,T105,Ben Curtis,71.17,1281,18
106,T105,T105,Steve Flesch,71.17,2064,29
107,108,108,Frank Lickliter II,71.19,1851,26
108,109,109,Heath Slocum,71.2,2136,30
109,110,110,Fred Funk,71.21,1994,28
110,111,111,Richard Johnson,71.22,2279,32
111,112,112,Woody Austin,71.24,2066,29
112,T113,T113,Jason Dufner,71.25,1995,28
113,T113,T113,Lee Janzen,71.25,1710,24
114,T115,T115,Steve Elkington,71.26,1354,19
115,T115,T115,Joe Ogilvie,71.26,2209,31
116,117,117,Hank Kuehne,71.28,2067,29
117,T118,T118,Robert Damron,71.29,1996,28
118,T118,T118,Neal Lancaster,71.29,2210,31
119,T120,T120,Rich Beem,71.31,1854,26
120,T120,T120,D.J. Brigman,71.31,1854,26
121,T122,T122,Billy Andrade,71.32,2211,31
122,T122,T122,Bob Estes,71.32,1569,22
123,T122,T122,Tommy Tolles,71.32,1783,25
124,T125,T125,Matt Gogel,71.33,1712,24
125,T125,T125,Roger Tambellini,71.33,1926,27
126,127,127,Arron Oberholser,71.36,1570,22
127,128,128,Kevin Na,71.37,2141,30
128,129,129,Glen Day,71.38,2284,32
129,T130,T130,Blaine McCallister,71.41,1928,27
130,T130,T130,Ryan Palmer,71.41,2285,32
131,T130,T130,John Riegger,71.41,1214,17
132,T133,T133,Todd Hamilton,71.42,1857,26
133,T133,T133,Pat Perez,71.42,2214,31
134,T133,T133,Dean Wilson,71.42,2357,33
135,136,136,Brad Faxon,71.46,1858,26
136,137,137,Fred Couples,71.47,1072,15
137,138,138,Matt Kuchar,71.5,2002,28
138,T139,T139,Jeff Brehaut,71.52,2360,33
139,T139,T139,Jonathan Kaye,71.52,1645,23
140,141,141,Alex Cejka,71.55,1574,22
141,T142,T142,Kris Cox,71.56,1789,25
142,T142,T142,Scott Hoch,71.56,1145,16
143,144,144,Steve Stricker,71.58,1861,26
144,145,145,Tag Ridings,71.59,1217,17
145,146,146,Craig Bowden,71.6,2148,30
146,147,147,Omar Uresti,71.61,2005,28
147,148,148,J.P. Hayes,71.62,1862,26
148,149,149,Dan Forsman,71.63,1934,27
149,150,150,Bernhard Langer,71.64,1003,14
150,151,151,Mathias Grönberg,71.65,2221,31
151,152,152,Ken Duke,71.69,2079,29
152,153,153,John Cook,71.72,1291,18
153,T154,T154,Michael Allen,71.74,1937,27
154,T154,T154,Tommy Armour III,71.74,1937,27
155,156,156,Scott Hend,71.75,2009,28
156,157,157,Notah Begay III,71.77,1579,22
157,158,158,Steve Pate,71.83,1652,23
158,159,159,Pat Bates,71.84,2227,31
159,T160,T160,Rich Barcelo,71.88,1797,25
160,T160,T160,Tom Carter,71.88,2444,34
161,162,162,Tom Byrum,71.92,1798,25
162,T163,T163,Mike Heinen,72.0,1224,17
163,T163,T163,Peter Lonard,72.0,1584,22
164,165,165,Lucas Glover,72.03,2089,29
165,T166,T166,Paul Azinger,72.04,1657,23
166,T166,T166,Brian Kortan,72.04,1657,23
167,T168,T168,Cliff Kresge,72.06,2306,32
168,T168,T168,Spike McRoy,72.06,2306,32
169,170,170,Hunter Mahan,72.1,2163,30
170,171,171,Craig Perks,72.12,1875,26
171,172,172,John Rollins,72.19,1949,27
172,173,173,Gene Sauers,72.21,2094,29
173,174,174,Dicky Pride,72.23,1589,22
174,175,175,Stephen Leaney,72.27,1590,22
175,176,176,Niclas Fasth,72.29,1518,21
176,177,177,Arjun Atwal,72.31,2097,29
177,178,178,Tim Herron,72.32,1808,25
178,T179,T179,Davis Love III,72.33,1519,21
179,T179,T179,Steve Lowery,72.33,1953,27
180,181,181,Hirofumi Miyase,72.38,1882,26
181,182,182,Rocco Mediate,72.47,1232,17
182,183,183,Len Mattiace,72.48,1812,25
183,184,184,Esteban Toledo,72.49,2537,35
184,185,185,Tripp Isenhour,72.5,1450,20
185,186,186,Guy Boros,72.54,1741,24
186,187,187,Dan Olsen,72.59,2105,29
187,188,188,David Frost,72.65,1889,26
188,189,189,Mark Brooks,72.67,2180,30
189,190,190,Grant Waite,72.7,1963,27
190,191,191,Craig Parry,72.73,1091,15
191,192,192,David Morland IV,72.74,1964,27
192,193,193,Kevin Muncrief,72.76,1528,21
193,194,194,Andre Stolz,72.9,1458,20
194,195,195,Chris Couch,74.04,1777,24
195,196,196,David Gossett,75.4,1885,25
