,Final_Round_Performance_RANK THIS WEEK,Final_Round_Performance_RANK LAST WEEK,Final_Round_Performance_PLAYER NAME,Final_Round_Performance_EVENTS,Final_Round_Performance_%
0,1,1,Arjun Atwal,30,83.33
1,2,2,Vijay Singh,29,81.48
2,T3,T3,Ernie Els,16,80.0
3,T3,T3,David Toms,24,80.0
4,5,5,Tiger Woods,19,77.78
5,6,6,Bo Van Pelt,30,77.27
6,T7,T7,Joe Durant,26,75.0
7,T7,T7,Retief Goosen,16,75.0
8,T7,T7,Mathias Grönberg,32,75.0
9,T7,T7,Tag Ridings,18,75.0
10,T7,T7,Steve Stricker,27,75.0
11,12,12,Stewart Cink,28,73.91
12,13,13,Jerry Kelly,29,73.08
13,T14,T14,David Branshaw,30,72.73
14,T14,T14,Steve Elkington,20,72.73
15,T14,T14,Scott Hend,29,72.73
16,T14,T14,Nick Price,15,72.73
17,T14,T14,Adam Scott,16,72.73
18,19,19,Shigeki Maruyama,26,71.43
19,20,20,Ryan Palmer,33,70.59
20,21,21,Scott Hoch,17,70.0
21,22,22,Bob Estes,23,69.23
22,23,23,Kenny Perry,23,68.75
23,T24,T24,Brad Faxon,28,68.42
24,T24,T24,Mark Hensby,29,68.42
25,T24,T24,Shaun Micheel,27,68.42
26,T27,T27,Stephen Ames,27,66.67
27,T27,T27,J.J. Henry,30,66.67
28,T27,T27,Charles Howell III,30,66.67
29,T27,T27,Jesper Parnevik,24,66.67
30,T27,T27,Carl Pettersson,28,66.67
31,T27,T27,Dicky Pride,23,66.67
32,T27,T27,Rory Sabbatini,26,66.67
33,T27,T27,Roland Thatcher,23,66.67
34,T35,T35,Robert Allenby,26,65.0
35,T35,T35,Neal Lancaster,33,65.0
36,T37,T37,Stuart Appleby,25,64.71
37,T37,T37,John Daly,22,64.71
38,39,39,Heath Slocum,31,64.29
39,T40,T40,Fred Couples,16,63.64
40,T40,T40,Jason Dufner,28,63.64
41,T40,T40,Peter Lonard,23,63.64
42,T43,T43,Rich Barcelo,26,62.5
43,T43,T43,John Rollins,29,62.5
44,T45,T45,Chad Campbell,28,61.9
45,T45,T45,J.L. Lewis,32,61.9
46,T45,T45,Jeff Sluman,28,61.9
47,T48,T48,Bart Bryant,23,61.54
48,T48,T48,Spike McRoy,33,61.54
49,T50,T50,Phil Mickelson,22,61.11
50,T50,T50,Chris Smith,33,61.11
51,52,52,Tim Petrovic,32,60.87
52,T53,T53,Tommy Armour III,28,60.0
53,T53,T53,Luke Donald,21,60.0
54,T53,T53,Tim Herron,26,60.0
55,T53,T53,Justin Leonard,25,60.0
56,T53,T53,Craig Perks,27,60.0
57,T53,T53,Chris Riley,23,60.0
58,T53,T53,Grant Waite,29,60.0
59,T53,T53,Duffy Waldorf,26,60.0
60,T53,T53,Mike Weir,22,60.0
61,62,62,Scott Verplank,24,59.09
62,T63,T63,Tom Byrum,25,58.82
63,T63,T63,Lucas Glover,30,58.82
64,T63,T63,Frank Lickliter II,27,58.82
65,T63,T63,Davis Love III,24,58.82
66,67,67,Notah Begay III,23,58.33
67,68,68,Fred Funk,29,57.89
68,T69,T69,Craig Barlow,25,57.14
69,T69,T69,Tripp Isenhour,22,57.14
70,T69,T69,Brian Kortan,24,57.14
71,T69,T69,Omar Uresti,28,57.14
72,73,73,Carlos Franco,27,56.52
73,T74,T74,Pat Bates,32,56.25
74,T74,T74,Hunter Mahan,30,56.25
75,T74,T74,Arron Oberholser,23,56.25
76,T74,T74,Kevin Sutherland,27,56.25
77,T78,T78,Woody Austin,29,55.56
78,T78,T78,Brian Bateman,24,55.56
79,T78,T78,K.J. Choi,24,55.56
80,T78,T78,Darren Clarke,16,55.56
81,T78,T78,Todd Fischer,33,55.56
82,T78,T78,John Huston,20,55.56
83,T78,T78,Richard Johnson,32,55.56
84,T78,T78,Loren Roberts,22,55.56
85,T78,T78,Hidemichi Tanaka,27,55.56
86,87,87,Brenden Pappas,34,55.0
87,T88,T88,D.J. Brigman,27,54.55
88,T88,T88,Ted Purdy,35,54.55
89,90,90,Zach Johnson,30,54.17
90,91,91,Bob Burns,30,53.85
91,T92,T92,Michael Allen,28,53.33
