,Tenth_Tee_Early_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Scoring_Average_ROUNDS,Tenth_Tee_Early_Scoring_Average_AVG,Tenth_Tee_Early_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Scoring_Average_TOTAL 10TH TEE EARLY RDS.
117,T118,T118,Greg Chalmers,70,71.15,1423,20
118,T118,T118,Dean Wilson,99,71.15,1423,20
119,120,120,Ryan Palmer,103,71.16,1352,19
120,121,121,Kevin Na,100,71.19,1139,16
121,T122,T122,Bob Estes,73,71.2,1068,15
122,T122,T122,Skip Kendall,99,71.2,1068,15
123,124,124,Brian Bateman,84,71.22,1282,18
124,125,125,Deane Pappas,72,71.23,926,13
125,126,126,Spike McRoy,93,71.24,1211,17
126,127,127,John Huston,62,71.25,285,4
127,128,128,Jay Delsing,76,71.27,1069,15
128,129,129,Tom Carter,113,71.32,1569,22
129,T130,T130,Mathias Grönberg,91,71.33,1284,18
130,T130,T130,Geoff Ogilvy,91,71.33,642,9
131,T130,T130,Heath Slocum,92,71.33,1284,18
132,133,133,Brian Kortan,65,71.35,1213,17
133,134,134,Pat Perez,102,71.36,999,14
134,T135,T135,Carlos Franco,99,71.37,1356,19
135,T135,T135,Steve Pate,71,71.37,1356,19
136,137,137,Michael Allen,87,71.41,1214,17
137,T138,T138,Steve Allan,102,71.47,1215,17
138,T138,T138,Brent Geiberger,94,71.47,1358,19
139,T138,T138,Dennis Paulson,71,71.47,1072,15
140,141,141,Jeff Brehaut,106,71.48,1501,21
141,142,142,Fred Couples,54,71.5,429,6
142,143,143,Roland Thatcher,66,71.59,1575,22
143,144,144,Paul Azinger,75,71.6,1074,15
144,145,145,Lucas Glover,95,71.61,1647,23
145,146,146,David Branshaw,84,71.68,1577,22
146,147,147,Jason Dufner,79,71.69,1147,16
147,148,148,Kenny Perry,79,71.7,717,10
148,149,149,Craig Bowden,83,71.73,1578,22
149,T150,T150,Steve Flesch,109,71.75,861,12
150,T150,T150,Freddie Jacobson,83,71.75,861,12
151,152,152,Zach Johnson,109,71.76,1220,17
152,T153,T153,Hank Kuehne,91,71.77,933,13
153,T153,T153,Neal Lancaster,106,71.77,1866,26
154,155,155,John Senden,99,71.8,1077,15
155,156,156,Grant Waite,79,71.81,1149,16
156,157,157,Richard Johnson,102,71.86,1581,22
157,158,158,Len Mattiace,75,71.87,1078,15
158,T159,T159,Scott Hend,81,71.9,1438,20
159,T159,T159,Bernhard Langer,59,71.9,719,10
160,161,161,Cliff Kresge,89,71.93,1079,15
161,162,162,Pat Bates,99,71.95,1367,19
162,T163,T163,Mark Brooks,72,72.0,1080,15
163,T163,T163,Kris Cox,73,72.0,648,9
164,T163,T163,Dan Forsman,79,72.0,936,13
165,T163,T163,Kevin Sutherland,86,72.0,1368,19
166,167,167,Matt Kuchar,83,72.06,1153,16
167,168,168,Dan Olsen,75,72.07,1009,14
168,169,169,Gene Sauers,83,72.1,1442,20
169,170,170,Rich Barcelo,67,72.23,939,13
170,171,171,J.P. Hayes,79,72.24,1517,21
171,172,172,Robert Damron,92,72.28,1301,18
172,173,173,Aaron Baddeley,87,72.31,1157,16
173,174,174,David Frost,78,72.38,1737,24
174,175,175,Ken Duke,89,72.44,1159,16
175,176,176,José María Olazábal,56,72.45,797,11
176,177,177,Arjun Atwal,85,72.47,1087,15
177,T178,T178,D.J. Brigman,79,72.5,870,12
178,T178,T178,Bob Burns,88,72.5,1450,20
179,180,180,Rich Beem,81,72.54,943,13
180,181,181,Steve Lowery,91,72.55,798,11
181,182,182,Rory Sabbatini,89,72.56,653,9
182,183,183,Blaine McCallister,68,72.82,801,11
183,184,184,Steve Elkington,64,72.83,874,12
184,185,185,Kevin Muncrief,50,72.85,947,13
185,186,186,Tommy Tolles,67,72.86,1020,14
186,187,187,Tom Byrum,83,72.88,1166,16
187,188,188,Esteban Toledo,92,72.9,1458,20
188,189,189,Tripp Isenhour,55,73.11,1316,18
189,190,190,Dicky Pride,66,73.13,1097,15
190,191,191,David Morland IV,73,73.22,659,9
191,192,192,Mike Heinen,53,73.31,1173,16
192,193,193,Guy Boros,64,73.36,1027,14
193,194,194,Hirofumi Miyase,65,73.39,1321,18
194,195,195,David Gossett,57,74.0,740,10
195,196,196,Chris Couch,55,74.27,817,11
