,First_Tee_Early_Round_1_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Round_1_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Round_1_Scoring_Average_PLAYER NAME,First_Tee_Early_Round_1_Scoring_Average_AVG,First_Tee_Early_Round_1_Scoring_Average_TOTAL STROKES,First_Tee_Early_Round_1_Scoring_Average_TOTAL ROUNDS
0,1,1,Loren Roberts,67.83,407,6
1,2,2,Zach Johnson,67.86,475,7
2,3,3,Vijay Singh,68.1,681,10
3,4,4,Carl Pettersson,68.11,613,9
4,5,5,Kirk Triplett,68.25,273,4
5,T6,T6,Darren Clarke,68.5,411,6
6,T6,T6,Corey Pavin,68.5,548,8
7,T6,T6,Adam Scott,68.5,274,4
8,9,9,Jay Haas,68.67,412,6
9,10,10,Skip Kendall,68.7,687,10
10,T11,T11,Mathias Grönberg,69.0,345,5
11,T11,T11,Neal Lancaster,69.0,207,3
12,13,13,Carlos Franco,69.2,692,10
13,14,14,Jerry Kelly,69.22,623,9
14,15,15,José María Olazábal,69.25,277,4
15,T16,T16,Craig Barlow,69.33,208,3
16,T16,T16,K.J. Choi,69.33,416,6
17,18,18,Tim Petrovic,69.4,694,10
18,T19,T19,Aaron Baddeley,69.5,278,4
19,T19,T19,Tom Byrum,69.5,417,6
20,21,21,Kris Cox,69.56,626,9
21,T22,T22,Ernie Els,69.6,348,5
22,T22,T22,Retief Goosen,69.6,348,5
23,T22,T22,Mark O'Meara,69.6,348,5
24,T22,T22,Justin Rose,69.6,348,5
25,26,26,Justin Leonard,69.63,557,8
26,27,27,Bernhard Langer,69.67,209,3
27,28,28,Steve Flesch,69.77,907,13
28,29,29,Brian Gay,69.83,419,6
29,30,30,Scott Verplank,69.86,489,7
30,T31,T31,Stuart Appleby,70.0,770,11
31,T31,T31,Brian Bateman,70.0,280,4
32,T31,T31,David Frost,70.0,350,5
33,T31,T31,Richard Johnson,70.0,490,7
34,T31,T31,Tom Lehman,70.0,210,3
35,T31,T31,Jesper Parnevik,70.0,700,10
36,T31,T31,Dennis Paulson,70.0,280,4
37,T38,T38,José Coceres,70.17,421,6
38,T38,T38,J.J. Henry,70.17,421,6
39,40,40,Jeff Sluman,70.18,772,11
40,T41,T41,Pat Bates,70.2,351,5
41,T41,T41,Patrick Sheehan,70.2,702,10
42,T43,T43,Robert Allenby,70.25,281,4
43,T43,T43,Briny Baird,70.25,562,8
44,T43,T43,Fred Couples,70.25,281,4
45,T43,T43,Dan Olsen,70.25,562,8
46,47,47,Tommy Tolles,70.29,492,7
47,T48,T48,Notah Begay III,70.33,633,9
48,T48,T48,Kevin Na,70.33,422,6
49,T48,T48,Duffy Waldorf,70.33,422,6
50,T51,T51,David Branshaw,70.4,352,5
51,T51,T51,Nick Price,70.4,352,5
52,T51,T51,Omar Uresti,70.4,352,5
53,T54,T54,Steve Allan,70.43,493,7
54,T54,T54,Olin Browne,70.43,493,7
55,56,56,Joey Sindelar,70.44,634,9
56,57,57,Rich Beem,70.45,775,11
57,T58,T58,D.J. Brigman,70.5,423,6
58,T58,T58,Mark Calcavecchia,70.5,705,10
59,T58,T58,Chris DiMarco,70.5,564,8
60,T58,T58,Freddie Jacobson,70.5,423,6
61,T58,T58,Lee Janzen,70.5,564,8
62,T58,T58,Shaun Micheel,70.5,705,10
63,T58,T58,Hirofumi Miyase,70.5,564,8
64,T58,T58,David Peoples,70.5,423,6
65,T58,T58,Heath Slocum,70.5,705,10
66,T58,T58,Vaughn Taylor,70.5,282,4
67,T58,T58,Mark Wilson,70.5,141,2
68,T58,T58,Tiger Woods,70.5,282,4
69,70,70,Jonathan Byrd,70.55,776,11
70,T71,T71,Bob Burns,70.57,494,7
71,T71,T71,John Huston,70.57,494,7
72,T71,T71,Davis Love III,70.57,494,7
73,74,74,Pat Perez,70.6,353,5
74,T75,T75,Jay Delsing,70.63,565,8
75,T75,T75,Frank Lickliter II,70.63,565,8
76,77,77,Blaine McCallister,70.64,777,11
77,T78,T78,Rod Pampling,70.67,424,6
78,T78,T78,Chris Riley,70.67,424,6
79,T78,T78,Hidemichi Tanaka,70.67,636,9
80,81,81,Stewart Cink,70.7,707,10
81,T82,T82,Deane Pappas,70.71,495,7
82,T82,T82,John Rollins,70.71,495,7
