,Late_Par_4_Scoring_Average_RANK THIS WEEK,Late_Par_4_Scoring_Average_RANK LAST WEEK,Late_Par_4_Scoring_Average_PLAYER NAME,Late_Par_4_Scoring_Average_ROUNDS,Late_Par_4_Scoring_Average_AVG,Late_Par_4_Scoring_Average_TOTAL STROKES,Late_Par_4_Scoring_Average_TOTAL HOLES
0,1,1,Vijay Singh,112,3.95,2929,741
1,2,2,Phil Mickelson,83,3.96,2178,550
2,T3,T3,Bart Bryant,73,3.97,1361,343
3,T3,T3,Rory Sabbatini,89,3.97,1857,468
4,T5,T5,Brent Geiberger,94,3.98,1916,482
5,T5,T5,J.J. Henry,103,3.98,2178,547
6,T5,T5,Tom Lehman,70,3.98,1304,328
7,T8,T8,Stewart Cink,103,3.99,2364,592
8,T8,T8,Joe Durant,85,3.99,1670,419
9,T8,T8,Kirk Triplett,88,3.99,2173,544
10,T11,T11,John Daly,79,4.0,1747,437
11,T11,T11,Luke Donald,72,4.0,1739,435
12,T11,T11,Carlos Franco,99,4.0,1829,457
13,T11,T11,Robert Gamez,103,4.0,2239,560
14,T11,T11,Jerry Kelly,113,4.0,2611,652
15,T11,T11,Bernhard Langer,59,4.0,993,248
16,T11,T11,John Senden,99,4.0,1918,480
17,T11,T11,Kevin Sutherland,86,4.0,1503,376
18,T11,T11,Scott Verplank,92,4.0,2225,556
19,T20,T20,Mark Calcavecchia,79,4.01,1590,397
20,T20,T20,Ben Crane,92,4.01,1934,482
21,T20,T20,Robert Damron,92,4.01,1813,452
22,T20,T20,Ernie Els,62,4.01,1699,424
23,T20,T20,Fred Funk,97,4.01,2070,516
24,T20,T20,Geoff Ogilvy,91,4.01,1971,491
25,T20,T20,Kenny Perry,79,4.01,1762,439
26,T20,T20,Ted Purdy,114,4.01,2453,611
27,T20,T20,Justin Rose,77,4.01,1324,330
28,T29,T29,Robert Allenby,93,4.02,1707,425
29,T29,T29,Woody Austin,94,4.02,1795,446
30,T29,T29,Tom Byrum,83,4.02,1620,403
31,T29,T29,Bob Estes,73,4.02,1269,316
32,T29,T29,Matt Gogel,86,4.02,1935,481
33,T29,T29,Retief Goosen,56,4.02,1512,376
34,T29,T29,Mark Hensby,97,4.02,2179,542
35,T29,T29,Zach Johnson,109,4.02,2685,668
36,T29,T29,Kent Jones,99,4.02,1765,439
37,T29,T29,Hank Kuehne,91,4.02,1947,484
38,T29,T29,Frank Lickliter II,89,4.02,1978,492
39,T29,T29,José María Olazábal,56,4.02,1131,281
40,T29,T29,Jesper Parnevik,86,4.02,2092,521
41,T29,T29,Dennis Paulson,71,4.02,1653,411
42,T29,T29,Loren Roberts,81,4.02,1835,457
43,T29,T29,Roland Thatcher,66,4.02,1302,324
44,T29,T29,Tiger Woods,78,4.02,1993,496
45,T46,T46,Jason Bohn,98,4.03,1748,434
46,T46,T46,Bob Burns,88,4.03,1665,413
47,T46,T46,Chris DiMarco,105,4.03,2094,519
48,T46,T46,Todd Fischer,104,4.03,1948,483
49,T46,T46,J.P. Hayes,79,4.03,1285,319
50,T46,T46,Scott Hoch,52,4.03,1194,296
51,T46,T46,Shigeki Maruyama,93,4.03,2028,503
52,T46,T46,Arron Oberholser,77,4.03,1462,363
53,T46,T46,Adam Scott,55,4.03,1294,321
54,T46,T46,Vaughn Taylor,84,4.03,1877,466
55,T56,T56,Stephen Ames,97,4.04,2380,589
56,T56,T56,Billy Andrade,104,4.04,1772,439
57,T56,T56,Stuart Appleby,84,4.04,1774,439
58,T56,T56,Briny Baird,100,4.04,2034,504
59,T56,T56,Craig Barlow,80,4.04,1739,430
60,T56,T56,Pat Bates,99,4.04,1919,475
61,T56,T56,Tim Clark,84,4.04,1942,481
62,T56,T56,José Coceres,68,4.04,1466,363
63,T56,T56,Harrison Frazar,86,4.04,1788,443
64,T56,T56,Mike Heinen,53,4.04,926,229
65,T56,T56,John Huston,62,4.04,1260,312
66,T56,T56,Skip Kendall,99,4.04,2086,516
67,T56,T56,Matt Kuchar,83,4.04,1727,427
68,T56,T56,Neal Lancaster,106,4.04,2038,504
69,T56,T56,Justin Leonard,90,4.04,1846,457
70,T56,T56,Davis Love III,85,4.04,1904,471
71,T56,T56,Jeff Maggert,60,4.04,1395,345
72,T56,T56,Hunter Mahan,94,4.04,1921,476
73,T56,T56,Billy Mayfair,109,4.04,1911,473
74,T56,T56,Mark O'Meara,58,4.04,1193,295
75,T56,T56,Patrick Sheehan,113,4.04,2179,539
76,T56,T56,Joey Sindelar,100,4.04,2077,514
77,T56,T56,Bob Tway,90,4.04,1838,455
78,T56,T56,Bo Van Pelt,107,4.04,2323,575
79,T56,T56,Duffy Waldorf,79,4.04,1754,434
80,T81,T81,Steve Allan,102,4.05,2033,502
81,T81,T81,Michael Allen,87,4.05,1599,395
82,T81,T81,Guy Boros,64,4.05,1184,292
83,T81,T81,Olin Browne,92,4.05,1778,439
84,T81,T81,K.J. Choi,83,4.05,1703,420
85,T81,T81,John Cook,57,4.05,1126,278
86,T81,T81,Jason Dufner,79,4.05,1664,411
87,T81,T81,Jay Haas,84,4.05,1844,455
88,T81,T81,Freddie Jacobson,83,4.05,1912,472
89,T81,T81,Richard Johnson,102,4.05,2023,499
90,T81,T81,J.L. Lewis,106,4.05,2193,542
91,T81,T81,Peter Lonard,68,4.05,1373,339
92,T81,T81,Scott McCarron,88,4.05,1931,477
93,T81,T81,Joe Ogilvie,104,4.05,2156,532
94,T81,T81,Pat Perez,102,4.05,1938,479
95,T81,T81,Tom Pernice Jr.,103,4.05,2104,519
96,T97,T97,Cameron Beckman,99,4.06,2218,546
97,T97,T97,Craig Bowden,83,4.06,1753,432
98,T97,T97,D.J. Brigman,79,4.06,1508,371
99,T97,T97,Jonathan Byrd,85,4.06,1993,491
100,T97,T97,Chad Campbell,100,4.06,1925,474
101,T97,T97,Greg Chalmers,70,4.06,1444,356
102,T97,T97,Daniel Chopra,108,4.06,2366,583
103,T97,T97,Sergio Garcia,65,4.06,1807,445
104,T97,T97,Lucas Glover,95,4.06,1749,431
105,T97,T97,Charles Howell III,104,4.06,2346,578
106,T97,T97,Steve Lowery,91,4.06,1897,467
107,T97,T97,Ryan Palmer,103,4.06,2247,554
