,Back_9_Scoring_Average_RANK THIS WEEK,Back_9_Scoring_Average_RANK LAST WEEK,Back_9_Scoring_Average_PLAYER NAME,Back_9_Scoring_Average_ROUNDS,Back_9_Scoring_Average_AVG,Back_9_Scoring_Average_TOTAL STROKES,Back_9_Scoring_Average_TOTAL HOLES
0,1,1,Vijay Singh,112,34.78,3826,110
1,2,2,Ernie Els,62,34.86,2022,58
2,3,3,Retief Goosen,56,34.95,1922,55
3,T4,T4,Phil Mickelson,83,34.97,2763,79
4,T4,T4,Tiger Woods,78,34.97,2518,72
5,6,6,Jesper Parnevik,86,35.01,3011,86
6,T7,T7,Jerry Kelly,113,35.12,3828,109
7,T7,T7,Tom Lehman,70,35.12,2318,66
8,9,9,Scott Verplank,92,35.13,3197,91
9,T10,T10,Bart Bryant,73,35.14,2425,69
10,T10,T10,Carlos Franco,99,35.14,3479,99
11,T10,T10,Carl Pettersson,100,35.14,3409,97
12,13,13,Kirk Triplett,88,35.15,2953,84
13,14,14,Duffy Waldorf,79,35.16,2567,73
14,15,15,Tom Pernice Jr.,103,35.17,3482,99
15,16,16,Geoff Ogilvy,91,35.22,3064,87
16,T17,T17,Stewart Cink,103,35.23,3417,97
17,T17,T17,John Daly,79,35.23,2783,79
18,T19,T19,Harrison Frazar,86,35.24,2890,82
19,T19,T19,Davis Love III,85,35.24,2643,75
20,21,21,John Senden,99,35.26,3385,96
21,22,22,Bob Estes,73,35.28,2505,71
22,T23,T23,Loren Roberts,81,35.29,2788,79
23,T23,T23,Bo Van Pelt,107,35.29,3670,104
24,25,25,Daniel Chopra,108,35.3,3742,106
25,26,26,Joe Durant,85,35.31,3001,85
26,T27,T27,Zach Johnson,109,35.32,3779,107
27,T27,T27,Justin Rose,77,35.32,2543,72
28,29,29,Briny Baird,100,35.34,3428,97
29,T30,T30,Olin Browne,92,35.35,3111,88
30,T30,T30,Luke Donald,72,35.35,2545,72
31,T30,T30,Jay Haas,84,35.35,2793,79
32,T30,T30,Jeff Sluman,98,35.35,3429,97
33,T34,T34,Cameron Beckman,99,35.36,3395,96
34,T34,T34,Notah Begay III,71,35.36,2369,67
35,T34,T34,Sergio Garcia,65,35.36,2263,64
36,37,37,Stuart Appleby,84,35.37,2759,78
37,T38,T38,J.J. Henry,103,35.39,3645,103
38,T38,T38,Ted Purdy,114,35.39,3964,112
39,T38,T38,David Toms,80,35.39,2619,74
40,T41,T41,Fred Funk,97,35.4,3398,96
41,T41,T41,Brenden Pappas,111,35.4,3823,108
42,43,43,Kevin Na,100,35.41,3399,96
43,T44,T44,José Coceres,68,35.42,2267,64
44,T44,T44,Arron Oberholser,77,35.42,2586,73
45,T44,T44,Joey Sindelar,100,35.42,3471,98
46,47,47,K.J. Choi,83,35.43,2905,82
47,T48,T48,Stephen Ames,97,35.44,3367,95
48,T48,T48,Brent Geiberger,94,35.44,3225,91
49,T50,T50,Tim Clark,84,35.45,2978,84
50,T50,T50,Matt Gogel,86,35.45,2978,84
51,T50,T50,Lee Janzen,84,35.45,2907,82
52,T53,T53,Steve Allan,102,35.46,3511,99
53,T53,T53,Ryan Palmer,103,35.46,3546,100
54,T53,T53,Adam Scott,55,35.46,1844,52
55,T56,T56,Todd Fischer,104,35.47,3618,102
56,T56,T56,Kenny Perry,79,35.47,2696,76
57,T56,T56,Brett Quigley,102,35.47,3476,98
58,T56,T56,Rory Sabbatini,89,35.47,3050,86
59,T60,T60,Woody Austin,94,35.48,3335,94
60,T60,T60,Robert Gamez,103,35.48,3654,103
61,T60,T60,Tag Ridings,53,35.48,1774,50
62,T60,T60,Vaughn Taylor,84,35.48,2909,82
63,T64,T64,Hunter Mahan,94,35.49,3336,94
64,T64,T64,Chris Riley,78,35.49,2626,74
65,T66,T66,Brian Bateman,84,35.5,2840,80
66,T66,T66,Freddie Jacobson,83,35.5,2840,80
67,T66,T66,J.L. Lewis,106,35.5,3763,106
68,T66,T66,Rod Pampling,98,35.5,3337,94
69,T66,T66,Tim Petrovic,111,35.5,3798,107
70,T71,T71,Pat Bates,99,35.51,3444,97
71,T71,T71,Tom Byrum,83,35.51,2947,83
72,T73,T73,Brian Gay,96,35.52,3339,94
73,T73,T73,Mark Hensby,97,35.52,3303,93
74,T73,T73,Pat Perez,102,35.52,3552,100
75,T73,T73,Mike Weir,75,35.52,2593,73
76,T77,T77,Craig Barlow,80,35.53,2771,78
77,T77,T77,Chris DiMarco,105,35.53,3482,98
78,T77,T77,Kent Jones,99,35.53,3446,97
79,T77,T77,Frank Lickliter II,89,35.53,3056,86
80,81,81,Shigeki Maruyama,93,35.54,3270,92
81,T82,T82,Robert Allenby,93,35.55,3128,88
82,T82,T82,Dudley Hart,60,35.55,2062,58
83,T82,T82,Joe Ogilvie,104,35.55,3626,102
84,85,85,Scott Hoch,52,35.57,1814,51
85,T86,T86,Jason Dufner,79,35.58,2811,79
86,T86,T86,Neal Lancaster,106,35.58,3665,103
87,T86,T86,Shaun Micheel,93,35.58,3238,91
88,T86,T86,José María Olazábal,56,35.58,1850,52
89,T86,T86,Nick Price,51,35.58,1779,50
90,T91,T91,Chad Campbell,100,35.6,3311,93
91,T91,T91,Ben Crane,92,35.6,3275,92
92,T93,T93,Billy Andrade,104,35.64,3707,104
93,T93,T93,Jason Bohn,98,35.64,3386,95
94,T93,T93,Deane Pappas,72,35.64,2495,70
95,96,96,Kevin Sutherland,86,35.65,2888,81
96,T97,T97,Michael Allen,87,35.66,3031,85
97,T97,T97,John Cook,57,35.66,1890,53
98,T97,T97,Danny Ellis,81,35.66,2746,77
99,T97,T97,David Peoples,82,35.66,2853,80
100,T101,T101,Brad Faxon,94,35.67,3175,89
101,T101,T101,Charles Howell III,104,35.67,3603,101
102,T103,T103,Justin Leonard,90,35.68,3033,85
103,T103,T103,Jeff Maggert,60,35.68,2141,60
104,T103,T103,Corey Pavin,83,35.68,2819,79
105,T103,T103,Patrick Sheehan,113,35.68,3960,111
106,107,107,Darren Clarke,54,35.69,1713,48
107,T108,T108,J.P. Hayes,79,35.71,2678,75
108,T108,T108,Heath Slocum,92,35.71,3214,90
109,T110,T110,Paul Azinger,75,35.72,2679,75
110,T110,T110,Skip Kendall,99,35.72,3536,99
111,112,112,Chris Smith,105,35.73,3752,105
112,T113,T113,Tommy Armour III,87,35.74,3109,87
113,T113,T113,Danny Briggs,85,35.74,2895,81
114,T113,T113,Mark Calcavecchia,79,35.74,2788,78
115,T113,T113,Jay Williamson,100,35.74,3503,98
116,T113,T113,Mark Wilson,62,35.74,2216,62
117,T118,T118,D.J. Brigman,79,35.75,2717,76
118,T118,T118,Rocco Mediate,53,35.75,1716,48
119,120,120,Steve Flesch,109,35.76,3755,105
120,T121,T121,Rich Barcelo,67,35.77,2325,65
121,T121,T121,Glen Day,101,35.77,3541,99
122,T123,T123,Jonathan Kaye,79,35.78,2719,76
123,T123,T123,Scott Simpson,55,35.78,1968,55
124,T125,T125,Greg Chalmers,70,35.79,2505,70
125,T125,T125,John Rollins,90,35.79,3042,85
126,T125,T125,Bob Tway,90,35.79,3042,85
127,T128,T128,Mathias Grönberg,91,35.8,3115,87
128,T128,T128,Hank Kuehne,91,35.8,3186,89
129,T128,T128,Stephen Leaney,84,35.8,2685,75
130,T128,T128,Billy Mayfair,109,35.8,3759,105
131,T128,T128,Roland Thatcher,66,35.8,2363,66
132,T133,T133,Lucas Glover,95,35.81,3259,91
133,T133,T133,Tim Herron,84,35.81,2972,83
134,135,135,Robert Damron,92,35.82,3295,92
135,T136,T136,Craig Bowden,83,35.83,2974,83
136,T136,T136,Hidemichi Tanaka,89,35.83,3189,89
137,138,138,John Huston,62,35.84,2007,56
138,T139,T139,Steve Elkington,64,35.85,2187,61
139,T139,T139,Richard Johnson,102,35.85,3657,102
140,T139,T139,Steve Stricker,81,35.85,2796,78
141,T139,T139,Dean Wilson,99,35.85,3549,99
142,T143,T143,Scott McCarron,88,35.86,3084,86
143,T143,T143,Craig Perks,75,35.86,2582,72
144,T145,T145,Jonathan Byrd,85,35.87,2977,83
145,T145,T145,Alex Cejka,76,35.87,2511,70
146,T145,T145,Russ Cochran,61,35.87,2188,61
147,148,148,Aaron Baddeley,87,35.88,3050,85
148,T149,T149,Jeff Brehaut,106,35.9,3734,104
149,T149,T149,Scott Hend,81,35.9,2836,79
150,151,151,Mark O'Meara,58,35.91,2083,58
151,152,152,Spike McRoy,93,35.92,3269,91
152,T153,T153,David Branshaw,84,35.94,2947,82
153,T153,T153,Fred Couples,54,35.94,1869,52
154,T153,T153,Steve Lowery,91,35.94,3199,89
155,156,156,Omar Uresti,85,35.96,3057,85
156,T157,T157,Todd Hamilton,92,35.97,3165,88
157,T157,T157,Steve Pate,71,35.97,2482,69
158,159,159,Cliff Kresge,89,35.98,3130,87
159,T160,T160,Bob Burns,88,35.99,3095,86
160,T160,T160,Esteban Toledo,92,35.99,3239,90
161,T162,T162,Matt Kuchar,83,36.0,2988,83
162,T162,T162,Bernhard Langer,59,36.0,1980,55
163,T162,T162,John Riegger,53,36.0,1908,53
164,165,165,Guy Boros,64,36.02,2305,64
165,T166,T166,Dan Forsman,79,36.04,2775,77
166,T166,T166,David Frost,78,36.04,2811,78
167,T166,T166,Dennis Paulson,71,36.04,2559,71
168,T166,T166,Tommy Tolles,67,36.04,2415,67
