,Scoring_Average_Before_Cut_RANK THIS WEEK,Scoring_Average_Before_Cut_RANK LAST WEEK,Scoring_Average_Before_Cut_PLAYER NAME,Scoring_Average_Before_Cut_AVG,Scoring_Average_Before_Cut_TOTAL STROKES,Scoring_Average_Before_Cut_TOTAL ROUNDS
0,1,1,Vijay Singh,68.91,3928,57
1,2,2,Phil Mickelson,69.22,3115,45
2,3,3,Tiger Woods,69.42,2499,36
3,4,4,Loren Roberts,69.49,3127,45
4,5,5,Kirk Triplett,69.54,3477,50
5,6,6,Ernie Els,69.57,2087,30
6,7,7,Jesper Parnevik,69.73,3626,52
7,8,8,Scott Verplank,69.76,3418,49
8,9,9,Tom Lehman,69.82,2653,38
9,10,10,Jeff Sluman,69.84,3981,57
10,11,11,Jay Haas,69.89,3075,44
11,12,12,Jerry Kelly,70.0,4130,59
12,13,13,Chris DiMarco,70.04,3642,52
13,14,14,Carlos Franco,70.06,3713,53
14,15,15,Zach Johnson,70.08,4275,61
15,16,16,Corey Pavin,70.1,3365,48
16,17,17,Sergio Garcia,70.12,2384,34
17,18,18,José Coceres,70.15,2736,39
18,19,19,Retief Goosen,70.19,2246,32
19,20,20,Stephen Ames,70.24,3793,54
20,T21,T21,Justin Leonard,70.29,3444,49
21,T21,T21,Mike Weir,70.29,3163,45
22,23,23,Cameron Beckman,70.32,4219,60
23,T24,T24,Stewart Cink,70.33,3798,54
24,T24,T24,John Daly,70.33,3235,46
25,T26,T26,Briny Baird,70.34,4080,58
26,T26,T26,Geoff Ogilvy,70.34,3728,53
27,T26,T26,Carl Pettersson,70.34,4080,58
28,T26,T26,John Senden,70.34,4080,58
29,30,30,Vaughn Taylor,70.35,3658,52
30,T31,T31,Lee Janzen,70.36,3518,50
31,T31,T31,Shigeki Maruyama,70.36,3518,50
32,33,33,Rod Pampling,70.38,3730,53
33,34,34,Robert Gamez,70.42,4648,66
34,35,35,Patrick Sheehan,70.43,4719,67
35,T36,T36,Luke Donald,70.44,3029,43
36,T36,T36,Bo Van Pelt,70.44,4367,62
37,38,38,Danny Ellis,70.49,3736,53
38,T39,T39,Daniel Chopra,70.5,4794,68
39,T39,T39,David Peoples,70.5,3525,50
40,41,41,Brent Geiberger,70.51,4019,57
41,42,42,Harrison Frazar,70.52,3667,52
42,T43,T43,Brian Bateman,70.55,3316,47
43,T43,T43,Duffy Waldorf,70.55,3316,47
44,45,45,Skip Kendall,70.56,4304,61
45,T46,T46,Robert Allenby,70.59,3459,49
46,T46,T46,Arron Oberholser,70.59,3106,44
47,T48,T48,Stuart Appleby,70.6,3318,47
48,T48,T48,Jeff Maggert,70.6,2824,40
49,T48,T48,Chris Riley,70.6,3177,45
50,51,51,Ted Purdy,70.61,4943,70
51,52,52,Scott McCarron,70.64,3885,55
52,53,53,Mark Calcavecchia,70.65,3391,48
53,54,54,Ben Crane,70.66,3957,56
54,55,55,Justin Rose,70.68,2827,40
55,T56,T56,Kevin Sutherland,70.7,3818,54
56,T56,T56,Hidemichi Tanaka,70.7,3747,53
57,58,58,Jason Bohn,70.72,4102,58
58,T59,T59,Charles Howell III,70.73,4244,60
59,T59,T59,Tim Petrovic,70.73,4668,66
60,T61,T61,Greg Chalmers,70.76,3255,46
61,T61,T61,J.L. Lewis,70.76,4670,66
62,T63,T63,Craig Barlow,70.77,3680,52
63,T63,T63,Scott Hoch,70.77,2194,31
64,T63,T63,Bernhard Langer,70.77,2123,30
65,T66,T66,Bart Bryant,70.78,3185,45
66,T66,T66,Fred Funk,70.78,4105,58
67,T68,T68,Deane Pappas,70.8,3115,44
68,T68,T68,Adam Scott,70.8,2124,30
69,T70,T70,Brian Gay,70.81,4461,63
70,T70,T70,J.J. Henry,70.81,4461,63
71,T70,T70,Freddie Jacobson,70.81,3328,47
72,73,73,Paul Azinger,70.82,3470,49
73,74,74,Joe Durant,70.83,3825,54
74,75,75,Tom Pernice Jr.,70.84,4534,64
75,T76,T76,Steve Flesch,70.85,4251,60
76,T76,T76,John Riegger,70.85,2409,34
77,78,78,Kevin Na,70.86,4464,63
78,79,79,Richard Johnson,70.87,4819,68
79,80,80,Dennis Paulson,70.88,2977,42
80,T81,T81,Bob Estes,70.89,3332,47
81,T81,T81,Joe Ogilvie,70.89,4537,64
82,T81,T81,Kenny Perry,70.89,3190,45
83,T84,T84,K.J. Choi,70.91,3333,47
84,T84,T84,Glen Day,70.91,4822,68
85,T86,T86,Olin Browne,70.92,4326,61
86,T86,T86,Matt Gogel,70.92,3688,52
87,T88,T88,Michael Allen,70.95,3973,56
88,T88,T88,Kent Jones,70.95,4683,66
89,T88,T88,Mark O'Meara,70.95,2625,37
90,T88,T88,Mark Wilson,70.95,2838,40
91,T92,T92,John Huston,70.97,2768,39
92,T92,T92,Brett Quigley,70.97,4400,62
93,T94,T94,Tom Byrum,70.98,3620,51
94,T94,T94,Billy Mayfair,70.98,4543,64
95,T96,T96,Darren Clarke,71.0,2130,30
96,T96,T96,Todd Hamilton,71.0,3763,53
97,T96,T96,Rory Sabbatini,71.0,3550,50
98,T96,T96,Jay Williamson,71.0,4615,65
99,T100,T100,Neal Lancaster,71.02,4616,65
100,T100,T100,Bob Tway,71.02,3480,49
101,T102,T102,Robert Damron,71.03,4191,59
102,T102,T102,Mark Hensby,71.03,4120,58
103,104,104,Steve Allan,71.06,4832,68
104,T105,T105,Woody Austin,71.07,4264,60
105,T105,T105,Todd Fischer,71.07,4833,68
106,T105,T105,Ryan Palmer,71.07,4833,68
107,T108,T108,Tim Clark,71.08,3696,52
108,T108,T108,Shaun Micheel,71.08,3767,53
109,T110,T110,José María Olazábal,71.09,2275,32
110,T110,T110,David Toms,71.09,3128,44
111,112,112,Joey Sindelar,71.1,4408,62
112,T113,T113,Brad Faxon,71.11,3769,53
113,T113,T113,Frank Lickliter II,71.11,3769,53
114,T115,T115,Jonathan Byrd,71.13,3770,53
115,T115,T115,Fred Couples,71.13,2205,31
116,T115,T115,Dean Wilson,71.13,4908,69
