,Front_9_Scoring_Average_RANK THIS WEEK,Front_9_Scoring_Average_RANK LAST WEEK,Front_9_Scoring_Average_PLAYER NAME,Front_9_Scoring_Average_ROUNDS,Front_9_Scoring_Average_AVG,Front_9_Scoring_Average_TOTAL STROKES,Front_9_Scoring_Average_TOTAL HOLES
0,1,1,Vijay Singh,112,34.41,3785,110
1,T2,T2,Stephen Ames,97,34.64,3291,95
2,T2,T2,Retief Goosen,56,34.64,1905,55
3,4,4,Phil Mickelson,83,34.66,2738,79
4,5,5,Tiger Woods,78,34.71,2499,72
5,6,6,Loren Roberts,81,34.8,2749,79
6,7,7,Ernie Els,62,34.83,2020,58
7,8,8,Tom Lehman,70,34.85,2300,66
8,9,9,Stewart Cink,103,34.88,3383,97
9,10,10,Scott Verplank,92,34.89,3175,91
10,11,11,Corey Pavin,83,34.97,2763,79
11,12,12,Chris DiMarco,105,35.0,3430,98
12,13,13,Jay Haas,84,35.01,2766,79
13,14,14,Kenny Perry,79,35.04,2663,76
14,15,15,Dennis Paulson,71,35.06,2489,71
15,16,16,Justin Leonard,90,35.07,2981,85
16,T17,T17,Shigeki Maruyama,93,35.08,3227,92
17,T17,T17,Kirk Triplett,88,35.08,2947,84
18,T19,T19,Joe Durant,85,35.09,2983,85
19,T19,T19,Bo Van Pelt,107,35.09,3649,104
20,21,21,Jerry Kelly,113,35.11,3827,109
21,T22,T22,Darren Clarke,54,35.13,1686,48
22,T22,T22,Ted Purdy,114,35.13,3935,112
23,T24,T24,Scott McCarron,88,35.15,3023,86
24,T24,T24,Jesper Parnevik,86,35.15,3023,86
25,T26,T26,Jonathan Byrd,85,35.16,2918,83
26,T26,T26,Rod Pampling,98,35.16,3305,94
27,T28,T28,Bart Bryant,73,35.17,2427,69
28,T28,T28,Zach Johnson,109,35.17,3763,107
29,T30,T30,Ben Crane,92,35.18,3237,92
30,T30,T30,Richard Johnson,102,35.18,3588,102
31,T32,T32,Tom Byrum,83,35.19,2921,83
32,T32,T32,Fred Funk,97,35.19,3378,96
33,T32,T32,Mike Weir,75,35.19,2569,73
34,T35,T35,Cameron Beckman,99,35.2,3379,96
35,T35,T35,Sergio Garcia,65,35.2,2253,64
36,T35,T35,Brent Geiberger,94,35.2,3203,91
37,T35,T35,Vaughn Taylor,84,35.2,2886,82
38,T39,T39,Harrison Frazar,86,35.21,2887,82
