,Bounce_Back_RANK THIS WEEK,Bounce_Back_RANK LAST WEEK,Bounce_Back_PLAYER NAME,Bounce_Back_ROUNDS,Bounce_Back_%
0,1,1,John Daly,79,32.62
1,2,2,Tom Lehman,70,27.95
2,3,3,Bo Van Pelt,107,27.7
3,4,4,Vijay Singh,112,27.54
4,5,5,Vaughn Taylor,84,26.96
5,6,6,Ernie Els,62,26.95
6,7,7,Frank Lickliter II,89,26.32
7,8,8,Geoff Ogilvy,91,26.18
8,9,9,Woody Austin,94,25.77
9,10,10,Tiger Woods,78,25.56
10,11,11,Patrick Sheehan,113,25.49
11,12,12,Jason Bohn,98,25.18
12,13,13,Phil Mickelson,83,25.14
13,14,14,Danny Ellis,81,25.0
14,T15,T15,Craig Barlow,80,24.88
15,T15,T15,Stewart Cink,103,24.88
16,17,17,John Huston,62,24.54
17,18,18,Mark Wilson,62,24.14
18,19,19,Shigeki Maruyama,93,24.07
19,20,20,Lucas Glover,95,23.88
20,21,21,D.J. Brigman,79,23.87
21,22,22,Adam Scott,55,23.81
22,23,23,Cameron Beckman,99,23.69
23,24,24,Sergio Garcia,65,23.68
24,25,25,Mike Heinen,53,23.66
25,26,26,Scott Hend,81,23.62
26,27,27,David Toms,80,23.58
27,28,28,Shaun Micheel,93,23.37
28,29,29,Daniel Chopra,108,23.33
29,30,30,Fred Couples,54,23.26
30,31,31,Joey Sindelar,100,23.22
31,32,32,Rory Sabbatini,89,23.21
32,33,33,Skip Kendall,99,23.08
33,34,34,Retief Goosen,56,22.94
34,35,35,John Rollins,90,22.59
35,36,36,Tim Clark,84,22.42
36,37,37,Gene Sauers,83,22.38
37,38,38,Loren Roberts,81,22.34
38,T39,T39,Harrison Frazar,86,22.27
39,T39,T39,Scott McCarron,88,22.27
40,41,41,Tommy Tolles,67,22.18
41,42,42,Davis Love III,85,22.17
42,43,43,Freddie Jacobson,83,22.12
43,44,44,Hank Kuehne,91,22.05
44,45,45,Ted Purdy,114,22.01
45,46,46,Zach Johnson,109,21.94
46,47,47,Joe Durant,85,21.89
47,48,48,Pat Perez,102,21.81
48,49,49,Brett Quigley,102,21.79
49,50,50,Greg Chalmers,70,21.78
50,51,51,Brenden Pappas,111,21.65
51,52,52,Chris DiMarco,105,21.58
52,53,53,Jerry Kelly,113,21.57
53,54,54,Corey Pavin,83,21.56
54,55,55,Brian Gay,96,21.48
55,56,56,Steve Stricker,81,21.46
56,T57,T57,Bart Bryant,73,21.43
57,T57,T57,Kevin Na,100,21.43
58,59,59,Stephen Ames,97,21.4
59,60,60,Chris Couch,55,21.34
60,61,61,Bob Estes,73,21.16
61,62,62,Matt Gogel,86,21.12
62,63,63,Lee Janzen,84,21.1
63,64,64,Mike Weir,75,21.08
64,65,65,Matt Kuchar,83,21.07
65,66,66,Tom Byrum,83,21.03
66,67,67,Grant Waite,79,20.99
67,68,68,Robert Damron,92,20.94
68,69,69,Luke Donald,72,20.88
69,70,70,Roland Thatcher,66,20.83
70,71,71,Billy Andrade,104,20.72
71,72,72,Glen Day,101,20.69
72,73,73,Jay Williamson,100,20.65
73,T74,T74,Carlos Franco,99,20.63
74,T74,T74,Justin Rose,77,20.63
75,76,76,Brent Geiberger,94,20.58
76,77,77,Bernhard Langer,59,20.55
77,78,78,Niclas Fasth,61,20.49
78,79,79,Craig Bowden,83,20.48
79,T80,T80,Darren Clarke,54,20.45
80,T80,T80,Carl Pettersson,100,20.45
81,82,82,J.J. Henry,103,20.35
82,83,83,Steve Flesch,109,20.33
83,84,84,Hunter Mahan,94,20.21
84,T85,T85,John Cook,57,20.14
85,T85,T85,Nick Price,51,20.14
86,87,87,Jay Haas,84,20.11
87,88,88,Rich Barcelo,67,20.1
88,89,89,Mark Calcavecchia,79,20.09
89,T90,T90,Scott Hoch,52,20.0
90,T90,T90,Neal Lancaster,106,20.0
91,T90,T90,Ryan Palmer,103,20.0
92,93,93,Chris Smith,105,19.94
93,T94,T94,Rod Pampling,98,19.92
94,T94,T94,Jeff Sluman,98,19.92
95,T94,T94,Roger Tambellini,81,19.92
96,97,97,Duffy Waldorf,79,19.9
97,98,98,Joe Ogilvie,104,19.86
98,99,99,David Peoples,82,19.81
99,100,100,Dean Wilson,99,19.79
100,101,101,Tom Carter,113,19.73
101,102,102,Steve Allan,102,19.71
102,103,103,Stuart Appleby,84,19.7
103,104,104,Russ Cochran,61,19.67
104,105,105,Jeff Maggert,60,19.65
105,106,106,Deane Pappas,72,19.62
106,107,107,Steve Elkington,64,19.55
107,108,108,Tag Ridings,53,19.46
108,109,109,Jesper Parnevik,86,19.42
109,110,110,David Branshaw,84,19.38
110,111,111,Richard Johnson,102,19.31
111,112,112,Robert Allenby,93,19.25
112,113,113,Jonathan Byrd,85,19.22
113,T114,T114,J.P. Hayes,79,19.09
114,T114,T114,Kenny Perry,79,19.09
115,116,116,Steve Pate,71,18.96
116,117,117,Omar Uresti,85,18.94
117,118,118,Brian Bateman,84,18.81
118,119,119,Jeff Brehaut,106,18.79
119,120,120,Ben Crane,92,18.78
120,T121,T121,David Frost,78,18.75
121,T121,T121,Tom Pernice Jr.,103,18.75
122,123,123,Andre Stolz,53,18.72
123,124,124,Danny Briggs,85,18.64
124,125,125,Olin Browne,92,18.58
125,126,126,Scott Verplank,92,18.57
126,127,127,Notah Begay III,71,18.5
127,128,128,Steve Lowery,91,18.48
128,129,129,José Coceres,68,18.45
129,T130,T130,Chad Campbell,100,18.37
130,T130,T130,Todd Hamilton,92,18.37
131,T130,T130,Heath Slocum,92,18.37
132,133,133,John Riegger,53,18.31
133,T134,T134,Kris Cox,73,18.25
134,T134,T134,Todd Fischer,104,18.25
135,136,136,Tommy Armour III,87,18.15
136,137,137,Kent Jones,99,18.12
137,138,138,Dan Olsen,75,18.11
138,139,139,Michael Allen,87,18.03
139,140,140,Kevin Sutherland,86,18.01
140,T141,T141,Robert Gamez,103,17.99
141,T141,T141,Tripp Isenhour,55,17.99
142,143,143,Jay Delsing,76,17.92
143,144,144,Craig Perks,75,17.9
144,145,145,Stephen Leaney,84,17.87
145,146,146,David Morland IV,73,17.83
146,T147,T147,Paul Azinger,75,17.76
147,T147,T147,Mark Hensby,97,17.76
148,149,149,Arron Oberholser,77,17.71
149,150,150,Aaron Baddeley,87,17.65
150,T151,T151,Bob Burns,88,17.62
151,T151,T151,Justin Leonard,90,17.62
152,153,153,Rich Beem,81,17.6
153,154,154,Alex Cejka,76,17.59
154,155,155,Chris Riley,78,17.54
155,156,156,Tim Herron,84,17.52
156,157,157,Hidemichi Tanaka,89,17.46
157,158,158,Esteban Toledo,92,17.45
158,159,159,Spike McRoy,93,17.44
159,160,160,Scott Simpson,55,17.39
160,161,161,Jason Dufner,79,17.37
161,162,162,K.J. Choi,83,17.3
162,163,163,Cliff Kresge,89,17.29
163,164,164,Kevin Muncrief,50,17.24
164,T165,T165,Mathias Grönberg,91,17.19
165,T165,T165,Kirk Triplett,88,17.19
166,167,167,Ben Curtis,56,17.16
167,168,168,Pat Bates,99,17.08
168,169,169,Tim Petrovic,111,17.0
169,170,170,Arjun Atwal,85,16.99
170,171,171,Rocco Mediate,53,16.89
171,172,172,Billy Mayfair,109,16.88
172,173,173,Dan Forsman,79,16.74
173,174,174,Brian Kortan,65,16.67
174,175,175,J.L. Lewis,106,16.61
175,176,176,Mark Brooks,72,16.6
176,177,177,Hirofumi Miyase,65,16.59
177,178,178,Dicky Pride,66,16.43
178,179,179,Brad Faxon,94,16.39
179,180,180,Bob Tway,90,16.37
180,181,181,Len Mattiace,75,16.32
181,182,182,Dennis Paulson,71,16.28
182,183,183,Craig Parry,52,16.23
183,184,184,Charles Howell III,104,16.18
184,185,185,John Senden,99,16.08
185,186,186,Jonathan Kaye,79,16.07
186,187,187,Fred Funk,97,16.0
187,188,188,José María Olazábal,56,15.91
188,189,189,Blaine McCallister,68,15.89
189,190,190,Briny Baird,100,15.77
190,191,191,Dudley Hart,60,15.56
191,192,192,Peter Lonard,68,15.42
192,193,193,Guy Boros,64,15.32
193,194,194,Mark O'Meara,58,14.97
194,195,195,Ken Duke,89,14.43
195,196,196,David Gossett,57,13.31
