,First_Tee_Late_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Scoring_Average_PLAYER NAME,First_Tee_Late_Scoring_Average_ROUNDS,First_Tee_Late_Scoring_Average_AVG,First_Tee_Late_Scoring_Average_TOTAL STROKES,First_Tee_Late_Scoring_Average_TOTAL 1ST TEE LATE ROUNDS
0,1,1,Retief Goosen,56,69.53,2086,30
1,2,2,Bart Bryant,73,69.54,1669,24
2,3,3,John Senden,99,69.56,1878,27
3,4,4,Ernie Els,62,69.59,2366,34
4,5,5,Harrison Frazar,86,69.63,2089,30
5,6,6,Vijay Singh,112,69.7,3764,54
6,7,7,Bob Estes,73,69.76,1465,21
7,8,8,Phil Mickelson,83,69.79,2722,39
8,9,9,Tom Lehman,70,69.81,1466,21
9,10,10,Rory Sabbatini,89,69.84,2165,31
10,11,11,Carlos Franco,99,69.88,1817,26
11,12,12,Joe Durant,85,69.89,1957,28
12,13,13,Robert Damron,92,69.96,1819,26
13,14,14,Stephen Ames,97,69.98,2939,42
14,15,15,Jerry Kelly,113,70.0,3150,45
15,16,16,Tiger Woods,78,70.02,2871,41
16,T17,T17,Fred Funk,97,70.03,2801,40
17,T17,T17,Kenny Perry,79,70.03,2381,34
18,T19,T19,Brent Geiberger,94,70.09,2453,35
19,T19,T19,Jesper Parnevik,86,70.09,2383,34
20,21,21,Mark Hensby,97,70.1,2734,39
21,22,22,Kevin Sutherland,86,70.13,1613,23
22,T23,T23,Vaughn Taylor,84,70.2,2106,30
23,T23,T23,Scott Verplank,92,70.2,3159,45
24,25,25,John Daly,79,70.21,2036,29
25,26,26,Kent Jones,99,70.23,1826,26
26,27,27,Bo Van Pelt,107,70.26,2951,42
27,28,28,David Toms,80,70.28,2038,29
28,29,29,Kirk Triplett,88,70.33,2743,39
29,T30,T30,Woody Austin,94,70.34,2040,29
30,T30,T30,Matt Gogel,86,70.34,2673,38
31,32,32,Olin Browne,92,70.36,1970,28
32,33,33,Stewart Cink,103,70.38,2745,39
33,34,34,Frank Lickliter II,89,70.39,2182,31
34,35,35,Loren Roberts,81,70.48,2185,31
35,36,36,Brenden Pappas,111,70.5,1833,26
36,37,37,J.L. Lewis,106,70.51,2609,37
37,T38,T38,Robert Allenby,93,70.59,2400,34
38,T38,T38,Patrick Sheehan,113,70.59,2259,32
39,40,40,Billy Andrade,104,70.6,1765,25
40,41,41,Chad Campbell,100,70.63,1907,27
41,T42,T42,Tom Byrum,83,70.65,1625,23
42,T42,T42,Daniel Chopra,108,70.65,2614,37
43,T44,T44,Steve Allan,102,70.66,2049,29
44,T44,T44,Luke Donald,72,70.66,2049,29
45,T44,T44,Arron Oberholser,77,70.66,2049,29
46,T47,T47,Geoff Ogilvy,91,70.67,2120,30
47,T47,T47,Adam Scott,55,70.67,1696,24
48,49,49,Ryan Palmer,103,70.68,2403,34
49,50,50,Mike Weir,75,70.69,2050,29
50,T51,T51,Robert Gamez,103,70.71,2192,31
51,T51,T51,John Huston,62,70.71,1202,17
52,53,53,Kevin Na,100,70.72,2263,32
53,T54,T54,Jason Bohn,98,70.74,1627,23
54,T54,T54,Sergio Garcia,65,70.74,2688,38
55,T56,T56,Danny Briggs,85,70.76,1203,17
56,T56,T56,Jeff Maggert,60,70.76,1769,25
57,58,58,Chris DiMarco,105,70.79,2973,42
58,59,59,Dennis Paulson,71,70.8,1770,25
59,T60,T60,Notah Begay III,71,70.83,1275,18
60,T60,T60,Jason Dufner,79,70.83,1700,24
61,T62,T62,Briny Baird,100,70.84,2267,32
62,T62,T62,Tim Clark,84,70.84,2196,31
63,T62,T62,Scott McCarron,88,70.84,2196,31
64,T62,T62,Carl Pettersson,100,70.84,2267,32
65,66,66,Zach Johnson,109,70.86,3472,49
66,T67,T67,Craig Barlow,80,70.88,2410,34
67,T67,T67,Omar Uresti,85,70.88,1772,25
68,T67,T67,Duffy Waldorf,79,70.88,2339,33
69,70,70,Scott Hoch,52,70.89,1276,18
70,T71,T71,Jay Haas,84,70.9,2198,31
71,T71,T71,Andre Stolz,53,70.9,709,10
72,73,73,Stuart Appleby,84,70.93,2128,30
73,74,74,Cameron Beckman,99,70.94,2483,35
74,T75,T75,Pat Bates,99,70.96,1845,26
75,T75,T75,Hank Kuehne,91,70.96,1916,27
76,T75,T75,Heath Slocum,92,70.96,1703,24
77,T78,T78,Bernhard Langer,59,71.0,1065,15
78,T78,T78,Justin Rose,77,71.0,1775,25
79,T80,T80,Jay Delsing,76,71.04,1634,23
80,T80,T80,Mark O'Meara,58,71.04,1634,23
81,82,82,Deane Pappas,72,71.05,1563,22
82,83,83,J.J. Henry,103,71.06,2203,31
83,T84,T84,Tim Herron,84,71.07,2061,29
84,T84,T84,Rod Pampling,98,71.07,2132,30
85,T84,T84,Ted Purdy,114,71.07,2914,41
86,87,87,Todd Fischer,104,71.09,1635,23
87,T88,T88,Greg Chalmers,70,71.1,1493,21
88,T88,T88,Ben Crane,92,71.1,2062,29
89,T88,T88,Richard Johnson,102,71.1,2204,31
90,91,91,Nick Price,51,71.11,1280,18
91,92,92,Shigeki Maruyama,93,71.13,2703,38
92,T93,T93,Tommy Armour III,87,71.14,1494,21
93,T93,T93,Neal Lancaster,106,71.14,2561,36
94,T95,T95,Todd Hamilton,92,71.15,2348,33
95,T95,T95,Joe Ogilvie,104,71.15,2348,33
96,97,97,Steve Lowery,91,71.16,1779,25
97,98,98,Michael Allen,87,71.17,1708,24
98,99,99,Davis Love III,85,71.18,2420,34
99,100,100,Bob Tway,90,71.19,2207,31
100,T101,T101,Freddie Jacobson,83,71.21,1994,28
101,T101,T101,John Riegger,53,71.21,1353,19
102,103,103,Craig Bowden,83,71.25,2280,32
103,104,104,Glen Day,101,71.26,1639,23
104,T105,T105,John Cook,57,71.27,1069,15
105,T105,T105,Brett Quigley,102,71.27,2637,37
106,T107,T107,David Peoples,82,71.31,2282,32
107,T107,T107,Chris Smith,105,71.31,2282,32
108,109,109,Tom Pernice Jr.,103,71.32,2211,31
109,T110,T110,Charles Howell III,104,71.33,2782,39
110,T110,T110,Pat Perez,102,71.33,1498,21
111,T112,T112,Aaron Baddeley,87,71.35,1855,26
112,T112,T112,Brad Faxon,94,71.35,1855,26
113,T114,T114,Alex Cejka,76,71.36,1998,28
114,T114,T114,Gene Sauers,83,71.36,1784,25
115,T116,T116,Justin Leonard,90,71.39,2213,31
116,T116,T116,Corey Pavin,83,71.39,1999,28
117,118,118,Roland Thatcher,66,71.4,1785,25
118,119,119,K.J. Choi,83,71.41,2428,34
119,T120,T120,Jeff Sluman,98,71.42,2714,38
120,T120,T120,Hidemichi Tanaka,89,71.42,1857,26
121,T120,T120,Jay Williamson,100,71.42,2214,31
122,123,123,Lucas Glover,95,71.43,2000,28
123,T124,T124,J.P. Hayes,79,71.44,1286,18
124,T124,T124,Tripp Isenhour,55,71.44,1286,18
125,T124,T124,Lee Janzen,84,71.44,2286,32
126,T124,T124,Skip Kendall,99,71.44,2286,32
127,128,128,Brian Gay,96,71.46,2644,37
128,129,129,Dean Wilson,99,71.48,1930,27
129,T130,T130,Mark Calcavecchia,79,71.5,1716,24
130,T130,T130,Scott Hend,81,71.5,1859,26
131,T130,T130,Hunter Mahan,94,71.5,2288,32
132,133,133,Jonathan Kaye,79,71.56,1789,25
133,134,134,José María Olazábal,56,71.58,1360,19
134,135,135,Dan Forsman,79,71.59,1575,22
135,136,136,Matt Kuchar,83,71.6,1790,25
136,T137,T137,Brian Bateman,84,71.61,2005,28
137,T137,T137,Bob Burns,88,71.61,2005,28
138,T137,T137,Dudley Hart,60,71.61,1289,18
139,T137,T137,Steve Pate,71,71.61,1289,18
140,T137,T137,Joey Sindelar,100,71.61,2220,31
141,142,142,Stephen Leaney,84,71.62,1862,26
142,143,143,Tommy Tolles,67,71.63,1361,19
143,T144,T144,Rich Barcelo,67,71.67,1075,15
144,T144,T144,Steve Flesch,109,71.67,2580,36
145,T146,T146,José Coceres,68,71.68,1577,22
146,T146,T146,Craig Parry,52,71.68,1362,19
147,T148,T148,Russ Cochran,61,71.74,1363,19
148,T148,T148,Shaun Micheel,93,71.74,2439,34
149,T150,T150,Darren Clarke,54,71.75,1722,24
150,T150,T150,Fred Couples,54,71.75,1722,24
151,T150,T150,Dicky Pride,66,71.75,861,12
152,153,153,Peter Lonard,68,71.76,1794,25
153,154,154,Mike Heinen,53,71.79,1005,14
154,155,155,Craig Perks,75,71.87,1653,23
155,156,156,John Rollins,90,71.88,1725,24
156,T157,T157,Spike McRoy,93,71.89,1366,19
157,T157,T157,Scott Simpson,55,71.89,1294,18
158,159,159,Jonathan Byrd,85,71.9,2229,31
159,160,160,Jeff Brehaut,106,71.92,1870,26
160,161,161,D.J. Brigman,79,71.93,1079,15
161,T162,T162,Ken Duke,89,72.05,1513,21
162,T162,T162,David Frost,78,72.05,1513,21
163,T162,T162,Mathias Grönberg,91,72.05,1369,19
164,165,165,David Morland IV,73,72.06,1153,16
165,166,166,Tag Ridings,53,72.07,1009,14
166,167,167,Chris Riley,78,72.11,2019,28
167,168,168,Billy Mayfair,109,72.13,1659,23
168,169,169,Rocco Mediate,53,72.15,938,13
169,T170,T170,Chris Couch,55,72.17,866,12
170,T170,T170,Mark Wilson,62,72.17,866,12
171,172,172,Mark Brooks,72,72.31,1157,16
172,173,173,Cliff Kresge,89,72.32,1591,22
173,174,174,Rich Beem,81,72.35,1881,26
174,T175,T175,Tom Carter,113,72.38,1520,21
175,T175,T175,Niclas Fasth,61,72.38,941,13
176,T175,T175,Esteban Toledo,92,72.38,1520,21
177,178,178,Tim Petrovic,111,72.41,2317,32
178,179,179,Blaine McCallister,68,72.43,1014,14
179,180,180,Steve Elkington,64,72.47,1087,15
180,181,181,Len Mattiace,75,72.48,1522,21
181,T182,T182,Guy Boros,64,72.5,870,12
182,T182,T182,Danny Ellis,81,72.5,1595,22
183,184,184,Arjun Atwal,85,72.53,1378,19
184,185,185,Kevin Muncrief,50,72.55,798,11
185,186,186,Kris Cox,73,72.56,1306,18
186,187,187,David Branshaw,84,72.57,1669,23
187,188,188,Paul Azinger,75,72.62,1888,26
188,189,189,Dan Olsen,75,72.67,1090,15
189,190,190,Grant Waite,79,72.75,1455,20
190,191,191,Roger Tambellini,81,72.8,1456,20
191,192,192,Steve Stricker,81,72.86,1530,21
192,193,193,David Gossett,57,72.9,729,10
193,194,194,Hirofumi Miyase,65,72.95,1459,20
194,195,195,Ben Curtis,56,73.0,1314,18
195,196,196,Brian Kortan,65,73.19,1171,16
