,Tenth_Tee_Late_Round_3_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Round_3_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Round_3_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Round_3_Scoring_Average_AVG,Tenth_Tee_Late_Round_3_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Round_3_Scoring_Average_TOTAL ROUNDS
0,1,1,Tim Clark,64.0,64,1
1,2,2,John Huston,66.0,66,1
2,T3,T3,Ben Crane,66.5,133,2
3,T3,T3,Geoff Ogilvy,66.5,133,2
4,T5,T5,J.P. Hayes,67.0,134,2
5,T5,T5,Bob Tway,67.0,134,2
6,T7,T7,Stewart Cink,67.5,135,2
7,T7,T7,Joe Durant,67.5,135,2
8,T7,T7,Davis Love III,67.5,135,2
9,T7,T7,Vijay Singh,67.5,270,4
10,T11,T11,Steve Allan,68.0,68,1
11,T11,T11,Mark Brooks,68.0,136,2
12,T11,T11,John Cook,68.0,136,2
13,T11,T11,Harrison Frazar,68.0,68,1
14,T11,T11,Shigeki Maruyama,68.0,68,1
15,T11,T11,Kevin Na,68.0,68,1
16,T11,T11,Heath Slocum,68.0,68,1
17,T11,T11,Mike Weir,68.0,68,1
18,T19,T19,Tom Byrum,68.5,137,2
19,T19,T19,José Coceres,68.5,137,2
20,T19,T19,Robert Damron,68.5,137,2
21,T19,T19,Jay Haas,68.5,137,2
22,T23,T23,Rich Beem,69.0,69,1
23,T23,T23,Bernhard Langer,69.0,69,1
24,T23,T23,Justin Leonard,69.0,69,1
25,T23,T23,Blaine McCallister,69.0,138,2
26,T23,T23,Kenny Perry,69.0,69,1
27,T23,T23,Patrick Sheehan,69.0,138,2
28,T29,T29,Guy Boros,69.33,208,3
29,T29,T29,Frank Lickliter II,69.33,208,3
30,T31,T31,Greg Chalmers,69.5,139,2
31,T31,T31,Carlos Franco,69.5,139,2
32,T31,T31,Freddie Jacobson,69.5,139,2
33,T31,T31,Rod Pampling,69.5,278,4
34,T35,T35,Jesper Parnevik,69.67,209,3
35,T35,T35,Steve Stricker,69.67,209,3
36,37,37,John Daly,69.75,279,4
37,T38,T38,Michael Allen,70.0,70,1
38,T38,T38,Stuart Appleby,70.0,70,1
39,T38,T38,D.J. Brigman,70.0,140,2
40,T38,T38,Steve Elkington,70.0,210,3
41,T38,T38,Tripp Isenhour,70.0,140,2
42,T38,T38,Richard Johnson,70.0,140,2
43,T38,T38,Arron Oberholser,70.0,70,1
44,T38,T38,Pat Perez,70.0,70,1
45,T38,T38,Tom Pernice Jr.,70.0,70,1
46,T38,T38,Tim Petrovic,70.0,70,1
47,T38,T38,Carl Pettersson,70.0,70,1
48,T38,T38,Vaughn Taylor,70.0,210,3
49,T50,T50,Jeff Brehaut,70.25,281,4
50,T50,T50,Billy Mayfair,70.25,281,4
51,T50,T50,Steve Pate,70.25,281,4
52,53,53,Pat Bates,70.33,211,3
53,T54,T54,Lucas Glover,70.5,141,2
54,T54,T54,Jonathan Kaye,70.5,141,2
55,T54,T54,Len Mattiace,70.5,141,2
56,T54,T54,Kevin Sutherland,70.5,141,2
57,T54,T54,Dean Wilson,70.5,141,2
58,T59,T59,Robert Gamez,70.67,212,3
59,T59,T59,Tim Herron,70.67,212,3
60,T59,T59,Bo Van Pelt,70.67,212,3
61,T59,T59,Mark Wilson,70.67,212,3
62,T63,T63,Paul Azinger,71.0,71,1
63,T63,T63,Briny Baird,71.0,71,1
64,T63,T63,David Branshaw,71.0,71,1
65,T63,T63,Danny Briggs,71.0,71,1
66,T63,T63,Jonathan Byrd,71.0,71,1
67,T63,T63,K.J. Choi,71.0,71,1
68,T63,T63,Danny Ellis,71.0,71,1
69,T63,T63,Mark Hensby,71.0,142,2
70,T63,T63,Scott Hoch,71.0,71,1
71,T63,T63,Jerry Kelly,71.0,142,2
72,T63,T63,Skip Kendall,71.0,142,2
73,T63,T63,Hunter Mahan,71.0,71,1
74,T63,T63,Craig Parry,71.0,71,1
75,T63,T63,Dennis Paulson,71.0,142,2
76,T63,T63,Rory Sabbatini,71.0,71,1
