,First_Tee_Early_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Scoring_Average_PLAYER NAME,First_Tee_Early_Scoring_Average_ROUNDS,First_Tee_Early_Scoring_Average_AVG,First_Tee_Early_Scoring_Average_TOTAL STROKES,First_Tee_Early_Scoring_Average_TOT. EARLY RDS.(1ST TEE)
0,1,1,Vijay Singh,112,68.93,1861,27
1,2,2,Tiger Woods,78,69.42,1319,19
2,3,3,Brian Gay,96,69.5,1390,20
3,4,4,Ernie Els,62,69.67,1045,15
4,5,5,Darren Clarke,54,69.73,1046,15
5,6,6,Jesper Parnevik,86,69.75,1674,24
6,7,7,Retief Goosen,56,69.8,1047,15
7,8,8,Brian Bateman,84,69.82,1536,22
8,9,9,Tom Byrum,83,69.83,2095,30
9,T10,T10,Phil Mickelson,83,69.85,1397,20
10,T10,T10,Loren Roberts,81,69.85,1886,27
11,12,12,Zach Johnson,109,69.89,1957,28
12,T13,T13,Kevin Na,100,69.93,1888,27
13,T13,T13,Justin Rose,77,69.93,1958,28
14,15,15,Stephen Ames,97,70.0,1680,24
15,16,16,Freddie Jacobson,83,70.04,1611,23
16,17,17,David Frost,78,70.05,1401,20
17,18,18,Rod Pampling,98,70.08,2523,36
18,19,19,Duffy Waldorf,79,70.11,1262,18
19,T20,T20,Jay Haas,84,70.12,1823,26
20,T20,T20,Carl Pettersson,100,70.12,2314,33
21,22,22,Stewart Cink,103,70.15,2315,33
22,23,23,Corey Pavin,83,70.17,1684,24
23,24,24,Bo Van Pelt,107,70.22,1896,27
24,25,25,Craig Barlow,80,70.27,1054,15
25,26,26,Lee Janzen,84,70.31,1828,26
26,27,27,Jeff Sluman,98,70.32,2180,31
27,28,28,Steve Flesch,109,70.34,2673,38
28,T29,T29,Luke Donald,72,70.36,1548,22
29,T29,T29,Mark Wilson,62,70.36,1548,22
30,31,31,Dudley Hart,60,70.37,1337,19
31,32,32,John Senden,99,70.39,2534,36
32,33,33,Deane Pappas,72,70.42,1338,19
33,T34,T34,Briny Baird,100,70.47,2114,30
34,T34,T34,Sergio Garcia,65,70.47,1057,15
35,T36,T36,Joe Durant,85,70.48,2044,29
36,T36,T36,Tom Lehman,70,70.48,1480,21
37,38,38,Steve Elkington,64,70.5,1410,20
38,39,39,Shaun Micheel,93,70.53,2539,36
39,40,40,Ted Purdy,114,70.55,2187,31
40,T41,T41,Notah Begay III,71,70.56,1764,25
41,T41,T41,David Toms,80,70.56,1905,27
42,43,43,Geoff Ogilvy,91,70.57,2117,30
43,T44,T44,Justin Leonard,90,70.58,2329,33
44,T44,T44,Kirk Triplett,88,70.58,1341,19
45,T46,T46,Stuart Appleby,84,70.62,2048,29
46,T46,T46,Fred Couples,54,70.62,918,13
47,T46,T46,Chris DiMarco,105,70.62,2401,34
48,49,49,Adam Scott,55,70.63,1130,16
49,50,50,Cameron Beckman,99,70.64,1978,28
50,T51,T51,Olin Browne,92,70.65,1837,26
51,T51,T51,Charles Howell III,104,70.65,2190,31
52,T51,T51,Davis Love III,85,70.65,1625,23
53,54,54,Paul Azinger,75,70.68,1555,22
54,55,55,Dean Wilson,99,70.71,2192,31
55,56,56,Carlos Franco,99,70.72,2546,36
56,57,57,Russ Cochran,61,70.74,1344,19
57,T58,T58,Jerry Kelly,113,70.77,2194,31
58,T58,T58,José María Olazábal,56,70.77,920,13
59,60,60,Mike Weir,75,70.79,1699,24
60,T61,T61,Jonathan Byrd,85,70.8,1770,25
61,T61,T61,Tag Ridings,53,70.8,1062,15
62,63,63,Bob Burns,88,70.81,1912,27
63,64,64,Chris Riley,78,70.82,1558,22
64,T65,T65,Tom Pernice Jr.,103,70.84,2267,32
65,T65,T65,Joey Sindelar,100,70.84,2267,32
66,67,67,Scott Verplank,92,70.86,1488,21
67,T68,T68,Tim Herron,84,70.88,1772,25
68,T68,T68,Richard Johnson,102,70.88,2268,32
69,70,70,Bart Bryant,73,70.91,1631,23
70,T71,T71,Kenny Perry,79,70.92,1702,24
