,Total_Birdies_RANK THIS WEEK,Total_Birdies_RANK LAST WEEK,Total_Birdies_PLAYER NAME,Total_Birdies_ROUNDS,Total_Birdies_TOTAL
0,1,1,Vijay Singh,112,484
1,2,2,Ted Purdy,114,420
2,3,3,Patrick Sheehan,113,415
3,4,4,Jerry Kelly,113,409
4,5,5,Bo Van Pelt,107,406
5,6,6,Zach Johnson,109,403
6,7,7,Daniel Chopra,108,402
7,8,8,Brenden Pappas,111,397
8,9,9,Joe Ogilvie,104,391
9,10,10,Carl Pettersson,100,388
10,11,11,Steve Flesch,109,387
11,12,12,Ryan Palmer,103,386
12,13,13,Chris Smith,105,385
13,14,14,J.L. Lewis,106,381
14,15,15,Pat Perez,102,380
15,16,16,Robert Gamez,103,379
16,17,17,Stephen Ames,97,375
17,18,18,Stewart Cink,103,374
18,19,19,Woody Austin,94,372
19,T20,T20,Billy Andrade,104,371
20,T20,T20,Richard Johnson,102,371
21,22,22,Jason Bohn,98,369
22,23,23,Chris DiMarco,105,367
23,24,24,Tim Petrovic,111,361
24,T25,T25,Jeff Sluman,98,360
25,T25,T25,Scott Verplank,92,360
26,27,27,J.J. Henry,103,359
27,T28,T28,Neal Lancaster,106,358
28,T28,T28,Dean Wilson,99,358
29,T30,T30,Cameron Beckman,99,357
30,T30,T30,Carlos Franco,99,357
31,32,32,Todd Fischer,104,356
32,33,33,Steve Allan,102,353
33,T34,T34,Briny Baird,100,351
34,T34,T34,Tom Carter,113,351
35,T36,T36,Glen Day,101,350
36,T36,T36,Brett Quigley,102,350
37,T38,T38,Mark Hensby,97,349
38,T38,T38,Rod Pampling,98,349
39,40,40,Jeff Brehaut,106,347
40,41,41,John Senden,99,346
41,T42,T42,Shigeki Maruyama,93,345
42,T42,T42,Geoff Ogilvy,91,345
43,44,44,Kent Jones,99,344
44,T45,T45,Ben Crane,92,343
45,T45,T45,Skip Kendall,99,343
46,T45,T45,Tom Pernice Jr.,103,343
47,T48,T48,Lucas Glover,95,340
48,T48,T48,Joey Sindelar,100,340
49,50,50,Fred Funk,97,338
50,51,51,Brian Gay,96,337
51,52,52,Jay Williamson,100,336
52,53,53,Kevin Na,100,335
53,54,54,Billy Mayfair,109,334
54,55,55,Phil Mickelson,83,332
55,T56,T56,Frank Lickliter II,89,331
56,T56,T56,Hunter Mahan,94,331
57,58,58,Charles Howell III,104,329
58,59,59,Brent Geiberger,94,328
59,T60,T60,Robert Allenby,93,323
60,T60,T60,Scott McCarron,88,323
61,T60,T60,Jesper Parnevik,86,323
62,T60,T60,Vaughn Taylor,84,323
63,64,64,Pat Bates,99,322
64,T65,T65,Steve Lowery,91,321
65,T65,T65,Rory Sabbatini,89,321
66,67,67,Harrison Frazar,86,318
67,T68,T68,Jonathan Byrd,85,316
68,T68,T68,Hank Kuehne,91,316
69,T68,T68,Kirk Triplett,88,316
70,T71,T71,John Daly,79,315
71,T71,T71,Robert Damron,92,315
72,T71,T71,Tiger Woods,78,315
73,74,74,Olin Browne,92,312
74,75,75,Chad Campbell,100,309
75,76,76,Shaun Micheel,93,308
76,T77,T77,Freddie Jacobson,83,307
77,T77,T77,Heath Slocum,92,307
78,T79,T79,Joe Durant,85,306
79,T79,T79,Lee Janzen,84,306
80,81,81,Tim Clark,84,305
81,82,82,Matt Gogel,86,304
82,83,83,Michael Allen,87,303
83,84,84,Loren Roberts,81,300
84,T85,T85,Brad Faxon,94,297
85,T85,T85,John Rollins,90,297
86,T87,T87,Mark Calcavecchia,79,294
87,T87,T87,Hidemichi Tanaka,89,294
88,89,89,Stuart Appleby,84,293
89,T90,T90,Ken Duke,89,292
90,T90,T90,Spike McRoy,93,292
91,T90,T90,Kenny Perry,79,292
92,T93,T93,K.J. Choi,83,291
93,T93,T93,Scott Hend,81,291
94,T93,T93,Justin Leonard,90,291
95,96,96,Brian Bateman,84,290
96,97,97,Todd Hamilton,92,289
97,98,98,Arjun Atwal,85,288
98,T99,T99,Tommy Armour III,87,287
99,T99,T99,Bob Burns,88,287
100,T101,T101,Craig Barlow,80,285
101,T101,T101,Matt Kuchar,83,285
102,T101,T101,David Toms,80,285
103,104,104,Aaron Baddeley,87,284
104,105,105,Danny Briggs,85,283
105,106,106,Jason Dufner,79,282
106,T107,T107,Paul Azinger,75,280
107,T107,T107,Jay Haas,84,280
108,T107,T107,David Peoples,82,280
109,T110,T110,Tom Byrum,83,278
110,T110,T110,Davis Love III,85,278
111,T112,T112,David Branshaw,84,277
112,T112,T112,Corey Pavin,83,277
113,T112,T112,Justin Rose,77,277
114,T115,T115,Esteban Toledo,92,276
115,T115,T115,Duffy Waldorf,79,276
116,T117,T117,Mathias Grönberg,91,274
117,T117,T117,Mike Weir,75,274
118,119,119,Bob Tway,90,273
119,T120,T120,Tim Herron,84,272
120,T120,T120,Kevin Sutherland,86,272
121,122,122,Steve Stricker,81,271
122,123,123,Omar Uresti,85,270
123,124,124,Craig Bowden,83,269
124,125,125,Danny Ellis,81,268
125,126,126,D.J. Brigman,79,266
126,127,127,Dennis Paulson,71,265
127,128,128,Cliff Kresge,89,264
128,T129,T129,Rich Beem,81,262
129,T129,T129,Gene Sauers,83,262
130,131,131,Greg Chalmers,70,261
131,132,132,Jonathan Kaye,79,259
132,133,133,Tom Lehman,70,256
133,T134,T134,Deane Pappas,72,255
134,T134,T134,Roger Tambellini,81,255
135,T136,T136,Luke Donald,72,251
136,T136,T136,David Frost,78,251
137,T138,T138,Bart Bryant,73,250
138,T138,T138,Bob Estes,73,250
139,140,140,J.P. Hayes,79,249
140,141,141,Chris Riley,78,248
141,142,142,Notah Begay III,71,247
142,T143,T143,Sergio Garcia,65,242
143,T143,T143,Grant Waite,79,242
144,T145,T145,Alex Cejka,76,241
145,T145,T145,Jay Delsing,76,241
146,T145,T145,Arron Oberholser,77,241
147,148,148,Dan Olsen,75,238
148,149,149,Tommy Tolles,67,237
149,T150,T150,Ernie Els,62,236
150,T150,T150,Roland Thatcher,66,236
151,152,152,Craig Perks,75,235
152,T153,T153,Dan Forsman,79,234
153,T153,T153,David Morland IV,73,234
154,155,155,José Coceres,68,231
155,156,156,Steve Pate,71,228
156,157,157,Kris Cox,73,225
157,T158,T158,Retief Goosen,56,223
158,T158,T158,Stephen Leaney,84,223
159,160,160,Len Mattiace,75,222
160,161,161,Mark Wilson,62,215
161,162,162,John Huston,62,214
162,163,163,Rich Barcelo,67,213
163,T164,T164,Mark Brooks,72,212
164,T164,T164,Jeff Maggert,60,212
165,166,166,Steve Elkington,64,208
166,167,167,Adam Scott,55,206
167,168,168,Guy Boros,64,201
168,169,169,Russ Cochran,61,200
169,170,170,Dudley Hart,60,198
170,171,171,Blaine McCallister,68,197
171,172,172,Fred Couples,54,195
