,Front_9_Round_1_Scoring_Average_RANK THIS WEEK,Front_9_Round_1_Scoring_Average_RANK LAST WEEK,Front_9_Round_1_Scoring_Average_PLAYER NAME,Front_9_Round_1_Scoring_Average_AVG,Front_9_Round_1_Scoring_Average_TOTAL STROKES,Front_9_Round_1_Scoring_Average_TOTAL ROUNDS
0,1,1,Vijay Singh,34.0,952,28
1,2,2,Loren Roberts,34.24,719,21
2,3,3,Kirk Triplett,34.35,790,23
3,4,4,Dennis Paulson,34.38,722,21
4,5,5,Jonathan Byrd,34.46,896,26
5,6,6,Tom Lehman,34.5,621,18
6,7,7,Corey Pavin,34.55,760,22
7,8,8,Scott Verplank,34.57,795,23
8,9,9,Ernie Els,34.6,519,15
9,10,10,Jay Haas,34.62,727,21
10,11,11,Phil Mickelson,34.71,729,21
11,12,12,David Branshaw,34.76,1008,29
12,13,13,Skip Kendall,34.79,1009,29
13,14,14,Darren Clarke,34.8,522,15
14,15,15,Jesper Parnevik,34.83,836,24
15,16,16,Jay Delsing,34.84,871,25
16,17,17,Jeff Sluman,34.89,942,27
17,T18,T18,Brent Geiberger,34.9,1012,29
18,T18,T18,Kent Jones,34.9,1082,31
19,20,20,Greg Chalmers,34.91,768,22
20,21,21,Carl Pettersson,34.93,943,27
21,T22,T22,Sergio Garcia,34.94,594,17
22,T22,T22,Richard Johnson,34.94,1118,32
23,T24,T24,Robert Allenby,34.96,839,24
24,T24,T24,Stuart Appleby,34.96,804,23
25,T24,T24,Shigeki Maruyama,34.96,874,25
26,27,27,Zach Johnson,34.97,1014,29
27,T28,T28,Tim Clark,35.0,910,26
28,T28,T28,Harrison Frazar,35.0,840,24
29,T28,T28,Scott McCarron,35.0,910,26
30,T28,T28,Ted Purdy,35.0,1190,34
31,T28,T28,Duffy Waldorf,35.0,805,23
32,T28,T28,Tiger Woods,35.0,630,18
33,T34,T34,Stephen Ames,35.04,911,26
34,T34,T34,Mark Hensby,35.04,981,28
35,T34,T34,Vaughn Taylor,35.04,911,26
36,37,37,Glen Day,35.06,1122,32
37,T38,T38,Charles Howell III,35.07,982,28
38,T38,T38,Bo Van Pelt,35.07,1017,29
39,40,40,Matt Gogel,35.08,842,24
40,41,41,Kenny Perry,35.09,772,22
41,T42,T42,Olin Browne,35.1,1018,29
42,T42,T42,Robert Gamez,35.1,1088,31
43,T42,T42,Brian Gay,35.1,1088,31
44,45,45,Hidemichi Tanaka,35.11,948,27
45,T46,T46,Stewart Cink,35.12,913,26
46,T46,T46,Danny Ellis,35.12,878,25
47,T48,T48,Daniel Chopra,35.13,1124,32
48,T48,T48,Todd Fischer,35.13,1124,32
49,T48,T48,Adam Scott,35.13,527,15
50,T51,T51,Cameron Beckman,35.14,1019,29
51,T51,T51,Russ Cochran,35.14,773,22
52,T51,T51,Chris Riley,35.14,738,21
53,54,54,Justin Rose,35.15,703,20
54,55,55,Justin Leonard,35.17,809,23
55,T56,T56,Jerry Kelly,35.18,985,28
56,T56,T56,David Toms,35.18,774,22
57,58,58,Jay Williamson,35.19,1126,32
58,59,59,Retief Goosen,35.2,528,15
59,60,60,Patrick Sheehan,35.22,1127,32
60,61,61,Carlos Franco,35.23,916,26
61,T62,T62,Chris DiMarco,35.24,881,25
62,T62,T62,Luke Donald,35.24,740,21
63,T62,T62,Deane Pappas,35.24,740,21
64,T65,T65,Fred Funk,35.25,987,28
65,T65,T65,Matt Kuchar,35.25,987,28
66,T67,T67,Brian Bateman,35.26,811,23
67,T67,T67,Ben Crane,35.26,952,27
68,T67,T67,Roger Tambellini,35.26,952,27
69,T70,T70,Chad Campbell,35.27,917,26
70,T70,T70,Bob Estes,35.27,776,22
71,T72,T72,Rod Pampling,35.28,882,25
72,T72,T72,Scott Simpson,35.28,635,18
73,74,74,Dudley Hart,35.29,741,21
74,75,75,Mark Calcavecchia,35.3,812,23
75,76,76,Steve Elkington,35.32,671,19
76,T77,T77,Danny Briggs,35.33,954,27
77,T77,T77,John Huston,35.33,636,18
78,T77,T77,Kevin Sutherland,35.33,848,24
79,80,80,Steve Allan,35.34,1131,32
80,T81,T81,Rich Beem,35.35,919,26
81,T81,T81,Tim Petrovic,35.35,1096,31
82,T83,T83,Jason Bohn,35.36,990,28
83,T83,T83,Robert Damron,35.36,990,28
84,T83,T83,Arron Oberholser,35.36,778,22
85,T83,T83,Nick Price,35.36,495,14
86,T83,T83,Tommy Tolles,35.36,884,25
87,88,88,Mark Wilson,35.37,672,19
88,T89,T89,Craig Barlow,35.38,849,24
89,T89,T89,Bob Burns,35.38,1026,29
90,T89,T89,Mike Weir,35.38,743,21
91,92,92,Steve Pate,35.39,814,23
92,93,93,J.J. Henry,35.4,1062,30
93,T94,T94,Mike Heinen,35.41,602,17
94,T94,T94,Tag Ridings,35.41,602,17
95,T94,T94,John Riegger,35.41,602,17
96,T97,T97,D.J. Brigman,35.42,921,26
97,T97,T97,José Coceres,35.42,673,19
98,T97,T97,Todd Hamilton,35.42,921,26
99,T97,T97,Billy Mayfair,35.42,1098,31
100,T97,T97,Bob Tway,35.42,850,24
101,102,102,K.J. Choi,35.43,815,23
102,T103,T103,Ben Curtis,35.44,638,18
103,T103,T103,Tim Herron,35.44,886,25
104,T103,T103,David Peoples,35.44,886,25
105,T106,T106,John Daly,35.45,780,22
106,T106,T106,J.L. Lewis,35.45,1099,31
107,T108,T108,Steve Flesch,35.48,1029,29
108,T108,T108,Hank Kuehne,35.48,1029,29
109,T108,T108,Neal Lancaster,35.48,1100,31
110,T111,T111,Alex Cejka,35.5,781,22
111,T111,T111,Scott Hoch,35.5,568,16
112,T113,T113,Blaine McCallister,35.52,959,27
113,T113,T113,Brenden Pappas,35.52,1172,33
114,T113,T113,Chris Smith,35.52,1172,33
115,116,116,Brian Kortan,35.57,818,23
116,T117,T117,Jeff Brehaut,35.58,1174,33
117,T117,T117,Lee Janzen,35.58,854,24
118,T117,T117,Shaun Micheel,35.58,925,26
119,T117,T117,Dean Wilson,35.58,1174,33
120,T121,T121,Briny Baird,35.61,997,28
