,Bogey_Average_RANK THIS WEEK,Bogey_Average_RANK LAST WEEK,Bogey_Average_PLAYER NAME,Bogey_Average_EVENTS,Bogey_Average_AVERAGE BOGEYS PER ROUND,Bogey_Average_TOTAL BOGEYS,Bogey_Average_ROUNDS PLAYED
0,1,1,Retief Goosen,16,1.89,104,55
1,2,2,Vijay Singh,29,2.03,223,110
2,3,3,Kirk Triplett,24,2.13,179,84
3,4,4,Stewart Cink,28,2.14,208,97
4,5,5,Jay Haas,23,2.15,170,79
5,T6,T6,José María Olazábal,17,2.23,116,52
6,T6,T6,Scott Verplank,24,2.23,203,91
7,T8,T8,Ernie Els,16,2.24,130,58
8,T8,T8,Loren Roberts,22,2.24,177,79
9,10,10,Phil Mickelson,22,2.25,178,79
10,11,11,Jerry Kelly,29,2.26,246,109
11,12,12,Joe Durant,26,2.27,193,85
12,13,13,Tom Pernice Jr.,31,2.32,230,99
13,T14,T14,Stephen Ames,27,2.34,222,95
14,T14,T14,Olin Browne,30,2.34,206,88
15,T14,T14,Chris DiMarco,27,2.34,229,98
16,T14,T14,Jesper Parnevik,24,2.34,201,86
17,18,18,Geoff Ogilvy,26,2.36,205,87
18,T19,T19,Rod Pampling,26,2.37,223,94
19,T19,T19,Duffy Waldorf,26,2.37,173,73
20,T21,T21,José Coceres,20,2.38,152,64
21,T21,T21,Justin Leonard,25,2.38,202,85
22,23,23,Tiger Woods,19,2.39,172,72
23,T24,T24,Cameron Beckman,30,2.44,234,96
24,T24,T24,Tom Lehman,19,2.44,161,66
25,26,26,Davis Love III,24,2.45,184,75
26,T27,T27,Stuart Appleby,25,2.46,192,78
27,T27,T27,Luke Donald,21,2.46,177,72
28,T27,T27,Kevin Na,32,2.46,236,96
29,30,30,Chad Campbell,28,2.47,230,93
30,T31,T31,Brian Bateman,24,2.48,198,80
31,T31,T31,Todd Fischer,33,2.48,253,102
32,T31,T31,Carlos Franco,27,2.48,246,99
33,T31,T31,Shigeki Maruyama,26,2.48,228,92
34,T31,T31,Arron Oberholser,23,2.48,181,73
35,T36,T36,Craig Barlow,25,2.49,194,78
36,T36,T36,Fred Funk,29,2.49,239,96
37,T36,T36,Justin Rose,22,2.49,179,72
38,T39,T39,John Cook,19,2.51,133,53
39,T39,T39,Ben Crane,27,2.51,231,92
40,T39,T39,Bernhard Langer,15,2.51,138,55
41,T42,T42,Darren Clarke,16,2.52,121,48
42,T42,T42,Zach Johnson,30,2.52,270,107
43,T42,T42,Kevin Sutherland,27,2.52,204,81
44,T45,T45,Scott Hoch,17,2.53,129,51
45,T45,T45,Rory Sabbatini,26,2.53,218,86
46,T47,T47,Tom Byrum,25,2.54,211,83
47,T47,T47,Bo Van Pelt,30,2.54,264,104
48,T49,T49,Tim Clark,26,2.55,214,84
49,T49,T49,Bob Tway,26,2.55,217,85
50,51,51,Brent Geiberger,31,2.57,234,91
51,T52,T52,Bob Estes,23,2.58,183,71
52,T52,T52,J.L. Lewis,32,2.58,274,106
53,T52,T52,John Riegger,17,2.58,137,53
54,T52,T52,Joey Sindelar,31,2.58,253,98
55,T52,T52,Heath Slocum,31,2.58,232,90
56,T57,T57,Michael Allen,28,2.59,220,85
57,T57,T57,Bart Bryant,23,2.59,179,69
58,T57,T57,Brian Gay,32,2.59,243,94
59,T57,T57,David Peoples,26,2.59,207,80
60,T57,T57,John Senden,28,2.59,249,96
61,T57,T57,Patrick Sheehan,33,2.59,287,111
62,T63,T63,Briny Baird,30,2.6,252,97
63,T63,T63,Mark Wilson,19,2.6,161,62
64,T65,T65,Robert Gamez,31,2.61,269,103
65,T65,T65,Matt Gogel,25,2.61,219,84
66,T65,T65,Joe Ogilvie,32,2.61,266,102
67,T68,T68,Mark Calcavecchia,24,2.62,204,78
68,T68,T68,Jeff Sluman,28,2.62,254,97
69,T70,T70,Steve Allan,33,2.63,260,99
70,T70,T70,Bob Burns,30,2.63,226,86
71,T70,T70,John Daly,22,2.63,208,79
72,T70,T70,Brad Faxon,28,2.63,234,89
73,T70,T70,Mark Hensby,29,2.63,245,93
74,T75,T75,Tim Petrovic,32,2.64,283,107
75,T75,T75,Tag Ridings,18,2.64,132,50
76,T75,T75,Mike Weir,22,2.64,193,73
