,Scoring_Average_Actual_RANK THIS WEEK,Scoring_Average_Actual_RANK LAST WEEK,Scoring_Average_Actual_PLAYER NAME,Scoring_Average_Actual_ROUNDS,Scoring_Average_Actual_AVG,Scoring_Average_Actual_TOTAL STROKES,Scoring_Average_Actual_TOTAL ROUNDS
0,1,1,Vijay Singh,112,69.19,7611,110
1,2,2,Retief Goosen,56,69.58,3827,55
2,3,3,Phil Mickelson,83,69.63,5501,79
3,4,4,Tiger Woods,78,69.68,5017,72
4,5,5,Ernie Els,62,69.69,4042,58
5,6,6,Tom Lehman,70,69.97,4618,66
6,7,7,Scott Verplank,92,70.02,6372,91
7,8,8,Stephen Ames,97,70.08,6658,95
8,9,9,Loren Roberts,81,70.09,5537,79
9,10,10,Stewart Cink,103,70.1,6800,97
10,11,11,Jesper Parnevik,86,70.16,6034,86
11,12,12,Jerry Kelly,113,70.23,7655,109
12,13,13,Kirk Triplett,88,70.24,5900,84
13,14,14,Bart Bryant,73,70.32,4852,69
14,15,15,Jay Haas,84,70.37,5559,79
15,16,16,Bo Van Pelt,107,70.38,7319,104
16,17,17,Joe Durant,85,70.4,5984,85
17,18,18,Harrison Frazar,86,70.45,5777,82
18,19,19,Carl Pettersson,100,70.46,6835,97
19,20,20,John Senden,99,70.48,6766,96
20,T21,T21,Zach Johnson,109,70.49,7542,107
21,T21,T21,Duffy Waldorf,79,70.49,5146,73
22,T23,T23,Geoff Ogilvy,91,70.51,6134,87
23,T23,T23,Kenny Perry,79,70.51,5359,76
24,T25,T25,Chris DiMarco,105,70.53,6912,98
25,T25,T25,Carlos Franco,99,70.53,6982,99
26,T25,T25,Ted Purdy,114,70.53,7899,112
27,T28,T28,Cameron Beckman,99,70.56,6774,96
28,T28,T28,Sergio Garcia,65,70.56,4516,64
29,T30,T30,Luke Donald,72,70.58,5082,72
30,T30,T30,Fred Funk,97,70.58,6776,96
31,T32,T32,Shigeki Maruyama,93,70.62,6497,92
32,T32,T32,David Toms,80,70.62,5226,74
33,T34,T34,Justin Rose,77,70.63,5085,72
34,T34,T34,Jeff Sluman,98,70.63,6851,97
35,36,36,Brent Geiberger,94,70.64,6428,91
36,37,37,Bob Estes,73,70.65,5016,71
37,T38,T38,Rod Pampling,98,70.66,6642,94
38,T38,T38,Corey Pavin,83,70.66,5582,79
39,T40,T40,Adam Scott,55,70.67,3675,52
40,T40,T40,Vaughn Taylor,84,70.67,5795,82
41,T42,T42,Stuart Appleby,84,70.69,5514,78
42,T42,T42,Briny Baird,100,70.69,6857,97
43,44,44,Tom Byrum,83,70.7,5868,83
44,45,45,Mike Weir,75,70.71,5162,73
45,T46,T46,Tim Clark,84,70.75,5943,84
46,T46,T46,Justin Leonard,90,70.75,6014,85
47,48,48,Davis Love III,85,70.76,5307,75
48,49,49,Mark Hensby,97,70.77,6582,93
49,T50,T50,Robert Allenby,93,70.78,6229,88
50,T50,T50,Olin Browne,92,70.78,6229,88
51,T50,T50,Ben Crane,92,70.78,6512,92
52,T53,T53,Craig Barlow,80,70.81,5523,78
53,T53,T53,Daniel Chopra,108,70.81,7506,106
54,T53,T53,Darren Clarke,54,70.81,3399,48
55,T53,T53,John Daly,79,70.81,5594,79
56,T53,T53,Freddie Jacobson,83,70.81,5665,80
57,T53,T53,Kent Jones,99,70.81,6869,97
58,59,59,Lee Janzen,84,70.82,5807,82
59,T60,T60,José Coceres,68,70.84,4534,64
60,T60,T60,Brian Gay,96,70.84,6659,94
61,T60,T60,Scott Hoch,52,70.84,3613,51
62,63,63,Tom Pernice Jr.,103,70.85,7014,99
