,First_Tee_Late_Round_1_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Round_1_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Round_1_Scoring_Average_PLAYER NAME,First_Tee_Late_Round_1_Scoring_Average_AVG,First_Tee_Late_Round_1_Scoring_Average_TOTAL STROKES,First_Tee_Late_Round_1_Scoring_Average_TOTAL ROUNDS
0,1,1,Harrison Frazar,68.29,478,7
1,2,2,Jesper Parnevik,68.4,342,5
2,T3,T3,John Cook,68.67,206,3
3,T3,T3,John Senden,68.67,412,6
4,5,5,Bob Tway,68.75,550,8
5,6,6,Luke Donald,68.83,413,6
6,7,7,Carlos Franco,68.86,482,7
7,T8,T8,Mark Hensby,69.0,414,6
8,T8,T8,Patrick Sheehan,69.0,552,8
9,T8,T8,Bo Van Pelt,69.0,552,8
10,11,11,John Daly,69.14,484,7
11,12,12,Brenden Pappas,69.17,415,6
12,13,13,Jay Haas,69.2,346,5
13,14,14,Kenny Perry,69.29,485,7
14,15,15,Kevin Sutherland,69.33,416,6
15,T16,T16,Loren Roberts,69.4,347,5
16,T16,T16,Kirk Triplett,69.4,347,5
17,18,18,Robert Gamez,69.43,486,7
18,19,19,Chris Riley,69.5,139,2
19,20,20,Chris DiMarco,69.57,487,7
20,T21,T21,Hank Kuehne,69.6,348,5
21,T21,T21,Phil Mickelson,69.6,348,5
22,T21,T21,Geoff Ogilvy,69.6,348,5
23,24,24,Scott Verplank,69.64,766,11
24,25,25,Jeff Sluman,69.67,418,6
25,26,26,Scott McCarron,69.71,488,7
26,27,27,Daniel Chopra,69.78,628,9
27,T28,T28,Sergio Garcia,69.8,349,5
28,T28,T28,Steve Lowery,69.8,349,5
29,30,30,Aaron Baddeley,69.82,768,11
30,31,31,Todd Fischer,69.83,419,6
31,32,32,Olin Browne,69.86,489,7
32,33,33,Brent Geiberger,69.88,559,8
33,T34,T34,Robert Allenby,70.0,630,9
34,T34,T34,D.J. Brigman,70.0,210,3
35,T34,T34,John Huston,70.0,280,4
36,T34,T34,Shigeki Maruyama,70.0,490,7
37,T34,T34,Justin Rose,70.0,350,5
38,39,39,Jason Dufner,70.08,841,12
39,T40,T40,Steve Allan,70.14,491,7
40,T40,T40,Dennis Paulson,70.14,491,7
41,42,42,J.P. Hayes,70.17,421,6
42,43,43,Frank Lickliter II,70.22,632,9
43,T44,T44,Robert Damron,70.25,562,8
44,T44,T44,Zach Johnson,70.25,843,12
45,T44,T44,Vijay Singh,70.25,562,8
46,T47,T47,Retief Goosen,70.29,492,7
47,T47,T47,Vaughn Taylor,70.29,492,7
48,T47,T47,Mike Weir,70.29,492,7
49,T50,T50,Rod Pampling,70.38,563,8
50,T50,T50,Rory Sabbatini,70.38,563,8
51,T52,T52,Danny Briggs,70.5,423,6
52,T52,T52,Bob Estes,70.5,282,4
53,T52,T52,Shaun Micheel,70.5,423,6
54,T52,T52,Kevin Na,70.5,423,6
55,T52,T52,José María Olazábal,70.5,282,4
56,T52,T52,Corey Pavin,70.5,282,4
57,T52,T52,Roland Thatcher,70.5,846,12
58,T52,T52,Mark Wilson,70.5,141,2
59,60,60,Tiger Woods,70.56,635,9
60,T61,T61,Jay Delsing,70.6,706,10
61,T61,T61,Joe Durant,70.6,706,10
62,T63,T63,Ernie Els,70.67,424,6
63,T63,T63,Dan Forsman,70.67,424,6
64,T63,T63,Billy Mayfair,70.67,636,9
65,T63,T63,Arron Oberholser,70.67,424,6
66,67,67,Stephen Ames,70.7,707,10
67,T68,T68,Glen Day,70.75,283,4
68,T68,T68,Tom Lehman,70.75,283,4
69,T68,T68,Scott Simpson,70.75,283,4
70,71,71,Tom Carter,70.88,567,8
71,72,72,Jeff Maggert,70.89,638,9
72,73,73,Todd Hamilton,70.91,780,11
73,T74,T74,Michael Allen,71.0,355,5
74,T74,T74,Billy Andrade,71.0,426,6
75,T74,T74,Stuart Appleby,71.0,426,6
76,T74,T74,Jason Bohn,71.0,355,5
77,T74,T74,David Branshaw,71.0,710,10
78,T74,T74,Bart Bryant,71.0,497,7
79,T74,T74,Chad Campbell,71.0,426,6
80,T74,T74,Matt Gogel,71.0,710,10
81,T74,T74,Dudley Hart,71.0,426,6
82,T74,T74,Charles Howell III,71.0,639,9
83,T74,T74,J.L. Lewis,71.0,568,8
84,T74,T74,Deane Pappas,71.0,639,9
85,T74,T74,Omar Uresti,71.0,710,10
86,T74,T74,Duffy Waldorf,71.0,284,4
87,T74,T74,Jay Williamson,71.0,710,10
88,89,89,Brett Quigley,71.1,711,10
89,T90,T90,Jeff Brehaut,71.11,640,9
90,T90,T90,Ryan Palmer,71.11,640,9
91,T92,T92,Joe Ogilvie,71.13,569,8
92,T92,T92,Chris Smith,71.13,569,8
93,T92,T92,Tommy Tolles,71.13,569,8
94,T95,T95,Briny Baird,71.14,498,7
95,T95,T95,Kent Jones,71.14,498,7
96,T95,T95,John Riegger,71.14,498,7
97,T95,T95,David Toms,71.14,498,7
98,99,99,Ben Curtis,71.17,427,6
99,100,100,Tommy Armour III,71.2,356,5
100,101,101,Scott Hend,71.22,641,9
101,T102,T102,Tim Clark,71.25,570,8
102,T102,T102,Ken Duke,71.25,570,8
103,T102,T102,Steve Elkington,71.25,285,4
104,T102,T102,Richard Johnson,71.25,570,8
105,T102,T102,David Peoples,71.25,570,8
106,T102,T102,Tom Pernice Jr.,71.25,570,8
107,T108,T108,Russ Cochran,71.29,499,7
108,T108,T108,Freddie Jacobson,71.29,499,7
109,T108,T108,Heath Slocum,71.29,499,7
110,T111,T111,Craig Barlow,71.33,642,9
111,T111,T111,Cameron Beckman,71.33,428,6
112,T111,T111,Dicky Pride,71.33,214,3
113,T111,T111,Andre Stolz,71.33,214,3
114,115,115,Craig Bowden,71.36,785,11
115,116,116,Stephen Leaney,71.38,571,8
116,T117,T117,Brad Faxon,71.4,357,5
117,T117,T117,Carl Pettersson,71.4,357,5
118,T119,T119,Alex Cejka,71.43,500,7
119,T119,T119,Hidemichi Tanaka,71.43,500,7
120,T121,T121,Jonathan Byrd,71.5,286,4
121,T121,T121,J.J. Henry,71.5,429,6
122,T121,T121,Scott Hoch,71.5,286,4
123,T121,T121,Bernhard Langer,71.5,143,2
124,T121,T121,Adam Scott,71.5,429,6
125,T121,T121,Dean Wilson,71.5,572,8
126,T127,T127,Rich Barcelo,71.6,358,5
127,T127,T127,Fred Couples,71.6,358,5
128,T127,T127,Joey Sindelar,71.6,358,5
129,T130,T130,Bob Burns,71.63,573,8
130,T130,T130,Greg Chalmers,71.63,573,8
131,132,132,Pat Bates,71.67,430,6
132,133,133,Rich Beem,71.71,502,7
133,T134,T134,Brian Bateman,71.75,574,8
134,T134,T134,David Morland IV,71.75,287,4
135,136,136,Nick Price,71.8,359,5
