,Bogey_Avoidance_RANK THIS WEEK,Bogey_Avoidance_RANK LAST WEEK,Bogey_Avoidance_PLAYER NAME,Bogey_Avoidance_ROUNDS,Bogey_Avoidance_% MAKES BOGEY,Bogey_Avoidance_BOGEYS,Bogey_Avoidance_HOLES PLAYED
0,1,1,Retief Goosen,56,11.72,116,990
1,2,2,Vijay Singh,112,12.53,248,1980
2,3,3,Stewart Cink,103,13.46,235,1746
3,4,4,Jay Haas,84,13.5,192,1422
4,5,5,Kirk Triplett,88,13.62,206,1512
5,6,6,Phil Mickelson,83,13.78,196,1422
6,7,7,Loren Roberts,81,13.85,197,1422
7,8,8,Scott Verplank,92,13.86,227,1638
8,9,9,Joe Durant,85,14.05,215,1530
9,10,10,Ernie Els,62,14.08,147,1044
10,11,11,Jerry Kelly,113,14.12,277,1962
11,12,12,Jesper Parnevik,86,14.21,220,1548
12,13,13,Tom Lehman,70,14.31,170,1188
13,14,14,Tiger Woods,78,14.35,186,1296
14,15,15,Stephen Ames,97,14.44,247,1710
15,16,16,Tom Pernice Jr.,103,14.59,260,1782
16,17,17,Justin Leonard,90,14.71,225,1530
17,18,18,Chris DiMarco,105,14.8,261,1764
18,19,19,Luke Donald,72,14.89,193,1296
19,T20,T20,Olin Browne,92,14.96,237,1584
20,T20,T20,José María Olazábal,56,14.96,140,936
21,22,22,Carlos Franco,99,15.1,269,1782
22,23,23,Duffy Waldorf,79,15.22,200,1314
23,24,24,José Coceres,68,15.28,176,1152
24,25,25,Kevin Na,100,15.34,265,1728
25,26,26,Cameron Beckman,99,15.39,266,1728
26,27,27,Zach Johnson,109,15.42,297,1926
27,28,28,Bob Estes,73,15.49,198,1278
28,29,29,Fred Funk,97,15.51,268,1728
29,T30,T30,Shigeki Maruyama,93,15.52,257,1656
30,T30,T30,Geoff Ogilvy,91,15.52,243,1566
31,T32,T32,Tom Byrum,83,15.53,232,1494
32,T32,T32,Arron Oberholser,77,15.53,204,1314
33,T34,T34,Bart Bryant,73,15.54,193,1242
34,T34,T34,Rod Pampling,98,15.54,263,1692
35,36,36,Scott Hoch,52,15.58,143,918
36,37,37,Justin Rose,77,15.59,202,1296
37,38,38,Stuart Appleby,84,15.6,219,1404
38,39,39,John Cook,57,15.62,149,954
39,T40,T40,Jeff Sluman,98,15.64,273,1746
40,T40,T40,Kevin Sutherland,86,15.64,228,1458
41,42,42,Chad Campbell,100,15.65,262,1674
42,T43,T43,Brent Geiberger,94,15.69,257,1638
43,T43,T43,David Peoples,82,15.69,226,1440
44,45,45,Ben Crane,92,15.7,260,1656
45,46,46,Briny Baird,100,15.75,275,1746
46,47,47,Davis Love III,85,15.78,213,1350
47,48,48,John Senden,99,15.86,274,1728
48,49,49,Bo Van Pelt,107,15.87,297,1872
49,T50,T50,Craig Barlow,80,15.88,223,1404
50,T50,T50,Bob Tway,90,15.88,243,1530
51,52,52,Charles Howell III,104,15.95,290,1818
52,53,53,Bernhard Langer,59,15.96,158,990
53,54,54,Brian Bateman,84,15.97,230,1440
54,55,55,Heath Slocum,92,15.99,259,1620
55,56,56,Tim Clark,84,16.07,243,1512
56,57,57,John Riegger,53,16.14,154,954
57,58,58,Rory Sabbatini,89,16.15,250,1548
58,59,59,Robert Allenby,93,16.16,256,1584
59,60,60,Todd Fischer,104,16.18,297,1836
60,61,61,Carl Pettersson,100,16.21,283,1746
61,T62,T62,Ted Purdy,114,16.22,327,2016
62,T62,T62,Mark Wilson,62,16.22,181,1116
63,64,64,Brian Gay,96,16.25,275,1692
64,65,65,Corey Pavin,83,16.32,232,1422
65,66,66,Omar Uresti,85,16.34,250,1530
66,67,67,Patrick Sheehan,113,16.37,327,1998
