,Birdie_or_Better_Percentage_-_Right_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Right_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Right_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Right_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Right_Rough_%,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL HOLES
0,1,1,Carl Pettersson,100,25.18,35,139
1,2,2,Retief Goosen,56,22.22,18,81
2,3,3,Gene Sauers,83,22.11,21,95
3,4,4,Deane Pappas,72,21.62,24,111
4,T5,T5,Harrison Frazar,86,21.6,27,125
5,T5,T5,Tiger Woods,78,21.6,27,125
6,7,7,Justin Rose,77,21.25,17,80
7,8,8,D.J. Brigman,79,20.59,28,136
8,9,9,Steve Lowery,91,20.5,33,161
9,10,10,Tim Clark,84,20.22,18,89
10,11,11,Kent Jones,99,19.84,25,126
11,12,12,Mark Calcavecchia,79,19.78,18,91
12,13,13,Brent Geiberger,94,19.75,31,157
13,14,14,Steve Elkington,64,19.74,15,76
14,15,15,Lucas Glover,95,19.53,25,128
15,16,16,Stewart Cink,103,19.3,33,171
16,17,17,Rod Pampling,98,19.01,27,142
17,18,18,Vaughn Taylor,84,18.94,25,132
18,19,19,Mathias Grönberg,91,18.62,27,145
19,20,20,Ben Curtis,56,18.46,12,65
20,21,21,Joe Ogilvie,104,18.33,33,180
21,22,22,Frank Lickliter II,89,18.18,20,110
22,23,23,J.L. Lewis,106,18.12,25,138
23,24,24,Geoff Ogilvy,91,18.11,23,127
24,T25,T25,Stuart Appleby,84,18.1,19,105
25,T25,T25,Davis Love III,85,18.1,21,116
26,27,27,Danny Briggs,85,17.97,23,128
27,28,28,Justin Leonard,90,17.65,15,85
28,29,29,Scott Hend,81,17.61,31,176
29,30,30,Brenden Pappas,111,17.59,38,216
30,31,31,Freddie Jacobson,83,17.46,22,126
31,32,32,Andre Stolz,53,17.35,17,98
32,T33,T33,Niclas Fasth,61,17.24,15,87
33,T33,T33,Hank Kuehne,91,17.24,30,174
34,35,35,Vijay Singh,112,17.2,27,157
35,36,36,Jeff Maggert,60,17.19,11,64
36,37,37,Mark O'Meara,58,16.98,9,53
37,T38,T38,Darren Clarke,54,16.67,10,60
38,T38,T38,Carlos Franco,99,16.67,27,162
39,40,40,Fred Couples,54,16.48,15,91
40,41,41,Jesper Parnevik,86,16.31,23,141
41,42,42,Michael Allen,87,16.25,26,160
42,43,43,Hirofumi Miyase,65,16.22,12,74
43,T44,T44,Richard Johnson,102,16.1,19,118
44,T44,T44,Shigeki Maruyama,93,16.1,19,118
45,46,46,Ken Duke,89,16.09,28,174
46,47,47,Kenny Perry,79,16.05,13,81
47,48,48,Jason Dufner,79,15.97,19,119
48,49,49,Joey Sindelar,100,15.94,22,138
49,50,50,Rich Beem,81,15.89,17,107
50,51,51,Sergio Garcia,65,15.84,16,101
51,52,52,Tim Petrovic,111,15.82,25,158
52,53,53,Ernie Els,62,15.79,15,95
53,54,54,Kevin Muncrief,50,15.74,17,108
54,55,55,Steve Allan,102,15.7,27,172
55,56,56,Jay Williamson,100,15.67,21,134
56,57,57,José Coceres,68,15.66,13,83
57,T58,T58,Mark Hensby,97,15.57,19,122
58,T58,T58,Grant Waite,79,15.57,19,122
59,60,60,Mike Weir,75,15.49,11,71
60,61,61,Steve Flesch,109,15.45,19,123
61,T62,T62,John Huston,62,15.38,10,65
62,T62,T62,Kevin Na,100,15.38,20,130
63,T62,T62,Nick Price,51,15.38,8,52
64,65,65,Phil Mickelson,83,15.22,14,92
65,66,66,Rory Sabbatini,89,15.13,18,119
66,67,67,Skip Kendall,99,14.96,19,127
67,68,68,Ted Purdy,114,14.94,23,154
68,69,69,Woody Austin,94,14.91,24,161
69,T70,T70,Olin Browne,92,14.89,14,94
70,T70,T70,Peter Lonard,68,14.89,14,94
71,72,72,Roger Tambellini,81,14.86,22,148
72,73,73,Tom Carter,113,14.78,30,203
73,74,74,Cameron Beckman,99,14.77,22,149
74,T75,T75,J.J. Henry,103,14.73,19,129
75,T75,T75,Tommy Tolles,67,14.73,19,129
76,77,77,Neal Lancaster,106,14.71,25,170
77,78,78,Dudley Hart,60,14.67,11,75
78,T79,T79,Daniel Chopra,108,14.66,28,191
79,T79,T79,Chris Riley,78,14.66,17,116
80,81,81,Jason Bohn,98,14.62,19,130
81,82,82,Briny Baird,100,14.55,16,110
82,83,83,Jeff Sluman,98,14.53,17,117
83,84,84,Dennis Paulson,71,14.5,19,131
84,85,85,Scott Simpson,55,14.47,11,76
85,86,86,Scott Verplank,92,14.46,12,83
86,87,87,David Branshaw,84,14.41,16,111
87,88,88,Patrick Sheehan,113,14.38,23,160
88,T89,T89,Brian Bateman,84,14.29,14,98
89,T89,T89,Jonathan Byrd,85,14.29,23,161
90,T89,T89,K.J. Choi,83,14.29,16,112
91,T89,T89,John Daly,79,14.29,22,154
92,T89,T89,Jay Haas,84,14.29,15,105
93,T89,T89,David Toms,80,14.29,17,119
94,95,95,Stephen Ames,97,14.19,21,148
95,96,96,Tag Ridings,53,14.13,13,92
96,97,97,Bob Estes,73,14.0,14,100
97,98,98,Chris Smith,105,13.95,24,172
98,99,99,Joe Durant,85,13.82,17,123
99,100,100,Scott McCarron,88,13.79,20,145
100,T101,T101,Jerry Kelly,113,13.64,15,110
101,T101,T101,Roland Thatcher,66,13.64,15,110
102,103,103,Craig Barlow,80,13.54,13,96
103,104,104,Robert Gamez,103,13.53,18,133
104,105,105,Chris Couch,55,13.48,12,89
105,106,106,Ben Crane,92,13.38,19,142
106,T107,T107,Arjun Atwal,85,13.33,18,135
107,T107,T107,Notah Begay III,71,13.33,14,105
108,109,109,Billy Andrade,104,13.23,25,189
109,T110,T110,Alex Cejka,76,13.16,10,76
110,T110,T110,Tim Herron,84,13.16,15,114
111,112,112,Craig Parry,52,13.1,11,84
112,113,113,Glen Day,101,13.04,15,115
113,114,114,Cliff Kresge,89,13.0,13,100
114,T115,T115,Hunter Mahan,94,12.99,20,154
115,T115,T115,Ryan Palmer,103,12.99,23,177
116,T115,T115,Adam Scott,55,12.99,10,77
117,118,118,Shaun Micheel,93,12.93,15,116
118,119,119,Pat Perez,102,12.86,18,140
119,T120,T120,Arron Oberholser,77,12.82,10,78
120,T120,T120,Brett Quigley,102,12.82,20,156
121,T122,T122,Danny Ellis,81,12.77,12,94
122,T122,T122,Mike Heinen,53,12.77,12,94
123,T124,T124,Todd Fischer,104,12.66,20,158
124,T124,T124,Duffy Waldorf,79,12.66,10,79
125,126,126,Jay Delsing,76,12.6,16,127
126,T127,T127,Rich Barcelo,67,12.5,14,112
127,T127,T127,Tom Pernice Jr.,103,12.5,18,144
128,T127,T127,John Senden,99,12.5,18,144
129,130,130,Bo Van Pelt,107,12.41,18,145
130,131,131,Lee Janzen,84,12.28,14,114
131,132,132,John Riegger,53,12.26,13,106
