,Eagles_Holes_per_RANK THIS WEEK,Eagles_Holes_per_RANK LAST WEEK,Eagles_Holes_per_PLAYER NAME,Eagles_Holes_per_ROUNDS,Eagles_Holes_per_FREQUENCY,Eagles_Holes_per_# OF HOLES,Eagles_Holes_per_# OF EAGLES
0,1,1,Nick Price,51,90.0,900,10
1,2,2,Geoff Ogilvy,91,92.1,1566,17
2,3,3,Harrison Frazar,86,92.3,1476,16
3,4,4,John Daly,79,101.6,1422,14
4,5,5,Vaughn Taylor,84,105.4,1476,14
5,6,6,Mike Heinen,53,106.0,954,9
6,7,7,John Senden,99,108.0,1728,16
7,8,8,Vijay Singh,112,116.5,1980,17
8,9,9,Scott Hend,81,118.5,1422,12
9,10,10,Tom Lehman,70,118.8,1188,10
10,11,11,Hank Kuehne,91,123.2,1602,13
11,12,12,Rocco Mediate,53,123.4,864,7
12,T13,T13,Danny Ellis,81,126.0,1386,11
13,T13,T13,Ted Purdy,114,126.0,2016,16
14,15,15,Roger Tambellini,81,127.6,1404,11
15,16,16,Arron Oberholser,77,131.4,1314,10
16,17,17,Neal Lancaster,106,132.4,1854,14
17,18,18,Fred Couples,54,133.7,936,7
18,19,19,Chris Smith,105,135.0,1890,14
19,20,20,Lucas Glover,95,136.5,1638,12
20,21,21,Steve Pate,71,138.0,1242,9
21,22,22,Grant Waite,79,138.6,1386,10
22,23,23,Craig Barlow,80,140.4,1404,10
23,24,24,Rod Pampling,98,141.0,1692,12
24,25,25,Chris Couch,55,141.4,990,7
25,26,26,Mathias Grönberg,91,142.4,1566,11
26,T27,T27,Cameron Beckman,99,144.0,1728,12
27,T27,T27,Sergio Garcia,65,144.0,1152,8
28,T27,T27,Freddie Jacobson,83,144.0,1440,10
29,30,30,Duffy Waldorf,79,146.0,1314,9
30,31,31,Lee Janzen,84,147.6,1476,10
31,32,32,Dean Wilson,99,148.5,1782,12
32,T33,T33,Ernie Els,62,149.1,1044,7
33,T33,T33,Dudley Hart,60,149.1,1044,7
34,35,35,Davis Love III,85,150.0,1350,9
35,36,36,Tommy Tolles,67,150.8,1206,8
36,37,37,Tom Carter,113,152.3,1980,13
37,T38,T38,Ben Curtis,56,156.0,936,6
38,T38,T38,José María Olazábal,56,156.0,936,6
39,40,40,Cliff Kresge,89,156.6,1566,10
40,41,41,Corey Pavin,83,158.0,1422,9
41,T42,T42,Kent Jones,99,158.7,1746,11
42,T42,T42,Carl Pettersson,100,158.7,1746,11
43,44,44,Brian Bateman,84,160.0,1440,9
44,45,45,Ryan Palmer,103,163.6,1800,11
45,46,46,Shaun Micheel,93,163.8,1638,10
46,47,47,Dan Olsen,75,164.3,1314,8
47,48,48,Tim Herron,84,166.0,1494,9
48,49,49,Stephen Leaney,84,168.8,1350,8
49,50,50,Peter Lonard,68,169.7,1188,7
50,T51,T51,Jonathan Kaye,79,171.0,1368,8
51,T51,T51,Kenny Perry,79,171.0,1368,8
52,53,53,Steve Flesch,109,171.8,1890,11
53,54,54,Darren Clarke,54,172.8,864,5
54,55,55,Rich Beem,81,173.3,1386,8
55,56,56,J.L. Lewis,106,173.5,1908,11
56,57,57,Mark Calcavecchia,79,175.5,1404,8
57,T58,T58,Jason Dufner,79,177.8,1422,8
58,T58,T58,Jay Haas,84,177.8,1422,8
59,60,60,Carlos Franco,99,178.2,1782,10
60,61,61,Kevin Muncrief,50,180.0,900,5
61,T62,T62,Chad Campbell,100,186.0,1674,9
62,T62,T62,Mark Hensby,97,186.0,1674,9
63,64,64,Hunter Mahan,94,188.0,1692,9
64,T65,T65,Daniel Chopra,108,190.8,1908,10
65,T65,T65,John Riegger,53,190.8,954,5
66,T65,T65,Andre Stolz,53,190.8,954,5
67,68,68,Paul Azinger,75,192.9,1350,7
68,69,69,Brenden Pappas,111,194.4,1944,10
69,70,70,Stuart Appleby,84,200.6,1404,7
70,71,71,Phil Mickelson,83,203.1,1422,7
71,72,72,Blaine McCallister,68,204.0,1224,6
72,73,73,Billy Andrade,104,208.0,1872,9
73,74,74,Danny Briggs,85,208.3,1458,7
74,75,75,Alex Cejka,76,210.0,1260,6
75,76,76,K.J. Choi,83,210.9,1476,7
76,77,77,Kris Cox,73,213.0,1278,6
77,78,78,Jonathan Byrd,85,213.4,1494,7
78,79,79,Tim Petrovic,111,214.0,1926,9
79,80,80,Jeff Maggert,60,216.0,1080,5
80,T81,T81,Michael Allen,87,218.6,1530,7
81,T81,T81,Joe Durant,85,218.6,1530,7
82,T83,T83,David Morland IV,73,219.0,1314,6
83,T83,T83,Mike Weir,75,219.0,1314,6
84,85,85,Frank Lickliter II,89,221.1,1548,7
85,86,86,David Toms,80,222.0,1332,6
86,T87,T87,Steve Allan,102,222.8,1782,8
87,T87,T87,Glen Day,101,222.8,1782,8
88,T87,T87,Tom Pernice Jr.,103,222.8,1782,8
89,90,90,Ken Duke,89,223.7,1566,7
90,91,91,Charles Howell III,104,227.3,1818,8
91,92,92,Steve Lowery,91,228.9,1602,7
92,93,93,Scott Hoch,52,229.5,918,4
93,94,94,Steve Stricker,81,234.0,1404,6
94,95,95,Stephen Ames,97,244.3,1710,7
95,96,96,Bernhard Langer,59,247.5,990,4
96,97,97,Matt Kuchar,83,249.0,1494,6
97,98,98,Stewart Cink,103,249.4,1746,7
98,T99,T99,Greg Chalmers,70,252.0,1260,5
99,T99,T99,Matt Gogel,86,252.0,1512,6
100,T99,T99,Kirk Triplett,88,252.0,1512,6
101,T99,T99,Jay Williamson,100,252.0,1764,7
102,103,103,Skip Kendall,99,254.6,1782,7
103,T104,T104,Aaron Baddeley,87,255.0,1530,6
104,T104,T104,John Rollins,90,255.0,1530,6
105,106,106,David Gossett,57,256.5,1026,4
106,107,107,Jesper Parnevik,86,258.0,1548,6
107,T108,T108,Craig Perks,75,259.2,1296,5
108,T108,T108,Justin Rose,77,259.2,1296,5
109,110,110,Todd Fischer,104,262.3,1836,7
110,111,111,Jay Delsing,76,262.8,1314,5
111,112,112,Robert Gamez,103,264.9,1854,7
112,113,113,Hidemichi Tanaka,89,267.0,1602,6
113,T114,T114,Jeff Brehaut,106,267.4,1872,7
114,T114,T114,Bo Van Pelt,107,267.4,1872,7
115,T116,T116,Niclas Fasth,61,270.0,1080,4
116,T116,T116,Billy Mayfair,109,270.0,1890,7
117,118,118,Ben Crane,92,276.0,1656,6
118,119,119,Mark Wilson,62,279.0,1116,4
119,120,120,Woody Austin,94,282.0,1692,6
120,121,121,Dicky Pride,66,283.5,1134,4
121,T122,T122,Guy Boros,64,288.0,1152,4
122,T122,T122,Fred Funk,97,288.0,1728,6
123,124,124,Briny Baird,100,291.0,1746,6
124,T125,T125,Chris DiMarco,105,294.0,1764,6
125,T125,T125,Brett Quigley,102,294.0,1764,6
126,T125,T125,Joey Sindelar,100,294.0,1764,6
127,128,128,Roland Thatcher,66,297.0,1188,4
128,129,129,Pat Perez,102,300.0,1800,6
129,130,130,Notah Begay III,71,301.5,1206,4
130,T131,T131,Richard Johnson,102,306.0,1836,6
131,T131,T131,Justin Leonard,90,306.0,1530,5
132,133,133,J.J. Henry,103,309.0,1854,6
133,T134,T134,Bob Burns,88,309.6,1548,5
134,T134,T134,Scott McCarron,88,309.6,1548,5
135,136,136,Bart Bryant,73,310.5,1242,4
136,137,137,Olin Browne,92,316.8,1584,5
137,138,138,Tripp Isenhour,55,318.0,954,3
138,139,139,Brad Faxon,94,320.4,1602,5
139,140,140,Zach Johnson,109,321.0,1926,6
140,T141,T141,Heath Slocum,92,324.0,1620,5
141,T141,T141,Tiger Woods,78,324.0,1296,4
142,143,143,Jerry Kelly,113,327.0,1962,6
143,144,144,Brent Geiberger,94,327.6,1638,5
144,145,145,Retief Goosen,56,330.0,990,3
145,146,146,Chris Riley,78,333.0,1332,4
146,147,147,John Huston,62,336.0,1008,3
147,148,148,Len Mattiace,75,337.5,1350,4
148,149,149,Brian Gay,96,338.4,1692,5
149,T150,T150,Jason Bohn,98,342.0,1710,5
150,T150,T150,D.J. Brigman,79,342.0,1368,4
151,152,152,Kevin Na,100,345.6,1728,5
152,153,153,Dan Forsman,79,346.5,1386,4
153,154,154,David Frost,78,351.0,1404,4
154,155,155,David Peoples,82,360.0,1440,4
155,156,156,Gene Sauers,83,364.5,1458,4
156,157,157,Russ Cochran,61,366.0,1098,3
157,158,158,David Branshaw,84,369.0,1476,4
158,T159,T159,Craig Bowden,83,373.5,1494,4
159,T159,T159,Tom Byrum,83,373.5,1494,4
160,T161,T161,Tim Clark,84,378.0,1512,4
161,T161,T161,Hirofumi Miyase,65,378.0,1134,3
162,163,163,Bob Tway,90,382.5,1530,4
163,164,164,Rich Barcelo,67,390.0,1170,3
164,165,165,Tommy Armour III,87,391.5,1566,4
165,166,166,Todd Hamilton,92,396.0,1584,4
166,167,167,Spike McRoy,93,409.5,1638,4
167,168,168,Deane Pappas,72,420.0,1260,3
168,T169,T169,Bob Estes,73,426.0,1278,3
169,T169,T169,Dennis Paulson,71,426.0,1278,3
170,171,171,Luke Donald,72,432.0,1296,3
171,172,172,Jeff Sluman,98,436.5,1746,4
172,T173,T173,Craig Parry,52,450.0,900,2
173,T173,T173,Tag Ridings,53,450.0,900,2
174,175,175,Kevin Sutherland,86,486.0,1458,3
175,176,176,Arjun Atwal,85,498.0,1494,3
176,177,177,Rory Sabbatini,89,516.0,1548,3
177,178,178,Mark O'Meara,58,522.0,1044,2
178,179,179,Robert Allenby,93,528.0,1584,3
179,180,180,Esteban Toledo,92,540.0,1620,3
180,181,181,Scott Verplank,92,546.0,1638,3
181,182,182,Steve Elkington,64,549.0,1098,2
182,T183,T183,Robert Damron,92,552.0,1656,3
183,T183,T183,Shigeki Maruyama,93,552.0,1656,3
184,185,185,José Coceres,68,576.0,1152,2
185,186,186,Joe Ogilvie,104,612.0,1836,3
186,187,187,Mark Brooks,72,630.0,1260,2
187,188,188,Patrick Sheehan,113,666.0,1998,3
188,189,189,Loren Roberts,81,711.0,1422,2
189,190,190,Omar Uresti,85,765.0,1530,2
190,191,191,Pat Bates,99,873.0,1746,2
191,192,192,Adam Scott,55,936.0,936,1
192,193,193,John Cook,57,954.0,954,1
193,194,194,Brian Kortan,65,1116.0,1116,1
194,195,195,J.P. Hayes,79,1350.0,1350,1
