,Tenth_Tee_Early_Par_5_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Par_5_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Par_5_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Par_5_Scoring_Average_ROUNDS,Tenth_Tee_Early_Par_5_Scoring_Average_AVG,Tenth_Tee_Early_Par_5_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Par_5_Scoring_Average_TOTAL HOLES
0,1,1,Mike Weir,75,4.21,101,24
1,2,2,Harrison Frazar,86,4.33,186,43
2,T3,T3,Fred Couples,54,4.4,88,20
3,T3,T3,Retief Goosen,56,4.4,66,15
4,5,5,Vijay Singh,112,4.41,181,41
5,6,6,John Daly,79,4.42,168,38
6,T7,T7,J.J. Henry,103,4.47,268,60
7,T7,T7,Corey Pavin,83,4.47,161,36
8,9,9,Scott Verplank,92,4.48,300,67
9,T10,T10,Shigeki Maruyama,93,4.49,175,39
10,T10,T10,Tag Ridings,53,4.49,193,43
11,T12,T12,Stephen Ames,97,4.5,252,56
12,T12,T12,Tommy Armour III,87,4.5,207,46
13,T12,T12,Notah Begay III,71,4.5,189,42
14,T12,T12,Daniel Chopra,108,4.5,315,70
15,T12,T12,Ernie Els,62,4.5,54,12
16,T12,T12,Sergio Garcia,65,4.5,108,24
17,T12,T12,Geoff Ogilvy,91,4.5,144,32
18,T19,T19,Carl Pettersson,100,4.51,266,59
19,T19,T19,Steve Stricker,81,4.51,311,69
20,21,21,Ted Purdy,114,4.52,357,79
21,T22,T22,Woody Austin,94,4.53,249,55
22,T22,T22,Ben Curtis,56,4.53,86,19
23,T22,T22,John Huston,62,4.53,68,15
24,T25,T25,Jonathan Byrd,85,4.54,177,39
25,T25,T25,K.J. Choi,83,4.54,277,61
26,T25,T25,Nick Price,51,4.54,59,13
27,T25,T25,Brett Quigley,102,4.54,336,74
28,T29,T29,Chad Campbell,100,4.55,214,47
29,T29,T29,Niclas Fasth,61,4.55,150,33
30,T29,T29,Jay Haas,84,4.55,141,31
31,T29,T29,Loren Roberts,81,4.55,141,31
32,T29,T29,Bo Van Pelt,107,4.55,382,84
33,T34,T34,Craig Barlow,80,4.56,360,79
34,T34,T34,Todd Hamilton,92,4.56,228,50
35,T34,T34,Scott Hend,81,4.56,328,72
36,T37,T37,Cameron Beckman,99,4.57,265,58
37,T37,T37,Davis Love III,85,4.57,128,28
38,T37,T37,Rocco Mediate,53,4.57,137,30
39,T40,T40,Jason Bohn,98,4.58,307,67
40,T40,T40,Olin Browne,92,4.58,330,72
41,T40,T40,Carlos Franco,99,4.58,307,67
42,T40,T40,Mike Heinen,53,4.58,252,55
43,T40,T40,Kent Jones,99,4.58,316,69
44,T40,T40,Jonathan Kaye,79,4.58,243,53
45,T40,T40,Dennis Paulson,71,4.58,238,52
46,T40,T40,Grant Waite,79,4.58,284,62
47,T48,T48,José Coceres,68,4.59,179,39
48,T48,T48,Matt Gogel,86,4.59,326,71
49,T48,T48,Dudley Hart,60,4.59,188,41
50,T48,T48,Tim Petrovic,111,4.59,234,51
51,T52,T52,Tom Lehman,70,4.6,221,48
52,T52,T52,Kenny Perry,79,4.6,161,35
53,T52,T52,David Toms,80,4.6,161,35
54,T52,T52,Dean Wilson,99,4.6,345,75
55,T56,T56,Chris Couch,55,4.61,189,41
56,T56,T56,Jeff Maggert,60,4.61,143,31
57,T56,T56,Joe Ogilvie,104,4.61,272,59
58,T56,T56,Tom Pernice Jr.,103,4.61,272,59
59,T56,T56,Vaughn Taylor,84,4.61,258,56
60,T61,T61,Bob Estes,73,4.62,240,52
61,T61,T61,Brad Faxon,94,4.62,134,29
62,T61,T61,Scott Hoch,52,4.62,134,29
63,T61,T61,Ryan Palmer,103,4.62,300,65
64,T61,T61,David Peoples,82,4.62,319,69
65,T61,T61,Craig Perks,75,4.62,217,47
66,T67,T67,Tim Clark,84,4.63,176,38
67,T67,T67,Todd Fischer,104,4.63,278,60
68,T67,T67,Steve Flesch,109,4.63,185,40
69,T67,T67,Cliff Kresge,89,4.63,227,49
70,T67,T67,José María Olazábal,56,4.63,199,43
71,T67,T67,Roger Tambellini,81,4.63,273,59
72,T67,T67,Tiger Woods,78,4.63,111,24
73,T74,T74,Tom Carter,113,4.64,357,77
74,T74,T74,Robert Damron,92,4.64,306,66
75,T74,T74,Jay Delsing,76,4.64,246,53
76,T74,T74,Brian Gay,96,4.64,394,85
77,T74,T74,Mark Hensby,97,4.64,269,58
78,T74,T74,Tim Herron,84,4.64,255,55
79,T74,T74,Peter Lonard,68,4.64,167,36
80,T74,T74,Rod Pampling,98,4.64,195,42
81,T74,T74,Craig Parry,52,4.64,116,25
82,T74,T74,Scott Simpson,55,4.64,116,25
83,T84,T84,Fred Funk,97,4.65,321,69
84,T84,T84,Brian Kortan,65,4.65,256,55
85,T84,T84,J.L. Lewis,106,4.65,335,72
86,T84,T84,Phil Mickelson,83,4.65,121,26
87,T84,T84,Chris Riley,78,4.65,172,37
88,T84,T84,Adam Scott,55,4.65,93,20
89,T90,T90,Briny Baird,100,4.66,298,64
90,T90,T90,Danny Briggs,85,4.66,205,44
91,T90,T90,Ken Duke,89,4.66,275,59
92,T90,T90,Hank Kuehne,91,4.66,219,47
93,T90,T90,Hirofumi Miyase,65,4.66,284,61
94,T90,T90,Omar Uresti,85,4.66,354,76
95,T96,T96,Scott McCarron,88,4.67,215,46
96,T96,T96,Spike McRoy,93,4.67,271,58
97,T96,T96,John Riegger,53,4.67,229,49
98,T96,T96,Justin Rose,77,4.67,201,43
99,T96,T96,Andre Stolz,53,4.67,196,42
100,T96,T96,Tommy Tolles,67,4.67,215,46
101,T96,T96,Jay Williamson,100,4.67,402,86
102,T103,T103,Ben Crane,92,4.68,234,50
103,T103,T103,Mathias Grönberg,91,4.68,304,65
104,T103,T103,Lee Janzen,84,4.68,187,40
105,T103,T103,Hunter Mahan,94,4.68,281,60
106,T103,T103,Mark O'Meara,58,4.68,206,44
107,T108,T108,Greg Chalmers,70,4.69,338,72
108,T108,T108,Stewart Cink,103,4.69,136,29
109,T108,T108,Brent Geiberger,94,4.69,305,65
110,T108,T108,Charles Howell III,104,4.69,253,54
111,T108,T108,Len Mattiace,75,4.69,239,51
112,T108,T108,Arron Oberholser,77,4.69,291,62
113,T108,T108,Bob Tway,90,4.69,164,35
114,T115,T115,Robert Allenby,93,4.7,310,66
115,T115,T115,Bart Bryant,73,4.7,216,46
116,T115,T115,Dan Forsman,79,4.7,216,46
117,T115,T115,Frank Lickliter II,89,4.7,235,50
118,T115,T115,Chris Smith,105,4.7,390,83
119,T120,T120,Darren Clarke,54,4.71,80,17
120,T120,T120,Robert Gamez,103,4.71,226,48
121,T120,T120,Dan Olsen,75,4.71,240,51
122,T120,T120,Deane Pappas,72,4.71,198,42
123,T120,T120,Brenden Pappas,111,4.71,297,63
124,T120,T120,Steve Pate,71,4.71,320,68
125,T120,T120,John Rollins,90,4.71,259,55
126,T120,T120,John Senden,99,4.71,245,52
127,T120,T120,Heath Slocum,92,4.71,292,62
128,T120,T120,Duffy Waldorf,79,4.71,240,51
129,T130,T130,Steve Allan,102,4.72,283,60
130,T130,T130,Rich Beem,81,4.72,217,46
131,T130,T130,Stephen Leaney,84,4.72,217,46
132,T130,T130,Billy Mayfair,109,4.72,250,53
133,T130,T130,Kevin Na,100,4.72,302,64
134,T130,T130,Kevin Sutherland,86,4.72,307,65
135,T136,T136,Arjun Atwal,85,4.73,265,56
136,T136,T136,Paul Azinger,75,4.73,260,55
137,T136,T136,David Branshaw,84,4.73,369,78
138,T136,T136,Luke Donald,72,4.73,142,30
139,T136,T136,Joe Durant,85,4.73,265,56
140,T136,T136,Danny Ellis,81,4.73,208,44
141,T136,T136,Gene Sauers,83,4.73,312,66
142,T136,T136,Hidemichi Tanaka,89,4.73,293,62
143,T136,T136,Roland Thatcher,66,4.73,355,75
144,T136,T136,Mark Wilson,62,4.73,241,51
145,T146,T146,Jeff Brehaut,106,4.74,341,72
