,Tenth_Tee_Late_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Scoring_Average_ROUNDS,Tenth_Tee_Late_Scoring_Average_AVG,Tenth_Tee_Late_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Scoring_Average_TOTAL 10TH TEE LATE RNDS.
0,1,1,Vijay Singh,112,68.06,1089,16
1,2,2,Paul Azinger,75,68.42,821,12
2,3,3,Robert Allenby,93,68.67,412,6
3,4,4,Zach Johnson,109,68.69,893,13
4,5,5,Danny Ellis,81,68.93,1034,15
5,6,6,Phil Mickelson,83,69.08,898,13
6,7,7,José Coceres,68,69.17,830,12
7,8,8,Tiger Woods,78,69.2,346,5
8,9,9,Stewart Cink,103,69.29,1178,17
9,10,10,Brent Geiberger,94,69.3,693,10
10,11,11,Davis Love III,85,69.4,694,10
11,12,12,Ben Crane,92,69.41,1180,17
12,13,13,Tim Clark,84,69.43,972,14
13,14,14,Justin Leonard,90,69.58,835,12
14,15,15,Kirk Triplett,88,69.62,905,13
15,16,16,Jonathan Byrd,85,69.67,1045,15
16,17,17,Geoff Ogilvy,91,69.72,1255,18
17,T18,T18,Ernie Els,62,69.8,349,5
18,T18,T18,Tom Lehman,70,69.8,698,10
19,20,20,John Daly,79,69.85,908,13
20,21,21,Scott Verplank,92,69.86,489,7
21,T22,T22,David Peoples,82,69.88,559,8
22,T22,T22,Kenny Perry,79,69.88,559,8
23,T24,T24,Stuart Appleby,84,69.91,769,11
24,T24,T24,Bob Burns,88,69.91,769,11
25,T26,T26,Chris DiMarco,105,70.0,490,7
26,T26,T26,Tim Petrovic,111,70.0,1540,22
27,T26,T26,Ted Purdy,114,70.0,1190,17
28,T26,T26,Scott Simpson,55,70.0,630,9
29,30,30,Jerry Kelly,113,70.06,1121,16
30,31,31,John Huston,62,70.08,911,13
31,32,32,Rich Beem,81,70.09,771,11
32,33,33,Richard Johnson,102,70.12,1192,17
33,34,34,Mark Calcavecchia,79,70.13,1052,15
34,T35,T35,Tom Byrum,83,70.14,982,14
35,T35,T35,Steve Elkington,64,70.14,982,14
36,37,37,Neal Lancaster,106,70.15,912,13
37,38,38,Tom Pernice Jr.,103,70.16,1333,19
38,39,39,Carlos Franco,99,70.17,1263,18
39,40,40,Bob Tway,90,70.18,772,11
40,T41,T41,Jay Haas,84,70.23,913,13
41,T41,T41,Jeff Sluman,98,70.23,913,13
