,Stroke_Differential_Field_Average_RANK THIS WEEK,Stroke_Differential_Field_Average_RANK LAST WEEK,Stroke_Differential_Field_Average_PLAYER NAME,Stroke_Differential_Field_Average_ROUNDS,Stroke_Differential_Field_Average_STROKE DIFFERENTIAL,Stroke_Differential_Field_Average_PLAYER'S SCORE,Stroke_Differential_Field_Average_FIELD AVERAGE SCORE
0,1,1,Vijay Singh,112,+2.55,69.19,71.74
1,2,2,Tiger Woods,78,+2.41,69.68,72.09
2,3,3,Ernie Els,62,+2.27,69.69,71.96
3,4,4,Phil Mickelson,83,+2.20,69.63,71.83
4,5,5,Retief Goosen,56,+2.07,69.58,71.65
5,6,6,Stewart Cink,103,+1.61,70.1,71.71
6,7,7,Stephen Ames,97,+1.46,70.08,71.54
7,8,8,Sergio Garcia,65,+1.40,70.56,71.96
8,9,9,Jay Haas,84,+1.39,70.37,71.76
9,10,10,Scott Verplank,92,+1.37,70.02,71.39
10,11,11,Adam Scott,55,+1.30,70.67,71.97
11,12,12,Davis Love III,85,+1.29,70.76,72.05
12,13,13,Tom Lehman,70,+1.28,69.97,71.25
13,14,14,David Toms,80,+1.26,70.62,71.88
14,15,15,Luke Donald,72,+1.20,70.58,71.78
15,16,16,Jerry Kelly,113,+1.18,70.23,71.41
16,17,17,Zach Johnson,109,+1.15,70.49,71.64
17,18,18,Chris DiMarco,105,+1.12,70.53,71.65
18,19,19,Darren Clarke,54,+1.10,70.81,71.91
19,T20,T20,Shigeki Maruyama,93,+1.08,70.62,71.7
20,T20,T20,Jesper Parnevik,86,+1.08,70.16,71.24
21,T22,T22,Robert Allenby,93,+1.06,70.78,71.84
22,T22,T22,Kirk Triplett,88,+1.06,70.24,71.3
23,T24,T24,Justin Rose,77,+1.05,70.63,71.68
24,T24,T24,Mike Weir,75,+1.05,70.71,71.76
25,26,26,Bo Van Pelt,107,+.99,70.38,71.37
26,T27,T27,Stuart Appleby,84,+.98,70.69,71.67
27,T27,T27,K.J. Choi,83,+.98,71.12,72.1
28,T27,T27,Kenny Perry,79,+.98,70.51,71.49
29,30,30,Loren Roberts,81,+.95,70.09,71.04
30,31,31,Rory Sabbatini,89,+.92,70.88,71.8
31,32,32,Scott Hoch,52,+.87,70.84,71.71
32,33,33,Carl Pettersson,100,+.85,70.46,71.31
33,34,34,Geoff Ogilvy,91,+.84,70.51,71.35
34,35,35,Duffy Waldorf,79,+.83,70.49,71.32
35,36,36,Justin Leonard,90,+.80,70.75,71.55
36,37,37,Nick Price,51,+.78,71.18,71.96
37,38,38,Freddie Jacobson,83,+.77,70.81,71.58
38,39,39,Mark Hensby,97,+.75,70.77,71.52
39,40,40,Corey Pavin,83,+.73,70.66,71.39
40,41,41,Tim Clark,84,+.72,70.75,71.47
41,T42,T42,Dennis Paulson,71,+.70,71.1,71.8
42,T42,T42,Ted Purdy,114,+.70,70.53,71.23
43,T44,T44,Steve Flesch,109,+.68,71.03,71.71
44,T44,T44,Charles Howell III,104,+.68,71.09,71.77
45,T44,T44,Jeff Sluman,98,+.68,70.63,71.31
46,47,47,Fred Funk,97,+.67,70.58,71.25
47,48,48,Fred Couples,54,+.66,71.46,72.12
48,49,49,Rod Pampling,98,+.65,70.66,71.31
49,50,50,Arron Oberholser,77,+.64,71.16,71.8
50,51,51,John Daly,79,+.63,70.81,71.44
51,T52,T52,Brad Faxon,94,+.61,71.25,71.86
52,T52,T52,Carlos Franco,99,+.61,70.53,71.14
53,T54,T54,Briny Baird,100,+.60,70.69,71.29
54,T54,T54,Chad Campbell,100,+.60,71.03,71.63
55,T54,T54,Joe Durant,85,+.60,70.4,71.0
56,T57,T57,Lee Janzen,84,+.59,70.82,71.41
57,T57,T57,John Senden,99,+.59,70.48,71.07
58,59,59,Tom Byrum,83,+.58,70.7,71.28
59,60,60,Tom Pernice Jr.,103,+.57,70.85,71.42
60,61,61,Harrison Frazar,86,+.56,70.45,71.01
61,62,62,Cameron Beckman,99,+.55,70.56,71.11
62,63,63,Jeff Maggert,60,+.54,71.08,71.62
63,64,64,Ben Crane,92,+.53,70.78,71.31
64,T65,T65,Bart Bryant,73,+.50,70.32,70.82
65,T65,T65,Joe Ogilvie,104,+.50,71.02,71.52
66,T65,T65,Chris Riley,78,+.50,71.07,71.57
67,T68,T68,Brett Quigley,102,+.48,71.12,71.6
68,T68,T68,Vaughn Taylor,84,+.48,70.67,71.15
69,70,70,Tim Herron,84,+.47,71.17,71.64
70,T71,T71,Craig Barlow,80,+.46,70.81,71.27
71,T71,T71,Tim Petrovic,111,+.46,71.19,71.65
72,T73,T73,Brian Bateman,84,+.45,70.88,71.33
73,T73,T73,Kevin Sutherland,86,+.45,71.07,71.52
