,Final_Round_Scoring_Average_RANK THIS WEEK,Final_Round_Scoring_Average_RANK LAST WEEK,Final_Round_Scoring_Average_PLAYER NAME,Final_Round_Scoring_Average_AVG,Final_Round_Scoring_Average_TOTAL STROKES,Final_Round_Scoring_Average_TOTAL ROUNDS
0,1,1,Arjun Atwal,69.0,828,12
1,T2,T2,Retief Goosen,69.5,834,12
2,T2,T2,Tag Ridings,69.5,556,8
3,4,4,Joe Durant,69.56,1113,16
4,5,5,Stewart Cink,69.77,1535,22
5,6,6,Vijay Singh,69.78,1884,27
6,7,7,Stephen Ames,70.0,1470,21
7,8,8,Kenny Perry,70.06,1121,16
8,9,9,Bart Bryant,70.08,841,12
9,10,10,Craig Perks,70.1,701,10
10,11,11,Bob Estes,70.15,912,13
11,12,12,Carl Pettersson,70.19,1474,21
12,13,13,Ernie Els,70.21,983,14
13,14,14,Lucas Glover,70.25,1124,16
14,15,15,Tiger Woods,70.28,1265,18
15,16,16,Ryan Palmer,70.29,1195,17
16,17,17,Jerry Kelly,70.31,1828,26
17,18,18,Bo Van Pelt,70.32,1547,22
18,19,19,Tom Lehman,70.33,1055,15
19,20,20,Kent Jones,70.35,1196,17
20,21,21,David Toms,70.4,1056,15
21,22,22,Fred Funk,70.42,1338,19
22,T23,T23,Darren Clarke,70.44,634,9
23,T23,T23,Mark Hensby,70.44,1268,18
24,T23,T23,Davis Love III,70.44,1127,16
25,T23,T23,Phil Mickelson,70.44,1268,18
26,T27,T27,Scott Hoch,70.5,705,10
27,T27,T27,John Senden,70.5,1410,20
28,29,29,Brent Geiberger,70.53,1199,17
29,T30,T30,Harrison Frazar,70.56,1129,16
30,T30,T30,Rory Sabbatini,70.56,1270,18
31,32,32,Olin Browne,70.57,988,14
32,33,33,Russ Cochran,70.63,565,8
33,T34,T34,Adam Scott,70.64,777,11
34,T34,T34,Omar Uresti,70.64,989,14
35,T36,T36,Shigeki Maruyama,70.67,1484,21
36,T36,T36,Jesper Parnevik,70.67,1272,18
37,38,38,Robert Allenby,70.7,1414,20
38,39,39,Brad Faxon,70.72,1273,18
39,40,40,Scott Verplank,70.73,1556,22
40,41,41,Rich Barcelo,70.75,566,8
41,42,42,Tom Byrum,70.76,1203,17
42,T43,T43,Richard Johnson,70.78,1274,18
43,T43,T43,Loren Roberts,70.78,1274,18
44,45,45,Heath Slocum,70.79,991,14
45,46,46,Justin Rose,70.81,1133,16
46,47,47,Jason Dufner,70.82,779,11
47,T48,T48,Danny Briggs,70.86,992,14
48,T48,T48,Jeff Sluman,70.86,1488,21
49,50,50,Geoff Ogilvy,70.89,1276,18
50,51,51,Steve Stricker,70.92,851,12
51,52,52,Luke Donald,70.93,1064,15
52,T53,T53,Todd Fischer,71.0,1278,18
53,T53,T53,Tim Herron,71.0,1065,15
54,T53,T53,Kevin Muncrief,71.0,213,3
55,T53,T53,Jay Williamson,71.0,1136,16
56,57,57,Zach Johnson,71.04,1705,24
57,T58,T58,Cameron Beckman,71.05,1350,19
58,T58,T58,J.L. Lewis,71.05,1492,21
59,60,60,Brian Bateman,71.06,1208,17
60,61,61,Duffy Waldorf,71.07,995,14
61,62,62,David Frost,71.08,924,13
62,T63,T63,Notah Begay III,71.09,782,11
63,T63,T63,Ted Purdy,71.09,1564,22
64,65,65,J.J. Henry,71.1,1493,21
65,66,66,Woody Austin,71.11,1280,18
66,67,67,Carlos Franco,71.13,1636,23
67,68,68,Craig Barlow,71.14,996,14
68,69,69,Billy Andrade,71.15,1423,20
69,T70,T70,Hank Kuehne,71.2,1068,15
70,T70,T70,Neal Lancaster,71.2,1424,20
71,72,72,Ben Crane,71.21,1353,19
72,T73,T73,Tim Clark,71.25,1140,16
73,T73,T73,Brenden Pappas,71.25,1425,20
74,75,75,Pat Bates,71.31,1141,16
75,T76,T76,K.J. Choi,71.33,1284,18
