,Tenth_Tee_Early_Round_1_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Round_1_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Round_1_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Round_1_Scoring_Average_AVG,Tenth_Tee_Early_Round_1_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Round_1_Scoring_Average_TOTAL ROUNDS
0,1,1,Ted Purdy,66.17,397,6
1,2,2,Mike Weir,67.0,67,1
2,3,3,Tom Lehman,67.6,338,5
3,T4,T4,Ernie Els,68.0,136,2
4,T4,T4,Scott Verplank,68.0,272,4
5,6,6,Roger Tambellini,68.17,409,6
6,7,7,Scott McCarron,68.2,341,5
7,T8,T8,Darren Clarke,68.5,137,2
8,T8,T8,Mark O'Meara,68.5,137,2
9,T8,T8,Jesper Parnevik,68.5,274,4
10,T11,T11,Shigeki Maruyama,68.6,343,5
11,T11,T11,Tom Pernice Jr.,68.6,343,5
12,13,13,Deane Pappas,68.67,206,3
13,14,14,José Coceres,68.75,275,4
14,15,15,Vijay Singh,68.83,413,6
15,16,16,Danny Briggs,69.0,207,3
16,17,17,J.L. Lewis,69.11,622,9
17,18,18,Rod Pampling,69.2,346,5
18,T19,T19,Mark Hensby,69.33,624,9
19,T19,T19,Jeff Maggert,69.33,208,3
20,T19,T19,Phil Mickelson,69.33,208,3
21,22,22,K.J. Choi,69.38,555,8
22,T23,T23,Ben Curtis,69.5,139,2
23,T23,T23,Adam Scott,69.5,139,2
24,T23,T23,Jeff Sluman,69.5,417,6
25,T23,T23,Kirk Triplett,69.5,417,6
26,T23,T23,Duffy Waldorf,69.5,556,8
27,T28,T28,Chad Campbell,69.6,348,5
28,T28,T28,Jay Haas,69.6,348,5
29,30,30,Olin Browne,69.63,557,8
30,T31,T31,Jonathan Kaye,69.67,209,3
31,T31,T31,Tim Petrovic,69.67,418,6
32,T31,T31,Brett Quigley,69.67,627,9
33,T31,T31,Chris Riley,69.67,418,6
34,35,35,Chris DiMarco,69.71,488,7
35,T36,T36,Freddie Jacobson,69.75,279,4
36,T36,T36,Loren Roberts,69.75,279,4
37,38,38,Todd Hamilton,69.8,349,5
38,39,39,Dean Wilson,69.83,419,6
39,T40,T40,Cameron Beckman,70.0,490,7
40,T40,T40,Bart Bryant,70.0,420,6
41,T40,T40,Alex Cejka,70.0,420,6
42,T40,T40,Greg Chalmers,70.0,350,5
43,T40,T40,Tim Clark,70.0,350,5
44,T40,T40,Luke Donald,70.0,210,3
45,T40,T40,Fred Funk,70.0,700,10
46,T40,T40,Brian Gay,70.0,700,10
47,T40,T40,Jerry Kelly,70.0,350,5
48,T40,T40,Kevin Muncrief,70.0,350,5
49,T40,T40,Craig Parry,70.0,140,2
50,T40,T40,Tag Ridings,70.0,420,6
51,T40,T40,David Toms,70.0,280,4
52,53,53,Woody Austin,70.14,491,7
53,54,54,Charles Howell III,70.17,421,6
