,Rounds_in_the_60s_RANK THIS WEEK,Rounds_in_the_60s_RANK LAST WEEK,Rounds_in_the_60s_PLAYER NAME,Rounds_in_the_60s_EVENTS,Rounds_in_the_60s_TOTAL RNDS
0,1,1,Vijay Singh,29,64
1,T2,T2,Jerry Kelly,29,46
2,T2,T2,Bo Van Pelt,30,46
3,4,4,Phil Mickelson,22,45
4,5,5,Zach Johnson,30,44
5,T6,T6,Stephen Ames,27,43
6,T6,T6,Carl Pettersson,28,43
7,T6,T6,Ted Purdy,35,43
8,9,9,Scott Verplank,24,41
9,T10,T10,Cameron Beckman,30,39
10,T10,T10,Stewart Cink,28,39
11,T10,T10,Carlos Franco,27,39
12,T10,T10,Fred Funk,29,39
13,T10,T10,Kirk Triplett,24,39
14,T15,T15,Chris DiMarco,27,38
15,T15,T15,Tim Petrovic,32,38
16,T17,T17,Briny Baird,30,37
17,T17,T17,Tiger Woods,19,37
18,T19,T19,Daniel Chopra,33,36
19,T19,T19,Steve Flesch,31,36
20,T19,T19,Mark Hensby,29,36
21,T19,T19,Kent Jones,32,36
22,T19,T19,Joe Ogilvie,32,36
23,T19,T19,Rod Pampling,26,36
24,T19,T19,Brenden Pappas,34,36
25,T19,T19,John Senden,28,36
26,T19,T19,Patrick Sheehan,33,36
27,T19,T19,Jay Williamson,33,36
28,T29,T29,Billy Andrade,31,35
29,T29,T29,Harrison Frazar,25,35
30,T29,T29,J.J. Henry,30,35
31,T29,T29,Jesper Parnevik,24,35
32,T33,T33,Olin Browne,30,34
33,T33,T33,Scott McCarron,27,34
34,T33,T33,Tom Pernice Jr.,31,34
35,T36,T36,Steve Allan,33,33
36,T36,T36,Robert Allenby,26,33
37,T36,T36,Tim Clark,26,33
38,T36,T36,Ben Crane,27,33
39,T36,T36,Joe Durant,26,33
40,T36,T36,J.L. Lewis,32,33
41,T36,T36,Shigeki Maruyama,26,33
42,T36,T36,Geoff Ogilvy,26,33
43,T44,T44,Todd Fischer,33,32
44,T44,T44,Skip Kendall,29,32
45,T44,T44,Ryan Palmer,33,32
46,T47,T47,Tom Byrum,25,31
47,T47,T47,Brian Gay,32,31
48,T47,T47,Hunter Mahan,30,31
49,T47,T47,Loren Roberts,22,31
50,T47,T47,Rory Sabbatini,26,31
51,T47,T47,Joey Sindelar,31,31
52,T47,T47,Jeff Sluman,28,31
53,T54,T54,Woody Austin,29,30
54,T54,T54,Craig Barlow,25,30
