,Reverse_Bounce_Back_RANK THIS WEEK,Reverse_Bounce_Back_RANK LAST WEEK,Reverse_Bounce_Back_PLAYER NAME,Reverse_Bounce_Back_ROUNDS,Reverse_Bounce_Back_% UNDER THEN OVER PAR,Reverse_Bounce_Back_TOTAL UNDER THEN OVER PAR,Reverse_Bounce_Back_UNDER PAR
0,1,1,Loren Roberts,81,9.06,26,287
1,2,2,Jay Haas,84,10.36,29,280
2,3,3,Retief Goosen,56,11.16,24,215
3,4,4,Kirk Triplett,88,11.26,34,302
4,5,5,Danny Ellis,81,11.28,30,266
5,6,6,Bart Bryant,73,11.3,27,239
6,7,7,Tom Pernice Jr.,103,11.38,38,334
7,8,8,Scott Verplank,92,12.25,43,351
8,9,9,Chris Riley,78,12.29,29,236
9,10,10,Phil Mickelson,83,12.58,40,318
10,11,11,Todd Hamilton,92,12.77,36,282
11,12,12,Jerry Kelly,113,12.81,51,398
12,13,13,Tiger Woods,78,12.87,39,303
13,14,14,Vijay Singh,112,12.88,60,466
14,15,15,Duffy Waldorf,79,13.01,35,269
15,16,16,José Coceres,68,13.06,29,222
16,17,17,Arron Oberholser,77,13.08,31,237
17,18,18,Bo Van Pelt,107,13.25,51,385
18,19,19,John Senden,99,13.27,45,339
19,20,20,Patrick Sheehan,113,13.28,53,399
20,21,21,Alex Cejka,76,13.39,32,239
21,22,22,Robert Gamez,103,13.41,48,358
22,23,23,Ben Curtis,56,13.46,21,156
23,24,24,Todd Fischer,104,13.47,45,334
24,25,25,Joe Durant,85,13.53,41,303
25,T26,T26,Ernie Els,62,13.54,31,229
26,T26,T26,Matt Gogel,86,13.54,39,288
27,28,28,Harrison Frazar,86,13.56,43,317
28,29,29,Cameron Beckman,99,13.58,47,346
29,30,30,José María Olazábal,56,13.61,23,169
30,31,31,Brian Kortan,65,13.69,23,168
31,32,32,Stewart Cink,103,13.73,49,357
32,T33,T33,Peter Lonard,68,13.74,25,182
33,T33,T33,Mike Weir,75,13.74,36,262
