,Early_Scoring_Average_RANK THIS WEEK,Early_Scoring_Average_RANK LAST WEEK,Early_Scoring_Average_PLAYER NAME,Early_Scoring_Average_ROUNDS,Early_Scoring_Average_AVG,Early_Scoring_Average_TOTAL STROKES,Early_Scoring_Average_TOTAL EARLY ROUNDS
0,1,1,Vijay Singh,112,68.95,2758,40
1,2,2,Tiger Woods,78,69.23,1800,26
2,3,3,Retief Goosen,56,69.25,1385,20
3,4,4,Loren Roberts,81,69.58,2505,36
4,5,5,Darren Clarke,54,69.62,1462,21
5,6,6,Phil Mickelson,83,69.67,1881,27
6,7,7,Stephen Ames,97,69.83,2793,40
7,8,8,Ernie Els,62,69.84,1327,19
8,9,9,Scott Verplank,92,69.85,2724,39
9,10,10,Jay Haas,84,69.94,2448,35
10,11,11,Brian Gay,96,69.95,3078,44
11,12,12,Duffy Waldorf,79,70.03,2241,32
12,13,13,Jeff Sluman,98,70.09,3224,46
13,14,14,Tom Lehman,70,70.11,2454,35
14,15,15,Shigeki Maruyama,93,70.13,3156,45
15,T16,T16,Jesper Parnevik,86,70.14,2595,37
16,T16,T16,Corey Pavin,83,70.14,2455,35
17,18,18,Stewart Cink,103,70.17,2877,41
18,T19,T19,Cameron Beckman,99,70.18,3088,44
19,T19,T19,Carl Pettersson,100,70.18,3439,49
20,21,21,Rod Pampling,98,70.19,3369,48
21,22,22,Mike Weir,75,70.2,2106,30
22,23,23,Bo Van Pelt,107,70.22,3581,51
23,24,24,Justin Rose,77,70.23,2809,40
24,25,25,Notah Begay III,71,70.24,2599,37
25,26,26,Olin Browne,92,70.26,3232,46
26,27,27,Ted Purdy,114,70.28,3795,54
27,28,28,Sergio Garcia,65,70.3,1617,23
28,29,29,Lee Janzen,84,70.32,2602,37
29,30,30,Mark Wilson,62,70.35,2603,37
30,31,31,Dudley Hart,60,70.37,2111,30
31,32,32,Kirk Triplett,88,70.38,2252,32
32,33,33,Chris DiMarco,105,70.39,3449,49
33,34,34,Kevin Na,100,70.4,3027,43
34,T35,T35,Brian Bateman,84,70.45,2818,40
35,T35,T35,Adam Scott,55,70.45,1550,22
36,T37,T37,Joe Durant,85,70.47,3171,45
37,T37,T37,Chris Riley,78,70.47,2396,34
38,39,39,David Toms,80,70.49,2608,37
39,T40,T40,Jerry Kelly,113,70.5,3384,48
40,T40,T40,Shaun Micheel,93,70.5,3525,50
41,42,42,Harrison Frazar,86,70.51,2750,39
42,43,43,Tim Herron,84,70.55,2822,40
43,44,44,Luke Donald,72,70.58,2188,31
44,45,45,Zach Johnson,109,70.6,3177,45
45,46,46,Justin Leonard,90,70.62,2966,42
46,T47,T47,Freddie Jacobson,83,70.63,2472,35
47,T47,T47,Steve Stricker,81,70.63,2896,41
48,49,49,Briny Baird,100,70.65,3462,49
49,50,50,Steve Flesch,109,70.68,3534,50
50,T51,T51,Craig Barlow,80,70.7,2616,37
51,T51,T51,Scott Hoch,52,70.7,1626,23
52,53,53,Charles Howell III,104,70.72,3253,46
53,54,54,Stuart Appleby,84,70.73,2617,37
54,T55,T55,Daniel Chopra,108,70.74,3537,50
55,T55,T55,Davis Love III,85,70.74,2193,31
56,T55,T55,Geoff Ogilvy,91,70.74,2759,39
57,T58,T58,Joe Ogilvie,104,70.75,3608,51
58,T58,T58,Deane Pappas,72,70.75,2264,32
59,60,60,David Peoples,82,70.78,2831,40
60,T61,T61,K.J. Choi,83,70.8,2903,41
61,T61,T61,Scott McCarron,88,70.8,2832,40
62,T61,T61,John Senden,99,70.8,3611,51
63,T61,T61,Joey Sindelar,100,70.8,3469,49
64,65,65,Tag Ridings,53,70.81,1912,27
65,66,66,Tom Pernice Jr.,103,70.82,3470,49
66,67,67,Brett Quigley,102,70.83,3329,47
67,T68,T68,Bart Bryant,73,70.84,2621,37
68,T68,T68,Jonathan Byrd,85,70.84,2621,37
