,Late_Scoring_Average_RANK THIS WEEK,Late_Scoring_Average_RANK LAST WEEK,Late_Scoring_Average_PLAYER NAME,Late_Scoring_Average_ROUNDS,Late_Scoring_Average_AVG,Late_Scoring_Average_TOTAL STROKES,Late_Scoring_Average_TOTAL LATE ROUNDS
0,1,1,Vijay Singh,112,69.33,4853,70
1,T2,T2,Ernie Els,62,69.62,2715,39
2,T2,T2,Phil Mickelson,83,69.62,3620,52
3,4,4,Bart Bryant,73,69.72,2231,32
4,5,5,Retief Goosen,56,69.77,2442,35
5,6,6,Tom Lehman,70,69.81,2164,31
6,7,7,Brent Geiberger,94,69.91,3146,45
7,8,8,Tiger Woods,78,69.93,3217,46
8,T9,T9,Carlos Franco,99,70.0,3080,44
9,T9,T9,Kenny Perry,79,70.0,2940,42
10,11,11,Jerry Kelly,113,70.02,4271,61
11,12,12,Stewart Cink,103,70.05,3923,56
12,T13,T13,John Daly,79,70.1,2944,42
13,T13,T13,Bob Estes,73,70.1,2103,30
14,15,15,John Senden,99,70.11,3155,45
15,16,16,Rory Sabbatini,89,70.14,3086,44
16,T17,T17,Kirk Triplett,88,70.15,3648,52
17,T17,T17,Scott Verplank,92,70.15,3648,52
18,19,19,Jesper Parnevik,86,70.18,3439,49
19,20,20,Fred Funk,97,70.21,3370,48
20,21,21,Stephen Ames,97,70.27,3865,55
21,22,22,Robert Allenby,93,70.3,2812,40
22,23,23,Geoff Ogilvy,91,70.31,3375,48
23,24,24,Joe Durant,85,70.33,2813,40
24,T25,T25,Tim Clark,84,70.4,3168,45
25,T25,T25,Harrison Frazar,86,70.4,3027,43
26,T25,T25,Zach Johnson,109,70.4,4365,62
27,28,28,Woody Austin,94,70.42,3028,43
28,29,29,John Huston,62,70.43,2113,30
29,30,30,Tom Byrum,83,70.46,2607,37
30,31,31,Mark Hensby,97,70.47,3594,51
31,32,32,Ben Crane,92,70.48,3242,46
32,T33,T33,Loren Roberts,81,70.51,3032,43
33,T33,T33,Vaughn Taylor,84,70.51,3173,45
34,35,35,Bo Van Pelt,107,70.53,3738,53
35,36,36,Kent Jones,99,70.55,2963,42
36,37,37,Luke Donald,72,70.59,2894,41
37,38,38,Patrick Sheehan,113,70.63,3673,52
38,39,39,Jason Dufner,79,70.64,2755,39
39,40,40,Stuart Appleby,84,70.66,2897,41
40,41,41,Chris DiMarco,105,70.67,3463,49
41,T42,T42,Arron Oberholser,77,70.69,2474,35
