,Back_9_Round_3_Scoring_Average_RANK THIS WEEK,Back_9_Round_3_Scoring_Average_RANK LAST WEEK,Back_9_Round_3_Scoring_Average_PLAYER NAME,Back_9_Round_3_Scoring_Average_AVG,Back_9_Round_3_Scoring_Average_TOTAL STROKES,Back_9_Round_3_Scoring_Average_TOTAL ROUNDS
148,T148,T148,Jeff Maggert,35.91,395,11
149,T150,T150,Jason Dufner,35.92,467,13
150,T150,T150,J.P. Hayes,35.92,431,12
151,T150,T150,Bernhard Langer,35.92,467,13
152,T153,T153,Aaron Baddeley,35.94,611,17
153,T153,T153,Kevin Sutherland,35.94,575,16
154,T155,T155,Danny Briggs,36.0,504,14
155,T155,T155,Richard Johnson,36.0,684,19
156,T155,T155,Craig Parry,36.0,360,10
157,T155,T155,Craig Perks,36.0,360,10
158,T155,T155,Hidemichi Tanaka,36.0,648,18
159,160,160,Charles Howell III,36.04,829,23
160,161,161,Bob Burns,36.07,505,14
161,162,162,Gene Sauers,36.08,433,12
162,163,163,Roland Thatcher,36.09,397,11
163,164,164,Alex Cejka,36.14,506,14
164,165,165,Jay Williamson,36.16,687,19
165,166,166,Grant Waite,36.17,434,12
166,167,167,Tim Petrovic,36.18,796,22
167,168,168,Todd Hamilton,36.22,652,18
168,169,169,John Riegger,36.3,363,10
169,T170,T170,Rich Beem,36.31,472,13
170,T170,T170,John Rollins,36.31,581,16
171,172,172,Jeff Brehaut,36.35,727,20
172,T173,T173,Fred Couples,36.36,400,11
173,T173,T173,José María Olazábal,36.36,400,11
174,T175,T175,Mathias Grönberg,36.38,473,13
175,T175,T175,Tripp Isenhour,36.38,291,8
176,T175,T175,Len Mattiace,36.38,473,13
177,T175,T175,Blaine McCallister,36.38,291,8
178,T175,T175,Roger Tambellini,36.38,473,13
179,180,180,Mike Heinen,36.4,364,10
180,T181,T181,Chris DiMarco,36.42,874,24
181,T181,T181,Mark O'Meara,36.42,437,12
182,183,183,Jeff Sluman,36.43,765,21
183,184,184,Cliff Kresge,36.5,438,12
184,185,185,Billy Mayfair,36.59,805,22
185,186,186,Kevin Muncrief,36.6,183,5
186,187,187,Steve Lowery,36.61,659,18
187,188,188,Niclas Fasth,36.67,330,9
188,189,189,Danny Ellis,36.77,478,13
189,190,190,Arjun Atwal,36.85,479,13
190,191,191,Hirofumi Miyase,36.86,258,7
191,192,192,Ken Duke,36.93,554,15
192,193,193,Chris Couch,37.0,222,6
193,T194,T194,Ben Curtis,37.5,300,8
194,T194,T194,David Gossett,37.5,150,4
195,196,196,Dicky Pride,38.0,380,10
