,Birdie_to_Bogey_Ratio_RANK THIS WEEK,Birdie_to_Bogey_Ratio_RANK LAST WEEK,Birdie_to_Bogey_Ratio_PLAYER NAME,Birdie_to_Bogey_Ratio_ROUNDS,Birdie_to_Bogey_Ratio_BIRDIE TO BOGEY RATIO,Birdie_to_Bogey_Ratio_TOTAL BIRDIES AND BETTER,Birdie_to_Bogey_Ratio_TOTAL BOGEYS AND WORSE
0,1,1,Vijay Singh,112,2.02,501,248
1,2,2,Retief Goosen,56,1.95,226,116
2,3,3,Phil Mickelson,83,1.73,339,196
3,4,4,Tiger Woods,78,1.72,319,186
4,5,5,Ernie Els,62,1.65,243,147
5,6,6,Stewart Cink,103,1.62,381,235
6,7,7,Scott Verplank,92,1.6,363,227
7,T8,T8,Tom Lehman,70,1.56,266,170
8,T8,T8,Kirk Triplett,88,1.56,322,206
9,10,10,Stephen Ames,97,1.55,382,247
10,11,11,Loren Roberts,81,1.53,302,197
11,T12,T12,Jay Haas,84,1.5,288,192
12,T12,T12,Jerry Kelly,113,1.5,415,277
13,T12,T12,Jesper Parnevik,86,1.5,329,220
14,15,15,Geoff Ogilvy,91,1.49,362,243
15,16,16,Joe Durant,85,1.46,313,215
16,T17,T17,Chris DiMarco,105,1.43,373,261
17,T17,T17,Duffy Waldorf,79,1.43,285,200
18,19,19,Carl Pettersson,100,1.41,399,283
19,20,20,Justin Rose,77,1.4,282,202
20,T21,T21,Cameron Beckman,99,1.39,369,266
21,T21,T21,Bo Van Pelt,107,1.39,413,297
22,23,23,Zach Johnson,109,1.38,409,297
23,T24,T24,Stuart Appleby,84,1.37,300,219
24,T24,T24,Rod Pampling,98,1.37,361,263
25,T26,T26,Carlos Franco,99,1.36,367,269
26,T26,T26,Harrison Frazar,86,1.36,334,245
27,T28,T28,Davis Love III,85,1.35,287,213
28,T28,T28,Shigeki Maruyama,93,1.35,348,257
29,T28,T28,Tom Pernice Jr.,103,1.35,351,260
30,T31,T31,Olin Browne,92,1.34,317,237
31,T31,T31,Ben Crane,92,1.34,349,260
32,T31,T31,John Daly,79,1.34,330,247
33,T34,T34,Ted Purdy,114,1.33,436,327
34,T34,T34,Jeff Sluman,98,1.33,364,273
35,T34,T34,Vaughn Taylor,84,1.33,337,254
36,T37,T37,Craig Barlow,80,1.32,295,223
37,T37,T37,Bart Bryant,73,1.32,254,193
38,T37,T37,José Coceres,68,1.32,233,176
39,T37,T37,Luke Donald,72,1.32,254,193
40,T37,T37,Justin Leonard,90,1.32,296,225
41,T37,T37,John Senden,99,1.32,362,274
42,T43,T43,Briny Baird,100,1.3,357,275
43,T43,T43,Brian Bateman,84,1.3,299,230
44,T43,T43,Darren Clarke,54,1.3,186,143
45,T43,T43,Brent Geiberger,94,1.3,333,257
46,T43,T43,Freddie Jacobson,83,1.3,317,243
47,T43,T43,Rory Sabbatini,89,1.3,324,250
48,T49,T49,Scott Hoch,52,1.29,184,143
49,T49,T49,Adam Scott,55,1.29,207,161
50,T49,T49,David Toms,80,1.29,291,225
51,T52,T52,Bob Estes,73,1.28,253,198
52,T52,T52,Fred Funk,97,1.28,344,268
53,T52,T52,Mark Hensby,97,1.28,358,280
54,T52,T52,Kevin Na,100,1.28,340,265
55,T52,T52,José María Olazábal,56,1.28,179,140
56,T52,T52,Patrick Sheehan,113,1.28,418,327
57,T58,T58,Robert Allenby,93,1.27,326,256
58,T58,T58,Daniel Chopra,108,1.27,412,325
59,T58,T58,Tim Clark,84,1.27,309,243
60,T58,T58,Robert Gamez,103,1.27,386,305
61,T58,T58,Joe Ogilvie,104,1.27,394,310
62,T58,T58,Mike Weir,75,1.27,280,220
63,T64,T64,Jason Bohn,98,1.26,374,296
64,T64,T64,David Peoples,82,1.26,284,226
65,T64,T64,Kenny Perry,79,1.26,300,239
66,T67,T67,Woody Austin,94,1.25,378,302
67,T67,T67,Matt Gogel,86,1.25,310,248
68,T67,T67,Lee Janzen,84,1.25,316,252
69,T67,T67,Scott McCarron,88,1.25,328,262
70,T71,T71,Paul Azinger,75,1.24,287,232
71,T71,T71,Mark Calcavecchia,79,1.24,302,243
72,T71,T71,Greg Chalmers,70,1.24,266,214
73,T71,T71,Brian Gay,96,1.24,342,275
74,T71,T71,John Huston,62,1.24,217,175
75,T71,T71,J.L. Lewis,106,1.24,392,316
76,T71,T71,Ryan Palmer,103,1.24,397,321
77,T71,T71,Tag Ridings,53,1.24,195,157
78,T79,T79,Steve Allan,102,1.23,361,294
79,T79,T79,Michael Allen,87,1.23,310,252
80,T79,T79,Arron Oberholser,77,1.23,251,204
81,T79,T79,Corey Pavin,83,1.23,286,232
82,T83,T83,Tom Byrum,83,1.22,282,232
83,T83,T83,Todd Fischer,104,1.22,363,297
84,T83,T83,Steve Flesch,109,1.22,398,327
85,T83,T83,Sergio Garcia,65,1.22,250,205
86,T83,T83,Kent Jones,99,1.22,355,291
87,T83,T83,Bernhard Langer,59,1.22,193,158
88,T83,T83,Frank Lickliter II,89,1.22,338,278
89,T90,T90,Chad Campbell,100,1.21,318,262
90,T90,T90,K.J. Choi,83,1.21,298,247
91,T90,T90,Richard Johnson,102,1.21,377,312
92,T90,T90,Kevin Sutherland,86,1.21,275,228
93,T90,T90,Mark Wilson,62,1.21,219,181
94,T95,T95,J.J. Henry,103,1.2,365,305
95,T95,T95,Dennis Paulson,71,1.2,268,224
96,T95,T95,Joey Sindelar,100,1.2,346,289
97,T95,T95,Heath Slocum,92,1.2,312,259
98,T95,T95,Dean Wilson,99,1.2,370,309
99,T100,T100,Brett Quigley,102,1.19,356,300
100,T100,T100,John Riegger,53,1.19,183,154
101,T102,T102,Jonathan Byrd,85,1.18,323,274
102,T102,T102,Neal Lancaster,106,1.18,372,314
103,T102,T102,Brenden Pappas,111,1.18,407,345
104,T105,T105,Billy Andrade,104,1.17,380,325
105,T105,T105,Notah Begay III,71,1.17,251,214
106,T105,T105,Danny Briggs,85,1.17,290,247
107,T105,T105,Danny Ellis,81,1.17,279,238
108,T105,T105,Hank Kuehne,91,1.17,329,281
109,T105,T105,Jeff Maggert,60,1.17,217,186
110,T105,T105,Jay Williamson,100,1.17,343,294
111,T112,T112,Jason Dufner,79,1.16,290,250
112,T112,T112,Charles Howell III,104,1.16,337,290
113,T112,T112,Skip Kendall,99,1.16,350,301
114,T112,T112,Deane Pappas,72,1.16,258,223
115,T116,T116,John Cook,57,1.15,171,149
116,T116,T116,Glen Day,101,1.15,358,312
117,T116,T116,Tim Petrovic,111,1.15,370,321
118,T116,T116,Chris Smith,105,1.15,399,348
119,T120,T120,Brad Faxon,94,1.14,302,265
120,T120,T120,Lucas Glover,95,1.14,352,310
121,T120,T120,Shaun Micheel,93,1.14,318,279
122,T120,T120,Pat Perez,102,1.14,386,338
123,T120,T120,Chris Riley,78,1.14,252,222
124,T120,T120,Bob Tway,90,1.14,277,243
125,T126,T126,Steve Lowery,91,1.13,328,290
126,T126,T126,Hidemichi Tanaka,89,1.13,300,266
127,T128,T128,Bob Burns,88,1.12,292,260
128,T128,T128,Tim Herron,84,1.12,281,251
129,T128,T128,Hunter Mahan,94,1.12,340,303
130,T131,T131,Steve Elkington,64,1.11,210,189
131,T131,T131,Matt Kuchar,83,1.11,291,263
132,T133,T133,Jonathan Kaye,79,1.1,267,242
133,T133,T133,Steve Stricker,81,1.1,277,251
134,T135,T135,Fred Couples,54,1.09,202,185
135,T135,T135,Jay Delsing,76,1.09,246,226
136,T135,T135,Dudley Hart,60,1.09,205,188
137,T135,T135,J.P. Hayes,79,1.09,250,230
138,T135,T135,Mark O'Meara,58,1.09,193,177
139,T135,T135,Omar Uresti,85,1.09,272,250
140,T141,T141,Pat Bates,99,1.08,324,300
141,T141,T141,Robert Damron,92,1.08,318,294
142,T141,T141,Roland Thatcher,66,1.08,240,223
143,T144,T144,David Frost,78,1.07,255,239
144,T144,T144,Todd Hamilton,92,1.07,293,273
145,T144,T144,Steve Pate,71,1.07,237,221
146,T144,T144,Nick Price,51,1.07,169,158
147,T144,T144,John Rollins,90,1.07,303,283
148,149,149,Arjun Atwal,85,1.06,291,274
149,T150,T150,Tommy Armour III,87,1.05,291,276
150,T150,T150,Jeff Brehaut,106,1.05,354,338
151,T150,T150,Alex Cejka,76,1.05,247,235
152,T150,T150,Russ Cochran,61,1.05,203,194
153,T154,T154,Craig Bowden,83,1.04,273,263
154,T154,T154,David Branshaw,84,1.04,281,271
155,T154,T154,D.J. Brigman,79,1.04,270,260
156,157,157,Stephen Leaney,84,1.03,231,225
157,T158,T158,Mathias Grönberg,91,1.02,285,280
158,T158,T158,Rocco Mediate,53,1.02,165,162
159,160,160,Dan Forsman,79,1.01,238,236
160,161,161,Craig Perks,75,1.0,240,239
161,162,162,Billy Mayfair,109,0.99,341,344
162,T163,T163,Mike Heinen,53,0.98,193,196
163,T163,T163,Spike McRoy,93,0.98,296,303
164,165,165,Rich Barcelo,67,0.97,216,222
165,166,166,Tommy Tolles,67,0.96,245,254
166,T167,T167,Rich Beem,81,0.95,270,285
167,T167,T167,Ben Curtis,56,0.95,166,175
168,T167,T167,Scott Simpson,55,0.95,181,190
169,T170,T170,Aaron Baddeley,87,0.94,290,308
170,T170,T170,Ken Duke,89,0.94,299,317
171,T170,T170,Roger Tambellini,81,0.94,266,282
172,173,173,Tom Carter,113,0.93,364,391
173,174,174,Scott Hend,81,0.92,303,329
174,T175,T175,Brian Kortan,65,0.91,182,200
175,T175,T175,Dan Olsen,75,0.91,246,271
176,T175,T175,Andre Stolz,53,0.91,178,196
177,T175,T175,Grant Waite,79,0.91,252,277
178,T179,T179,Niclas Fasth,61,0.9,194,215
179,T179,T179,Blaine McCallister,68,0.9,203,226
180,T179,T179,Craig Parry,52,0.9,152,168
181,T179,T179,Gene Sauers,83,0.9,266,294
182,T183,T183,Cliff Kresge,89,0.89,274,309
183,T183,T183,Esteban Toledo,92,0.89,279,315
184,T185,T185,Kris Cox,73,0.88,231,262
185,T185,T185,Peter Lonard,68,0.88,190,217
186,187,187,David Morland IV,73,0.87,240,275
187,T188,T188,Tripp Isenhour,55,0.86,172,201
188,T188,T188,Len Mattiace,75,0.86,226,262
189,T190,T190,Guy Boros,64,0.84,205,245
190,T190,T190,Mark Brooks,72,0.84,214,254
191,192,192,Dicky Pride,66,0.81,182,226
192,193,193,Chris Couch,55,0.79,199,251
193,194,194,Hirofumi Miyase,65,0.78,188,242
194,195,195,Kevin Muncrief,50,0.69,149,217
195,196,196,David Gossett,57,0.5,141,280
