,Par_5_Birdie_or_Better_Leaders_RANK THIS WEEK,Par_5_Birdie_or_Better_Leaders_RANK LAST WEEK,Par_5_Birdie_or_Better_Leaders_PLAYER NAME,Par_5_Birdie_or_Better_Leaders_ROUNDS,Par_5_Birdie_or_Better_Leaders_%,Par_5_Birdie_or_Better_Leaders_PAR 5 BIRDIES OR BETTER,Par_5_Birdie_or_Better_Leaders_PAR 5 HOLES
0,1,1,Retief Goosen,56,56.91,107,188
1,2,2,Tiger Woods,78,54.58,131,240
2,3,3,Ernie Els,62,54.44,98,180
3,4,4,Vijay Singh,112,54.2,200,369
4,5,5,John Daly,79,52.94,144,272
5,6,6,Harrison Frazar,86,52.4,153,292
6,7,7,Fred Couples,54,50.27,92,183
7,8,8,Scott Hend,81,50.19,132,263
8,9,9,Geoff Ogilvy,91,50.16,160,319
9,10,10,Phil Mickelson,83,50.0,133,266
10,11,11,Adam Scott,55,49.4,83,168
11,12,12,Chris Smith,105,48.25,179,371
12,13,13,Jonathan Byrd,85,47.97,130,271
13,14,14,Chris Couch,55,47.92,92,192
14,15,15,Davis Love III,85,47.83,121,253
15,16,16,Mike Weir,75,47.66,112,235
16,17,17,Lucas Glover,95,47.44,148,312
17,18,18,Daniel Chopra,108,47.37,171,361
18,19,19,John Senden,99,47.17,150,318
19,20,20,Woody Austin,94,46.67,154,330
20,21,21,Rod Pampling,98,46.13,149,323
21,22,22,Dennis Paulson,71,46.09,112,243
22,T23,T23,Cameron Beckman,99,46.01,150,326
23,T23,T23,José Coceres,68,46.01,98,213
24,T25,T25,Brian Bateman,84,45.85,127,277
25,T25,T25,Scott Verplank,92,45.85,138,301
26,27,27,Rich Beem,81,45.72,123,269
27,T28,T28,Sergio Garcia,65,45.54,92,202
28,T28,T28,Tom Lehman,70,45.54,102,224
29,30,30,Darren Clarke,54,45.51,71,156
30,T31,T31,Craig Barlow,80,45.45,125,275
31,T31,T31,Jesper Parnevik,86,45.45,130,286
32,33,33,Rocco Mediate,53,45.4,79,174
33,34,34,Carl Pettersson,100,45.35,156,344
34,35,35,Roger Tambellini,81,45.22,123,272
35,36,36,Brenden Pappas,111,45.09,170,377
36,37,37,Mike Heinen,53,44.86,83,185
37,38,38,Jeff Maggert,60,44.85,87,194
38,39,39,John Huston,62,44.78,90,201
39,40,40,Richard Johnson,102,44.63,158,354
40,41,41,Freddie Jacobson,83,44.6,124,278
41,42,42,Corey Pavin,83,44.57,115,258
42,43,43,Ben Crane,92,44.55,143,321
43,44,44,Stuart Appleby,84,44.49,117,263
44,45,45,Carlos Franco,99,44.41,151,340
45,46,46,Brent Geiberger,94,44.37,134,302
46,47,47,Ryan Palmer,103,44.35,153,345
47,48,48,Lee Janzen,84,44.33,125,282
48,49,49,Paul Azinger,75,44.24,119,269
49,50,50,Vaughn Taylor,84,44.13,124,281
50,51,51,Deane Pappas,72,44.12,105,238
51,52,52,Stephen Ames,97,44.06,141,320
52,53,53,Ken Duke,89,44.04,133,302
53,54,54,Michael Allen,87,44.03,129,293
54,55,55,Bo Van Pelt,107,44.02,151,343
55,56,56,Ted Purdy,114,44.01,169,384
56,57,57,Matt Gogel,86,43.9,126,287
57,58,58,Kenny Perry,79,43.78,109,249
58,59,59,Joe Ogilvie,104,43.71,153,350
59,60,60,Tommy Tolles,67,43.53,101,232
