,Sub-Par_Rounds_RANK THIS WEEK,Sub-Par_Rounds_RANK LAST WEEK,Sub-Par_Rounds_PLAYER NAME,Sub-Par_Rounds_EVENTS
0,1,1,Vijay Singh,29
1,2,2,Jerry Kelly,29
2,3,3,Carlos Franco,27
3,T4,T4,Stewart Cink,28
4,T4,T4,Zach Johnson,30
5,T4,T4,Ted Purdy,35
6,7,7,Bo Van Pelt,30
7,8,8,Patrick Sheehan,33
8,9,9,Scott Verplank,24
9,T10,T10,Stephen Ames,27
10,T10,T10,Briny Baird,30
11,T10,T10,Daniel Chopra,33
12,T10,T10,J.J. Henry,30
13,T10,T10,Geoff Ogilvy,26
14,T15,T15,Neal Lancaster,33
15,T15,T15,Carl Pettersson,28
16,T17,T17,Chris DiMarco,27
17,T17,T17,Charles Howell III,30
18,T17,T17,Tom Pernice Jr.,31
19,T20,T20,Fred Funk,29
20,T20,T20,Phil Mickelson,22
21,T20,T20,Rod Pampling,26
22,T20,T20,Tim Petrovic,32
23,T20,T20,Chris Smith,33
24,T25,T25,Ben Crane,27
25,T25,T25,Steve Flesch,31
26,T25,T25,Shigeki Maruyama,26
27,T25,T25,Brenden Pappas,34
28,T25,T25,Jay Williamson,33
29,T30,T30,Olin Browne,30
30,T30,T30,Mark Hensby,29
31,T30,T30,J.L. Lewis,32
32,T30,T30,Jesper Parnevik,24
33,T34,T34,Robert Gamez,31
34,T34,T34,Kent Jones,32
35,T34,T34,Kevin Na,32
36,T34,T34,Joe Ogilvie,32
37,T34,T34,Joey Sindelar,31
38,T39,T39,Billy Andrade,31
39,T39,T39,Cameron Beckman,30
40,T39,T39,Jason Bohn,29
41,T39,T39,Glen Day,33
42,T39,T39,Jay Haas,23
43,T39,T39,Pat Perez,32
44,T39,T39,Jeff Sluman,28
45,T39,T39,Kirk Triplett,24
46,T47,T47,Woody Austin,29
47,T47,T47,Brian Gay,32
48,T47,T47,Scott McCarron,27
49,T47,T47,John Senden,28
50,T51,T51,Robert Allenby,26
51,T51,T51,Joe Durant,26
52,T51,T51,Todd Fischer,33
53,T51,T51,Richard Johnson,32
54,T51,T51,Skip Kendall,29
55,T51,T51,Billy Mayfair,32
56,T51,T51,Ryan Palmer,33
57,T51,T51,Tiger Woods,19
58,T59,T59,Steve Allan,33
59,T59,T59,Chad Campbell,28
60,T59,T59,Rory Sabbatini,26
61,T62,T62,Pat Bates,32
62,T62,T62,Jeff Brehaut,34
63,T62,T62,Brent Geiberger,31
64,T62,T62,Matt Gogel,25
65,T62,T62,Freddie Jacobson,24
66,T62,T62,Arron Oberholser,23
67,T62,T62,Dean Wilson,33
68,T69,T69,Robert Damron,28
69,T69,T69,Harrison Frazar,25
70,T69,T69,Tim Herron,26
71,T69,T69,Hank Kuehne,30
72,T69,T69,Steve Lowery,28
73,T69,T69,Hunter Mahan,30
74,T69,T69,Shaun Micheel,27
75,T69,T69,Justin Rose,22
76,T77,T77,Michael Allen,28
77,T77,T77,Craig Barlow,25
78,T77,T77,Brian Bateman,24
79,T77,T77,Brett Quigley,31
80,T77,T77,Loren Roberts,22
81,T77,T77,Duffy Waldorf,26
82,T83,T83,Tim Clark,26
83,T83,T83,Lucas Glover,30
84,T83,T83,Bob Tway,26
85,T86,T86,Stuart Appleby,25
86,T86,T86,Tom Byrum,25
87,T86,T86,Greg Chalmers,22
88,T86,T86,Lee Janzen,25
89,T86,T86,Corey Pavin,23
90,T86,T86,Heath Slocum,31
91,T86,T86,Omar Uresti,28
92,T93,T93,Tom Carter,35
93,T93,T93,John Daly,22
94,T93,T93,Justin Leonard,25
95,T93,T93,Davis Love III,24
96,T93,T93,David Peoples,26
97,T93,T93,Kenny Perry,23
98,T93,T93,Hidemichi Tanaka,27
99,T100,T100,Jonathan Byrd,27
100,T100,T100,K.J. Choi,24
101,T100,T100,Brad Faxon,28
102,T100,T100,Retief Goosen,16
103,T100,T100,Tom Lehman,19
104,T100,T100,Frank Lickliter II,27
105,T106,T106,Ernie Els,16
106,T106,T106,Todd Hamilton,27
107,T106,T106,Kevin Sutherland,27
108,T106,T106,Esteban Toledo,36
109,T110,T110,Paul Azinger,23
110,T110,T110,Bob Burns,30
111,T110,T110,Luke Donald,21
112,T110,T110,Jonathan Kaye,25
113,T110,T110,Dennis Paulson,21
114,T110,T110,Chris Riley,23
115,T110,T110,Vaughn Taylor,27
116,T117,T117,Arjun Atwal,30
117,T117,T117,Danny Briggs,28
118,T117,T117,Jason Dufner,28
119,T117,T117,Danny Ellis,26
120,T117,T117,Mathias Grönberg,32
121,T117,T117,Spike McRoy,33
122,T117,T117,John Rollins,29
123,T117,T117,David Toms,24
124,T125,T125,Stephen Leaney,24
125,T125,T125,Deane Pappas,22
126,T125,T125,Steve Stricker,27
127,T125,T125,Mike Weir,22
128,T129,T129,Craig Bowden,30
129,T129,T129,David Branshaw,30
130,T129,T129,Bart Bryant,23
131,T129,T129,Mark Calcavecchia,24
132,T129,T129,José Coceres,20
133,T129,T129,Bob Estes,23
134,T129,T129,Cliff Kresge,33
135,T136,T136,Alex Cejka,24
136,T136,T136,David Frost,26
137,T136,T136,J.P. Hayes,27
138,T136,T136,Scott Hoch,17
139,T136,T136,Matt Kuchar,28
140,141,141,Tommy Armour III,28
141,T142,T142,Aaron Baddeley,27
142,T142,T142,Ken Duke,30
143,T142,T142,Dan Forsman,28
144,T142,T142,John Huston,20
145,T142,T142,Roland Thatcher,23
146,147,147,D.J. Brigman,27
147,T148,T148,Jay Delsing,26
148,T148,T148,Sergio Garcia,18
149,T148,T148,Scott Hend,29
150,T148,T148,Jeff Maggert,20
151,T148,T148,Steve Pate,24
152,T148,T148,Craig Perks,27
153,T148,T148,Roger Tambellini,28
154,T148,T148,Mark Wilson,19
155,T156,T156,Notah Begay III,23
156,T156,T156,Bernhard Langer,15
157,T156,T156,Adam Scott,16
158,T159,T159,Russ Cochran,25
159,T159,T159,Fred Couples,16
160,T159,T159,Blaine McCallister,27
161,T159,T159,Grant Waite,29
162,T163,T163,Rich Beem,28
163,T163,T163,Steve Elkington,20
164,T163,T163,David Morland IV,27
165,T163,T163,Gene Sauers,30
166,T167,T167,Rich Barcelo,26
167,T167,T167,John Cook,19
168,T167,T167,Kris Cox,26
169,T167,T167,Niclas Fasth,22
