,FedExCup_Bonus_Money_RANK THIS WEEK,FedExCup_Bonus_Money_RANK LAST WEEK,FedExCup_Bonus_Money_PLAYER NAME,FedExCup_Bonus_Money_EVENTS,FedExCup_Bonus_Money_MONEY
0,1,1,Billy Horschel,27,10000000
1,2,2,Chris Kirk,28,3000000
2,3,3,Rory McIlroy,17,2000000
3,4,4,Jim Furyk,21,1500000
4,5,5,Bubba Watson,21,1000000
5,6,6,Hunter Mahan,25,800000
6,7,7,Jimmy Walker,27,700000
7,8,8,Matt Kuchar,24,600000
8,9,9,Rickie Fowler,26,550000
9,10,10,Jason Day,15,500000
10,11,11,Justin Rose,19,300000
11,12,12,Adam Scott,17,290000
12,13,13,Sergio Garcia,16,280000
13,14,14,Ryan Palmer,23,270000
14,15,15,Jordan Spieth,27,250000
15,16,16,Bill Haas,28,242500
16,16,16,Martin Kaymer,19,242500
17,18,18,Zach Johnson,26,235000
18,19,19,Russell Henley,29,230000
19,20,20,Cameron Tringale,31,225000
20,21,21,Patrick Reed,28,220000
21,22,22,Gary Woodland,25,215000
22,23,23,John Senden,27,210000
23,24,24,Kevin Na,27,205000
24,25,25,Webb Simpson,25,200000
25,26,26,Morgan Hoffmann,32,195000
26,27,27,Brendon Todd,29,190000
27,28,28,Hideki Matsuyama,24,185000
28,29,29,Geoff Ogilvy,26,180000
29,30,30,Dustin Johnson,17,175000
30,31,31,Stuart Appleby,29,165000
31,32,32,Harris English,28,155000
32,33,33,Keegan Bradley,26,150000
33,34,34,Charles Howell III,29,145000
34,35,35,Seung-Yul Noh,27,142000
35,36,36,Brian Harman,32,140000
36,37,37,Graham DeLaet,24,138000
37,38,38,Kevin Stadler,26,137000
38,39,39,Ryan Moore,24,136000
39,40,40,Russell Knox,26,135000
40,41,41,Ernie Els,24,134000
41,42,42,J.B. Holmes,24,133000
42,43,43,Charl Schwartzel,18,132000
43,44,44,Kevin Streelman,24,131000
44,45,45,Matt Every,26,130000
45,46,46,George McNeill,24,129000
46,47,47,Chris Stroud,25,128000
47,48,48,Camilo Villegas,29,127000
48,49,49,Chesson Hadley,29,126000
49,50,50,Ángel Cabrera,23,125000
50,51,51,Brian Stuard,29,120000
51,52,52,Henrik Stenson,15,115000
52,53,53,Charley Hoffman,25,114000
53,54,54,Tim Clark,26,113000
54,55,55,Kevin Chappell,28,110000
55,56,56,Graeme McDowell,17,110000
56,57,57,Daniel Summerhays,27,110000
57,58,58,Marc Leishman,24,110000
58,59,59,Steven Bowditch,30,110000
59,60,60,Ben Crane,25,110000
60,61,61,William McGirt,29,110000
61,62,62,Jerry Kelly,23,110000
62,63,63,Carl Pettersson,28,110000
63,64,64,Erik Compton,28,110000
64,65,65,Will MacKenzie,27,110000
65,66,66,Freddie Jacobson,27,110000
66,67,67,Matt Jones,25,110000
67,68,68,Phil Mickelson,21,110000
68,69,69,K.J. Choi,23,110000
69,70,70,Jason Bohn,25,110000
70,71,71,Robert Streb,21,80000
71,72,72,Ryo Ishikawa,24,80000
72,73,73,Jason Kokrak,19,80000
73,74,74,David Hearn,28,80000
74,75,75,Justin Hicks,30,80000
75,76,76,Ben Martin,26,80000
76,77,77,Scott Langley,29,80000
77,78,78,Ian Poulter,17,80000
78,79,79,Brendan Steele,26,80000
79,80,80,Stewart Cink,25,80000
80,81,81,Bo Van Pelt,25,75000
81,82,82,Gonzalo Fernandez-Castaño,25,75000
82,83,83,Shawn Stefani,17,75000
83,84,84,Scott Stallings,28,75000
84,85,85,Scott Brown,30,75000
85,86,86,Brandt Snedeker,25,75000
86,87,87,Vijay Singh,25,75000
87,88,88,Danny Lee,28,75000
88,89,89,Luke Donald,17,75000
89,90,90,Jason Dufner,17,75000
90,91,91,Brendon de Jonge,31,75000
91,92,92,Jeff Overton,24,75000
92,93,93,Michael Putnam,30,75000
93,94,94,Andrew Svoboda,24,75000
94,95,95,Paul Casey,16,75000
95,96,96,John Huh,28,75000
96,97,97,Billy Hurley III,26,75000
97,98,98,Pat Perez,25,75000
98,99,99,Robert Garrigus,25,75000
99,100,100,Andres Romero,26,75000
100,101,101,Troy Merritt,20,70000
101,102,102,Jonas Blixt,21,70000
102,103,103,Retief Goosen,26,70000
103,104,104,Kevin Kisner,26,70000
104,105,105,Nick Watney,25,70000
105,106,106,Luke Guthrie,26,70000
106,107,107,Lee Westwood,18,70000
107,108,108,Rory Sabbatini,26,70000
108,109,109,Bryce Molder,25,70000
109,110,110,Brian Davis,28,70000
110,111,111,Boo Weekley,24,70000
111,112,112,Martin Flores,26,70000
112,113,113,Ricky Barnes,27,70000
113,114,114,Aaron Baddeley,24,70000
114,115,115,Jhonattan Vegas,23,70000
115,116,116,Steve Stricker,11,70000
116,117,117,Michael Thompson,22,70000
117,118,118,David Toms,20,70000
118,119,119,Tim Wilkinson,25,70000
119,120,120,Justin Leonard,22,70000
120,121,121,Brice Garnett,28,70000
121,122,122,Sangmoon Bae,24,70000
122,123,123,James Hahn,27,70000
