,FedExCup_Season_Points_for_Non-Members_RANK THIS WEEK,FedExCup_Season_Points_for_Non-Members_RANK LAST WEEK,FedExCup_Season_Points_for_Non-Members_PLAYER NAME,FedExCup_Season_Points_for_Non-Members_EVENTS,FedExCup_Season_Points_for_Non-Members_POINTS,FedExCup_Season_Points_for_Non-Members_WGC POINTS
0,1,1,Victor Dubuisson,10,662,361.0
1,2,2,Brooks Koepka,16,589,
2,3,3,Jamie Donaldson,12,568,396.0
3,4,4,Francesco Molinari,12,551,148.0
4,5,5,Jason Allred,9,316,
5,6,6,Thomas Bjørn,9,302,158.0
6,7,7,Matteo Manassero,10,280,103.0
7,8,8,Robert Karlsson,7,270,
8,9,9,Miguel Angel Jiménez,8,261,111.0
9,10,10,Richard Sterne,7,252,215.0
10,11,11,Stephen Gallacher,12,244,149.0
11,12,12,Thongchai Jaidee,9,220,160.0
12,13,13,Kiradech Aphibarnrat,9,217,40.0
13,14,14,George Coetzee,6,204,121.0
14,15,15,Joost Luiten,9,188,99.0
15,16,16,Branden Grace,11,182,128.0
16,17,17,Mikko Ilonen,5,158,73.0
17,18,18,Max Homa,8,136,
18,19,19,Scott Hend,3,126,97.0
19,20,20,John Mallinger,14,124,
20,21,21,Edoardo Molinari,2,117,
21,22,22,Shane Lowry,3,102,
22,23,23,Shiv Kapur,2,100,
23,24,24,Chris Wood,3,96,29.0
24,25,25,Justin Thomas,7,95,
25,26,26,Patrick Rodgers,7,85,
26,27,27,Marc Warren,2,82,
27,28,28,David Howell,3,78,19.0
28,29,29,Bernd Wiesberger,4,76,23.0
29,30,30,Grégory Bourdy,2,68,46.0
30,31,31,Danny Willett,3,65,
31,32,32,Marcel Siem,3,65,
32,33,33,Hideto Tanihara,3,64,
33,34,34,Jin Jeong,3,63,63.0
34,35,35,Fabrizio Zanotti,2,63,43.0
35,36,36,WC Liang,2,58,58.0
36,T37,T37,Koumei Oda,2,57,
37,T37,T37,Brady Watt,4,57,
38,39,39,Austin Cook,1,56,
39,40,40,Peter Uihlein,7,56,56.0
40,41,41,Andres Gonzales,2,53,
41,42,42,Tommy Fleetwood,3,53,53.0
42,T43,T43,Alexander Levy,2,52,12.0
43,T43,T43,Jay McLuen,2,52,
44,T43,T43,Alvaro Quiros,2,52,
45,46,46,Cody Gribble,1,50,
46,47,47,Jaco Van Zyl,1,46,46.0
47,48,48,Gaganjeet Bhullar,2,45,7.0
48,49,49,Hyung-Sung Kim,6,44,35.0
49,50,50,Siddikur Rahman,1,44,
50,51,51,Byeong Hun An,1,43,
51,52,52,Daniel Berger,1,40,
52,53,53,Steven Ihm,1,40,
53,54,54,Darren Fichardt,2,39,39.0
54,55,55,Jon Curran,1,38,
55,56,56,Kristoffer Broberg,1,38,
56,T57,T57,Mark Brown,1,35,35.0
57,T57,T57,Wenyi Huang,1,35,35.0
58,59,59,Anirban Lahiri,3,34,
59,60,60,Pablo Larrazabal,5,30,30.0
60,61,61,Oliver Goss,7,29,
61,T62,T62,Lucas Bjerregaard,1,29,
62,T62,T62,Zac Blair,1,29,
63,T62,T62,HaoTong Li,1,29,29.0
64,T62,T62,Garth Mulroy,1,29,
65,66,66,Rafa Cabrera Bello,5,29,
66,T67,T67,Prayad Marksaeng,1,26,
67,T67,T67,Kevin Penner,1,26,
68,69,69,Sam Saunders,1,24,
69,T70,T70,Rafael Campos,1,22,
70,T70,T70,Emiliano Grillo,1,22,
71,T70,T70,David Skinns,1,22,
72,73,73,Berry Henson,1,22,
73,74,74,Josh Broadaway,1,20,
74,75,75,Oscar Fraustro,1,20,
75,T76,T76,Hiroyuki Fujita,1,19,19.0
76,T76,T76,Mike Hendry,1,19,19.0
77,T76,T76,Masahiro Kawamura,2,19,19.0
78,79,79,Ryan Sullivan,1,15,
79,T80,T80,Joel Dahmen,1,14,
80,T80,T80,Adam Hadwin,1,14,
81,T80,T80,Nicholas Lindheim,1,14,
82,T80,T80,Fran Quinn,1,14,
83,84,84,Kevin Lucas,1,13,
84,85,85,Derek Fathauer,1,12,
85,T86,T86,Jamie McLeary,1,11,
86,T86,T86,Chris Rodgers,1,11,
87,88,88,Chris Williams,4,9,
88,89,89,Nicholas Fung,1,8,
89,90,90,Clayton Rask,1,7,
90,91,91,Bobby Wyatt,5,7,
91,T92,T92,Jeff Curl,2,6,
92,T92,T92,Dawie van der Walt,2,6,6.0
93,94,94,Brett Rumford,3,6,6.0
94,95,95,Chris Thompson,2,6,
95,T96,T96,Carlos Ortiz,1,5,
96,T96,T96,Daniel Popovic,1,5,5.0
97,98,98,Toru Taniguchi,1,4,
98,99,99,Kyle Reifers,2,4,
99,100,100,Daisuke Maruyama,1,3,3.0
100,101,101,Ashun Wu,2,3,3.0
101,102,102,Mark Hubbard,1,2,
102,103,103,Seuk-hyun Baek,2,2,1.0
103,104,104,Wade Ormsby,1,2,
104,105,105,Yoshitaka Takeya,1,2,2.0
105,106,106,Colin Montgomerie,1,1,
106,107,107,Derek Tolan,1,1,
107,108,108,Harold Varner III,2,1,
108,T109,T109,Thomas Aiken,3,1,
109,T109,T109,Rhein Gibson,1,1,
110,T109,T109,Tano Goya,1,1,1.0
111,112,112,Raphael Jacquelin,1,1,1.0
112,T113,T113,Bubba Dickerson,2,1,
113,T113,T113,Toshinori Muto,1,1,
114,115,115,Mu Hu,1,1,1.0
115,116,116,Rashid Ismail,1,1,
116,117,117,Mingjie Huang,1,1,1.0
117,118,118,Eric Dugas,1,1,
118,119,119,Michael Block,2,1,
