,Putting_Rating_RANK THIS WEEK,Putting_Rating_RANK LAST WEEK,Putting_Rating_PLAYER NAME,Putting_Rating_EVENTS,Putting_Rating_RATING
0,T1,T1,José Coceres,1,9.1
1,T1,T1,Hideto Tanihara,1,9.1
2,T1,T1,Justin Thomas,2,9.1
3,4,4,Joel Dahmen,1,8.9
4,T5,T5,David Duval,2,8.8
5,T5,T5,Sam Saunders,1,8.8
6,T5,T5,Danny Willett,1,8.8
7,T5,T5,Fabrizio Zanotti,2,8.8
8,T9,T9,Jason Allred,4,8.7
9,T9,T9,Eric Axley,3,8.7
10,T9,T9,Matt Bettencourt,3,8.7
11,T9,T9,Scott McCarron,1,8.7
12,T9,T9,Tom Watson,1,8.7
13,14,14,Mike Weir,6,8.6
14,T15,T15,Austin Cook,1,8.5
15,T15,T15,Andres Gonzales,1,8.5
16,T15,T15,Peter Malnati,3,8.5
17,T15,T15,Thorbjørn Olesen,2,8.5
18,T15,T15,Tim Petrovic,1,8.5
19,T15,T15,Scottie Scheffler,1,8.5
20,T21,T21,Aaron Baddeley,10,8.4
21,T21,T21,Greg Chalmers,13,8.4
22,T21,T21,George Coetzee,1,8.4
23,T21,T21,John Daly,3,8.4
24,T21,T21,Darren Fichardt,1,8.4
25,T21,T21,Matthew Fitzpatrick,1,8.4
26,T21,T21,Steve Flesch,1,8.4
27,T21,T21,David Howell,1,8.4
28,T21,T21,Justin Leonard,13,8.4
29,T21,T21,Dicky Pride,3,8.4
30,T21,T21,Jordan Spieth,19,8.4
31,T21,T21,Chris Thompson,1,8.4
32,T21,T21,Dawie van der Walt,1,8.4
33,T21,T21,Bernd Wiesberger,1,8.4
34,T35,T35,Thomas Bjørn,3,8.3
35,T35,T35,Justin Bolli,1,8.3
36,T35,T35,Tim Clark,9,8.3
37,T35,T35,Chad Collins,8,8.3
38,T35,T35,Luke Guthrie,14,8.3
39,T35,T35,Ryuji Imada,3,8.3
40,T35,T35,Ryo Ishikawa,11,8.3
41,T35,T35,Freddie Jacobson,17,8.3
42,T35,T35,Jordan Niebrugge,1,8.3
43,T35,T35,Steve Stricker,8,8.3
44,T35,T35,Brady Watt,1,8.3
45,T46,T46,Jon Curran,1,8.2
46,T46,T46,Matt Every,13,8.2
47,T46,T46,Derek Fathauer,1,8.2
48,T46,T46,Brian Gay,11,8.2
49,T46,T46,Todd Hamilton,1,8.2
50,T46,T46,Morgan Hoffmann,17,8.2
51,T46,T46,Mikko Ilonen,2,8.2
52,T46,T46,Steve Marino,7,8.2
53,T46,T46,Koumei Oda,1,8.2
54,T46,T46,Taylor Pendrith,1,8.2
55,T46,T46,Scott Piercy,5,8.2
56,T46,T46,Brian Stuard,13,8.2
57,T46,T46,Brendon Todd,22,8.2
58,T46,T46,Marc Warren,1,8.2
59,T46,T46,Tiger Woods,1,8.2
60,T61,T61,Stuart Appleby,17,8.1
61,T61,T61,Sangmoon Bae,12,8.1
62,T61,T61,Paul Casey,9,8.1
63,T61,T61,Brian Davis,16,8.1
64,T61,T61,Ernie Els,13,8.1
65,T61,T61,Scott Gardiner,3,8.1
66,T61,T61,Nathan Green,1,8.1
67,T61,T61,Charley Hoffman,18,8.1
68,T61,T61,J.B. Holmes,18,8.1
69,T61,T61,Richard Lee,10,8.1
70,T61,T61,Shane Lowry,1,8.1
71,T61,T61,Rory McIlroy,12,8.1
72,T61,T61,Phil Mickelson,10,8.1
73,T61,T61,Ryan Palmer,16,8.1
74,T61,T61,Patrick Reed,16,8.1
75,T61,T61,Webb Simpson,17,8.1
76,T61,T61,Peter Uihlein,1,8.1
77,T61,T61,Jimmy Walker,17,8.1
78,T61,T61,Lee Westwood,9,8.1
79,T80,T80,Jonas Blixt,7,8.0
80,T80,T80,Scott Brown,15,8.0
81,T80,T80,K.J. Choi,14,8.0
82,T80,T80,Luke Donald,10,8.0
83,T80,T80,James Driscoll,9,8.0
84,T80,T80,Rickie Fowler,12,8.0
85,T80,T80,Chesson Hadley,11,8.0
86,T80,T80,David Hearn,17,8.0
87,T80,T80,Steven Ihm,1,8.0
88,T80,T80,Miguel Angel Jiménez,2,8.0
89,T80,T80,Dustin Johnson,10,8.0
90,T80,T80,Matt Jones,13,8.0
91,T80,T80,Chris Kirk,21,8.0
92,T80,T80,Jason Kokrak,13,8.0
93,T80,T80,Scott Langley,16,8.0
94,T80,T80,D.H. Lee,6,8.0
95,T80,T80,Danny Lee,11,8.0
96,T80,T80,Will MacKenzie,13,8.0
97,T80,T80,Graeme McDowell,12,8.0
98,T80,T80,George McNeill,15,8.0
99,T80,T80,Edoardo Molinari,1,8.0
100,T80,T80,Kevin Na,17,8.0
101,T80,T80,Zachary Olsen,1,8.0
102,T80,T80,Andres Romero,14,8.0
103,T80,T80,Adam Scott,14,8.0
104,T80,T80,Chris Stroud,15,8.0
105,T80,T80,Michael Thompson,12,8.0
106,T80,T80,David Toms,10,8.0
107,T80,T80,Charlie Wi,10,8.0
108,T80,T80,Tim Wilkinson,15,8.0
109,T110,T110,Keegan Bradley,15,7.9
110,T110,T110,Ángel Cabrera,11,7.9
111,T110,T110,Will Claxton,3,7.9
112,T110,T110,Erik Compton,14,7.9
113,T110,T110,Ben Curtis,12,7.9
114,T110,T110,Jason Day,7,7.9
115,T110,T110,Brad Fritsch,6,7.9
116,T110,T110,Robert Garrigus,15,7.9
117,T110,T110,Retief Goosen,17,7.9
118,T110,T110,Russell Henley,14,7.9
119,T110,T110,Max Homa,3,7.9
120,T110,T110,Robert Karlsson,2,7.9
121,T110,T110,Jerry Kelly,15,7.9
122,T110,T110,Kevin Kisner,14,7.9
123,T110,T110,Brooks Koepka,9,7.9
124,T110,T110,Matt Kuchar,18,7.9
125,T110,T110,David Lynn,4,7.9
126,T110,T110,William McGirt,16,7.9
127,T110,T110,Troy Merritt,10,7.9
128,T110,T110,Joe Ogilvie,3,7.9
129,T110,T110,Kevin Penner,1,7.9
130,T110,T110,"Ted Potter, Jr.",8,7.9
131,T110,T110,Ian Poulter,9,7.9
132,T110,T110,Brett Quigley,1,7.9
133,T110,T110,Jim Renner,6,7.9
134,T110,T110,Justin Rose,12,7.9
135,T110,T110,Charl Schwartzel,13,7.9
136,T110,T110,Brandt Snedeker,15,7.9
137,T110,T110,Robert Streb,14,7.9
138,T110,T110,Lee Williams,3,7.9
139,T140,T140,Stephen Ames,5,7.8
140,T140,T140,Kiradech Aphibarnrat,3,7.8
141,T140,T140,Woody Austin,8,7.8
142,T140,T140,Ricky Barnes,16,7.8
143,T140,T140,Jason Bohn,14,7.8
144,T140,T140,Roberto Castro,10,7.8
145,T140,T140,Kevin Chappell,20,7.8
146,T140,T140,Ben Crane,16,7.8
147,T140,T140,Sergio Garcia,10,7.8
148,T140,T140,Brice Garnett,15,7.8
149,T140,T140,Fabián Gómez,1,7.8
150,T140,T140,Brian Harman,22,7.8
151,T140,T140,Tim Herron,7,7.8
152,T140,T140,Zach Johnson,21,7.8
153,T140,T140,Andrew Loupe,8,7.8
154,T140,T140,Hideki Matsuyama,15,7.8
155,T140,T140,Ryan Moore,14,7.8
156,T140,T140,Seung-Yul Noh,16,7.8
157,T140,T140,Sean O'Hair,12,7.8
158,T140,T140,Pat Perez,16,7.8
159,T140,T140,Tyrone Van Aswegen,12,7.8
160,T140,T140,Camilo Villegas,16,7.8
161,T140,T140,Bubba Watson,14,7.8
162,T140,T140,Y.E. Yang,9,7.8
163,T164,T164,Mark Anderson,2,7.7
164,T164,T164,Steven Bowditch,14,7.7
165,T164,T164,Mark Calcavecchia,3,7.7
166,T164,T164,Miguel Angel Carballo,3,7.7
167,T164,T164,Gonzalo Fernandez-Castaño,15,7.7
168,T164,T164,Tommy Gainey,9,7.7
169,T164,T164,Stephen Gallacher,2,7.7
170,T164,T164,Paul Goydos,4,7.7
171,T164,T164,James Hahn,13,7.7
172,T164,T164,Scott Hend,1,7.7
173,T164,T164,Charles Howell III,22,7.7
174,T164,T164,Russell Knox,19,7.7
175,T164,T164,Bronson La'Cassie,5,7.7
176,T164,T164,Doug LaBelle II,4,7.7
177,T164,T164,David Lingmerth,12,7.7
178,T164,T164,Davis Love III,13,7.7
179,T164,T164,Hunter Mahan,16,7.7
180,T164,T164,Ben Martin,10,7.7
181,T164,T164,Bryce Molder,12,7.7
182,T164,T164,Jeff Overton,13,7.7
183,T164,T164,Rod Pampling,2,7.7
184,T164,T164,Wes Roach,8,7.7
185,T164,T164,Rory Sabbatini,12,7.7
186,T164,T164,John Senden,19,7.7
187,T164,T164,Brendan Steele,14,7.7
188,T164,T164,Kevin Streelman,12,7.7
189,T164,T164,Vaughn Taylor,1,7.7
190,T164,T164,Chris Wood,1,7.7
191,T164,T164,Gary Woodland,18,7.7
192,T193,T193,Briny Baird,8,7.6
193,T193,T193,Jonathan Byrd,12,7.6
194,T193,T193,Bud Cauley,8,7.6
195,T193,T193,Nicolas Colsaerts,3,7.6
196,T193,T193,Glen Day,1,7.6
197,T193,T193,Brendon de Jonge,20,7.6
198,T193,T193,Victor Dubuisson,6,7.6
199,T193,T193,Ken Duke,12,7.6
200,T193,T193,Harris English,16,7.6
201,T193,T193,Martin Flores,12,7.6
202,T193,T193,Bill Haas,21,7.6
203,T193,T193,Padraig Harrington,6,7.6
204,T193,T193,Dudley Hart,2,7.6
205,T193,T193,John Huh,11,7.6
206,T193,T193,Billy Hurley III,13,7.6
207,T193,T193,Thongchai Jaidee,2,7.6
208,T193,T193,Martin Kaymer,10,7.6
209,T193,T193,Marc Leishman,15,7.6
210,T193,T193,Matteo Manassero,3,7.6
211,T193,T193,Troy Matteson,6,7.6
212,T193,T193,Carl Pettersson,16,7.6
213,T193,T193,D.A. Points,8,7.6
214,T193,T193,Alex Prugh,3,7.6
215,T193,T193,John Rollins,10,7.6
216,T193,T193,Heath Slocum,11,7.6
217,T193,T193,Scott Stallings,10,7.6
218,T193,T193,Daniel Summerhays,21,7.6
219,T193,T193,Cameron Tringale,23,7.6
220,T221,T221,Robert Allenby,11,7.5
221,T221,T221,Alex Aragon,1,7.5
222,T221,T221,Jeff Curl,1,7.5
223,T221,T221,Kevin Foley,3,7.5
224,T221,T221,Fred Funk,2,7.5
225,T221,T221,Jim Furyk,17,7.5
226,T221,T221,Peter Hanson,5,7.5
227,T221,T221,Jin Jeong,1,7.5
228,T221,T221,Spencer Levin,8,7.5
229,T221,T221,Jamie Lovemark,7,7.5
230,T221,T221,Geoff Ogilvy,13,7.5
231,T221,T221,Louis Oosthuizen,5,7.5
232,T221,T221,John Peterson,6,7.5
