,_of_Potential_Pts_won_-_FedExCup_Regular_Season_RANK THIS WEEK,_of_Potential_Pts_won_-_FedExCup_Regular_Season_RANK LAST WEEK,_of_Potential_Pts_won_-_FedExCup_Regular_Season_PLAYER NAME,_of_Potential_Pts_won_-_FedExCup_Regular_Season_EVENTS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_%,_of_Potential_Pts_won_-_FedExCup_Regular_Season_POINTS WON,_of_Potential_Pts_won_-_FedExCup_Regular_Season_POTENTIAL PTS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_# OF WINS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_# OF TOP 10'S
0,1,1,Rory McIlroy,17,35.87,2582,7200,3.0,9.0
1,2,2,Bubba Watson,21,23.62,2173,9200,2.0,7.0
2,3,3,Sergio Garcia,16,23.61,1700,7200,,8.0
3,4,4,Adam Scott,17,20.84,1479,7100,1.0,8.0
4,5,5,Jimmy Walker,27,20.43,2493,12200,3.0,9.0
5,6,6,Jim Furyk,21,20.23,1851,9150,,8.0
6,7,7,Dustin Johnson,17,19.54,1769,9050,1.0,7.0
7,8,8,Martin Kaymer,19,18.6,1525,8200,2.0,3.0
8,9,9,Matt Kuchar,24,18.21,1921,10550,1.0,10.0
9,10,10,Jason Day,15,17.13,1028,6000,1.0,3.0
10,11,11,Justin Rose,19,16.63,1447,8700,1.0,7.0
11,12,12,Jordan Spieth,27,13.87,1692,12200,,7.0
12,13,13,Webb Simpson,25,13.77,1536,11150,1.0,8.0
13,14,14,Bernhard Langer,1,13.36,80,600,,1.0
14,15,15,Zach Johnson,26,13.32,1552,11650,1.0,5.0
15,16,16,Patrick Reed,28,13.17,1666,12650,2.0,3.0
16,17,17,Ryan Moore,24,12.76,1429,11200,1.0,7.0
17,18,18,Rickie Fowler,26,12.58,1471,11700,,7.0
18,19,19,Chris Kirk,28,12.42,1571,12650,1.0,3.0
19,20,20,Hideki Matsuyama,24,12.03,1287,10700,1.0,4.0
20,21,21,Brendon Todd,29,12.0,1542,12850,1.0,7.0
21,22,22,Kevin Na,27,11.83,1413,11950,,5.0
22,23,23,Graeme McDowell,17,11.57,948,8200,,8.0
23,24,24,Harris English,28,11.17,1469,13150,1.0,7.0
24,25,25,Ryan Palmer,23,10.79,1068,9900,,6.0
25,26,26,Henrik Stenson,15,10.74,720,6700,,3.0
26,27,27,Keegan Bradley,26,10.48,1278,12200,,6.0
27,28,28,Matt Every,26,10.37,1250,12050,1.0,6.0
28,29,29,Marc Leishman,24,10.34,1137,11000,,6.0
29,30,30,Bill Haas,28,9.98,1268,12700,,4.0
30,31,31,Graham DeLaet,24,9.93,1113,11200,,7.0
31,T32,T32,Charl Schwartzel,18,9.6,783,8150,,5.0
32,T32,T32,John Senden,27,9.6,1157,12050,1.0,4.0
33,34,34,Phil Mickelson,21,9.55,921,9650,,1.0
34,35,35,Gary Woodland,25,9.5,1059,11150,,4.0
35,36,36,J.B. Holmes,24,9.2,1007,10950,1.0,2.0
36,37,37,Tim Clark,26,9.15,1111,12150,1.0,3.0
37,T38,T38,Brian Harman,32,9.08,1349,14850,1.0,6.0
38,T38,T38,Charley Hoffman,25,9.08,1026,11300,,5.0
39,T38,T38,George McNeill,24,9.08,962,10600,,4.0
40,41,41,Luke Donald,17,9.06,743,8200,,3.0
41,42,42,Kevin Stadler,26,8.79,1067,12150,1.0,3.0
42,43,43,Kevin Streelman,24,8.68,972,11200,1.0,2.0
43,44,44,Jason Dufner,17,8.67,798,9200,,4.0
44,45,45,Steve Stricker,11,8.58,519,6050,,2.0
45,46,46,Matt Jones,25,8.54,970,11350,1.0,1.0
46,47,47,Shawn Stefani,17,8.2,640,7800,,2.0
47,48,48,Freddie Jacobson,27,8.02,987,12300,,4.0
48,49,49,Ian Poulter,17,8.01,657,8200,,2.0
49,50,50,Charles Howell III,29,7.89,1042,13200,,6.0
50,51,51,K.J. Choi,23,7.83,814,10400,,2.0
51,52,52,Seung-Yul Noh,27,7.82,950,12150,1.0,2.0
52,T53,T53,Ángel Cabrera,23,7.65,807,10550,1.0,1.0
53,T53,T53,Jerry Kelly,23,7.65,765,10000,,4.0
54,T53,T53,Camilo Villegas,29,7.65,1002,13100,1.0,1.0
55,56,56,Russell Knox,26,7.56,885,11700,,3.0
56,57,57,Will MacKenzie,27,7.54,920,12200,,5.0
57,58,58,Chris Stroud,25,7.51,834,11100,,4.0
58,59,59,Jason Kokrak,19,7.26,632,8700,,2.0
59,60,60,Bob Estes,2,7.25,73,1000,,1.0
60,61,61,Daniel Summerhays,27,7.13,869,12200,,2.0
61,62,62,Jason Bohn,25,7.0,784,11200,,3.0
62,63,63,Robert Streb,21,6.98,635,9100,,1.0
63,64,64,Hunter Mahan,25,6.96,776,11150,,5.0
64,65,65,Brian Stuard,29,6.9,891,12900,,4.0
65,66,66,Ben Crane,25,6.88,774,11250,1.0,2.0
66,67,67,Brandt Snedeker,25,6.66,812,12200,,3.0
67,68,68,Justin Hicks,30,6.64,923,13900,,3.0
68,69,69,Russell Henley,29,6.6,864,13100,1.0,2.0
69,70,70,Ben Martin,26,6.57,789,12000,,3.0
70,71,71,Ryo Ishikawa,24,6.16,681,11050,,3.0
71,72,72,Steven Bowditch,30,6.07,828,13650,1.0,1.0
72,73,73,Brendan Steele,26,6.02,729,12100,,4.0
73,T74,T74,Paul Casey,16,6.0,471,7850,,
74,T74,T74,José María Olazábal,1,6.0,36,600,,
75,76,76,Andrew Svoboda,24,5.99,647,10800,,2.0
76,77,77,Billy Horschel,27,5.94,722,12150,,2.0
77,78,78,Robert Garrigus,25,5.85,678,11600,,2.0
78,T79,T79,Scott Brown,30,5.83,816,14000,,4.0
79,T79,T79,Pat Perez,25,5.83,682,11700,,3.0
80,81,81,Jeff Overton,24,5.79,631,10900,,3.0
81,82,82,Kevin Chappell,28,5.78,723,12500,,1.0
82,83,83,Erik Compton,28,5.77,745,12900,,3.0
83,84,84,Cameron Tringale,31,5.66,781,13800,,2.0
84,85,85,Jonas Blixt,21,5.6,599,10700,,1.0
85,86,86,Lee Westwood,18,5.59,514,9200,,2.0
86,87,87,Louis Oosthuizen,16,5.52,453,8200,,1.0
87,88,88,Geoff Ogilvy,26,5.5,611,11100,1.0,1.0
88,89,89,Ernie Els,24,5.45,610,11200,,2.0
89,90,90,David Toms,20,5.41,498,9200,,2.0
90,91,91,Chesson Hadley,29,5.38,705,13100,1.0,3.0
91,92,92,Troy Merritt,20,5.37,499,9300,,1.0
92,93,93,Vijay Singh,25,5.34,625,11700,,1.0
93,94,94,Jason Gore,7,5.29,175,3300,,1.0
94,95,95,Carl Pettersson,28,5.24,650,12400,,3.0
95,96,96,Billy Hurley III,26,5.17,630,12200,,4.0
96,97,97,Scott Langley,29,5.16,686,13300,,1.0
97,98,98,William McGirt,29,5.01,646,12900,,3.0
98,99,99,Scott Stallings,28,4.95,668,13500,1.0,1.0
99,100,100,Michael Thompson,22,4.93,515,10450,,1.0
100,101,101,David Hearn,28,4.92,645,13100,,3.0
101,102,102,Jhonattan Vegas,23,4.77,505,10600,,2.0
102,103,103,Willy Wilcox,16,4.76,362,7600,,2.0
103,104,104,Brendon de Jonge,31,4.75,717,15100,,2.0
104,105,105,Kevin Kisner,26,4.73,587,12400,,3.0
105,106,106,Nick Watney,25,4.69,584,12450,,2.0
106,107,107,Aaron Baddeley,24,4.59,528,11500,,2.0
107,108,108,Retief Goosen,26,4.55,569,12500,,2.0
108,109,109,Justin Leonard,22,4.54,491,10800,,2.0
109,T110,T110,Luke Guthrie,26,4.53,575,12700,,2.0
110,T110,T110,Rory Sabbatini,26,4.53,567,12500,,3.0
111,112,112,Michael Putnam,30,4.51,618,13700,,1.0
112,113,113,Bo Van Pelt,25,4.41,518,11750,,1.0
113,T114,T114,Stuart Appleby,29,4.3,554,12900,,2.0
114,T114,T114,Martin Laird,20,4.3,425,9900,,1.0
115,T114,T114,Andres Romero,26,4.3,503,11700,,1.0
116,117,117,Martin Flores,26,4.28,530,12400,,1.0
117,T118,T118,Briny Baird,17,4.25,366,8600,,1.0
118,T118,T118,Tim Wilkinson,25,4.25,494,11600,,3.0
119,120,120,Stewart Cink,25,4.2,504,12000,,
120,121,121,John Huh,28,4.15,544,13100,,2.0
121,122,122,Ricky Barnes,27,4.11,518,12600,,2.0
122,123,123,Boo Weekley,24,4.08,496,12150,,1.0
123,124,124,Sangmoon Bae,24,3.98,466,11700,,
124,125,125,Brian Davis,28,3.93,534,13600,,
125,126,126,Peter Hanson,13,3.9,262,6700,,
126,127,127,Danny Lee,28,3.88,490,12600,,1.0
127,128,128,Gonzalo Fernandez-Castaño,25,3.86,470,12200,,1.0
