,_of_Potential_Pts_won_-_FedExCup_Playoffs_RANK THIS WEEK,_of_Potential_Pts_won_-_FedExCup_Playoffs_RANK LAST WEEK,_of_Potential_Pts_won_-_FedExCup_Playoffs_PLAYER NAME,_of_Potential_Pts_won_-_FedExCup_Playoffs_EVENTS,_of_Potential_Pts_won_-_FedExCup_Playoffs_%,_of_Potential_Pts_won_-_FedExCup_Playoffs_PLAYOFF POINTS WON,_of_Potential_Pts_won_-_FedExCup_Playoffs_POTENTIAL PTS,_of_Potential_Pts_won_-_FedExCup_Playoffs_# OF WINS,_of_Potential_Pts_won_-_FedExCup_Playoffs_# OF TOP 10'S
0,1,1,Billy Horschel,27,60.83,6083,10000,2.0,3.0
1,2,2,Chris Kirk,28,33.43,3343,10000,1.0,2.0
2,3,3,Hunter Mahan,25,28.23,2823,10000,1.0,1.0
3,4,4,Jim Furyk,21,24.73,2473,10000,,3.0
4,5,5,Rory McIlroy,17,24.03,2403,10000,,3.0
5,6,6,Bubba Watson,21,21.7,2170,10000,,1.0
6,7,7,Jason Day,15,21.21,2121,10000,,3.0
7,8,8,Morgan Hoffmann,32,17.43,1743,10000,,2.0
8,9,9,Stuart Appleby,29,16.01,1201,7500,,1.0
9,10,10,Rickie Fowler,26,15.85,1585,10000,,3.0
10,11,11,Cameron Tringale,31,15.62,1562,10000,,1.0
11,12,12,Russell Henley,29,15.01,1501,10000,,1.0
12,13,13,Geoff Ogilvy,26,14.53,1453,10000,,1.0
13,14,14,Sergio Garcia,16,13.33,1000,7500,,2.0
14,15,15,Adam Scott,17,13.08,1308,10000,,2.0
15,16,16,Justin Rose,19,12.9,968,7500,,1.0
16,17,17,Ryan Palmer,23,12.77,1277,10000,,2.0
17,18,18,John Senden,27,12.05,1205,10000,,1.0
18,19,19,Bill Haas,28,11.46,1146,10000,,1.0
19,20,20,Ernie Els,24,11.43,858,7500,,1.0
20,21,21,Matt Kuchar,24,11.15,1115,10000,,1.0
21,22,22,Gary Woodland,25,10.93,1093,10000,,1.0
22,23,23,Jordan Spieth,27,10.43,1043,10000,,1.0
23,24,24,Martin Kaymer,19,9.4,940,10000,,1.0
24,25,25,Paul Casey,16,9.1,228,2500,,
25,26,26,Zach Johnson,26,8.73,873,10000,,
26,27,27,Seung-Yul Noh,27,8.54,641,7500,,1.0
27,28,28,Jimmy Walker,27,8.48,848,10000,,1.0
28,29,29,Chesson Hadley,29,8.44,633,7500,,1.0
29,30,30,Charl Schwartzel,18,8.3,623,7500,,
30,T31,T31,Russell Knox,26,7.93,595,7500,,
31,T31,T31,Henrik Stenson,15,7.93,595,7500,,
32,33,33,Gonzalo Fernandez-Castaño,25,7.85,393,5000,,
33,T34,T34,Hideki Matsuyama,24,7.38,738,10000,,
34,T34,T34,Kevin Na,27,7.38,738,10000,,1.0
35,36,36,Charles Howell III,29,7.33,550,7500,,
36,37,37,Kevin Chappell,28,7.27,545,7500,,
37,38,38,Stewart Cink,25,7.25,363,5000,,
38,39,39,William McGirt,29,7.15,536,7500,,1.0
39,40,40,Patrick Reed,28,7.02,702,10000,,1.0
40,41,41,Ángel Cabrera,23,7.0,525,7500,,
41,42,42,Carl Pettersson,28,6.98,523,7500,,1.0
42,43,43,Bo Van Pelt,25,6.95,348,5000,,
43,44,44,Chris Stroud,25,6.8,510,7500,,
44,45,45,Robert Streb,21,6.61,331,5000,,1.0
45,46,46,Webb Simpson,25,6.43,643,10000,,1.0
46,47,47,Kevin Stadler,26,6.27,470,7500,,
47,48,48,Danny Lee,28,6.2,310,5000,,
48,49,49,Graeme McDowell,17,6.15,308,5000,,
49,50,50,J.B. Holmes,24,6.13,460,7500,,
50,51,51,Jason Kokrak,19,6.0,300,5000,,
51,52,52,Graham DeLaet,24,5.87,440,7500,,
52,53,53,David Hearn,28,5.7,285,5000,,
53,54,54,Ben Crane,25,5.67,425,7500,,
54,55,55,Brian Stuard,29,5.66,424,7500,,
55,56,56,Jerry Kelly,23,5.47,410,7500,,
56,57,57,Brendon Todd,29,5.38,538,10000,,
57,58,58,George McNeill,24,5.2,390,7500,,
58,59,59,Steven Bowditch,30,5.13,385,7500,,
59,T60,T60,Ryo Ishikawa,24,5.1,255,5000,,
60,T60,T60,Kevin Streelman,24,5.1,383,7500,,
61,T62,T62,Erik Compton,28,4.97,373,7500,,
62,T62,T62,Daniel Summerhays,27,4.97,373,7500,,
63,64,64,Ian Poulter,17,4.7,235,5000,,
64,65,65,Keegan Bradley,26,4.57,343,7500,,
65,66,66,Camilo Villegas,29,4.53,340,7500,,
66,T67,T67,Troy Merritt,20,4.4,110,2500,,
67,T67,T67,Bryce Molder,25,4.4,110,2500,,
68,69,69,Scott Langley,29,4.25,213,5000,,
69,70,70,Shawn Stefani,17,4.05,203,5000,,
70,71,71,Charley Hoffman,25,3.53,265,7500,,
71,72,72,Vijay Singh,25,3.5,175,5000,,
72,73,73,Scott Stallings,28,3.25,163,5000,,
73,74,74,Tim Clark,26,3.2,160,5000,,
74,75,75,John Huh,28,3.07,154,5000,,
75,76,76,Brendan Steele,26,3.05,153,5000,,
76,77,77,Andres Romero,26,3.04,152,5000,,
77,78,78,Jason Bohn,25,3.03,228,7500,,
78,79,79,Brian Harman,32,2.97,223,7500,,
79,80,80,K.J. Choi,23,2.73,205,7500,,
80,81,81,Harris English,28,2.57,193,7500,,
81,82,82,Lee Westwood,18,2.5,63,2500,,
82,83,83,Will MacKenzie,27,2.3,173,7500,,
83,84,84,Ben Martin,26,2.2,110,5000,,
84,85,85,Michael Putnam,30,1.8,90,5000,,
85,86,86,Jeff Overton,24,1.77,89,5000,,
86,87,87,Phil Mickelson,21,1.66,124,7500,,
87,88,88,Boo Weekley,24,1.6,40,2500,,
88,89,89,Ryan Moore,24,1.4,105,7500,,
89,90,90,Matt Every,26,1.39,104,7500,,
90,91,91,Marc Leishman,24,1.37,103,7500,,
91,T92,T92,Luke Donald,17,1.1,55,5000,,
92,T92,T92,Billy Hurley III,26,1.1,55,5000,,
93,T92,T92,Andrew Svoboda,24,1.1,55,5000,,
94,T95,T95,Freddie Jacobson,27,1.09,82,7500,,
95,T95,T95,Matt Jones,25,1.09,82,7500,,
96,T97,T97,Retief Goosen,26,0.9,23,2500,,
97,T97,T97,Jhonattan Vegas,23,0.9,23,2500,,
98,99,99,Brendon de Jonge,31,0.89,45,5000,,
99,100,100,Ricky Barnes,27,0.5,13,2500,,
100,T101,T101,Luke Guthrie,26,0.19,5,2500,,
101,T101,T101,Tim Wilkinson,25,0.19,5,2500,,
102,T103,T103,Brian Davis,28,0.18,4,2500,,
103,T103,T103,David Toms,20,0.18,4,2500,,
104,105,105,Martin Flores,26,0.16,4,2500,,
105,106,106,Scott Brown,30,0.09,4,5000,,
