,Presidents_Cup_United_States_RANK THIS WEEK,Presidents_Cup_United_States_RANK LAST WEEK,Presidents_Cup_United_States_PLAYER NAME,Presidents_Cup_United_States_POINTS
0,1,1,Jimmy Walker,2734
1,2,2,Bubba Watson,2672
2,3,3,Jim Furyk,2616
3,4,4,Zach Johnson,2369
4,5,5,Chris Kirk,2335
5,6,6,Matt Kuchar,2244
6,7,7,Jordan Spieth,2217
7,8,8,Billy Horschel,2183
8,9,9,Dustin Johnson,1892
9,10,10,Webb Simpson,1854
10,11,11,Rickie Fowler,1827
11,12,12,Patrick Reed,1820
12,13,13,Brendon Todd,1650
13,14,14,Bill Haas,1593
14,15,15,Kevin Na,1564
15,16,16,Hunter Mahan,1554
16,17,17,Harris English,1529
17,18,18,Ryan Moore,1517
18,19,19,Keegan Bradley,1470
19,20,20,Brian Harman,1393
20,21,21,Gary Woodland,1385
21,22,22,Ryan Palmer,1330
22,23,23,Matt Every,1301
23,24,24,Russell Henley,1200
24,25,25,Kevin Stadler,1197
25,26,26,Charles Howell III,1182
26,27,27,Kevin Streelman,1130
27,28,28,J.B. Holmes,1103
28,29,29,Cameron Tringale,1098
29,30,30,Charley Hoffman,1082
30,31,31,Phil Mickelson,1049
31,32,32,George McNeill,1040
32,33,33,Daniel Summerhays,985
33,34,34,Brian Stuard,975
34,35,35,Nick Watney,957
35,36,36,Chris Stroud,955
36,37,37,Will MacKenzie,954
37,38,38,Brandt Snedeker,946
38,39,39,Justin Hicks,923
39,40,40,Jason Dufner,892
40,41,41,Steve Stricker,890
41,42,42,Ben Crane,859
42,43,43,Jerry Kelly,847
43,44,44,Kevin Chappell,841
44,45,45,Chesson Hadley,839
45,46,46,Jason Bohn,829
46,47,47,Erik Compton,819
47,48,48,Scott Brown,817
48,49,49,Ben Martin,811
49,50,50,Morgan Hoffmann,800
50,51,51,Brendan Steele,769
51,52,52,William McGirt,758
52,53,53,Scott Langley,728
53,54,54,Jason Kokrak,717
54,55,55,Robert Streb,705
55,56,56,Scott Stallings,702
56,57,57,Pat Perez,682
57,58,58,Shawn Stefani,680
58,59,59,Robert Garrigus,678
59,60,60,Andrew Svoboda,658
60,61,61,Jeff Overton,648
61,62,62,Billy Hurley III,641
62,63,63,Michael Putnam,636
63,64,64,John Huh,596
64,65,65,Bo Van Pelt,593
65,66,66,Brooks Koepka,589
66,67,67,Kevin Kisner,587
67,68,68,Stewart Cink,578
68,69,69,Luke Guthrie,575
69,70,70,Boo Weekley,561
70,71,71,Martin Flores,531
71,72,72,Roberto Castro,524
72,73,73,Michael Thompson,523
73,74,74,Troy Merritt,521
74,75,75,Ricky Barnes,520
75,76,76,Bryce Molder,502
76,77,77,David Toms,498
77,78,78,Justin Leonard,491
78,79,79,Brice Garnett,488
79,80,80,Nicholas Thompson,462
80,81,81,James Hahn,456
81,82,82,John Merrick,450
82,83,83,J.J. Henry,425
83,84,84,Heath Slocum,419
84,85,85,Charlie Beljan,409
85,86,86,Ben Curtis,406
86,87,87,Jonathan Byrd,383
87,88,88,Brian Gay,380
88,89,89,Andrew Loupe,380
89,90,90,Richard Lee,376
90,91,91,Briny Baird,366
91,92,92,Willy Wilcox,362
92,93,93,Bud Cauley,357
93,94,94,Hudson Swafford,351
94,95,95,Jim Renner,346
95,96,96,Josh Teater,334
96,97,97,Johnson Wagner,323
97,98,98,Chad Campbell,317
98,99,99,Wes Roach,314
99,100,100,"Ted Potter, Jr.",311
100,101,101,James Driscoll,311
101,102,102,Tommy Gainey,311
102,103,103,Ken Duke,310
103,104,104,Kyle Stanley,297
104,105,105,Chad Collins,295
105,106,106,Sean O'Hair,278
106,107,107,D.A. Points,264
107,108,108,Davis Love III,253
108,109,109,Spencer Levin,246
109,110,110,John Rollins,244
110,111,111,Scott Piercy,239
111,112,112,Troy Matteson,238
112,113,113,Woody Austin,225
113,114,114,Steve Marino,224
114,115,115,Joe Durant,221
115,116,116,Derek Ernst,218
116,117,117,Jamie Lovemark,212
117,118,118,Jeff Maggert,195
118,119,119,Jason Gore,175
119,120,120,Kevin Tway,172
120,121,121,Peter Malnati,172
121,122,122,John Peterson,170
122,123,123,Tiger Woods,161
123,124,124,Dicky Pride,159
124,125,125,Tim Herron,157
125,126,126,Jim Herman,142
126,127,127,Mark Wilson,142
127,128,128,Eric Axley,141
128,129,129,Lucas Glover,129
129,130,130,Tim Petrovic,96
130,131,131,Blake Adams,91
131,132,132,Kenny Perry,83
132,133,133,Doug LaBelle II,79
133,134,134,Kevin Foley,78
134,135,135,David Duval,77
135,136,136,Lee Williams,74
136,137,137,Bob Estes,73
137,138,138,Alex Prugh,72
138,139,139,Cameron Beckman,72
139,140,140,John Daly,63
140,141,141,Matt Bettencourt,57
141,142,142,Mark Anderson,55
142,143,143,Will Claxton,52
143,144,144,Tom Watson,51
144,145,145,Fred Couples,49
145,146,146,Mark Calcavecchia,49
146,147,147,Patrick Cantlay,48
147,148,148,Tag Ridings,42
148,149,149,Lee Janzen,41
149,150,150,Joe Ogilvie,40
150,151,151,Glen Day,40
151,T152,T152,Steve Flesch,37
152,T152,T152,Harrison Frazar,37
153,154,154,Justin Bolli,37
154,155,155,Dudley Hart,32
155,156,156,Marc Turnesa,31
156,157,157,Chris Smith,28
157,158,158,Billy Mayfair,24
158,159,159,Edward Loar,23
159,160,160,Len Mattiace,21
160,T161,T161,Kent Jones,20
161,T161,T161,Larry Mize,20
162,163,163,Kris Blanks,19
163,164,164,D.J. Trahan,18
164,165,165,Chez Reavie,18
165,166,166,Ben Kohles,13
166,167,167,Vaughn Taylor,12
167,168,168,Paul Goydos,11
168,169,169,Todd Hamilton,11
169,170,170,Fred Funk,9
170,171,171,Marco Dawson,4
171,172,172,Alex Aragon,2
172,173,173,Scott McCarron,2
173,174,174,Paul Stankowski,1
174,175,175,Scott Verplank,1
175,176,176,Chris DiMarco,1
176,177,177,Brett Quigley,1
177,178,178,Bobby Gates,1
