,FedExCup_Season_Points_RANK THIS WEEK,FedExCup_Season_Points_RANK LAST WEEK,FedExCup_Season_Points_PLAYER NAME,FedExCup_Season_Points_EVENTS,FedExCup_Season_Points_POINTS,FedExCup_Season_Points_# OF WINS,FedExCup_Season_Points_# OF TOP 10'S,FedExCup_Season_Points_POINTS BEHIND LEAD,FedExCup_Season_Points_RESET POINTS
0,1,1,Rory McIlroy,13,2582,3.0,9.0,,
1,2,2,Jimmy Walker,23,2493,3.0,9.0,89.0,
2,3,3,Bubba Watson,17,2173,2.0,7.0,409.0,
3,4,4,Matt Kuchar,20,1921,1.0,10.0,661.0,
4,5,5,Jim Furyk,17,1851,,8.0,731.0,
5,6,6,Dustin Johnson,17,1769,1.0,7.0,813.0,
6,7,7,Sergio Garcia,13,1700,,8.0,882.0,
7,8,8,Jordan Spieth,23,1692,,7.0,890.0,
8,9,9,Patrick Reed,24,1666,2.0,3.0,916.0,
9,10,10,Chris Kirk,24,1571,1.0,3.0,1011.0,
10,11,11,Zach Johnson,22,1552,1.0,5.0,1030.0,
11,12,12,Brendon Todd,25,1542,1.0,7.0,1040.0,
12,13,13,Webb Simpson,21,1536,1.0,8.0,1046.0,
13,14,14,Martin Kaymer,15,1525,2.0,3.0,1057.0,
14,15,15,Adam Scott,13,1479,1.0,8.0,1103.0,
15,16,16,Rickie Fowler,22,1471,,7.0,1111.0,
16,17,17,Harris English,25,1469,1.0,7.0,1113.0,
17,18,18,Justin Rose,16,1447,1.0,7.0,1135.0,
18,19,19,Ryan Moore,21,1429,1.0,7.0,1153.0,
19,20,20,Kevin Na,23,1413,,5.0,1169.0,
20,21,21,Brian Harman,29,1349,1.0,6.0,1233.0,
21,22,22,Hideki Matsuyama,20,1287,1.0,4.0,1295.0,
22,23,23,Keegan Bradley,23,1278,,6.0,1304.0,
23,24,24,Bill Haas,24,1268,,4.0,1314.0,
24,25,25,Matt Every,23,1250,1.0,6.0,1332.0,
25,26,26,John Senden,23,1157,1.0,4.0,1425.0,
26,27,27,Marc Leishman,21,1137,,6.0,1445.0,
27,28,28,Graham DeLaet,21,1113,,7.0,1469.0,
28,29,29,Tim Clark,24,1111,1.0,3.0,1471.0,
29,30,30,Ryan Palmer,19,1068,,6.0,1514.0,
30,31,31,Kevin Stadler,23,1067,1.0,3.0,1515.0,
31,32,32,Gary Woodland,21,1059,,4.0,1523.0,
32,33,33,Charles Howell III,26,1042,,6.0,1540.0,
33,34,34,Jason Day,11,1028,1.0,3.0,1554.0,
34,35,35,Charley Hoffman,22,1026,,5.0,1556.0,
35,36,36,J.B. Holmes,21,1007,1.0,2.0,1575.0,
36,37,37,Camilo Villegas,26,1002,1.0,1.0,1580.0,
37,38,38,Freddie Jacobson,24,987,,4.0,1595.0,
38,39,39,Kevin Streelman,21,972,1.0,2.0,1610.0,
39,40,40,Matt Jones,22,970,1.0,1.0,1612.0,
40,41,41,George McNeill,21,962,,4.0,1620.0,
41,42,42,Seung-Yul Noh,24,950,1.0,2.0,1632.0,
42,43,43,Graeme McDowell,15,948,,8.0,1634.0,
43,44,44,Justin Hicks,28,923,,3.0,1659.0,
44,45,45,Phil Mickelson,18,921,,1.0,1661.0,
45,46,46,Will MacKenzie,24,920,,5.0,1662.0,
46,47,47,Brian Stuard,26,891,,4.0,1691.0,
47,48,48,Russell Knox,23,885,,3.0,1697.0,
48,49,49,Daniel Summerhays,24,869,,2.0,1713.0,
49,50,50,Russell Henley,25,864,1.0,2.0,1718.0,
50,51,51,Chris Stroud,22,834,,4.0,1748.0,
51,52,52,Steven Bowditch,27,828,1.0,1.0,1754.0,
52,53,53,Scott Brown,28,816,,4.0,1766.0,
53,54,54,K.J. Choi,20,814,,2.0,1768.0,
54,55,55,Brandt Snedeker,23,812,,3.0,1770.0,
55,56,56,Ángel Cabrera,20,807,1.0,1.0,1775.0,
56,57,57,Jason Dufner,17,798,,4.0,1784.0,
57,58,58,Ben Martin,24,789,,3.0,1793.0,
58,59,59,Jason Bohn,22,784,,3.0,1798.0,
59,60,60,Charl Schwartzel,15,783,,5.0,1799.0,
60,61,61,Cameron Tringale,27,781,,2.0,1801.0,
61,62,62,Hunter Mahan,21,776,,5.0,1806.0,
62,63,63,Ben Crane,22,774,1.0,2.0,1808.0,
63,64,64,Jerry Kelly,20,765,,4.0,1817.0,
64,65,65,Erik Compton,25,745,,3.0,1837.0,
65,66,66,Luke Donald,15,743,,3.0,1839.0,
