,Presidents_Cup_International_RANK THIS WEEK,Presidents_Cup_International_RANK LAST WEEK,Presidents_Cup_International_PLAYER NAME,Presidents_Cup_International_EVENTS,Presidents_Cup_International_AVG POINTS,Presidents_Cup_International_TOTAL POINTS,Presidents_Cup_International_POINTS LOST,Presidents_Cup_International_POINTS GAINED
0,1,1.0,Adam Scott,41,8.84,362.45,-241.99,211.01
1,2,2.0,Jason Day,41,6.72,275.7,-147.28,190.33
2,3,3.0,Hideki Matsuyama,49,4.07,199.45,-94.0,138.43
3,4,4.0,Charl Schwartzel,52,3.79,196.83,-160.12,110.04
4,5,5.0,Graham DeLaet,50,3.01,150.3,-95.23,96.89
5,6,6.0,Thongchai Jaidee,52,2.9,150.65,-90.23,108.14
6,7,7.0,Marc Leishman,52,2.84,147.6,-72.85,125.82
7,8,8.0,John Senden,52,2.57,133.6,-67.37,122.87
8,9,9.0,Ernie Els,52,2.56,132.91,-136.83,85.25
9,10,10.0,Ángel Cabrera,50,2.37,118.72,-57.8,81.78
10,11,12.0,Louis Oosthuizen,48,2.3,110.2,-143.0,99.13
11,12,11.0,Matt Jones,52,2.24,116.51,-55.24,92.69
12,13,13.0,Koumei Oda,48,2.06,99.08,-55.59,56.24
13,14,15.0,Richard Sterne,46,1.96,90.35,-75.52,48.91
14,15,14.0,Geoff Ogilvy,51,1.83,93.34,-47.66,78.66
15,16,16.0,Tim Clark,47,1.78,83.53,-57.85,56.87
16,17,21.0,Hyung-Sung Kim,52,1.71,89.07,-62.73,46.06
17,18,17.0,K.J. Choi,51,1.7,86.94,-53.67,74.62
18,19,18.0,Ryo Ishikawa,52,1.66,86.49,-62.39,56.83
19,20,19.0,Anirban Lahiri,44,1.65,72.42,-37.75,47.78
20,21,20.0,George Coetzee,51,1.64,83.67,-72.07,77.65
21,22,22.0,Seung-Yul Noh,52,1.54,80.2,-46.01,74.81
22,23,23.0,Fabrizio Zanotti,50,1.54,77.08,-15.19,77.47
23,24,24.0,Brendon de Jonge,52,1.5,78.25,-74.21,46.96
24,25,28.0,Hideto Tanihara,48,1.43,68.87,-44.14,35.44
25,26,25.0,Stuart Appleby,52,1.43,74.6,-25.13,66.28
26,27,26.0,David Hearn,52,1.4,73.01,-44.67,52.53
27,28,27.0,Hennie Otto,51,1.4,71.48,-38.11,41.78
28,29,29.0,Camilo Villegas,52,1.39,72.16,-22.04,62.11
29,30,30.0,Branden Grace,52,1.36,70.46,-95.97,43.86
30,31,31.0,Steven Bowditch,52,1.31,68.23,-22.76,64.64
31,32,32.0,Hiroyuki Fujita,51,1.25,63.56,-54.51,51.73
32,33,34.0,Carlos Ortiz,40,1.24,49.45,-6.7,56.15
33,34,35.0,Hiroshi Iwata,42,1.23,51.75,-10.95,47.99
34,35,33.0,Kiradech Aphibarnrat,52,1.22,63.6,-62.91,16.25
35,36,42.0,Antonio Lascuna,40,1.22,48.7,-16.72,40.37
36,37,36.0,Thomas Aiken,52,1.18,61.3,-50.28,54.37
37,38,37.0,Shingo Katayama,43,1.13,48.74,-45.05,6.08
38,39,39.0,Darren Fichardt,52,1.11,57.74,-51.21,41.35
39,40,41.0,Yoshinori Fujimoto,47,1.11,51.94,-38.38,26.28
40,41,38.0,Felipe Aguilar,52,1.08,56.03,-39.26,39.86
41,42,45.0,Emiliano Grillo,52,1.04,54.19,-27.99,50.35
42,43,40.0,Rory Sabbatini,52,1.04,53.92,-42.47,28.82
43,44,46.0,Adam Hadwin,49,1.03,50.69,-11.99,51.95
44,45,43.0,WC Liang,52,1.03,53.63,-45.13,21.09
45,46,44.0,Yusaku Miyazato,48,1.03,49.49,-28.36,28.52
46,47,48.0,Byeong Hun An,46,1.01,46.28,-9.47,39.49
47,48,47.0,Sung Joon Park,49,1.0,48.94,-34.46,12.05
48,49,49.0,Prayad Marksaeng,49,0.97,47.73,-36.39,26.63
49,50,59.0,Chapchai Nirat,40,0.94,37.49,-16.91,26.95
50,51,50.0,Sangmoon Bae,52,0.94,48.62,-48.61,30.03
51,52,51.0,Aaron Baddeley,50,0.93,46.62,-32.93,32.75
52,53,52.0,Siddikur Rahman,40,0.92,36.95,-27.64,18.17
53,54,56.0,Chan Shih-chang,40,0.91,36.59,-8.44,32.06
54,55,55.0,Shiv Kapur,52,0.9,47.0,-38.23,23.04
55,56,54.0,Brett Rumford,51,0.9,45.98,-55.93,14.0
56,57,57.0,Kyoung-Hoon Lee,52,0.9,46.66,-34.1,21.91
57,58,53.0,Danie van Tonder,52,0.9,46.63,-13.28,49.09
58,59,58.0,Prom Meesawat,46,0.9,41.22,-26.94,25.74
59,60,61.0,Vijay Singh,50,0.88,44.01,-43.51,21.87
60,61,130.0,Seunghyuk Kim,42,0.87,36.54,-4.28,35.08
61,62,60.0,Scott Hend,48,0.86,41.46,-38.88,15.06
62,63,66.0,Yuta Ikeda,49,0.85,41.69,-42.37,14.98
63,64,63.0,Andres Romero,50,0.84,42.21,-29.08,31.81
64,65,62.0,Retief Goosen,42,0.84,35.2,-22.11,34.6
65,66,70.0,Park Sang-eon,40,0.83,33.22,-10.99,31.38
66,67,68.0,Jbe' Kruger,52,0.81,42.32,-29.22,30.74
67,68,64.0,Satoshi Kodaira,42,0.8,33.46,-16.77,17.92
68,69,75.0,Richard Green,48,0.79,37.95,-18.69,31.59
