,PGA_Championship_Points_RANK THIS WEEK,PGA_Championship_Points_RANK LAST WEEK,PGA_Championship_Points_PLAYER NAME,PGA_Championship_Points_EVENTS,PGA_Championship_Points_POINTS
0,1,1,Rory McIlroy,6,4644200
1,2,2,Billy Horschel,6,3512440
2,3,3,Hunter Mahan,6,1977980
3,4,4,Chris Kirk,6,1898910
4,5,5,Jim Furyk,6,1816800
5,6,6,Rickie Fowler,6,1613800
6,7,7,Sergio Garcia,5,1513427
7,8,8,Geoff Ogilvy,6,1330765
8,9,9,Jason Day,6,1326556
9,10,10,Bubba Watson,6,1234817
10,11,11,Phil Mickelson,5,1215644
11,12,12,Bill Haas,7,1214543
12,13,13,Ryan Palmer,5,1088849
13,14,14,Camilo Villegas,4,1069550
14,15,15,Adam Scott,6,1005784
15,16,16,Morgan Hoffmann,6,956350
16,17,17,Russell Henley,6,902973
17,18,18,Cameron Tringale,5,841753
18,19,19,Henrik Stenson,5,831800
19,20,20,Justin Rose,5,825033
20,21,21,Jimmy Walker,6,787876
21,22,22,Ernie Els,6,784347
22,23,23,Patrick Reed,7,771485
23,24,24,Matt Kuchar,5,680547
24,25,25,Charl Schwartzel,5,673189
25,26,26,John Senden,6,656600
26,27,27,Stuart Appleby,5,641743
27,28,28,Webb Simpson,7,609440
28,29,29,Gary Woodland,6,600733
29,30,30,Marc Leishman,5,582362
30,31,31,Martin Kaymer,6,572750
31,32,32,Jordan Spieth,6,542067
32,33,33,Freddie Jacobson,5,517340
33,34,34,Brandt Snedeker,5,499450
34,35,35,William McGirt,4,473120
35,36,36,Kevin Na,6,472680
36,37,37,Hideki Matsuyama,7,470553
37,38,38,Zach Johnson,6,464462
38,39,39,Keegan Bradley,5,438749
39,40,40,Kevin Chappell,5,395997
40,41,41,Chesson Hadley,5,363143
41,42,42,Graham DeLaet,5,346906
42,43,43,Seung-Yul Noh,5,337363
43,44,44,Justin Hicks,4,335660
44,45,45,Victor Dubuisson,2,332500
45,46,46,Nick Watney,4,331950
46,47,47,Steve Stricker,2,307250
47,48,48,Mikko Ilonen,2,306375
48,49,49,Robert Streb,4,305923
49,50,50,Ángel Cabrera,5,301700
50,51,51,Brendon Todd,6,300751
51,52,52,Carl Pettersson,4,300423
52,53,53,J.B. Holmes,5,293100
53,54,54,Bo Van Pelt,3,270350
54,55,55,Graeme McDowell,4,263432
55,56,56,Kevin Stadler,5,261253
56,57,57,Heath Slocum,2,254400
57,58,58,Ryan Moore,5,238700
58,59,59,Lee Westwood,3,234729
59,60,60,John Huh,5,233580
60,61,61,Gonzalo Fernandez-Castaño,5,221274
61,62,62,Brian Stuard,6,198612
62,63,63,Martin Laird,2,197000
63,64,64,Steven Bowditch,6,181324
64,65,65,Scott Langley,4,179740
65,66,66,Jerry Kelly,4,176200
66,67,67,Chris Stroud,4,174374
67,68,68,Jonathan Byrd,2,174000
68,69,69,Louis Oosthuizen,3,173389
69,70,70,Jhonattan Vegas,3,164960
70,71,71,Russell Knox,4,162800
