,FedExCup_Points_per_Event_Leaders_RANK THIS WEEK,FedExCup_Points_per_Event_Leaders_RANK LAST WEEK,FedExCup_Points_per_Event_Leaders_PLAYER NAME,FedExCup_Points_per_Event_Leaders_EVENTS,FedExCup_Points_per_Event_Leaders_POINTS PER EVENT,FedExCup_Points_per_Event_Leaders_TOTAL POINTS
0,1,1,Rory McIlroy,13,198.643,2582.363
1,2,2,Sergio Garcia,13,130.776,1700.0829999999999
2,3,3,Bubba Watson,17,127.79899999999999,2172.583
3,4,4,Adam Scott,13,113.795,1479.3339999999998
4,5,5,Jim Furyk,17,108.866,1850.717
5,6,6,Jimmy Walker,23,108.37100000000001,2492.53
6,7,7,Dustin Johnson,17,104.03200000000001,1768.55
7,8,8,Martin Kaymer,15,101.656,1524.8329999999999
8,9,9,Matt Kuchar,20,96.03200000000001,1920.6329999999998
9,10,10,Jason Day,11,93.459,1028.05
10,11,11,Justin Rose,16,90.42399999999999,1446.78
11,12,12,Bernhard Langer,1,80.167,80.167
12,13,13,Jordan Spieth,23,73.562,1691.9160000000002
13,14,14,Webb Simpson,21,73.13,1535.72
14,15,15,Zach Johnson,22,70.561,1552.35
15,16,16,Patrick Reed,24,69.41199999999999,1665.896
16,17,17,Ryan Moore,21,68.047,1428.98
17,18,18,Rickie Fowler,22,66.883,1471.4229999999998
18,19,19,Chris Kirk,24,65.471,1571.297
19,20,20,Hideki Matsuyama,20,64.357,1287.146
20,21,21,Graeme McDowell,15,63.222,948.3330000000001
21,22,22,Brendon Todd,25,61.692,1542.306
22,23,23,Kevin Na,23,61.449,1413.336
23,24,24,Henrik Stenson,12,59.989,719.863
24,25,25,Harris English,25,58.78,1469.493
25,26,26,Ryan Palmer,19,56.228,1068.333
26,27,27,Keegan Bradley,23,55.582,1278.396
27,28,28,Matt Every,23,54.346000000000004,1249.963
28,29,29,Marc Leishman,21,54.146,1137.0710000000001
29,30,30,Graham DeLaet,21,52.983000000000004,1112.637
30,31,31,Bill Haas,24,52.82899999999999,1267.896
31,32,32,Charl Schwartzel,15,52.178000000000004,782.663
32,33,33,Phil Mickelson,18,51.191,921.433
33,34,34,Gary Woodland,21,50.443000000000005,1059.2930000000001
34,35,35,John Senden,23,50.299,1156.867
35,36,36,Luke Donald,15,49.533,743.0
36,37,37,J.B. Holmes,21,47.952,1006.99
