,Non-WGC_FedExCup_Season_Points_for_Non-Members_RANK THIS WEEK,Non-WGC_FedExCup_Season_Points_for_Non-Members_RANK LAST WEEK,Non-WGC_FedExCup_Season_Points_for_Non-Members_PLAYER NAME,Non-WGC_FedExCup_Season_Points_for_Non-Members_EVENTS,Non-WGC_FedExCup_Season_Points_for_Non-Members_POINTS
0,1,1,Brooks Koepka,16,589
1,2,2,Francesco Molinari,12,404
2,3,3,Jason Allred,9,316
3,4,4,Victor Dubuisson,10,302
4,5,5,Robert Karlsson,7,270
5,6,6,Matteo Manassero,10,177
6,7,7,Kiradech Aphibarnrat,9,177
7,8,8,Jamie Donaldson,12,172
8,9,9,Miguel Angel Jiménez,8,150
9,10,10,Thomas Bjørn,9,144
10,11,11,Max Homa,8,136
11,12,12,John Mallinger,14,124
12,13,13,Edoardo Molinari,2,117
13,14,14,Shane Lowry,3,102
14,15,15,Shiv Kapur,2,100
15,16,16,Stephen Gallacher,12,95
16,17,17,Justin Thomas,7,95
17,18,18,Joost Luiten,9,89
18,19,19,Mikko Ilonen,5,86
19,20,20,Patrick Rodgers,7,85
20,21,21,George Coetzee,6,84
21,22,22,Marc Warren,2,82
22,23,23,Chris Wood,3,67
23,24,24,Danny Willett,3,65
24,25,25,Marcel Siem,3,65
25,26,26,Hideto Tanihara,3,64
26,27,27,Thongchai Jaidee,9,61
27,28,28,David Howell,3,59
28,T29,T29,Koumei Oda,2,57
29,T29,T29,Brady Watt,4,57
30,31,31,Austin Cook,1,56
31,32,32,Branden Grace,11,54
32,33,33,Bernd Wiesberger,4,54
33,34,34,Andres Gonzales,2,53
34,T35,T35,Jay McLuen,2,52
35,T35,T35,Alvaro Quiros,2,52
36,37,37,Cody Gribble,1,50
37,38,38,Siddikur Rahman,1,44
38,39,39,Byeong Hun An,1,43
39,T40,T40,Daniel Berger,1,40
40,T40,T40,Alexander Levy,2,40
41,42,42,Steven Ihm,1,40
42,43,43,Jon Curran,1,38
43,T44,T44,Gaganjeet Bhullar,2,38
44,T44,T44,Kristoffer Broberg,1,38
45,46,46,Richard Sterne,7,37
46,47,47,Anirban Lahiri,3,34
47,48,48,Scott Hend,3,30
48,49,49,Oliver Goss,7,29
49,T50,T50,Lucas Bjerregaard,1,29
50,T50,T50,Zac Blair,1,29
51,T50,T50,Garth Mulroy,1,29
52,53,53,Rafa Cabrera Bello,5,29
53,T54,T54,Prayad Marksaeng,1,26
54,T54,T54,Kevin Penner,1,26
55,56,56,Sam Saunders,1,24
56,57,57,Grégory Bourdy,2,23
57,T58,T58,Rafael Campos,1,22
58,T58,T58,Emiliano Grillo,1,22
59,T58,T58,David Skinns,1,22
60,61,61,Berry Henson,1,22
61,62,62,Josh Broadaway,1,20
62,T63,T63,Oscar Fraustro,1,20
63,T63,T63,Fabrizio Zanotti,2,20
64,65,65,Ryan Sullivan,1,15
65,T66,T66,Joel Dahmen,1,14
66,T66,T66,Adam Hadwin,1,14
67,T66,T66,Nicholas Lindheim,1,14
68,T66,T66,Fran Quinn,1,14
69,70,70,Kevin Lucas,1,13
70,71,71,Derek Fathauer,1,12
71,T72,T72,Jamie McLeary,1,11
72,T72,T72,Chris Rodgers,1,11
73,74,74,Hyung-Sung Kim,6,10
74,75,75,Chris Williams,4,9
75,76,76,Nicholas Fung,1,8
76,77,77,Clayton Rask,1,7
77,78,78,Bobby Wyatt,5,7
78,79,79,Jeff Curl,2,6
79,80,80,Chris Thompson,2,6
80,81,81,Carlos Ortiz,1,5
81,82,82,Toru Taniguchi,1,4
82,83,83,Kyle Reifers,2,4
83,84,84,Mark Hubbard,1,2
84,85,85,Wade Ormsby,1,2
85,86,86,Colin Montgomerie,1,1
86,87,87,Derek Tolan,1,1
87,88,88,Harold Varner III,2,1
88,T89,T89,Thomas Aiken,3,1
89,T89,T89,Rhein Gibson,1,1
90,T91,T91,Bubba Dickerson,2,1
91,T91,T91,Toshinori Muto,1,1
92,93,93,Rashid Ismail,1,1
93,94,94,Seuk-hyun Baek,2,1
94,95,95,Eric Dugas,1,1
95,96,96,Michael Block,2,1
