,Approach_50-75_yards_RTP_Score_RANK THIS WEEK,Approach_50-75_yards_RTP_Score_RANK LAST WEEK,Approach_50-75_yards_RTP_Score_PLAYER NAME,Approach_50-75_yards_RTP_Score_ROUNDS,Approach_50-75_yards_RTP_Score_AVG RTP
0,T1,T1,Dustin Johnson,77,-.500
1,T1,T1,Vaughn Taylor,83,-.500
2,T1,T1,Justin Thomas,91,-.500
3,T1,T1,Michael Thompson,62,-.500
4,5,5,Ian Poulter,73,-.467
5,6,6,Jason Day,75,-.462
6,7,7,Branden Grace,67,-.438
7,8,8,Stephan Jaeger,81,-.429
8,T9,T9,Seamus Power,86,-.417
9,T9,T9,Jon Rahm,71,-.417
10,T11,T11,Paul Casey,74,-.385
11,T11,T11,Corey Conners,97,-.385
12,T11,T11,Rory McIlroy,64,-.385
13,T14,T14,Mackenzie Hughes,80,-.375
14,T14,T14,Xinjun Zhang,81,-.375
15,16,16,Shawn Stefani,76,-.364
16,T17,T17,Kyle Stanley,93,-.357
17,T17,T17,Kevin Streelman,94,-.357
18,T19,T19,Brian Gay,103,-.333
19,T19,T19,Lucas Glover,65,-.333
20,T19,T19,Brooks Koepka,64,-.333
21,T19,T19,Troy Merritt,89,-.333
22,23,23,Jonathan Randolph,71,-.313
23,24,24,Phil Mickelson,90,-.308
24,25,25,Andrew Putnam,97,-.304
25,T26,T26,Harris English,84,-.300
26,T26,T26,Si Woo Kim,108,-.300
27,T26,T26,Shane Lowry,64,-.300
28,T26,T26,William McGirt,84,-.300
29,T30,T30,Billy Hurley III,70,-.294
30,T30,T30,Tom Lovelady,87,-.294
31,32,32,Ollie Schniederjans,91,-.292
32,33,33,Hunter Mahan,67,-.286
33,T34,T34,Tyrrell Hatton,58,-.273
34,T34,T34,Cameron Smith,85,-.273
35,T36,T36,Grayson Murray,72,-.267
36,T36,T36,Nick Watney,94,-.267
37,T38,T38,Bronson Burgoon,69,-.250
38,T38,T38,Chris Kirk,108,-.250
39,T38,T38,Ben Martin,64,-.250
40,T38,T38,Alex Noren,67,-.250
41,T38,T38,Louis Oosthuizen,62,-.250
42,T38,T38,Pat Perez,82,-.250
43,T44,T44,Scott Brown,102,-.235
44,T44,T44,Xander Schauffele,96,-.235
45,T46,T46,Zac Blair,64,-.231
46,T46,T46,Rickie Fowler,74,-.231
47,T46,T46,Adam Scott,78,-.231
48,49,49,Peter Uihlein,83,-.227
49,T50,T50,Blayne Barber,69,-.222
50,T50,T50,Ben Crane,65,-.222
51,T50,T50,Joel Dahmen,93,-.222
52,T50,T50,Kevin Kisner,89,-.222
53,T50,T50,Ryan Palmer,69,-.222
54,T55,T55,Tom Hoge,101,-.214
55,T55,T55,Nicholas Lindheim,77,-.214
56,T55,T55,Jamie Lovemark,92,-.214
57,58,58,John Huh,94,-.208
58,T59,T59,Wesley Bryan,69,-.200
59,T59,T59,Brett Stegmaier,67,-.200
60,61,61,Matt Kuchar,88,-.190
61,T62,T62,Ryan Armour,109,-.188
62,T62,T62,Sean O'Hair,67,-.188
63,T64,T64,Jonathan Byrd,70,-.182
64,T64,T64,Michael Kim,74,-.182
65,T64,T64,Nick Taylor,94,-.182
66,67,67,Kevin Tway,110,-.176
67,T68,T68,Cameron Percy,56,-.167
68,T68,T68,Martin Piller,79,-.167
69,T68,T68,Bubba Watson,90,-.167
70,71,71,Brandon Harkins,101,-.156
71,72,72,Chris Stroud,81,-.154
72,73,73,Peter Malnati,87,-.150
73,T74,T74,Matt Every,79,-.143
74,T74,T74,Tommy Fleetwood,73,-.143
75,T74,T74,Brandt Snedeker,84,-.143
76,T74,T74,Ethan Tracy,72,-.143
77,78,78,J.B. Holmes,77,-.136
78,79,79,Byeong Hun An,86,-.129
79,T80,T80,Kevin Na,91,-.125
80,T80,T80,Rod Pampling,62,-.125
81,T80,T80,Jhonattan Vegas,92,-.125
82,83,83,Brian Harman,94,-.105
83,84,84,Rory Sabbatini,91,-.103
84,T85,T85,Jonas Blixt,67,-.100
85,T85,T85,Tony Finau,105,-.100
86,T85,T85,Brice Garnett,99,-.100
87,T85,T85,David Lingmerth,82,-.100
88,T85,T85,Charl Schwartzel,65,-.100
89,T90,T90,Trey Mullinax,75,-.091
90,T90,T90,Adam Schenk,86,-.091
91,92,92,Patton Kizzire,92,-.080
