,Going_for_the_Green_-_Hit_Green_Pct._RANK THIS WEEK,Going_for_the_Green_-_Hit_Green_Pct._RANK LAST WEEK,Going_for_the_Green_-_Hit_Green_Pct._PLAYER NAME,Going_for_the_Green_-_Hit_Green_Pct._ROUNDS,Going_for_the_Green_-_Hit_Green_Pct._%,Going_for_the_Green_-_Hit_Green_Pct._SUCCESSES,Going_for_the_Green_-_Hit_Green_Pct._ATTEMPTS,Going_for_the_Green_-_Hit_Green_Pct._RTP-SUCCESSES,Going_for_the_Green_-_Hit_Green_Pct._RTP-NOT GOING FOR THE GRN
0,1,1,Jason Dufner,71,30.91,34,110,-28,28 Under
1,2,2,Bryson DeChambeau,93,30.77,60,195,-62,62 Under
2,3,3,Henrik Stenson,60,30.69,31,101,-32,32 Under
3,4,4,Hudson Swafford,73,30.51,36,118,-36,36 Under
4,5,5,Rafa Cabrera Bello,75,30.0,27,90,-29,29 Under
5,6,6,Martin Laird,73,29.69,38,128,-36,36 Under
6,7,7,Hideki Matsuyama,75,29.5,41,139,-43,43 Under
7,8,8,Bronson Burgoon,69,29.1,39,134,-43,43 Under
8,9,9,Keith Mitchell,99,29.09,64,220,-60,60 Under
9,10,10,J.J. Spaun,85,29.08,41,141,-40,40 Under
10,11,11,Peter Uihlein,83,28.87,41,142,-43,43 Under
11,12,12,Tommy Fleetwood,73,28.68,39,136,-45,45 Under
12,T13,T13,Kevin Kisner,89,28.57,30,105,-35,35 Under
13,T13,T13,Jason Kokrak,99,28.57,64,224,-64,64 Under
14,15,15,Gary Woodland,96,28.49,53,186,-59,59 Under
15,16,16,Vaughn Taylor,83,28.45,33,116,-32,32 Under
16,17,17,Tom Lovelady,87,28.27,54,191,-55,55 Under
17,18,18,Dustin Johnson,77,28.1,43,153,-48,48 Under
18,19,19,Bill Haas,76,27.87,34,122,-36,36 Under
19,20,20,Conrad Shindler,60,27.16,22,81,-29,29 Under
20,21,21,Cameron Tringale,67,27.06,23,85,-23,23 Under
21,22,22,Shawn Stefani,76,27.05,33,122,-34,34 Under
22,23,23,Sam Ryder,82,27.04,43,159,-38,38 Under
23,24,24,Chesson Hadley,103,26.97,48,178,-54,54 Under
24,25,25,Cameron Percy,56,26.92,21,78,-25,25 Under
25,26,26,David Lingmerth,82,26.89,32,119,-28,28 Under
26,27,27,Justin Rose,70,26.67,32,120,-28,28 Under
27,28,28,Byeong Hun An,86,26.63,45,169,-46,46 Under
28,29,29,Stewart Cink,87,26.61,33,124,-36,36 Under
29,30,30,Brendan Steele,74,26.53,39,147,-39,39 Under
30,31,31,Jon Rahm,71,26.47,36,136,-37,37 Under
31,32,32,Kevin Chappell,77,26.22,43,164,-38,38 Under
32,33,33,David Hearn,66,26.09,18,69,-19,19 Under
33,34,34,Scott Stallings,96,26.06,43,165,-46,46 Under
34,35,35,Bubba Watson,90,25.97,47,181,-53,53 Under
35,36,36,Rickie Fowler,74,25.76,34,132,-36,36 Under
36,37,37,Keegan Bradley,98,25.65,49,191,-51,51 Under
37,38,38,Rob Oppenheim,74,25.61,21,82,-19,19 Under
38,39,39,Blayne Barber,69,25.45,28,110,-28,28 Under
39,40,40,Tyrrell Hatton,58,25.33,19,75,-21,21 Under
40,T41,T41,Brandon Harkins,101,25.25,50,198,-55,55 Under
41,T41,T41,Steve Wheatcroft,60,25.25,25,99,-25,25 Under
42,43,43,Alex Noren,67,25.21,30,119,-29,29 Under
43,44,44,Aaron Baddeley,84,25.17,36,143,-34,34 Under
44,T45,T45,Russell Henley,77,25.0,30,120,-32,32 Under
45,T45,T45,Satoshi Kodaira,51,25.0,16,64,-15,15 Under
46,T45,T45,Ryan Palmer,69,25.0,37,148,-38,38 Under
47,T45,T45,Kevin Tway,110,25.0,61,244,-61,61 Under
48,T45,T45,Richy Werenski,98,25.0,35,140,-38,38 Under
49,T45,T45,Tiger Woods,68,25.0,29,116,-30,30 Under
50,51,51,Brooks Koepka,64,24.82,35,141,-35,35 Under
51,52,52,Joel Dahmen,93,24.68,38,154,-39,39 Under
52,53,53,Kiradech Aphibarnrat,51,24.66,18,73,-22,22 Under
53,54,54,Seamus Power,86,24.29,34,140,-32,32 Under
54,55,55,Tony Finau,105,24.19,52,215,-55,55 Under
55,56,56,Michael Thompson,62,24.18,22,91,-18,18 Under
56,57,57,Lanto Griffin,80,24.17,29,120,-32,32 Under
57,58,58,Chris Kirk,108,24.12,41,170,-42,42 Under
58,59,59,Denny McCarthy,71,24.04,25,104,-25,25 Under
59,60,60,Cameron Smith,85,24.03,31,129,-33,33 Under
60,61,61,Kyle Stanley,93,23.94,34,142,-33,33 Under
61,T62,T62,J.B. Holmes,77,23.93,39,163,-42,42 Under
62,T62,T62,Russell Knox,94,23.93,28,117,-29,29 Under
63,64,64,Shane Lowry,64,23.89,27,113,-22,22 Under
