,Par_5_Going_for_the_Green_RANK THIS WEEK,Par_5_Going_for_the_Green_RANK LAST WEEK,Par_5_Going_for_the_Green_PLAYER NAME,Par_5_Going_for_the_Green_ROUNDS,Par_5_Going_for_the_Green_%,Par_5_Going_for_the_Green_ATTEMPTS,Par_5_Going_for_the_Green_NON-ATTEMPTS
0,1,1,Luke List,98,77.73,185,53
1,2,2,Brooks Koepka,64,76.43,107,33
2,3,3,Gary Woodland,96,73.71,143,51
3,4,4,Tony Finau,105,72.69,173,65
4,5,5,Tommy Fleetwood,73,72.67,109,41
5,6,6,Patrick Cantlay,87,72.4,139,53
6,7,7,Jon Rahm,71,71.92,105,41
7,8,8,Tom Lovelady,87,71.9,151,59
8,9,9,Bubba Watson,90,71.13,138,56
9,10,10,Keith Mitchell,99,70.33,173,73
10,11,11,Henrik Stenson,60,70.31,90,38
11,12,12,Jason Kokrak,99,69.63,188,82
12,13,13,Justin Thomas,91,69.57,128,56
13,14,14,Jhonattan Vegas,92,69.27,133,59
14,15,15,Brendan Steele,74,68.9,113,51
15,16,16,Xander Schauffele,96,68.69,136,62
16,T17,T17,Rory McIlroy,64,68.57,96,44
17,T17,T17,Alex Noren,67,68.57,96,44
18,19,19,Sam Saunders,80,68.04,132,62
19,20,20,Hideki Matsuyama,75,67.07,110,54
20,21,21,Ryan Palmer,69,67.04,120,59
21,22,22,Xinjun Zhang,81,66.87,111,55
22,23,23,Jordan Spieth,81,66.84,127,63
23,24,24,Robert Garrigus,80,66.51,145,73
24,25,25,Patrick Reed,94,66.49,125,63
25,26,26,Bryson DeChambeau,93,66.38,154,78
26,27,27,Keegan Bradley,98,65.84,160,83
27,28,28,Bronson Burgoon,69,65.48,110,58
28,29,29,Grayson Murray,72,65.2,133,71
29,30,30,Kevin Chappell,77,64.36,121,67
30,31,31,Daniel Berger,81,64.12,109,61
31,32,32,Francesco Molinari,73,64.1,100,56
32,33,33,Harris English,84,64.08,132,74
33,34,34,Dustin Johnson,77,63.89,115,65
34,35,35,Matt Jones,70,63.77,88,50
35,36,36,Trey Mullinax,75,63.53,108,62
36,37,37,Branden Grace,67,63.43,85,49
37,38,38,Kevin Tway,110,63.31,176,102
38,39,39,Kiradech Aphibarnrat,51,63.04,58,34
39,40,40,Chris Stroud,81,62.21,107,65
40,41,41,Cody Gribble,71,61.9,104,64
41,T42,T42,Byeong Hun An,86,61.68,132,82
42,T42,T42,J.B. Holmes,77,61.68,132,82
43,44,44,Jamie Lovemark,92,61.57,149,93
44,45,45,Si Woo Kim,108,61.54,144,90
45,46,46,Tyler Duncan,97,61.28,144,91
46,47,47,Justin Rose,70,61.11,99,63
47,48,48,Rickie Fowler,74,61.05,105,67
48,49,49,Abraham Ancer,98,61.02,155,99
49,50,50,Adam Schenk,86,60.89,123,79
50,51,51,Stephan Jaeger,81,60.82,118,76
51,52,52,Cameron Smith,85,60.8,107,69
52,53,53,Brandon Harkins,101,60.77,158,102
53,54,54,Hudson Swafford,73,60.63,97,63
54,55,55,Matt Every,79,60.62,117,76
55,56,56,Harold Varner III,91,60.55,132,86
56,T57,T57,Russell Henley,77,60.49,98,64
57,T57,T57,Shane Lowry,64,60.49,98,64
58,59,59,Charl Schwartzel,65,60.48,75,49
59,60,60,Cameron Percy,56,60.0,72,48
60,61,61,Phil Mickelson,90,59.8,122,82
61,62,62,Billy Horschel,86,59.66,139,94
62,63,63,Sam Ryder,82,59.26,128,88
63,T64,T64,Charley Hoffman,87,59.13,123,85
64,T64,T64,Marc Leishman,93,59.13,123,85
65,T66,T66,Dominic Bozzelli,65,59.09,104,72
66,T66,T66,Jason Dufner,71,59.09,91,63
67,68,68,Lucas Glover,65,58.75,94,66
68,69,69,Rod Pampling,62,58.67,88,62
69,70,70,Matt Atkins,56,58.59,75,53
70,71,71,Joel Dahmen,93,58.57,123,87
71,72,72,Aaron Wise,90,58.4,139,99
72,73,73,Steve Wheatcroft,60,58.33,84,60
73,74,74,Danny Lee,88,57.99,127,92
74,75,75,Sean O'Hair,67,57.89,110,80
75,76,76,Peter Uihlein,83,57.81,111,81
76,77,77,Jonathan Byrd,70,57.64,83,61
77,78,78,Adam Scott,78,57.63,102,75
78,79,79,Jonas Blixt,67,57.43,85,63
79,80,80,Tiger Woods,68,57.06,97,73
80,81,81,Denny McCarthy,71,57.04,81,61
81,82,82,Hunter Mahan,67,56.98,98,74
82,83,83,Kyle Stanley,93,56.84,108,82
83,84,84,Lanto Griffin,80,56.82,100,76
84,85,85,Scott Stallings,96,56.72,135,103
85,86,86,Emiliano Grillo,94,56.6,120,92
86,87,87,Talor Gooch,78,56.54,108,83
87,88,88,Aaron Baddeley,84,56.48,122,94
88,89,89,Jason Day,75,56.34,80,62
89,90,90,Mackenzie Hughes,80,56.31,116,90
90,91,91,James Hahn,85,56.13,119,93
91,92,92,Paul Casey,74,56.06,74,58
92,93,93,Nick Taylor,94,56.03,130,102
93,94,94,Adam Hadwin,92,56.0,112,88
94,95,95,Rory Sabbatini,91,55.9,128,101
95,96,96,Ben Martin,64,55.68,98,78
96,97,97,Seamus Power,86,55.56,110,88
97,98,98,Patton Kizzire,92,55.41,123,99
98,99,99,Troy Merritt,89,55.31,125,101
99,T100,T100,Tom Hoge,101,55.29,141,114
100,T100,T100,J.T. Poston,73,55.29,94,76
101,102,102,Martin Laird,73,55.15,107,87
102,T103,T103,Derek Fathauer,84,54.95,111,91
103,T103,T103,Ryan Moore,78,54.95,111,91
104,105,105,Bud Cauley,55,54.93,78,64
105,106,106,Charles Howell III,104,54.82,125,103
106,107,107,Corey Conners,97,54.74,127,105
107,108,108,Blayne Barber,69,54.71,93,77
108,109,109,Rafa Cabrera Bello,75,54.69,70,58
109,110,110,Beau Hossler,104,54.58,155,129
110,111,111,C.T. Pan,104,54.55,126,105
111,112,112,Graeme McDowell,67,54.17,78,66
112,113,113,Patrick Rodgers,97,54.09,119,101
113,114,114,Martin Flores,92,53.95,116,99
114,115,115,Shawn Stefani,76,53.76,100,86
115,116,116,Webb Simpson,95,53.7,116,100
116,117,117,J.J. Spaun,85,53.47,108,94
117,118,118,Richy Werenski,98,53.18,117,103
118,T119,T119,Anirban Lahiri,82,53.13,102,90
119,T119,T119,Conrad Shindler,60,53.13,68,60
120,121,121,Zecheng Dou,53,52.73,58,52
121,122,122,Chesson Hadley,103,52.71,146,131
122,123,123,Kevin Streelman,94,52.67,138,124
123,124,124,Fabián Gómez,88,52.58,112,101
124,125,125,Austin Cook,107,52.55,144,130
125,126,126,Scott Brown,102,52.5,126,114
126,127,127,Ricky Barnes,65,52.41,76,69
127,128,128,Ethan Tracy,72,52.38,88,80
128,129,129,Scott Piercy,84,52.33,101,92
129,130,130,Andrew Putnam,97,52.17,120,110
130,131,131,Brian Harman,94,52.11,99,91
131,132,132,Brice Garnett,99,52.03,128,118
132,133,133,Nick Watney,94,52.02,129,119
133,134,134,Tyrrell Hatton,58,51.75,59,55
134,135,135,Jimmy Walker,81,51.5,103,97
135,136,136,Sung Kang,89,51.43,108,102
136,137,137,Brett Stegmaier,67,51.39,74,70
137,138,138,Stewart Cink,87,51.04,98,94
138,139,139,Pat Perez,82,51.03,74,71
139,140,140,Andrew Yun,51,50.96,53,51
140,141,141,Nate Lashley,51,50.94,54,52
141,142,142,Bill Haas,76,50.75,101,98
142,143,143,Ryan Blaum,81,50.72,106,103
143,T144,T144,Retief Goosen,60,50.0,61,61
144,T144,T144,Ian Poulter,73,50.0,75,75
145,146,146,Kevin Na,91,49.5,99,101
146,147,147,Kevin Kisner,89,49.44,89,91
147,148,148,Daniel Summerhays,51,49.21,62,64
148,149,149,Robert Streb,78,48.89,88,92
149,150,150,John Huh,94,48.8,122,128
150,151,151,Michael Thompson,62,48.78,80,84
151,152,152,William McGirt,84,48.67,110,116
152,153,153,Jonathan Randolph,71,48.6,87,92
153,154,154,Martin Piller,79,48.58,103,109
154,155,155,Chris Kirk,108,48.33,145,155
155,156,156,Ollie Schniederjans,91,48.21,108,116
156,157,157,D.A. Points,63,48.0,72,78
157,158,158,Tyrone Van Aswegen,101,47.86,123,134
158,159,159,David Lingmerth,82,47.42,101,112
159,T160,T160,Satoshi Kodaira,51,47.17,50,56
160,T160,T160,Brandt Snedeker,84,47.17,100,112
161,162,162,J.J. Henry,81,47.12,90,101
162,163,163,Vaughn Taylor,83,47.0,94,106
163,164,164,Ben Silverman,90,46.58,109,125
164,165,165,Roberto Díaz,72,46.54,74,85
165,166,166,Peter Malnati,87,46.05,105,123
166,167,167,Alex Cejka,77,45.9,84,99
167,168,168,Zach Johnson,94,45.75,97,115
168,169,169,Kelly Kraft,94,44.95,98,120
169,170,170,Louis Oosthuizen,62,44.62,58,72
170,171,171,"Ted Potter, Jr.",87,44.59,99,123
171,172,172,Zac Blair,64,44.52,65,81
172,173,173,Chez Reavie,93,44.32,78,98
173,174,174,Rob Oppenheim,74,43.45,73,95
174,175,175,Andrew Landry,82,43.26,93,122
175,176,176,Russell Knox,94,43.12,94,124
176,177,177,Kyle Thompson,50,42.73,47,63
177,178,178,Cameron Tringale,67,42.5,68,92
178,179,179,Michael Kim,74,42.41,67,91
179,180,180,Greg Chalmers,56,41.54,54,76
180,181,181,David Hearn,66,41.45,63,89
181,182,182,Nicholas Lindheim,77,41.34,74,105
182,183,183,Matt Kuchar,88,40.69,83,121
183,184,184,Billy Hurley III,70,39.77,68,103
184,185,185,Johnson Wagner,75,39.66,69,105
185,186,186,Chad Campbell,87,39.6,80,122
186,187,187,Whee Kim,93,39.22,91,141
187,188,188,Ben Crane,65,37.68,52,86
188,189,189,Brian Gay,103,37.31,100,168
189,190,190,Wesley Bryan,69,36.3,53,93
190,191,191,Ryan Armour,109,35.42,102,186
191,192,192,Jim Furyk,50,29.37,37,89
192,193,193,Brian Stuard,103,26.55,73,202
