,Birdie_or_Better_Percentage_-__125_yard_RANK THIS WEEK,Birdie_or_Better_Percentage_-__125_yard_RANK LAST WEEK,Birdie_or_Better_Percentage_-__125_yard_PLAYER NAME,Birdie_or_Better_Percentage_-__125_yard_ROUNDS,Birdie_or_Better_Percentage_-__125_yard_%,Birdie_or_Better_Percentage_-__125_yard_TOTAL BIRDIES,Birdie_or_Better_Percentage_-__125_yard_TOTAL HOLES
0,1,1,Vaughn Taylor,83,32.94,83,252
1,2,2,Ryan Armour,109,30.68,112,365
2,3,3,Brandt Snedeker,84,30.5,86,282
3,4,4,Billy Horschel,86,30.2,77,255
4,5,5,Troy Merritt,89,30.04,76,253
5,6,6,Kevin Na,91,29.67,73,246
6,7,7,Ollie Schniederjans,91,29.37,79,269
7,8,8,Dustin Johnson,77,29.29,82,280
8,9,9,Hudson Swafford,73,29.08,57,196
9,10,10,Francesco Molinari,73,28.99,60,207
10,11,11,Johnson Wagner,75,28.78,59,205
11,12,12,Ian Poulter,73,28.66,47,164
12,13,13,Justin Rose,70,28.57,48,168
13,14,14,Brian Gay,103,28.49,100,351
14,15,15,Charles Howell III,104,28.47,78,274
15,16,16,Abraham Ancer,98,28.31,92,325
16,17,17,Wesley Bryan,69,28.3,45,159
17,18,18,Rob Oppenheim,74,28.22,57,202
18,19,19,Justin Thomas,91,28.14,65,231
19,20,20,Webb Simpson,95,28.08,82,292
20,T21,T21,Brooks Koepka,64,28.07,64,228
21,T21,T21,Tiger Woods,68,28.07,48,171
22,23,23,Ryan Blaum,81,27.95,71,254
23,24,24,Chesson Hadley,103,27.78,100,360
24,25,25,Chris Kirk,108,27.73,94,339
25,26,26,Hideki Matsuyama,75,27.33,44,161
26,27,27,Zac Blair,64,27.27,45,165
27,28,28,Peter Malnati,87,27.1,84,310
28,29,29,Nicholas Lindheim,77,26.89,64,238
29,30,30,David Lingmerth,82,26.69,67,251
30,31,31,C.T. Pan,104,26.61,66,248
31,32,32,Jim Furyk,50,26.53,39,147
32,33,33,Bryson DeChambeau,93,26.48,67,253
33,34,34,David Hearn,66,26.46,50,189
34,35,35,Hunter Mahan,67,26.32,55,209
35,36,36,Sam Ryder,82,26.27,67,255
36,37,37,Ethan Tracy,72,26.21,54,206
37,38,38,Shawn Stefani,76,26.19,55,210
38,39,39,Brett Stegmaier,67,26.15,51,195
39,40,40,Brian Harman,94,26.13,75,287
40,41,41,Jonathan Randolph,71,26.11,53,203
41,42,42,Andrew Putnam,97,25.95,68,262
42,43,43,Chris Stroud,81,25.73,53,206
43,44,44,Jason Day,75,25.7,46,179
44,45,45,Matt Jones,70,25.68,47,183
45,T46,T46,Joel Dahmen,93,25.65,69,269
46,T46,T46,Cameron Tringale,67,25.65,49,191
47,48,48,Whee Kim,93,25.62,62,242
48,49,49,Mackenzie Hughes,80,25.32,60,237
49,50,50,Jon Rahm,71,25.31,62,245
50,51,51,Xander Schauffele,96,25.21,59,234
51,52,52,Chad Campbell,87,25.2,64,254
52,53,53,Zach Johnson,94,25.18,70,278
53,T54,T54,Corey Conners,97,25.0,82,328
54,T54,T54,Patrick Reed,94,25.0,54,216
55,T56,T56,J.B. Holmes,77,24.81,64,258
56,T56,T56,Ben Silverman,90,24.81,66,266
57,58,58,Gary Woodland,96,24.78,57,230
58,59,59,Robert Streb,78,24.74,47,190
59,60,60,Tommy Fleetwood,73,24.71,43,174
60,61,61,Tyrrell Hatton,58,24.52,38,155
61,62,62,Brandon Harkins,101,24.49,84,343
62,63,63,"Ted Potter, Jr.",87,24.48,70,286
63,64,64,Dominic Bozzelli,65,24.47,46,188
64,65,65,J.J. Spaun,85,24.45,67,274
65,66,66,Martin Flores,92,24.4,71,291
66,67,67,Phil Mickelson,90,24.33,64,263
67,68,68,Andrew Landry,82,24.27,75,309
68,69,69,Rory McIlroy,64,24.26,49,202
69,70,70,Ben Martin,64,24.18,44,182
70,71,71,Kyle Thompson,50,24.16,36,149
71,72,72,Brian Stuard,103,24.15,85,352
72,73,73,Robert Garrigus,80,24.12,62,257
73,74,74,Danny Lee,88,24.06,51,212
74,75,75,Jamie Lovemark,92,24.02,61,254
75,76,76,Jordan Spieth,81,23.95,63,263
76,T77,T77,Louis Oosthuizen,62,23.93,39,163
77,T77,T77,Rory Sabbatini,91,23.93,73,305
78,79,79,Branden Grace,67,23.9,38,159
79,T80,T80,Tom Hoge,101,23.89,70,293
80,T80,T80,Sam Saunders,80,23.89,59,247
81,82,82,Russell Henley,77,23.72,51,215
82,83,83,Ben Crane,65,23.67,40,169
83,84,84,John Huh,94,23.64,52,220
84,85,85,Billy Hurley III,70,23.58,50,212
85,86,86,Tom Lovelady,87,23.57,74,314
86,87,87,Xinjun Zhang,81,23.56,41,174
87,88,88,Aaron Wise,90,23.51,79,336
88,89,89,Emiliano Grillo,94,23.48,54,230
89,90,90,Cameron Percy,56,23.43,41,175
90,T91,T91,Shane Lowry,64,23.37,43,184
91,T91,T91,Steve Wheatcroft,60,23.37,43,184
92,93,93,Ryan Moore,78,23.28,44,189
93,94,94,Anirban Lahiri,82,23.24,56,241
94,95,95,Bronson Burgoon,69,23.18,51,220
95,96,96,Bubba Watson,90,23.17,73,315
96,97,97,Pat Perez,82,23.16,41,177
97,98,98,Peter Uihlein,83,23.05,62,269
98,99,99,Lucas Glover,65,23.03,35,152
99,100,100,Retief Goosen,60,23.02,32,139
100,T101,T101,Kyle Stanley,93,23.0,49,213
101,T101,T101,Jimmy Walker,81,23.0,49,213
102,103,103,Kelly Kraft,94,22.98,57,248
103,104,104,Scott Brown,102,22.9,60,262
104,105,105,Ryan Palmer,69,22.83,50,219
105,106,106,Kevin Kisner,89,22.75,58,255
106,T107,T107,Tyler Duncan,97,22.73,60,264
107,T107,T107,Rickie Fowler,74,22.73,40,176
108,109,109,Keegan Bradley,98,22.71,52,229
109,110,110,Matt Kuchar,88,22.67,56,247
110,111,111,Greg Chalmers,56,22.64,36,159
111,112,112,Nick Watney,94,22.62,69,305
112,113,113,Si Woo Kim,108,22.42,63,281
113,114,114,William McGirt,84,22.36,55,246
114,115,115,Cameron Smith,85,22.33,48,215
115,116,116,Stephan Jaeger,81,22.31,58,260
116,117,117,Martin Laird,73,22.17,45,203
117,118,118,Stewart Cink,87,22.13,54,244
118,119,119,Adam Scott,78,22.09,38,172
119,120,120,Paul Casey,74,22.07,32,145
120,121,121,Aaron Baddeley,84,22.04,54,245
121,122,122,Jonas Blixt,67,22.03,39,177
122,123,123,Scott Stallings,96,22.02,61,277
123,124,124,Martin Piller,79,22.0,55,250
124,125,125,Charley Hoffman,87,21.98,51,232
125,126,126,Kevin Tway,110,21.97,78,355
126,127,127,Seamus Power,86,21.94,52,237
127,128,128,Russell Knox,94,21.92,57,260
128,129,129,J.J. Henry,81,21.82,48,220
129,130,130,Sung Kang,89,21.8,46,211
130,131,131,Patton Kizzire,92,21.79,68,312
131,132,132,Roberto Díaz,72,21.76,47,216
132,133,133,Beau Hossler,104,21.63,85,393
133,134,134,Henrik Stenson,60,21.62,24,111
134,135,135,Keith Mitchell,99,21.61,78,361
135,136,136,Tyrone Van Aswegen,101,21.59,65,301
136,137,137,Grayson Murray,72,21.57,55,255
137,138,138,Brice Garnett,99,21.5,69,321
138,139,139,Michael Thompson,62,21.43,45,210
139,140,140,Harold Varner III,91,21.4,55,257
140,141,141,Jason Dufner,71,21.29,43,202
141,142,142,Michael Kim,74,21.28,40,188
142,143,143,Rafa Cabrera Bello,75,21.26,37,174
143,144,144,Kevin Streelman,94,21.24,65,306
