,GIR_Percentage_-_150-175_yards_RANK THIS WEEK,GIR_Percentage_-_150-175_yards_RANK LAST WEEK,GIR_Percentage_-_150-175_yards_PLAYER NAME,GIR_Percentage_-_150-175_yards_ROUNDS,GIR_Percentage_-_150-175_yards_%,GIR_Percentage_-_150-175_yards_GREENS HIT,GIR_Percentage_-_150-175_yards_TOTAL HOLES,GIR_Percentage_-_150-175_yards_RELATIVE TO PAR
0,1,1,Henrik Stenson,60,74.12,126,170,-0.16
1,2,2,Nate Lashley,51,73.24,104,142,-0.13
2,3,3,Michael Thompson,62,72.96,170,233,-0.11
3,4,4,Kevin Streelman,94,72.92,237,325,-0.15
4,5,5,Ryan Armour,109,72.75,267,367,-0.17
5,6,6,Joel Dahmen,93,72.55,185,255,-0.1
6,7,7,Sam Ryder,82,72.26,198,274,-0.18
7,8,8,Jordan Spieth,81,72.17,166,230,-0.16
8,9,9,C.T. Pan,104,71.72,246,343,-0.16
9,10,10,Chez Reavie,93,71.49,168,235,-0.18
10,11,11,Russell Knox,94,71.43,205,287,-0.16
11,12,12,Adam Hadwin,92,71.32,194,272,-0.15
12,13,13,Russell Henley,77,71.3,154,216,-0.16
13,14,14,Shane Lowry,64,71.21,141,198,-0.15
14,15,15,Andrew Putnam,97,71.03,206,290,-0.17
15,16,16,Jonathan Byrd,70,71.0,142,200,-0.16
16,17,17,Ryan Moore,78,70.43,181,257,-0.15
17,18,18,Keegan Bradley,98,70.4,245,348,-0.17
18,19,19,J.J. Spaun,85,70.26,189,269,-0.16
19,20,20,Kyle Stanley,93,69.92,186,266,-0.2
20,21,21,Justin Rose,70,69.9,137,196,-0.18
21,22,22,James Hahn,85,69.34,199,287,-0.22
22,23,23,Marc Leishman,93,69.29,185,267,-0.22
23,24,24,Vaughn Taylor,83,69.26,205,296,-0.16
24,25,25,Harold Varner III,91,69.21,209,302,-0.16
25,26,26,Cameron Percy,56,69.18,101,146,-0.17
26,27,27,Shawn Stefani,76,69.03,156,226,-0.15
27,28,28,Rory Sabbatini,91,69.02,205,297,-0.1
28,29,29,Austin Cook,107,68.82,256,372,-0.16
29,30,30,Patton Kizzire,92,68.77,196,285,-0.17
30,31,31,Zac Blair,64,68.75,110,160,-0.2
31,32,32,Kevin Kisner,89,68.62,164,239,-0.23
32,33,33,John Huh,94,68.6,249,363,-0.18
33,34,34,Billy Horschel,86,68.51,211,308,-0.14
34,35,35,Daniel Berger,81,68.48,189,276,-0.08
35,36,36,Brett Stegmaier,67,68.36,121,177,-0.12
36,37,37,Bryson DeChambeau,93,68.32,207,303,-0.19
37,38,38,"Ted Potter, Jr.",87,68.25,187,274,-0.2
38,39,39,Patrick Cantlay,87,68.18,150,220,-0.21
39,40,40,Xinjun Zhang,81,67.76,166,245,-0.1
40,41,41,Ben Crane,65,67.6,121,179,-0.18
41,42,42,Conrad Shindler,60,67.39,124,184,-0.15
42,43,43,J.J. Henry,81,67.32,171,254,-0.18
43,44,44,Nicholas Lindheim,77,67.31,175,260,-0.17
44,45,45,Francesco Molinari,73,67.28,146,217,-0.2
