,Average_Distance_to_Hole_After_Tee_Shot_RANK THIS WEEK,Average_Distance_to_Hole_After_Tee_Shot_RANK LAST WEEK,Average_Distance_to_Hole_After_Tee_Shot_PLAYER NAME,Average_Distance_to_Hole_After_Tee_Shot_ROUNDS,Average_Distance_to_Hole_After_Tee_Shot_AVG,Average_Distance_to_Hole_After_Tee_Shot_TOTAL DIST AFTER TEE SHOT,Average_Distance_to_Hole_After_Tee_Shot_TOTAL TEE SHOTS
0,1,1,Bubba Watson,90,154.6,5263984.0,946
1,T2,T2,Dustin Johnson,77,154.9,4822632.0,865
2,T2,T2,Brooks Koepka,64,154.9,4182187.0,750
3,4,4,Rory McIlroy,64,155.1,3868962.0,693
4,5,5,Jon Rahm,71,155.3,3986512.0,713
5,6,6,Trey Mullinax,75,155.8,4542889.0,810
6,7,7,Keith Mitchell,99,156.8,6491863.0,1150
7,8,8,Tom Lovelady,87,156.9,5309641.0,940
8,9,9,Justin Thomas,91,159.8,5449597.0,947
9,10,10,Luke List,98,160.3,6232994.0,1080
10,11,11,Kevin Chappell,77,160.6,4994235.0,864
11,12,12,Kevin Tway,110,161.3,7189936.0,1238
12,13,13,Tony Finau,105,161.7,6486532.0,1114
13,14,14,Grayson Murray,72,161.9,4704113.0,807
14,15,15,Gary Woodland,96,162.0,5674435.0,973
15,16,16,Patrick Cantlay,87,162.1,5457219.0,935
16,17,17,Brendan Steele,74,162.9,4434456.0,756
17,18,18,Ryan Palmer,69,163.8,4824531.0,818
18,19,19,Matt Jones,70,163.9,3817039.0,647
19,20,20,Brandon Harkins,101,164.0,6891368.0,1167
20,21,21,Xander Schauffele,96,164.1,5914971.0,1001
21,22,22,Jason Kokrak,99,164.2,7164264.0,1212
22,23,23,Bryson DeChambeau,93,165.0,6425817.0,1082
23,24,24,Hudson Swafford,73,165.1,4268762.0,718
24,25,25,Jordan Spieth,81,165.4,5448546.0,915
25,26,26,Robert Garrigus,80,165.5,5559393.0,933
26,T27,T27,Matt Atkins,56,165.6,3326832.0,558
27,T27,T27,Sam Saunders,80,165.6,5501220.0,923
28,29,29,Harold Varner III,91,165.8,6057224.0,1015
29,T30,T30,J.B. Holmes,77,166.0,5627830.0,942
30,T30,T30,Cameron Percy,56,166.0,3389305.0,567
31,T32,T32,Byeong Hun An,86,166.2,6042499.0,1010
32,T32,T32,Corey Conners,97,166.2,6550898.0,1095
33,T34,T34,Tommy Fleetwood,73,166.5,4496696.0,750
34,T34,T34,Lanto Griffin,80,166.5,4958489.0,827
35,T34,T34,Peter Uihlein,83,166.5,5387952.0,899
36,T37,T37,Francesco Molinari,73,166.8,4767763.0,794
37,T37,T37,J.T. Poston,73,166.8,4743146.0,790
38,T39,T39,Jason Day,75,167.1,4077642.0,678
39,T39,T39,Adam Schenk,86,167.1,5438898.0,904
40,41,41,Beau Hossler,104,167.2,7477105.0,1242
41,42,42,Patton Kizzire,92,167.6,6505425.0,1078
42,T43,T43,Bronson Burgoon,69,167.8,4783426.0,792
43,T43,T43,Jhonattan Vegas,92,167.8,5377694.0,890
44,T45,T45,Seamus Power,86,168.0,5497006.0,909
45,T45,T45,Aaron Wise,90,168.0,6708905.0,1109
46,T47,T47,Brett Stegmaier,67,168.3,3914292.0,646
47,T47,T47,Nick Watney,94,168.3,6663421.0,1100
48,49,49,Martin Flores,92,168.5,6012994.0,991
49,T50,T50,Stephan Jaeger,81,168.6,5249226.0,865
50,T50,T50,Patrick Rodgers,97,168.6,6064342.0,999
51,52,52,Joel Dahmen,93,169.0,5987006.0,984
52,T53,T53,Hunter Mahan,67,169.1,4316335.0,709
53,T53,T53,Hideki Matsuyama,75,169.1,4851517.0,797
54,T53,T53,J.J. Spaun,85,169.1,5982749.0,983
55,56,56,Phil Mickelson,90,169.3,5895309.0,967
56,57,57,Marc Leishman,93,169.4,6164393.0,1011
57,T58,T58,Brian Harman,94,169.6,6117596.0,1002
58,T58,T58,Ethan Tracy,72,169.6,4541553.0,744
59,60,60,Scott Stallings,96,169.7,6743472.0,1104
60,61,61,Charley Hoffman,87,169.9,5732199.0,937
61,62,62,Paul Casey,74,170.0,4112655.0,672
62,T63,T63,Abraham Ancer,98,170.1,7036019.0,1149
63,T63,T63,Jason Dufner,71,170.1,4421185.0,722
64,T65,T65,Zecheng Dou,53,170.2,3026474.0,494
65,T65,T65,Matt Every,79,170.2,5043330.0,823
66,T67,T67,Billy Horschel,86,170.4,6594236.0,1075
67,T67,T67,Cameron Smith,85,170.4,5184315.0,845
68,T67,T67,Xinjun Zhang,81,170.4,4845311.0,790
69,T70,T70,Blayne Barber,69,170.5,5040277.0,821
70,T70,T70,Jonas Blixt,67,170.5,4044519.0,659
71,T70,T70,Chesson Hadley,103,170.5,7550232.0,1230
72,73,73,Conrad Shindler,60,170.6,3752528.0,611
73,T74,T74,Jamie Lovemark,92,170.8,6602809.0,1074
74,T74,T74,Rory Sabbatini,91,170.8,6382592.0,1038
75,76,76,Stewart Cink,87,170.9,5697350.0,926
76,77,77,Tyrrell Hatton,58,171.0,3601104.0,585
77,T78,T78,Charles Howell III,104,171.1,6638498.0,1078
78,T78,T78,Nate Lashley,51,171.1,2975091.0,483
79,T78,T78,Justin Rose,70,171.1,4508572.0,732
80,T78,T78,Steve Wheatcroft,60,171.1,3929772.0,638
81,T82,T82,James Hahn,85,171.2,5904754.0,958
82,T82,T82,Scott Piercy,84,171.2,5818597.0,944
83,T82,T82,Sam Ryder,82,171.2,5936181.0,963
84,85,85,Shane Lowry,64,171.3,4293344.0,696
85,T86,T86,Dominic Bozzelli,65,171.4,5140618.0,833
86,T86,T86,Harris English,84,171.4,5761522.0,934
87,T88,T88,Patrick Reed,94,171.5,5352173.0,867
88,T88,T88,Chris Stroud,81,171.5,4922035.0,797
89,90,90,Cody Gribble,71,171.6,4595941.0,744
90,T91,T91,Daniel Berger,81,171.7,5335390.0,863
91,T91,T91,Peter Malnati,87,171.7,6372900.0,1031
92,T91,T91,Ollie Schniederjans,91,171.7,6519966.0,1055
93,T91,T91,Kyle Stanley,93,171.7,5771752.0,934
94,95,95,Andrew Landry,82,171.8,6265983.0,1013
95,96,96,Shawn Stefani,76,171.9,5130504.0,829
96,97,97,Rickie Fowler,74,172.0,5256716.0,849
97,T98,T98,Brice Garnett,99,172.1,6943691.0,1121
98,T98,T98,Mackenzie Hughes,80,172.1,5806779.0,937
99,T98,T98,Adam Scott,78,172.1,5142785.0,830
100,101,101,Austin Cook,107,172.4,7906942.0,1274
101,T102,T102,Retief Goosen,60,172.5,3389896.0,546
102,T102,T102,Si Woo Kim,108,172.5,6724642.0,1083
103,T104,T104,Anirban Lahiri,82,172.6,5746182.0,925
104,T104,T104,Charl Schwartzel,65,172.6,3584437.0,577
