,Approaches_from__275_yards_Rgh_RANK THIS WEEK,Approaches_from__275_yards_Rgh_RANK LAST WEEK,Approaches_from__275_yards_Rgh_PLAYER NAME,Approaches_from__275_yards_Rgh_ROUNDS,Approaches_from__275_yards_Rgh_AVG,Approaches_from__275_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from__275_yards_Rgh_# OF ATTEMPTS,Approaches_from__275_yards_Rgh_RELATIVE TO PAR
89,90,90,Kevin Streelman,94,"95' 0""",284.91700000000003,3,E
90,91,91,Ryan Blaum,81,"95' 8""",95.667,1,E
91,T92,T92,Alex Cejka,77,"95' 9""",95.75,1,-1
92,T92,T92,J.T. Poston,73,"95' 9""",95.75,1,-1
93,94,94,Henrik Stenson,60,"95' 10""",95.833,1,E
94,T95,T95,Austin Cook,107,"96' 2""",192.333,2,E
95,T95,T95,Alex Noren,67,"96' 2""",96.167,1,-1
96,T95,T95,Nick Taylor,94,"96' 2""",384.667,4,-2
97,98,98,Harris English,84,"96' 8""",676.8330000000001,7,-4
98,99,99,Nicholas Lindheim,77,"96' 11""",193.75,2,-2
99,100,100,Peter Uihlein,83,"97' 5""",389.5,4,E
100,101,101,Tyrone Van Aswegen,101,"97' 9""",391.0,4,-1
101,102,102,Grayson Murray,72,"97' 11""",293.83299999999997,3,-1
102,103,103,Brian Harman,94,"98' 0""",294.0,3,E
103,104,104,Michael Kim,74,"98' 2""",196.333,2,-2
104,105,105,Jhonattan Vegas,92,"98' 6""",689.5,7,-4
105,T106,T106,Shane Lowry,64,"98' 8""",295.91700000000003,3,+3
106,T106,T106,Patrick Reed,94,"98' 8""",986.75,10,-4
107,108,108,Wesley Bryan,69,"98' 10""",296.5,3,+1
108,109,109,Hudson Swafford,73,"99' 3""",99.25,1,-1
109,110,110,Brooks Koepka,64,"99' 5""",298.25,3,E
110,111,111,Webb Simpson,95,"99' 9""",498.917,5,-1
111,112,112,Robert Streb,78,"99' 11""",199.833,2,E
112,113,113,Talor Gooch,78,"100' 2""",300.5,3,-2
113,114,114,Matt Kuchar,88,"100' 9""",201.417,2,E
114,115,115,Rob Oppenheim,74,"100' 11""",302.83299999999997,3,-3
115,116,116,Sam Ryder,82,"101' 1""",404.167,4,+2
