,Approaches_from_inside_100_yards_Rgh_RANK THIS WEEK,Approaches_from_inside_100_yards_Rgh_RANK LAST WEEK,Approaches_from_inside_100_yards_Rgh_PLAYER NAME,Approaches_from_inside_100_yards_Rgh_ROUNDS,Approaches_from_inside_100_yards_Rgh_AVG,Approaches_from_inside_100_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from_inside_100_yards_Rgh_# OF ATTEMPTS,Approaches_from_inside_100_yards_Rgh_RELATIVE TO PAR
0,1,1,Ryan Moore,78,"12' 10""",102.667,8,+2
1,2,2,Dominic Bozzelli,65,"17' 1""",290.75,17,+1
2,3,3,Rod Pampling,62,"17' 5""",296.5,17,+2
3,4,4,Robert Streb,78,"17' 11""",429.333,24,+2
4,5,5,Jamie Lovemark,92,"19' 4""",735.5,38,-9
5,6,6,Keegan Bradley,98,"19' 9""",455.167,23,-1
6,7,7,Kyle Thompson,50,"20' 1""",220.5,11,E
7,8,8,David Hearn,66,"20' 5""",245.0,12,+3
8,T9,T9,Tyler Duncan,97,"20' 6""",450.75,22,+5
9,T9,T9,Hudson Swafford,73,"20' 6""",225.167,11,-4
10,11,11,Ben Silverman,90,"20' 11""",397.25,19,-1
11,12,12,Hunter Mahan,67,"21' 0""",441.583,21,-7
12,T13,T13,Fabián Gómez,88,"21' 2""",656.1669999999999,31,+6
13,T13,T13,Cameron Smith,85,"21' 2""",551.3330000000001,26,E
14,T15,T15,Alex Noren,67,"21' 3""",360.833,17,+2
15,T15,T15,Charl Schwartzel,65,"21' 3""",340.0,16,+4
16,17,17,Abraham Ancer,98,"21' 6""",773.25,36,-13
17,T18,T18,Roberto Díaz,72,"21' 7""",777.3330000000001,36,+4
18,T18,T18,Brett Stegmaier,67,"21' 7""",409.667,19,+6
19,T20,T20,Martin Laird,73,"21' 8""",499.083,23,+2
20,T20,T20,Scott Stallings,96,"21' 8""",562.5830000000001,26,+4
21,22,22,Seamus Power,86,"21' 10""",676.5830000000001,31,-2
22,23,23,Austin Cook,107,"22' 0""",636.8330000000001,29,+1
23,24,24,Rob Oppenheim,74,"22' 1""",441.25,20,+6
24,25,25,Ethan Tracy,72,"22' 2""",708.5830000000001,32,+5
25,T26,T26,Russell Henley,77,"22' 5""",358.667,16,+2
26,T26,T26,Peter Malnati,87,"22' 5""",583.4169999999999,26,+4
27,28,28,Tyrrell Hatton,58,"22' 8""",407.25,18,-3
28,T29,T29,Bud Cauley,55,"22' 9""",454.583,20,E
29,T29,T29,Nate Lashley,51,"22' 9""",569.0830000000001,25,+2
30,31,31,"Ted Potter, Jr.",87,"22' 10""",777.5,34,+2
31,32,32,Chris Kirk,108,"23' 0""",758.25,33,-4
32,T33,T33,James Hahn,85,"23' 1""",485.583,21,+7
33,T33,T33,David Lingmerth,82,"23' 1""",462.083,20,+5
34,T35,T35,Chesson Hadley,103,"23' 2""",742.0,32,+8
35,T35,T35,Matt Kuchar,88,"23' 2""",695.6669999999999,30,-4
36,37,37,Kyle Stanley,93,"23' 3""",395.833,17,+5
37,38,38,Ian Poulter,73,"23' 5""",398.583,17,-1
38,T39,T39,Sean O'Hair,67,"23' 6""",494.333,21,+2
