,Greens_in_Regulation_Percentage_RANK THIS WEEK,Greens_in_Regulation_Percentage_RANK LAST WEEK,Greens_in_Regulation_Percentage_PLAYER NAME,Greens_in_Regulation_Percentage_ROUNDS,Greens_in_Regulation_Percentage_%,Greens_in_Regulation_Percentage_GREENS HIT,Greens_in_Regulation_Percentage_# HOLES,Greens_in_Regulation_Percentage_RELATIVE/PAR
137,T137,T137,Phil Mickelson,90,64.88,1016,1566,-0.34
138,139,139,Ethan Tracy,72,64.87,794,1224,-0.26
139,140,140,Bill Haas,76,64.79,863,1332,-0.23
140,141,141,Anirban Lahiri,82,64.7,955,1476,-0.27
141,142,142,Kevin Na,91,64.66,1001,1548,-0.31
142,143,143,Jamie Lovemark,92,64.65,1024,1584,-0.29
143,144,144,Matt Every,79,64.59,872,1350,-0.26
144,145,145,Brian Gay,103,64.52,1173,1818,-0.3
145,146,146,Graeme McDowell,67,64.5,685,1062,-0.24
146,147,147,Bud Cauley,55,64.26,613,954,-0.26
147,148,148,Jason Dufner,71,64.24,740,1152,-0.24
148,149,149,Rob Oppenheim,74,64.05,784,1224,-0.26
149,150,150,Ben Martin,64,63.98,737,1152,-0.28
150,151,151,Sean O'Hair,67,63.84,724,1134,-0.27
151,152,152,Kelly Kraft,94,63.83,1057,1656,-0.25
152,153,153,Si Woo Kim,108,63.78,1194,1872,-0.27
153,154,154,Alex Cejka,77,63.77,792,1242,-0.27
154,155,155,Ricky Barnes,65,63.75,677,1062,-0.32
155,156,156,Roberto Díaz,72,63.73,780,1224,-0.23
156,157,157,Zecheng Dou,53,63.72,562,882,-0.21
157,158,158,Tom Hoge,101,63.62,1065,1674,-0.28
158,159,159,Talor Gooch,78,63.58,824,1296,-0.26
159,160,160,Patrick Reed,94,63.57,984,1548,-0.3
160,161,161,Whee Kim,93,63.55,1018,1602,-0.29
161,162,162,Matt Atkins,56,63.46,594,936,-0.26
162,163,163,Aaron Baddeley,84,63.39,890,1404,-0.26
163,164,164,Harris English,84,63.32,889,1404,-0.29
164,165,165,Sung Kang,89,63.2,967,1530,-0.28
165,166,166,Jim Furyk,50,63.19,546,864,-0.23
166,167,167,Cameron Smith,85,63.18,887,1404,-0.3
167,T168,T168,David Lingmerth,82,63.03,885,1404,-0.3
168,T168,T168,"Ted Potter, Jr.",87,63.03,987,1566,-0.27
169,170,170,Billy Hurley III,70,63.02,726,1152,-0.25
170,171,171,Peter Malnati,87,62.99,941,1494,-0.3
171,172,172,Chris Stroud,81,62.94,827,1314,-0.27
172,173,173,Ollie Schniederjans,91,62.77,983,1566,-0.31
173,174,174,Rod Pampling,62,62.64,654,1044,-0.23
174,175,175,Grayson Murray,72,62.5,810,1296,-0.3
175,176,176,Cody Gribble,71,62.48,731,1170,-0.28
176,177,177,Kyle Thompson,50,62.44,517,828,-0.22
177,178,178,Kiradech Aphibarnrat,51,62.2,515,828,-0.27
178,179,179,Jonas Blixt,67,62.02,681,1098,-0.24
179,180,180,Jimmy Walker,81,61.9,858,1386,-0.29
180,181,181,Andrew Yun,51,61.85,501,810,-0.22
181,182,182,Retief Goosen,60,61.75,578,936,-0.25
182,183,183,Wesley Bryan,69,61.28,739,1206,-0.27
183,184,184,Charl Schwartzel,65,61.11,638,1044,-0.25
184,185,185,Dominic Bozzelli,65,60.94,713,1170,-0.28
185,186,186,Michael Kim,74,60.63,764,1260,-0.28
186,187,187,Jonathan Randolph,71,60.43,707,1170,-0.24
187,188,188,Martin Piller,79,60.39,837,1386,-0.27
188,189,189,Derek Fathauer,84,60.35,869,1440,-0.29
189,190,190,Satoshi Kodaira,51,60.3,521,864,-0.22
190,191,191,D.A. Points,63,60.2,661,1098,-0.26
191,192,192,Greg Chalmers,56,56.94,533,936,-0.27
192,193,193,Daniel Summerhays,51,56.79,460,810,-0.28
